# _root_ George M. Salem , analyst at Prudential-Bache Securities Inc. , called the results `` mildly disappointing . ''
#goldHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
#predictedHeads=3,3,11,3,3,5,8,6,8,3,0,13,11,16,16,11,11,11,
(0,2),-3.68446 # DEPENDENCYPART_ARC
(0,3),-4.55552 # DEPENDENCYPART_ARC
(0,11),0.164384 # DEPENDENCYPART_ARC
(1,2),-1.75983 # DEPENDENCYPART_ARC
(1,3),-1.95669 # DEPENDENCYPART_ARC
(1,4),-1.54889 # DEPENDENCYPART_ARC
(1,5),-2.48857 # DEPENDENCYPART_ARC
(1,6),-2.46447 # DEPENDENCYPART_ARC
(1,8),-4.42586 # DEPENDENCYPART_ARC
(1,10),-1.73752 # DEPENDENCYPART_ARC
(2,1),-0.159354 # DEPENDENCYPART_ARC
(2,3),-0.423355 # DEPENDENCYPART_ARC
(2,4),-1.33864 # DEPENDENCYPART_ARC
(2,5),-1.43684 # DEPENDENCYPART_ARC
(2,6),-2.06678 # DEPENDENCYPART_ARC
(2,7),-3.2153 # DEPENDENCYPART_ARC
(2,8),-3.52729 # DEPENDENCYPART_ARC
(2,9),-3.23301 # DEPENDENCYPART_ARC
(2,10),-1.43624 # DEPENDENCYPART_ARC
(2,11),-2.76498 # DEPENDENCYPART_ARC
(2,13),-3.27824 # DEPENDENCYPART_ARC
(2,14),-2.92461 # DEPENDENCYPART_ARC
(2,16),-3.54242 # DEPENDENCYPART_ARC
(2,17),-2.63234 # DEPENDENCYPART_ARC
(2,18),-2.25047 # DEPENDENCYPART_ARC
(3,1),1.22057 # DEPENDENCYPART_ARC
(3,2),1.77893 # DEPENDENCYPART_ARC
(3,4),0.208985 # DEPENDENCYPART_ARC
(3,5),-0.592311 # DEPENDENCYPART_ARC
(3,6),-1.43412 # DEPENDENCYPART_ARC
(3,7),-2.69686 # DEPENDENCYPART_ARC
(3,8),-2.75425 # DEPENDENCYPART_ARC
(3,9),-2.22893 # DEPENDENCYPART_ARC
(3,10),-0.25671 # DEPENDENCYPART_ARC
(3,11),-2.17858 # DEPENDENCYPART_ARC
(3,13),-2.59683 # DEPENDENCYPART_ARC
(3,14),-2.38226 # DEPENDENCYPART_ARC
(3,15),-2.79482 # DEPENDENCYPART_ARC
(3,16),-2.9753 # DEPENDENCYPART_ARC
(3,17),-2.24324 # DEPENDENCYPART_ARC
(3,18),-1.76727 # DEPENDENCYPART_ARC
(4,5),-2.04143 # DEPENDENCYPART_ARC
(5,1),-1.31246 # DEPENDENCYPART_ARC
(5,2),-1.04806 # DEPENDENCYPART_ARC
(5,3),-1.06125 # DEPENDENCYPART_ARC
(5,4),-1.09008 # DEPENDENCYPART_ARC
(5,6),0.392451 # DEPENDENCYPART_ARC
(5,7),-1.65212 # DEPENDENCYPART_ARC
(5,8),-1.63947 # DEPENDENCYPART_ARC
(5,9),-1.58579 # DEPENDENCYPART_ARC
(5,10),-1.49474 # DEPENDENCYPART_ARC
(5,11),-1.39955 # DEPENDENCYPART_ARC
(5,13),-2.34767 # DEPENDENCYPART_ARC
(5,14),-2.02696 # DEPENDENCYPART_ARC
(5,15),-2.36436 # DEPENDENCYPART_ARC
(5,16),-2.4993 # DEPENDENCYPART_ARC
(5,17),-2.20904 # DEPENDENCYPART_ARC
(5,18),-1.68781 # DEPENDENCYPART_ARC
(6,4),-1.98125 # DEPENDENCYPART_ARC
(6,5),-1.38009 # DEPENDENCYPART_ARC
(6,7),-0.347622 # DEPENDENCYPART_ARC
(6,8),-0.500221 # DEPENDENCYPART_ARC
(6,9),-0.720697 # DEPENDENCYPART_ARC
(6,10),-1.54072 # DEPENDENCYPART_ARC
(6,11),-0.861573 # DEPENDENCYPART_ARC
(6,13),-2.11301 # DEPENDENCYPART_ARC
(6,14),-2.41238 # DEPENDENCYPART_ARC
(6,15),-2.4758 # DEPENDENCYPART_ARC
(6,16),-2.64271 # DEPENDENCYPART_ARC
(6,17),-2.98309 # DEPENDENCYPART_ARC
(6,18),-1.87599 # DEPENDENCYPART_ARC
(7,8),-1.8562 # DEPENDENCYPART_ARC
(7,9),-1.52538 # DEPENDENCYPART_ARC
(7,10),-1.57447 # DEPENDENCYPART_ARC
(8,1),-3.18441 # DEPENDENCYPART_ARC
(8,2),-3.24665 # DEPENDENCYPART_ARC
(8,3),-2.68746 # DEPENDENCYPART_ARC
(8,4),-2.3379 # DEPENDENCYPART_ARC
(8,5),-1.62154 # DEPENDENCYPART_ARC
(8,6),-1.80235 # DEPENDENCYPART_ARC
(8,7),0.646591 # DEPENDENCYPART_ARC
(8,9),0.982575 # DEPENDENCYPART_ARC
(8,10),-0.424715 # DEPENDENCYPART_ARC
(8,11),-1.28525 # DEPENDENCYPART_ARC
(8,12),-1.93667 # DEPENDENCYPART_ARC
(8,13),-1.71296 # DEPENDENCYPART_ARC
(8,14),-1.87569 # DEPENDENCYPART_ARC
