# _root_ The next day , Mr. Schaeffer presented the couple with a check for $ 151,000 to help them build a new home in the same neighborhood .
#goldHeads=3,3,7,7,6,7,0,9,7,7,12,10,12,15,13,17,7,19,17,22,22,19,19,26,26,23,7,
#predictedHeads=3,3,7,7,6,7,0,9,7,7,12,10,12,15,13,17,12,19,17,22,22,19,22,26,26,23,7,
(0,3),-2.54312 # DEPENDENCYPART_ARC
(0,6),-2.96029 # DEPENDENCYPART_ARC
(0,7),-1.75075 # DEPENDENCYPART_ARC
(1,2),-0.539286 # DEPENDENCYPART_ARC
(1,3),-1.24807 # DEPENDENCYPART_ARC
(1,4),-1.30529 # DEPENDENCYPART_ARC
(2,1),0.0269914 # DEPENDENCYPART_ARC
(2,3),-0.55302 # DEPENDENCYPART_ARC
(2,4),-1.28519 # DEPENDENCYPART_ARC
(2,6),-2.11858 # DEPENDENCYPART_ARC
(2,7),-1.98075 # DEPENDENCYPART_ARC
(3,1),0.108129 # DEPENDENCYPART_ARC
(3,2),1.40269 # DEPENDENCYPART_ARC
(3,4),-0.0905228 # DEPENDENCYPART_ARC
(3,5),-1.36202 # DEPENDENCYPART_ARC
(3,6),-1.78309 # DEPENDENCYPART_ARC
(3,7),-2.00613 # DEPENDENCYPART_ARC
(3,9),-2.04907 # DEPENDENCYPART_ARC
(3,10),-2.17611 # DEPENDENCYPART_ARC
(3,12),-2.06523 # DEPENDENCYPART_ARC
(3,15),-2.83969 # DEPENDENCYPART_ARC
(3,16),-2.44651 # DEPENDENCYPART_ARC
(3,17),-2.57791 # DEPENDENCYPART_ARC
(3,27),-2.97583 # DEPENDENCYPART_ARC
(5,1),-2.40842 # DEPENDENCYPART_ARC
(5,2),-2.77879 # DEPENDENCYPART_ARC
(5,3),-2.19066 # DEPENDENCYPART_ARC
(5,4),-1.20557 # DEPENDENCYPART_ARC
(5,6),-0.688878 # DEPENDENCYPART_ARC
(5,7),-1.07593 # DEPENDENCYPART_ARC
(5,9),-1.88454 # DEPENDENCYPART_ARC
(6,1),-1.40212 # DEPENDENCYPART_ARC
(6,2),-1.69853 # DEPENDENCYPART_ARC
(6,3),-1.85929 # DEPENDENCYPART_ARC
(6,4),-1.31093 # DEPENDENCYPART_ARC
(6,5),1.7243 # DEPENDENCYPART_ARC
(6,7),-0.628215 # DEPENDENCYPART_ARC
(6,9),-1.44883 # DEPENDENCYPART_ARC
(6,10),-1.64324 # DEPENDENCYPART_ARC
(6,12),-1.64877 # DEPENDENCYPART_ARC
(6,14),-1.95573 # DEPENDENCYPART_ARC
(7,1),-1.91937 # DEPENDENCYPART_ARC
(7,2),-1.68119 # DEPENDENCYPART_ARC
(7,3),-1.7384 # DEPENDENCYPART_ARC
(7,4),-0.659531 # DEPENDENCYPART_ARC
(7,5),-0.520323 # DEPENDENCYPART_ARC
(7,6),0.724143 # DEPENDENCYPART_ARC
(7,8),0.18768 # DEPENDENCYPART_ARC
(7,9),0.539494 # DEPENDENCYPART_ARC
(7,10),-0.285248 # DEPENDENCYPART_ARC
(7,11),-1.08131 # DEPENDENCYPART_ARC
(7,12),-0.203563 # DEPENDENCYPART_ARC
(7,13),-0.738203 # DEPENDENCYPART_ARC
(7,14),-1.1386 # DEPENDENCYPART_ARC
(7,16),-0.999602 # DEPENDENCYPART_ARC
(7,17),-0.580892 # DEPENDENCYPART_ARC
(7,19),-0.880993 # DEPENDENCYPART_ARC
(7,22),-1.08204 # DEPENDENCYPART_ARC
(7,23),-1.69051 # DEPENDENCYPART_ARC
(7,27),0.483334 # DEPENDENCYPART_ARC
(8,10),-1.30308 # DEPENDENCYPART_ARC
(9,1),-2.63732 # DEPENDENCYPART_ARC
(9,2),-2.58247 # DEPENDENCYPART_ARC
(9,3),-3.09067 # DEPENDENCYPART_ARC
(9,4),-1.95637 # DEPENDENCYPART_ARC
(9,5),-0.996978 # DEPENDENCYPART_ARC
(9,6),-1.41106 # DEPENDENCYPART_ARC
(9,7),-1.01542 # DEPENDENCYPART_ARC
(9,8),1.28908 # DEPENDENCYPART_ARC
(9,10),0.185178 # DEPENDENCYPART_ARC
(9,12),-1.41299 # DEPENDENCYPART_ARC
(9,13),-1.25596 # DEPENDENCYPART_ARC
(9,14),-1.67614 # DEPENDENCYPART_ARC
(9,15),-1.92683 # DEPENDENCYPART_ARC
(9,16),-1.70973 # DEPENDENCYPART_ARC
(9,17),-1.3538 # DEPENDENCYPART_ARC
(9,19),-1.63041 # DEPENDENCYPART_ARC
(9,23),-1.76409 # DEPENDENCYPART_ARC
(9,27),-2.19067 # DEPENDENCYPART_ARC
(10,8),-1.58975 # DEPENDENCYPART_ARC
(10,9),-0.72466 # DEPENDENCYPART_ARC
(10,11),-0.0977302 # DEPENDENCYPART_ARC
(10,12),-0.29919 # DEPENDENCYPART_ARC
(10,13),-1.56916 # DEPENDENCYPART_ARC
(10,14),-1.50403 # DEPENDENCYPART_ARC
(10,15),-1.84817 # DEPENDENCYPART_ARC
(10,16),-1.70615 # DEPENDENCYPART_ARC
(10,17),-1.35558 # DEPENDENCYPART_ARC
(11,13),-1.26678 # DEPENDENCYPART_ARC
(12,3),-3.55197 # DEPENDENCYPART_ARC
(12,8),-1.48551 # DEPENDENCYPART_ARC
(12,9),-1.41645 # DEPENDENCYPART_ARC
(12,10),-1.04563 # DEPENDENCYPART_ARC
(12,11),1.29305 # DEPENDENCYPART_ARC
(12,13),0.276737 # DEPENDENCYPART_ARC
(12,14),-1.08599 # DEPENDENCYPART_ARC
(12,15),-1.28812 # DEPENDENCYPART_ARC
(12,16),-1.35393 # DEPENDENCYPART_ARC
(12,17),-0.940387 # DEPENDENCYPART_ARC
(12,19),-1.22626 # DEPENDENCYPART_ARC
(12,23),-1.28011 # DEPENDENCYPART_ARC
(12,27),-1.65563 # DEPENDENCYPART_ARC
(13,9),-1.74158 # DEPENDENCYPART_ARC
(13,11),-1.41473 # DEPENDENCYPART_ARC
(13,12),-0.605414 # DEPENDENCYPART_ARC
(13,14),-0.517153 # DEPENDENCYPART_ARC
(13,15),-0.87631 # DEPENDENCYPART_ARC
(13,16),-1.35732 # DEPENDENCYPART_ARC
(13,17),-1.301 # DEPENDENCYPART_ARC
(13,19),-1.69789 # DEPENDENCYPART_ARC
(13,22),-2.35271 # DEPENDENCYPART_ARC
(14,8),-1.37105 # DEPENDENCYPART_ARC
(14,10),-1.16264 # DEPENDENCYPART_ARC
(14,11),-1.0621 # DEPENDENCYPART_ARC
(14,12),-0.900237 # DEPENDENCYPART_ARC
(14,13),0.168994 # DEPENDENCYPART_ARC
(14,15),-0.0352425 # DEPENDENCYPART_ARC
(14,17),-1.09036 # DEPENDENCYPART_ARC
(14,19),-1.58709 # DEPENDENCYPART_ARC
(14,22),-1.79151 # DEPENDENCYPART_ARC
(14,23),-2.02349 # DEPENDENCYPART_ARC
(14,26),-1.9027 # DEPENDENCYPART_ARC
(14,27),-1.26944 # DEPENDENCYPART_ARC
(15,10),-1.06335 # DEPENDENCYPART_ARC
(15,11),-0.979799 # DEPENDENCYPART_ARC
(15,12),-0.887852 # DEPENDENCYPART_ARC
(15,13),-0.874514 # DEPENDENCYPART_ARC
(15,14),0.617392 # DEPENDENCYPART_ARC
(15,16),0.0610628 # DEPENDENCYPART_ARC
(15,17),-0.509964 # DEPENDENCYPART_ARC
(15,19),-1.02247 # DEPENDENCYPART_ARC
(15,22),-1.26802 # DEPENDENCYPART_ARC
(15,23),-1.33499 # DEPENDENCYPART_ARC
(15,26),-1.35184 # DEPENDENCYPART_ARC
(15,27),-0.976741 # DEPENDENCYPART_ARC
(16,13),-1.06286 # DEPENDENCYPART_ARC
(16,15),-0.135753 # DEPENDENCYPART_ARC
(16,17),-0.432313 # DEPENDENCYPART_ARC
(16,19),-1.73386 # DEPENDENCYPART_ARC
(16,22),-2.41277 # DEPENDENCYPART_ARC
(17,3),-2.67666 # DEPENDENCYPART_ARC
(17,4),-1.99638 # DEPENDENCYPART_ARC
(17,6),-1.6613 # DEPENDENCYPART_ARC
(17,9),-1.41884 # DEPENDENCYPART_ARC
(17,10),-1.02743 # DEPENDENCYPART_ARC
(17,12),-1.37769 # DEPENDENCYPART_ARC
(17,13),-0.813597 # DEPENDENCYPART_ARC
(17,14),-1.27804 # DEPENDENCYPART_ARC
(17,15),-1.23568 # DEPENDENCYPART_ARC
(17,16),1.01937 # DEPENDENCYPART_ARC
(17,18),0.13448 # DEPENDENCYPART_ARC
(17,19),0.0683559 # DEPENDENCYPART_ARC
(17,20),-1.27912 # DEPENDENCYPART_ARC
(17,22),-0.592142 # DEPENDENCYPART_ARC
(17,23),-1.53643 # DEPENDENCYPART_ARC
(17,26),-1.09214 # DEPENDENCYPART_ARC
(17,27),-1.2305 # DEPENDENCYPART_ARC
(18,19),-0.592724 # DEPENDENCYPART_ARC
(19,3),-3.02121 # DEPENDENCYPART_ARC
(19,4),-2.2102 # DEPENDENCYPART_ARC
(19,6),-2.04689 # DEPENDENCYPART_ARC
(19,9),-1.71937 # DEPENDENCYPART_ARC
(19,10),-1.3182 # DEPENDENCYPART_ARC
(19,12),-1.72075 # DEPENDENCYPART_ARC
(19,13),-1.15352 # DEPENDENCYPART_ARC
(19,15),-1.68468 # DEPENDENCYPART_ARC
(19,16),-1.09267 # DEPENDENCYPART_ARC
(19,17),-1.5316 # DEPENDENCYPART_ARC
(19,18),0.412431 # DEPENDENCYPART_ARC
(19,20),-0.155835 # DEPENDENCYPART_ARC
(19,21),-0.729294 # DEPENDENCYPART_ARC
(19,22),0.0102801 # DEPENDENCYPART_ARC
(19,23),-0.881801 # DEPENDENCYPART_ARC
(19,25),-1.30485 # DEPENDENCYPART_ARC
(19,26),-0.744002 # DEPENDENCYPART_ARC
(19,27),-0.0432437 # DEPENDENCYPART_ARC
(20,21),-0.473018 # DEPENDENCYPART_ARC
(20,23),-1.26096 # DEPENDENCYPART_ARC
(21,18),-1.50906 # DEPENDENCYPART_ARC
(21,20),0.0748459 # DEPENDENCYPART_ARC
(21,23),-1.10623 # DEPENDENCYPART_ARC
(21,26),-1.72664 # DEPENDENCYPART_ARC
(22,14),-1.68905 # DEPENDENCYPART_ARC
(22,15),-1.84716 # DEPENDENCYPART_ARC
(22,18),-1.30436 # DEPENDENCYPART_ARC
(22,19),-1.15082 # DEPENDENCYPART_ARC
(22,20),0.28752 # DEPENDENCYPART_ARC
(22,21),1.5872 # DEPENDENCYPART_ARC
(22,23),0.335502 # DEPENDENCYPART_ARC
(22,24),-1.51423 # DEPENDENCYPART_ARC
(22,25),-1.41286 # DEPENDENCYPART_ARC
(22,26),-1.56822 # DEPENDENCYPART_ARC
(22,27),-1.61378 # DEPENDENCYPART_ARC
(23,21),-1.79864 # DEPENDENCYPART_ARC
(23,22),-0.81553 # DEPENDENCYPART_ARC
(23,24),-0.125881 # DEPENDENCYPART_ARC
(23,25),-0.649711 # DEPENDENCYPART_ARC
(23,26),-0.393242 # DEPENDENCYPART_ARC
(24,25),-0.467616 # DEPENDENCYPART_ARC
(25,22),-1.20167 # DEPENDENCYPART_ARC
(25,24),0.118864 # DEPENDENCYPART_ARC
(26,20),-1.90343 # DEPENDENCYPART_ARC
(26,21),-0.987077 # DEPENDENCYPART_ARC
(26,22),-1.22381 # DEPENDENCYPART_ARC
(26,24),0.378221 # DEPENDENCYPART_ARC
(26,25),1.48592 # DEPENDENCYPART_ARC
(26,27),-0.512143 # DEPENDENCYPART_ARC
(0,3),(0,6),-0.0554462 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.123172 # DEPENDENCYPART_SIBL
(0,6),(0,7),-0.123551 # DEPENDENCYPART_SIBL
(1,2),(1,3),0.00182671 # DEPENDENCYPART_SIBL
