# _root_ If these conditions are met , he said , the ANC would be prepared to discuss suspending its guerrilla activities .
#goldHeads=4,3,4,12,4,7,12,7,7,11,12,0,12,13,16,14,16,20,20,17,12,
#predictedHeads=4,3,4,12,4,8,8,12,8,11,12,0,12,13,16,14,16,20,20,17,12,
(0,3),-2.66313 # DEPENDENCYPART_ARC
(0,4),-2.01427 # DEPENDENCYPART_ARC
(0,5),-3.37084 # DEPENDENCYPART_ARC
(0,8),-2.89028 # DEPENDENCYPART_ARC
(0,12),-2.31025 # DEPENDENCYPART_ARC
(0,13),-2.88939 # DEPENDENCYPART_ARC
(0,14),-2.89201 # DEPENDENCYPART_ARC
(0,16),-3.35714 # DEPENDENCYPART_ARC
(0,17),-3.23728 # DEPENDENCYPART_ARC
(1,2),-0.0842133 # DEPENDENCYPART_ARC
(1,3),-0.420672 # DEPENDENCYPART_ARC
(1,4),-1.31483 # DEPENDENCYPART_ARC
(1,6),-1.41953 # DEPENDENCYPART_ARC
(1,8),-2.28595 # DEPENDENCYPART_ARC
(1,12),-1.82158 # DEPENDENCYPART_ARC
(2,1),-0.143599 # DEPENDENCYPART_ARC
(2,4),-0.969758 # DEPENDENCYPART_ARC
(2,5),-1.35248 # DEPENDENCYPART_ARC
(3,1),-0.872868 # DEPENDENCYPART_ARC
(3,2),1.11961 # DEPENDENCYPART_ARC
(3,4),-0.299906 # DEPENDENCYPART_ARC
(3,5),-1.18022 # DEPENDENCYPART_ARC
(3,6),-1.50438 # DEPENDENCYPART_ARC
(3,8),-2.21494 # DEPENDENCYPART_ARC
(3,9),-1.63859 # DEPENDENCYPART_ARC
(3,12),-1.78968 # DEPENDENCYPART_ARC
(4,1),0.308733 # DEPENDENCYPART_ARC
(4,2),-0.48941 # DEPENDENCYPART_ARC
(4,3),1.0156 # DEPENDENCYPART_ARC
(4,5),1.35966 # DEPENDENCYPART_ARC
(4,6),-0.982726 # DEPENDENCYPART_ARC
(4,8),-1.7994 # DEPENDENCYPART_ARC
(4,9),-1.89268 # DEPENDENCYPART_ARC
(4,12),-1.60991 # DEPENDENCYPART_ARC
(4,13),-1.7807 # DEPENDENCYPART_ARC
(4,14),-1.40321 # DEPENDENCYPART_ARC
(4,16),-1.85178 # DEPENDENCYPART_ARC
(4,17),-1.41529 # DEPENDENCYPART_ARC
(4,20),-2.33997 # DEPENDENCYPART_ARC
(4,21),-1.45848 # DEPENDENCYPART_ARC
(5,1),-0.968434 # DEPENDENCYPART_ARC
(5,2),-1.55803 # DEPENDENCYPART_ARC
