# _root_ They began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells .
#goldHeads=2,0,2,6,6,3,6,9,7,9,22,11,12,12,16,14,22,22,18,21,19,9,22,23,27,27,24,29,27,2,
#predictedHeads=2,0,2,6,6,3,6,9,7,9,12,9,14,12,16,14,16,16,18,21,22,19,22,23,27,27,24,29,27,2,
(0,2),-1.54136 # DEPENDENCYPART_ARC
(0,3),-2.21422 # DEPENDENCYPART_ARC
(0,11),-2.91572 # DEPENDENCYPART_ARC
(0,12),-2.8221 # DEPENDENCYPART_ARC
(1,2),-0.375827 # DEPENDENCYPART_ARC
(1,6),-1.66271 # DEPENDENCYPART_ARC
(2,1),0.887486 # DEPENDENCYPART_ARC
(2,3),1.81333 # DEPENDENCYPART_ARC
(2,4),-0.873831 # DEPENDENCYPART_ARC
(2,5),-1.00882 # DEPENDENCYPART_ARC
(2,6),-0.502171 # DEPENDENCYPART_ARC
(2,7),-1.30338 # DEPENDENCYPART_ARC
(2,9),-1.10008 # DEPENDENCYPART_ARC
(2,10),-1.55042 # DEPENDENCYPART_ARC
(2,12),-1.7491 # DEPENDENCYPART_ARC
(2,17),-1.97339 # DEPENDENCYPART_ARC
(2,19),-1.958 # DEPENDENCYPART_ARC
(2,22),-0.891905 # DEPENDENCYPART_ARC
(2,27),-1.1546 # DEPENDENCYPART_ARC
(2,30),0.105096 # DEPENDENCYPART_ARC
(3,1),-1.84469 # DEPENDENCYPART_ARC
(3,2),-1.18948 # DEPENDENCYPART_ARC
(3,4),-0.182658 # DEPENDENCYPART_ARC
(3,5),-0.669662 # DEPENDENCYPART_ARC
(3,6),0.0912487 # DEPENDENCYPART_ARC
(3,7),-1.02755 # DEPENDENCYPART_ARC
(3,8),-1.25357 # DEPENDENCYPART_ARC
(3,9),-0.722775 # DEPENDENCYPART_ARC
(3,10),-1.37271 # DEPENDENCYPART_ARC
(3,12),-1.88343 # DEPENDENCYPART_ARC
(3,13),-2.15863 # DEPENDENCYPART_ARC
(3,14),-2.44017 # DEPENDENCYPART_ARC
(3,17),-1.99753 # DEPENDENCYPART_ARC
(3,19),-2.07058 # DEPENDENCYPART_ARC
