# _root_ Interprovincial Pipe Line Co. , an oil pipeline operator rumored to be mulling a gas pipeline proposal of its own , said that is n't in the cards .
#goldHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
#predictedHeads=4,4,4,22,4,9,9,9,4,9,12,10,12,17,17,17,13,17,20,18,4,0,24,22,24,24,28,26,22,
(0,4),-3.03086 # DEPENDENCYPART_ARC
(0,10),-2.39841 # DEPENDENCYPART_ARC
(0,12),-3.62465 # DEPENDENCYPART_ARC
(0,13),-3.27891 # DEPENDENCYPART_ARC
(0,22),0.226822 # DEPENDENCYPART_ARC
(0,24),-3.3717 # DEPENDENCYPART_ARC
(1,2),-0.472583 # DEPENDENCYPART_ARC
(1,3),-1.36718 # DEPENDENCYPART_ARC
(1,4),-1.90598 # DEPENDENCYPART_ARC
(1,5),-1.55841 # DEPENDENCYPART_ARC
(1,9),-2.55934 # DEPENDENCYPART_ARC
(1,10),-1.85939 # DEPENDENCYPART_ARC
(2,1),0.0215018 # DEPENDENCYPART_ARC
(2,3),-0.378432 # DEPENDENCYPART_ARC
(2,4),-1.50433 # DEPENDENCYPART_ARC
(2,5),-1.35949 # DEPENDENCYPART_ARC
(2,7),-2.08886 # DEPENDENCYPART_ARC
(2,8),-2.18723 # DEPENDENCYPART_ARC
(2,9),-2.40661 # DEPENDENCYPART_ARC
(2,10),-2.02066 # DEPENDENCYPART_ARC
(3,1),-0.652584 # DEPENDENCYPART_ARC
(3,2),0.0897567 # DEPENDENCYPART_ARC
(3,4),-0.745435 # DEPENDENCYPART_ARC
(3,5),-1.34433 # DEPENDENCYPART_ARC
(3,7),-2.09296 # DEPENDENCYPART_ARC
(3,8),-2.21404 # DEPENDENCYPART_ARC
(3,9),-2.47028 # DEPENDENCYPART_ARC
(3,10),-2.15395 # DEPENDENCYPART_ARC
(4,1),0.266098 # DEPENDENCYPART_ARC
(4,2),0.625728 # DEPENDENCYPART_ARC
(4,3),1.65415 # DEPENDENCYPART_ARC
(4,5),0.477017 # DEPENDENCYPART_ARC
(4,7),-1.58068 # DEPENDENCYPART_ARC
(4,8),-1.69036 # DEPENDENCYPART_ARC
(4,9),-1.96821 # DEPENDENCYPART_ARC
(4,10),-1.99387 # DEPENDENCYPART_ARC
(4,17),-1.76578 # DEPENDENCYPART_ARC
(4,21),-1.41969 # DEPENDENCYPART_ARC
(4,29),-2.92165 # DEPENDENCYPART_ARC
(6,5),-0.00485175 # DEPENDENCYPART_ARC
(6,7),-0.320321 # DEPENDENCYPART_ARC
(7,6),-0.233452 # DEPENDENCYPART_ARC
(7,8),-0.454666 # DEPENDENCYPART_ARC
(7,10),-0.906673 # DEPENDENCYPART_ARC
(7,12),-1.23859 # DEPENDENCYPART_ARC
(7,13),-1.42698 # DEPENDENCYPART_ARC
(8,4),-2.44431 # DEPENDENCYPART_ARC
(8,6),-0.653437 # DEPENDENCYPART_ARC
(8,7),0.359673 # DEPENDENCYPART_ARC
(8,10),-1.09337 # DEPENDENCYPART_ARC
(8,12),-1.57287 # DEPENDENCYPART_ARC
(8,13),-1.75475 # DEPENDENCYPART_ARC
(9,1),-1.34187 # DEPENDENCYPART_ARC
(9,2),-1.34504 # DEPENDENCYPART_ARC
(9,3),-1.31406 # DEPENDENCYPART_ARC
(9,4),-1.54473 # DEPENDENCYPART_ARC
(9,5),-1.30173 # DEPENDENCYPART_ARC
(9,6),-0.232234 # DEPENDENCYPART_ARC
(9,7),0.714254 # DEPENDENCYPART_ARC
(9,8),1.81272 # DEPENDENCYPART_ARC
(9,10),-0.0954324 # DEPENDENCYPART_ARC
(9,11),-1.09111 # DEPENDENCYPART_ARC
(9,12),-1.20821 # DEPENDENCYPART_ARC
(9,13),-1.40625 # DEPENDENCYPART_ARC
(9,17),-1.21774 # DEPENDENCYPART_ARC
(9,18),-1.42208 # DEPENDENCYPART_ARC
(9,20),-1.31044 # DEPENDENCYPART_ARC
(9,21),-1.44307 # DEPENDENCYPART_ARC
(9,29),-2.58796 # DEPENDENCYPART_ARC
(10,1),-2.37561 # DEPENDENCYPART_ARC
(10,4),-2.61506 # DEPENDENCYPART_ARC
(10,5),-1.29987 # DEPENDENCYPART_ARC
(10,6),-1.66041 # DEPENDENCYPART_ARC
(10,7),-1.23408 # DEPENDENCYPART_ARC
(10,8),-1.23512 # DEPENDENCYPART_ARC
(10,9),0.0166685 # DEPENDENCYPART_ARC
(10,11),-0.0567926 # DEPENDENCYPART_ARC
(10,12),-0.34702 # DEPENDENCYPART_ARC
(10,13),-0.997936 # DEPENDENCYPART_ARC
(10,17),-1.61433 # DEPENDENCYPART_ARC
(10,20),-1.79495 # DEPENDENCYPART_ARC
(10,21),-1.60981 # DEPENDENCYPART_ARC
(10,22),-2.52763 # DEPENDENCYPART_ARC
(10,24),-2.07061 # DEPENDENCYPART_ARC
(10,25),-2.62285 # DEPENDENCYPART_ARC
(10,29),-1.15398 # DEPENDENCYPART_ARC
(11,12),-0.417256 # DEPENDENCYPART_ARC
(11,13),-1.26459 # DEPENDENCYPART_ARC
(11,15),-1.97118 # DEPENDENCYPART_ARC
(11,17),-2.439 # DEPENDENCYPART_ARC
(12,4),-2.1413 # DEPENDENCYPART_ARC
(12,5),-1.70153 # DEPENDENCYPART_ARC
(12,7),-1.14264 # DEPENDENCYPART_ARC
(12,8),-1.08304 # DEPENDENCYPART_ARC
(12,9),-0.867329 # DEPENDENCYPART_ARC
(12,11),1.30937 # DEPENDENCYPART_ARC
(12,13),0.967583 # DEPENDENCYPART_ARC
(12,14),-1.01875 # DEPENDENCYPART_ARC
(12,15),-0.963148 # DEPENDENCYPART_ARC
(12,16),-1.05649 # DEPENDENCYPART_ARC
(12,17),-0.954768 # DEPENDENCYPART_ARC
(12,18),-1.61955 # DEPENDENCYPART_ARC
(12,20),-1.43112 # DEPENDENCYPART_ARC
(12,21),-1.24276 # DEPENDENCYPART_ARC
(12,22),-2.51979 # DEPENDENCYPART_ARC
(12,24),-1.89135 # DEPENDENCYPART_ARC
(12,25),-2.14464 # DEPENDENCYPART_ARC
(12,26),-2.52979 # DEPENDENCYPART_ARC
(12,29),-2.0424 # DEPENDENCYPART_ARC
(13,7),-1.93218 # DEPENDENCYPART_ARC
(13,9),-1.90948 # DEPENDENCYPART_ARC
(13,14),0.0233767 # DEPENDENCYPART_ARC
(13,15),-0.0422878 # DEPENDENCYPART_ARC
(13,16),-0.301581 # DEPENDENCYPART_ARC
(13,17),-0.179912 # DEPENDENCYPART_ARC
(13,18),-1.08149 # DEPENDENCYPART_ARC
(13,21),-0.995531 # DEPENDENCYPART_ARC
(13,22),-1.91011 # DEPENDENCYPART_ARC
(13,23),-2.38502 # DEPENDENCYPART_ARC
(13,24),-1.89934 # DEPENDENCYPART_ARC
(13,25),-2.0745 # DEPENDENCYPART_ARC
(13,26),-2.33668 # DEPENDENCYPART_ARC
(13,29),-1.08107 # DEPENDENCYPART_ARC
(14,15),-0.379092 # DEPENDENCYPART_ARC
(14,18),-1.46856 # DEPENDENCYPART_ARC
(15,14),0.0796646 # DEPENDENCYPART_ARC
(15,16),-0.520348 # DEPENDENCYPART_ARC
(15,18),-1.35112 # DEPENDENCYPART_ARC
(15,20),-1.56678 # DEPENDENCYPART_ARC
(15,22),-1.78071 # DEPENDENCYPART_ARC
(16,12),-1.8454 # DEPENDENCYPART_ARC
(16,14),-0.520174 # DEPENDENCYPART_ARC
(16,15),0.336486 # DEPENDENCYPART_ARC
(16,17),-0.652126 # DEPENDENCYPART_ARC
(16,18),-1.35879 # DEPENDENCYPART_ARC
(16,20),-1.6407 # DEPENDENCYPART_ARC
(16,22),-2.13395 # DEPENDENCYPART_ARC
(17,6),-2.03986 # DEPENDENCYPART_ARC
(17,7),-1.09159 # DEPENDENCYPART_ARC
(17,8),-1.22667 # DEPENDENCYPART_ARC
(17,9),-1.8402 # DEPENDENCYPART_ARC
(17,13),-0.784626 # DEPENDENCYPART_ARC
