# _root_ `` This week was uneventful for the CD market , '' said Norberto Mehl , chairman of Banxquote .
#goldHeads=12,3,4,12,4,4,9,9,6,12,12,0,14,12,14,14,16,17,12,
#predictedHeads=12,3,4,12,4,5,9,9,6,12,12,0,14,12,14,14,16,17,12,
(0,3),-2.48443 # DEPENDENCYPART_ARC
(0,4),-2.00797 # DEPENDENCYPART_ARC
(0,12),-1.27036 # DEPENDENCYPART_ARC
(2,3),-0.163666 # DEPENDENCYPART_ARC
(2,4),-0.934673 # DEPENDENCYPART_ARC
(2,6),-1.39442 # DEPENDENCYPART_ARC
(3,1),-0.682986 # DEPENDENCYPART_ARC
(3,2),1.17513 # DEPENDENCYPART_ARC
(3,4),-0.29883 # DEPENDENCYPART_ARC
(3,5),-1.32835 # DEPENDENCYPART_ARC
(3,6),-1.22042 # DEPENDENCYPART_ARC
(3,9),-1.8709 # DEPENDENCYPART_ARC
(3,10),-1.76844 # DEPENDENCYPART_ARC
(3,11),-1.78788 # DEPENDENCYPART_ARC
(3,12),-2.21704 # DEPENDENCYPART_ARC
(3,14),-2.293 # DEPENDENCYPART_ARC
(3,15),-2.10144 # DEPENDENCYPART_ARC
(3,19),-1.85904 # DEPENDENCYPART_ARC
(4,1),-0.50556 # DEPENDENCYPART_ARC
(4,2),-0.419642 # DEPENDENCYPART_ARC
(4,3),0.761219 # DEPENDENCYPART_ARC
(4,5),0.872181 # DEPENDENCYPART_ARC
(4,6),-0.268514 # DEPENDENCYPART_ARC
(4,8),-0.716451 # DEPENDENCYPART_ARC
(4,9),-0.633738 # DEPENDENCYPART_ARC
(4,10),-0.87467 # DEPENDENCYPART_ARC
(4,11),-0.934499 # DEPENDENCYPART_ARC
(4,12),-2.24306 # DEPENDENCYPART_ARC
(4,14),-2.30311 # DEPENDENCYPART_ARC
(4,15),-1.8116 # DEPENDENCYPART_ARC
(4,16),-1.96788 # DEPENDENCYPART_ARC
(4,19),-0.0347082 # DEPENDENCYPART_ARC
(5,1),-1.27287 # DEPENDENCYPART_ARC
(5,2),-1.21631 # DEPENDENCYPART_ARC
(5,3),-1.10061 # DEPENDENCYPART_ARC
(5,6),0.477343 # DEPENDENCYPART_ARC
