# _root_ Telephone service has been improved for customers trying to reach their brokers , and specialists -- who I believe should stay , despite the urgings of some post-crash critics -- have larger capital positions .
#goldHeads=2,3,0,3,4,2,6,7,8,9,12,10,3,3,31,15,20,19,15,19,20,19,19,25,23,25,29,29,26,15,14,34,34,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,8,9,12,10,3,3,14,19,19,19,15,19,20,21,21,25,23,25,29,29,26,19,21,34,34,31,3,
(0,2),-3.5846 # DEPENDENCYPART_ARC
(0,3),-1.34662 # DEPENDENCYPART_ARC
(0,4),-3.50293 # DEPENDENCYPART_ARC
(0,19),-2.03138 # DEPENDENCYPART_ARC
(0,20),-2.70684 # DEPENDENCYPART_ARC
(1,2),-0.847913 # DEPENDENCYPART_ARC
(1,3),-1.1848 # DEPENDENCYPART_ARC
(1,4),-1.52884 # DEPENDENCYPART_ARC
(1,5),-1.73308 # DEPENDENCYPART_ARC
(1,6),-1.07895 # DEPENDENCYPART_ARC
(1,8),-1.76753 # DEPENDENCYPART_ARC
(2,1),1.2941 # DEPENDENCYPART_ARC
(2,3),-0.940313 # DEPENDENCYPART_ARC
(2,4),-1.12677 # DEPENDENCYPART_ARC
(2,5),-1.4303 # DEPENDENCYPART_ARC
(2,6),-0.783153 # DEPENDENCYPART_ARC
(2,8),-1.53486 # DEPENDENCYPART_ARC
(2,9),-1.3777 # DEPENDENCYPART_ARC
(3,1),-0.709684 # DEPENDENCYPART_ARC
(3,2),0.967258 # DEPENDENCYPART_ARC
(3,4),2.00206 # DEPENDENCYPART_ARC
(3,5),0.0496822 # DEPENDENCYPART_ARC
(3,6),-1.40523 # DEPENDENCYPART_ARC
(3,7),-1.63364 # DEPENDENCYPART_ARC
(3,8),-1.49183 # DEPENDENCYPART_ARC
(3,9),-1.80084 # DEPENDENCYPART_ARC
(3,13),-1.06345 # DEPENDENCYPART_ARC
(3,14),-1.30546 # DEPENDENCYPART_ARC
(3,16),-1.09356 # DEPENDENCYPART_ARC
(3,19),-1.83282 # DEPENDENCYPART_ARC
(3,20),-1.85446 # DEPENDENCYPART_ARC
(3,22),-2.3226 # DEPENDENCYPART_ARC
(3,35),0.0685236 # DEPENDENCYPART_ARC
(4,1),-1.22879 # DEPENDENCYPART_ARC
(4,2),-1.52539 # DEPENDENCYPART_ARC
(4,3),-0.885827 # DEPENDENCYPART_ARC
(4,5),1.53838 # DEPENDENCYPART_ARC
(4,6),-0.440598 # DEPENDENCYPART_ARC
(4,7),-1.02651 # DEPENDENCYPART_ARC
(4,8),-0.893957 # DEPENDENCYPART_ARC
(4,9),-1.08733 # DEPENDENCYPART_ARC
(4,12),-1.82548 # DEPENDENCYPART_ARC
(4,13),-2.10291 # DEPENDENCYPART_ARC
(4,14),-2.17545 # DEPENDENCYPART_ARC
(5,1),-1.30463 # DEPENDENCYPART_ARC
(5,2),-1.01738 # DEPENDENCYPART_ARC
(5,3),-1.47876 # DEPENDENCYPART_ARC
(5,4),-0.972498 # DEPENDENCYPART_ARC
(5,6),0.713066 # DEPENDENCYPART_ARC
(5,7),-0.837005 # DEPENDENCYPART_ARC
(5,8),-0.755584 # DEPENDENCYPART_ARC
(5,9),-0.572583 # DEPENDENCYPART_ARC
(5,10),-1.61044 # DEPENDENCYPART_ARC
(5,12),-1.82207 # DEPENDENCYPART_ARC
(5,13),-1.71778 # DEPENDENCYPART_ARC
(5,14),-1.64561 # DEPENDENCYPART_ARC
(5,16),-1.29955 # DEPENDENCYPART_ARC
(5,22),-2.01987 # DEPENDENCYPART_ARC
(5,23),-2.05142 # DEPENDENCYPART_ARC
(5,35),-2.71416 # DEPENDENCYPART_ARC
(6,7),1.38376 # DEPENDENCYPART_ARC
(6,8),-0.403621 # DEPENDENCYPART_ARC
(6,9),-0.795644 # DEPENDENCYPART_ARC
(6,10),-1.57821 # DEPENDENCYPART_ARC
(6,12),-1.58391 # DEPENDENCYPART_ARC
(6,14),-1.58197 # DEPENDENCYPART_ARC
(6,19),-1.96792 # DEPENDENCYPART_ARC
(6,35),-2.4379 # DEPENDENCYPART_ARC
(7,5),-1.51032 # DEPENDENCYPART_ARC
(7,8),0.37926 # DEPENDENCYPART_ARC
(7,9),-0.989096 # DEPENDENCYPART_ARC
(7,10),-1.89382 # DEPENDENCYPART_ARC
(7,12),-1.45661 # DEPENDENCYPART_ARC
(7,13),-1.6338 # DEPENDENCYPART_ARC
(7,14),-1.12858 # DEPENDENCYPART_ARC
(7,16),-0.895909 # DEPENDENCYPART_ARC
(7,19),-2.05815 # DEPENDENCYPART_ARC
(7,20),-2.06628 # DEPENDENCYPART_ARC
(8,1),-1.93437 # DEPENDENCYPART_ARC
(8,2),-1.86963 # DEPENDENCYPART_ARC
(8,3),-2.03773 # DEPENDENCYPART_ARC
(8,5),-1.5948 # DEPENDENCYPART_ARC
(8,6),-1.40989 # DEPENDENCYPART_ARC
(8,7),-0.692188 # DEPENDENCYPART_ARC
(8,9),1.37588 # DEPENDENCYPART_ARC
(8,10),-0.354228 # DEPENDENCYPART_ARC
(8,12),-0.649349 # DEPENDENCYPART_ARC
(8,13),-1.41295 # DEPENDENCYPART_ARC
(8,14),-1.42379 # DEPENDENCYPART_ARC
(8,15),-1.52762 # DEPENDENCYPART_ARC
(8,16),-1.1517 # DEPENDENCYPART_ARC
(8,18),-1.88669 # DEPENDENCYPART_ARC
(8,19),-1.66311 # DEPENDENCYPART_ARC
(8,20),-1.9528 # DEPENDENCYPART_ARC
(8,23),-2.21648 # DEPENDENCYPART_ARC
(9,7),-1.9108 # DEPENDENCYPART_ARC
(9,8),-1.50457 # DEPENDENCYPART_ARC
(9,10),1.99991 # DEPENDENCYPART_ARC
(9,12),-0.371206 # DEPENDENCYPART_ARC
(9,13),-1.24282 # DEPENDENCYPART_ARC
(9,14),-1.70303 # DEPENDENCYPART_ARC
(9,15),-1.36942 # DEPENDENCYPART_ARC
(9,21),-2.48843 # DEPENDENCYPART_ARC
(10,2),-1.99554 # DEPENDENCYPART_ARC
