# _root_ Here , wedged between shifting dunes and pounding waves at the world 's most inhospitable diamond dig , lies the earth 's most precious jewel box .
#goldHeads=19,19,19,3,6,7,4,9,7,3,12,17,12,15,17,17,10,19,0,21,26,21,26,26,26,19,19,
#predictedHeads=19,19,19,3,7,5,4,7,8,8,12,10,12,15,17,17,13,19,0,21,22,19,24,26,26,22,19,
(0,1),-1.30598 # DEPENDENCYPART_ARC
(0,3),-2.10425 # DEPENDENCYPART_ARC
(0,5),-2.94705 # DEPENDENCYPART_ARC
(0,6),-3.29873 # DEPENDENCYPART_ARC
(0,7),-2.237 # DEPENDENCYPART_ARC
(0,8),-2.78801 # DEPENDENCYPART_ARC
(0,13),-2.96642 # DEPENDENCYPART_ARC
(0,19),-2.3214 # DEPENDENCYPART_ARC
(0,22),-3.36898 # DEPENDENCYPART_ARC
(1,2),-0.236045 # DEPENDENCYPART_ARC
(1,3),-1.38835 # DEPENDENCYPART_ARC
(1,4),-1.6743 # DEPENDENCYPART_ARC
(1,6),-1.94777 # DEPENDENCYPART_ARC
(1,7),-1.45329 # DEPENDENCYPART_ARC
(2,1),-0.290636 # DEPENDENCYPART_ARC
(3,1),-1.36121 # DEPENDENCYPART_ARC
(3,2),0.24239 # DEPENDENCYPART_ARC
(3,4),0.489564 # DEPENDENCYPART_ARC
(3,5),-0.669044 # DEPENDENCYPART_ARC
(3,6),-1.51678 # DEPENDENCYPART_ARC
(3,7),-1.06999 # DEPENDENCYPART_ARC
(3,9),-2.02609 # DEPENDENCYPART_ARC
(3,10),-1.62065 # DEPENDENCYPART_ARC
(3,13),-1.71311 # DEPENDENCYPART_ARC
(3,18),-1.9335 # DEPENDENCYPART_ARC
(3,19),-2.30634 # DEPENDENCYPART_ARC
(3,22),-2.5617 # DEPENDENCYPART_ARC
(3,27),-1.88064 # DEPENDENCYPART_ARC
(4,1),-1.64624 # DEPENDENCYPART_ARC
(4,2),-1.12039 # DEPENDENCYPART_ARC
(4,3),-0.144578 # DEPENDENCYPART_ARC
(4,5),0.476194 # DEPENDENCYPART_ARC
(4,6),-0.7101 # DEPENDENCYPART_ARC
(4,7),-0.457395 # DEPENDENCYPART_ARC
(4,8),-1.26822 # DEPENDENCYPART_ARC
(4,9),-1.76349 # DEPENDENCYPART_ARC
(5,2),-2.09596 # DEPENDENCYPART_ARC
(5,3),-1.94014 # DEPENDENCYPART_ARC
(5,4),-0.605095 # DEPENDENCYPART_ARC
(5,6),0.590894 # DEPENDENCYPART_ARC
(5,7),-0.907485 # DEPENDENCYPART_ARC
(5,8),-1.2835 # DEPENDENCYPART_ARC
(5,9),-1.00632 # DEPENDENCYPART_ARC
(5,10),-1.46136 # DEPENDENCYPART_ARC
(5,13),-1.8634 # DEPENDENCYPART_ARC
(5,17),-1.78671 # DEPENDENCYPART_ARC
(5,18),-1.82504 # DEPENDENCYPART_ARC
(5,19),-2.28957 # DEPENDENCYPART_ARC
(5,22),-2.69752 # DEPENDENCYPART_ARC
(5,27),-2.07128 # DEPENDENCYPART_ARC
(6,1),-1.80539 # DEPENDENCYPART_ARC
(6,2),-1.4801 # DEPENDENCYPART_ARC
(6,3),-0.887311 # DEPENDENCYPART_ARC
(6,4),-0.668904 # DEPENDENCYPART_ARC
(6,5),0.818079 # DEPENDENCYPART_ARC
(6,7),-0.512665 # DEPENDENCYPART_ARC
(6,8),-1.10762 # DEPENDENCYPART_ARC
(7,1),-1.39712 # DEPENDENCYPART_ARC
(7,2),-0.979621 # DEPENDENCYPART_ARC
(7,3),-0.232175 # DEPENDENCYPART_ARC
(7,4),-0.446557 # DEPENDENCYPART_ARC
(7,5),0.542859 # DEPENDENCYPART_ARC
(7,6),0.282276 # DEPENDENCYPART_ARC
(7,8),1.53723 # DEPENDENCYPART_ARC
(7,9),0.389915 # DEPENDENCYPART_ARC
(7,10),-0.684785 # DEPENDENCYPART_ARC
(7,11),-1.07075 # DEPENDENCYPART_ARC
(7,12),-0.881706 # DEPENDENCYPART_ARC
(7,13),-1.48816 # DEPENDENCYPART_ARC
(7,15),-1.30437 # DEPENDENCYPART_ARC
(7,16),-1.36207 # DEPENDENCYPART_ARC
(7,17),-1.50607 # DEPENDENCYPART_ARC
(7,18),-1.11593 # DEPENDENCYPART_ARC
(7,19),-2.26784 # DEPENDENCYPART_ARC
(7,21),-2.22042 # DEPENDENCYPART_ARC
(7,22),-2.65874 # DEPENDENCYPART_ARC
(7,26),-2.51209 # DEPENDENCYPART_ARC
(7,27),-0.5198 # DEPENDENCYPART_ARC
(8,3),-2.97082 # DEPENDENCYPART_ARC
(8,4),-2.44723 # DEPENDENCYPART_ARC
(8,6),-2.17753 # DEPENDENCYPART_ARC
(8,9),0.446353 # DEPENDENCYPART_ARC
(8,10),-0.670616 # DEPENDENCYPART_ARC
(8,11),-1.40421 # DEPENDENCYPART_ARC
(8,12),-1.28126 # DEPENDENCYPART_ARC
(8,13),-1.31945 # DEPENDENCYPART_ARC
(8,17),-1.80988 # DEPENDENCYPART_ARC
(8,18),-1.81611 # DEPENDENCYPART_ARC
(8,19),-2.23227 # DEPENDENCYPART_ARC
(8,22),-2.50467 # DEPENDENCYPART_ARC
(8,27),-1.65294 # DEPENDENCYPART_ARC
(9,1),-2.29782 # DEPENDENCYPART_ARC
(9,2),-1.94337 # DEPENDENCYPART_ARC
(9,3),-1.35643 # DEPENDENCYPART_ARC
(9,4),-1.33232 # DEPENDENCYPART_ARC
(9,5),-1.05161 # DEPENDENCYPART_ARC
(9,6),-1.15257 # DEPENDENCYPART_ARC
(9,7),-0.728303 # DEPENDENCYPART_ARC
(9,8),0.659714 # DEPENDENCYPART_ARC
(9,10),0.351383 # DEPENDENCYPART_ARC
(9,11),-1.45013 # DEPENDENCYPART_ARC
(9,12),-1.42128 # DEPENDENCYPART_ARC
