# _root_ Ten minutes later , the Dow hit bottom - down 63.52 points , another 2.5 % .
#goldHeads=2,3,7,7,6,7,0,7,7,7,12,10,12,16,14,12,7,
#predictedHeads=2,3,7,7,6,7,0,7,8,7,12,10,12,16,16,10,7,
(0,2),-3.24185 # DEPENDENCYPART_ARC
(0,3),-3.36135 # DEPENDENCYPART_ARC
(0,7),-1.1306 # DEPENDENCYPART_ARC
(0,8),-4.08635 # DEPENDENCYPART_ARC
(1,2),-1.33166 # DEPENDENCYPART_ARC
(1,4),-1.54856 # DEPENDENCYPART_ARC
(1,6),-2.62854 # DEPENDENCYPART_ARC
(1,7),-1.89787 # DEPENDENCYPART_ARC
(1,9),-1.54536 # DEPENDENCYPART_ARC
(1,10),-2.39418 # DEPENDENCYPART_ARC
(2,1),1.10455 # DEPENDENCYPART_ARC
(2,3),-1.11435 # DEPENDENCYPART_ARC
(2,4),-1.79755 # DEPENDENCYPART_ARC
(2,5),-2.1916 # DEPENDENCYPART_ARC
(2,6),-2.03117 # DEPENDENCYPART_ARC
(2,7),-1.24256 # DEPENDENCYPART_ARC
(2,8),-2.15331 # DEPENDENCYPART_ARC
(2,9),-1.09854 # DEPENDENCYPART_ARC
(2,10),-1.89422 # DEPENDENCYPART_ARC
(2,12),-2.11563 # DEPENDENCYPART_ARC
(2,13),-2.32143 # DEPENDENCYPART_ARC
(2,14),-2.83262 # DEPENDENCYPART_ARC
(2,16),-3.07068 # DEPENDENCYPART_ARC
(2,17),-2.49704 # DEPENDENCYPART_ARC
(3,1),-1.19987 # DEPENDENCYPART_ARC
(3,2),0.11521 # DEPENDENCYPART_ARC
(3,4),-0.937192 # DEPENDENCYPART_ARC
(3,5),-1.83738 # DEPENDENCYPART_ARC
(3,6),-1.5916 # DEPENDENCYPART_ARC
(3,7),-1.16083 # DEPENDENCYPART_ARC
(3,8),-1.95425 # DEPENDENCYPART_ARC
(3,9),-1.35427 # DEPENDENCYPART_ARC
(3,10),-2.1676 # DEPENDENCYPART_ARC
(3,12),-2.42606 # DEPENDENCYPART_ARC
(3,13),-2.03166 # DEPENDENCYPART_ARC
(3,16),-2.90374 # DEPENDENCYPART_ARC
(3,17),-1.94523 # DEPENDENCYPART_ARC
(4,3),-1.83864 # DEPENDENCYPART_ARC
(5,2),-2.8124 # DEPENDENCYPART_ARC
(5,3),-2.36592 # DEPENDENCYPART_ARC
(5,4),-2.05578 # DEPENDENCYPART_ARC
(5,6),-2.00414 # DEPENDENCYPART_ARC
(5,8),-2.28904 # DEPENDENCYPART_ARC
(6,1),-2.22454 # DEPENDENCYPART_ARC
(6,2),-1.91001 # DEPENDENCYPART_ARC
(6,3),-1.77295 # DEPENDENCYPART_ARC
(6,4),-1.27359 # DEPENDENCYPART_ARC
(6,5),0.996055 # DEPENDENCYPART_ARC
(6,7),-1.15219 # DEPENDENCYPART_ARC
(6,8),-1.9499 # DEPENDENCYPART_ARC
(6,9),-1.47776 # DEPENDENCYPART_ARC
(6,10),-2.45024 # DEPENDENCYPART_ARC
(6,17),-2.6559 # DEPENDENCYPART_ARC
(7,1),-2.17797 # DEPENDENCYPART_ARC
(7,2),-1.43299 # DEPENDENCYPART_ARC
(7,3),-1.3769 # DEPENDENCYPART_ARC
(7,4),-0.372157 # DEPENDENCYPART_ARC
(7,5),-1.3772 # DEPENDENCYPART_ARC
(7,6),0.337512 # DEPENDENCYPART_ARC
(7,8),0.87461 # DEPENDENCYPART_ARC
(7,9),-0.269198 # DEPENDENCYPART_ARC
(7,10),-0.59635 # DEPENDENCYPART_ARC
(7,11),-2.20544 # DEPENDENCYPART_ARC
(7,12),-0.951964 # DEPENDENCYPART_ARC
(7,13),-1.57845 # DEPENDENCYPART_ARC
(7,14),-2.54248 # DEPENDENCYPART_ARC
(7,16),-1.76724 # DEPENDENCYPART_ARC
(7,17),-0.749911 # DEPENDENCYPART_ARC
(8,1),-2.7703 # DEPENDENCYPART_ARC
(8,2),-2.12127 # DEPENDENCYPART_ARC
(8,3),-1.60868 # DEPENDENCYPART_ARC
(8,4),-2.044 # DEPENDENCYPART_ARC
(8,5),-0.182929 # DEPENDENCYPART_ARC
(8,6),-0.283026 # DEPENDENCYPART_ARC
(8,7),-0.590089 # DEPENDENCYPART_ARC
(8,9),-0.223728 # DEPENDENCYPART_ARC
(8,10),-1.24078 # DEPENDENCYPART_ARC
(8,11),-1.40089 # DEPENDENCYPART_ARC
(8,12),-1.13399 # DEPENDENCYPART_ARC
(8,13),-1.5597 # DEPENDENCYPART_ARC
(8,14),-2.32429 # DEPENDENCYPART_ARC
(8,15),-2.23528 # DEPENDENCYPART_ARC
(8,16),-1.99333 # DEPENDENCYPART_ARC
(8,17),-1.79067 # DEPENDENCYPART_ARC
(9,2),-3.15428 # DEPENDENCYPART_ARC
(9,4),-2.69469 # DEPENDENCYPART_ARC
(9,6),-2.62717 # DEPENDENCYPART_ARC
(9,8),-1.94781 # DEPENDENCYPART_ARC
(9,10),-1.59468 # DEPENDENCYPART_ARC
(9,11),-2.25204 # DEPENDENCYPART_ARC
(9,12),-2.33662 # DEPENDENCYPART_ARC
(10,8),-1.98504 # DEPENDENCYPART_ARC
(10,9),-1.27087 # DEPENDENCYPART_ARC
(10,11),0.24754 # DEPENDENCYPART_ARC
(10,12),-0.391524 # DEPENDENCYPART_ARC
(10,13),-1.23949 # DEPENDENCYPART_ARC
(10,14),-1.88277 # DEPENDENCYPART_ARC
(10,15),-1.78393 # DEPENDENCYPART_ARC
(10,16),-1.52402 # DEPENDENCYPART_ARC
(10,17),-2.33364 # DEPENDENCYPART_ARC
(11,1),-2.92828 # DEPENDENCYPART_ARC
(11,2),-2.85138 # DEPENDENCYPART_ARC
(11,3),-2.38763 # DEPENDENCYPART_ARC
(11,5),-2.5075 # DEPENDENCYPART_ARC
(11,6),-2.98845 # DEPENDENCYPART_ARC
(11,8),-2.38996 # DEPENDENCYPART_ARC
(11,9),-1.73276 # DEPENDENCYPART_ARC
(11,10),-0.951363 # DEPENDENCYPART_ARC
(11,12),-1.47016 # DEPENDENCYPART_ARC
(11,13),-1.91718 # DEPENDENCYPART_ARC
(11,16),-2.52571 # DEPENDENCYPART_ARC
(12,1),-2.43514 # DEPENDENCYPART_ARC
(12,2),-2.54632 # DEPENDENCYPART_ARC
(12,3),-2.41015 # DEPENDENCYPART_ARC
(12,4),-2.59336 # DEPENDENCYPART_ARC
(12,5),-1.58885 # DEPENDENCYPART_ARC
(12,6),-2.06987 # DEPENDENCYPART_ARC
(12,7),-2.08884 # DEPENDENCYPART_ARC
(12,8),-1.26026 # DEPENDENCYPART_ARC
(12,9),-1.5931 # DEPENDENCYPART_ARC
(12,10),-0.00419021 # DEPENDENCYPART_ARC
(12,11),1.15423 # DEPENDENCYPART_ARC
(12,13),-0.410787 # DEPENDENCYPART_ARC
(12,14),-1.81951 # DEPENDENCYPART_ARC
(12,15),-1.88195 # DEPENDENCYPART_ARC
(12,16),-1.80066 # DEPENDENCYPART_ARC
(12,17),-1.90458 # DEPENDENCYPART_ARC
(14,12),-2.15213 # DEPENDENCYPART_ARC
(14,13),-1.49678 # DEPENDENCYPART_ARC
(14,15),-0.402987 # DEPENDENCYPART_ARC
(14,16),-1.34089 # DEPENDENCYPART_ARC
(14,17),-1.85752 # DEPENDENCYPART_ARC
(15,11),-2.31497 # DEPENDENCYPART_ARC
(15,12),-2.17426 # DEPENDENCYPART_ARC
(15,13),-2.1107 # DEPENDENCYPART_ARC
(15,14),-0.721411 # DEPENDENCYPART_ARC
(15,16),-1.2851 # DEPENDENCYPART_ARC
(15,17),-2.16464 # DEPENDENCYPART_ARC
(16,3),-2.65578 # DEPENDENCYPART_ARC
(16,5),-3.50107 # DEPENDENCYPART_ARC
(16,6),-3.41539 # DEPENDENCYPART_ARC
(16,9),-2.0475 # DEPENDENCYPART_ARC
(16,10),-2.17561 # DEPENDENCYPART_ARC
(16,11),-1.90118 # DEPENDENCYPART_ARC
(16,12),-1.61075 # DEPENDENCYPART_ARC
(16,13),-1.42278 # DEPENDENCYPART_ARC
(16,14),0.181877 # DEPENDENCYPART_ARC
(16,15),1.36642 # DEPENDENCYPART_ARC
(16,17),-1.95423 # DEPENDENCYPART_ARC
(17,16),-2.9935 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0194519 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.763054 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.189542 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.656671 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.13671 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.632542 # DEPENDENCYPART_SIBL
(1,2),(1,4),0.0592915 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.0600825 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0984014 # DEPENDENCYPART_SIBL
(1,2),(1,9),0.011741 # DEPENDENCYPART_SIBL
(1,2),(1,10),0.0236038 # DEPENDENCYPART_SIBL
(1,4),(1,6),0.490969 # DEPENDENCYPART_SIBL
(1,4),(1,7),0.582199 # DEPENDENCYPART_SIBL
(1,4),(1,9),0.211386 # DEPENDENCYPART_SIBL
(1,4),(1,10),0.742249 # DEPENDENCYPART_SIBL
(1,6),(1,7),-0.0657839 # DEPENDENCYPART_SIBL
(1,6),(1,9),0.0242045 # DEPENDENCYPART_SIBL
(1,6),(1,10),0.023816 # DEPENDENCYPART_SIBL
(1,7),(1,9),0.109759 # DEPENDENCYPART_SIBL
(1,7),(1,10),0.0158638 # DEPENDENCYPART_SIBL
(1,9),(1,10),0.0775509 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0812334 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.0311107 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.00468661 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0641322 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0150266 # DEPENDENCYPART_SIBL
(2,1),(2,8),0.0187991 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.100617 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.0508304 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0159042 # DEPENDENCYPART_SIBL
(2,1),(2,13),-0.0311107 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.0580351 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.0727663 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.0192175 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0131323 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0189235 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.00765651 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0270394 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0484214 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0157973 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0321054 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00222948 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0131323 # DEPENDENCYPART_SIBL
(2,3),(2,14),-0.00930241 # DEPENDENCYPART_SIBL
(2,3),(2,16),-0.0401774 # DEPENDENCYPART_SIBL
(2,3),(2,17),0.00173439 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.22688 # DEPENDENCYPART_SIBL
(2,4),(2,6),0.512028 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.538887 # DEPENDENCYPART_SIBL
(2,4),(2,8),0.538176 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0189328 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.467571 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.641279 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0505006 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.312706 # DEPENDENCYPART_SIBL
(2,4),(2,16),0.383279 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00357811 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0981067 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0861772 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0812005 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.061272 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.078915 # DEPENDENCYPART_SIBL
(2,5),(2,12),0.0145157 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0773993 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0650884 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0848698 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.153726 # DEPENDENCYPART_SIBL
(2,6),(2,7),-0.0514494 # DEPENDENCYPART_SIBL
(2,6),(2,8),-0.0461659 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0173533 # DEPENDENCYPART_SIBL
(2,6),(2,10),-0.00814244 # DEPENDENCYPART_SIBL
(2,6),(2,12),-0.0295203 # DEPENDENCYPART_SIBL
(2,6),(2,13),0.00420383 # DEPENDENCYPART_SIBL
(2,6),(2,14),0.0214977 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.0200181 # DEPENDENCYPART_SIBL
(2,6),(2,17),0.039574 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.000846812 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.134365 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.00573126 # DEPENDENCYPART_SIBL
(2,7),(2,12),0.028569 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.240663 # DEPENDENCYPART_SIBL
(2,7),(2,14),0.0314847 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.00600385 # DEPENDENCYPART_SIBL
(2,7),(2,17),0.0707626 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.0212346 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0808305 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.12377 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0197582 # DEPENDENCYPART_SIBL
(2,8),(2,14),0.0241754 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0838691 # DEPENDENCYPART_SIBL
(2,8),(2,17),0.0392917 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.125515 # DEPENDENCYPART_SIBL
(2,9),(2,12),0.409678 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0281497 # DEPENDENCYPART_SIBL
(2,9),(2,14),0.184435 # DEPENDENCYPART_SIBL
(2,9),(2,16),0.404899 # DEPENDENCYPART_SIBL
(2,9),(2,17),0.180418 # DEPENDENCYPART_SIBL
(2,10),(2,12),0.201547 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.0440301 # DEPENDENCYPART_SIBL
(2,10),(2,14),0.0418852 # DEPENDENCYPART_SIBL
(2,10),(2,16),0.0776517 # DEPENDENCYPART_SIBL
(2,10),(2,17),0.0557983 # DEPENDENCYPART_SIBL
(2,12),(2,13),-0.0657367 # DEPENDENCYPART_SIBL
(2,12),(2,14),-0.0318777 # DEPENDENCYPART_SIBL
(2,12),(2,16),-0.0339669 # DEPENDENCYPART_SIBL
(2,12),(2,17),-0.0179117 # DEPENDENCYPART_SIBL
(2,13),(2,14),0.312706 # DEPENDENCYPART_SIBL
(2,13),(2,16),0.383279 # DEPENDENCYPART_SIBL
(2,13),(2,17),-0.00357811 # DEPENDENCYPART_SIBL
(2,14),(2,16),-0.043881 # DEPENDENCYPART_SIBL
(2,14),(2,17),-0.0605122 # DEPENDENCYPART_SIBL
(2,16),(2,17),0.0858206 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.0151738 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.0173517 # DEPENDENCYPART_SIBL
