# _root_ Government Contractors
#goldHeads=2,0,
#predictedHeads=2,0,
(0,1),-1.72946 # DEPENDENCYPART_ARC
(0,2),-2.3452 # DEPENDENCYPART_ARC
(1,2),-0.770369 # DEPENDENCYPART_ARC
(2,1),1.67195 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.048516 # DEPENDENCYPART_SIBL
(0,0),(0,1),-0.495131 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,2),-0.403468 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(0,0),(0,3),-0.900874 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(0,1),(0,2),-1.02773 # DEPENDENCYPART_NEXTSIBL
(0,1),(0,3),-0.589021 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,2),(0,3),-0.483607 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,0),(0,-1),-0.426006 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,1),(1,2),-0.46788 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(1,1),(1,3),-0.268062 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(1,2),(1,3),-0.496047 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(1,1),(1,-1),-0.46572 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,3),-0.358629 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,2),(2,1),-0.344657 # DEPENDENCYPART_NEXTSIBL_FIRST_SIB
(2,2),(2,-1),-0.439824 # DEPENDENCYPART_NEXTSIBL_NO_SIBS
(2,1),(2,-1),-0.490087 # DEPENDENCYPART_NEXTSIBL_LAST_SIB
(0,1),(1,2),0.624223 # DEPENDENCYPART_GRANDPAR
(0,2),(2,1),0.136326 # DEPENDENCYPART_GRANDPAR
(1,2),(2,1),-0.832741 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(2,1),(1,2),-1.0299 # DEPENDENCYPART_GRANDPAR_NO_GRANDCHILD
(0,1),(1,1),(1,2),-0.0203685 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,1),(1,1),(1,3),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,1),(1,2),(1,3),-0.0279941 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(0,1),(1,1),(1,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,3),-0.0458627 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,2),(2,1),0.231229 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(0,2),(2,2),(2,-1),-0.275735 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,2),(2,1),(2,-1),-0.111289 # DEPENDENCYPART_GRANDSIBL_LAST_SIB
(1,2),(2,2),(2,3),0.13822 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,2),(2,1),0.161593 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(1,2),(2,2),(2,-1),-0.0216877 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(1,2),(2,1),(2,-1),-0.173298 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,2),-0.155839 # DEPENDENCYPART_GRANDSIBL_FIRST_SIB
(2,1),(1,1),(1,3),-0.0115372 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,2),(1,3),-0.173847 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(2,1),(1,1),(1,-1),0.142023 # DEPENDENCYPART_GRANDSIBL_NO_CHILDREN
(0,0),(0,1),(0,2),-0.151704 # DEPENDENCYPART_TRISIBL_FIRST_SIBS
(0,0),(0,1),(0,3),0.266732 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,0),(0,2),(0,3),0.280658 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(0,1),(0,2),(0,3),-0.145906 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(1,1),(1,2),(1,3),-0.147641 # DEPENDENCYPART_TRISIBL_ONLY_CHILD
(2,2),(2,1),(2,-1),-0.147879 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(0,2),(0,1),0.049399 # DEPENDENCYPART_HEADBIGRAM
(0,2),(2,1),0.367211 # DEPENDENCYPART_HEADBIGRAM
(1,2),(0,1),-0.15377 # DEPENDENCYPART_HEADBIGRAM
(1,2),(2,1),-0.0786463 # DEPENDENCYPART_HEADBIGRAM
