# _root_ `` Demand from Japan is expected to continue strong , but not from other areas of the world into the first quarter of next year , '' he said .
#goldHeads=29,5,2,3,29,5,8,6,8,6,13,13,6,15,13,15,18,16,13,22,22,19,22,25,23,29,29,29,0,29,
#predictedHeads=29,5,2,3,29,5,8,6,11,11,8,11,12,15,13,15,18,16,8,22,22,19,22,25,23,29,29,29,0,29,
(0,2),-2.44851 # DEPENDENCYPART_ARC
(0,5),-1.76217 # DEPENDENCYPART_ARC
(0,6),-2.5417 # DEPENDENCYPART_ARC
(0,8),-3.14983 # DEPENDENCYPART_ARC
(0,11),-1.92128 # DEPENDENCYPART_ARC
(0,29),0.342686 # DEPENDENCYPART_ARC
(2,1),0.334896 # DEPENDENCYPART_ARC
(2,3),0.657475 # DEPENDENCYPART_ARC
(2,4),-0.884299 # DEPENDENCYPART_ARC
(2,5),-0.704892 # DEPENDENCYPART_ARC
(2,6),-1.19682 # DEPENDENCYPART_ARC
(2,7),-1.41008 # DEPENDENCYPART_ARC
(2,8),-1.28184 # DEPENDENCYPART_ARC
(2,9),-1.31263 # DEPENDENCYPART_ARC
(2,10),-1.70946 # DEPENDENCYPART_ARC
(2,11),-0.978578 # DEPENDENCYPART_ARC
(2,12),-1.60159 # DEPENDENCYPART_ARC
(2,13),-1.72788 # DEPENDENCYPART_ARC
(2,16),-2.07918 # DEPENDENCYPART_ARC
(2,26),-2.02026 # DEPENDENCYPART_ARC
(2,30),-2.15013 # DEPENDENCYPART_ARC
(3,1),-1.61846 # DEPENDENCYPART_ARC
(3,2),-0.785201 # DEPENDENCYPART_ARC
(3,4),0.942466 # DEPENDENCYPART_ARC
(3,5),-0.92695 # DEPENDENCYPART_ARC
(3,6),-1.4277 # DEPENDENCYPART_ARC
(3,7),-1.3276 # DEPENDENCYPART_ARC
(3,8),-1.63573 # DEPENDENCYPART_ARC
(3,9),-1.43932 # DEPENDENCYPART_ARC
(3,13),-1.56 # DEPENDENCYPART_ARC
(4,1),-1.95719 # DEPENDENCYPART_ARC
(4,2),-1.30218 # DEPENDENCYPART_ARC
(4,3),-0.809502 # DEPENDENCYPART_ARC
(4,5),-0.267892 # DEPENDENCYPART_ARC
(4,6),-1.22431 # DEPENDENCYPART_ARC
(5,1),-0.926755 # DEPENDENCYPART_ARC
(5,2),-0.00370008 # DEPENDENCYPART_ARC
(5,3),-0.546631 # DEPENDENCYPART_ARC
(5,4),1.04552 # DEPENDENCYPART_ARC
(5,6),1.41499 # DEPENDENCYPART_ARC
(5,7),-1.19645 # DEPENDENCYPART_ARC
(5,8),-1.07839 # DEPENDENCYPART_ARC
(5,9),-1.33929 # DEPENDENCYPART_ARC
(5,10),-1.58843 # DEPENDENCYPART_ARC
(5,11),-1.44405 # DEPENDENCYPART_ARC
(5,12),-2.38691 # DEPENDENCYPART_ARC
(5,27),-0.620415 # DEPENDENCYPART_ARC
(5,30),-1.13018 # DEPENDENCYPART_ARC
(6,1),-1.66267 # DEPENDENCYPART_ARC
(6,2),-1.27507 # DEPENDENCYPART_ARC
(6,3),-1.01 # DEPENDENCYPART_ARC
(6,4),-1.24994 # DEPENDENCYPART_ARC
(6,5),-1.08639 # DEPENDENCYPART_ARC
(6,7),-0.0723332 # DEPENDENCYPART_ARC
(6,8),-0.180055 # DEPENDENCYPART_ARC
(6,9),-1.41664 # DEPENDENCYPART_ARC
(6,10),-1.63247 # DEPENDENCYPART_ARC
(6,11),-1.68113 # DEPENDENCYPART_ARC
(6,12),-2.57851 # DEPENDENCYPART_ARC
(6,13),-2.44998 # DEPENDENCYPART_ARC
(6,19),-2.82698 # DEPENDENCYPART_ARC
(6,26),-2.45455 # DEPENDENCYPART_ARC
(6,29),-3.15648 # DEPENDENCYPART_ARC
(6,30),-2.22219 # DEPENDENCYPART_ARC
(7,3),-0.855805 # DEPENDENCYPART_ARC
(7,8),-0.463697 # DEPENDENCYPART_ARC
(7,9),-1.46987 # DEPENDENCYPART_ARC
(7,10),-1.74647 # DEPENDENCYPART_ARC
(7,11),-2.22389 # DEPENDENCYPART_ARC
(7,15),-2.7406 # DEPENDENCYPART_ARC
(8,1),-1.29913 # DEPENDENCYPART_ARC
(8,2),-1.1883 # DEPENDENCYPART_ARC
(8,3),-1.35358 # DEPENDENCYPART_ARC
(8,4),-1.22858 # DEPENDENCYPART_ARC
(8,5),-1.53482 # DEPENDENCYPART_ARC
(8,7),1.19771 # DEPENDENCYPART_ARC
(8,9),0.515503 # DEPENDENCYPART_ARC
(8,10),-0.852987 # DEPENDENCYPART_ARC
(8,11),-1.22322 # DEPENDENCYPART_ARC
(8,12),-1.70465 # DEPENDENCYPART_ARC
(8,13),-1.77125 # DEPENDENCYPART_ARC
(8,15),-1.63365 # DEPENDENCYPART_ARC
(8,16),-2.27782 # DEPENDENCYPART_ARC
(8,18),-1.95659 # DEPENDENCYPART_ARC
(8,19),-2.297 # DEPENDENCYPART_ARC
(8,22),-2.07953 # DEPENDENCYPART_ARC
(8,25),-2.23392 # DEPENDENCYPART_ARC
(8,26),-2.08662 # DEPENDENCYPART_ARC
(8,27),-1.04841 # DEPENDENCYPART_ARC
(8,30),-1.42252 # DEPENDENCYPART_ARC
(9,2),-1.5301 # DEPENDENCYPART_ARC
(9,3),-1.09603 # DEPENDENCYPART_ARC
(9,7),-1.11085 # DEPENDENCYPART_ARC
(9,8),0.0345613 # DEPENDENCYPART_ARC
(9,10),-0.222494 # DEPENDENCYPART_ARC
(9,11),-1.41247 # DEPENDENCYPART_ARC
(9,12),-1.52864 # DEPENDENCYPART_ARC
(9,13),-1.75611 # DEPENDENCYPART_ARC
(9,14),-1.4484 # DEPENDENCYPART_ARC
(9,15),-1.87174 # DEPENDENCYPART_ARC
(9,16),-2.02967 # DEPENDENCYPART_ARC
(9,30),-1.69193 # DEPENDENCYPART_ARC
(11,1),-1.28144 # DEPENDENCYPART_ARC
(11,2),-1.57899 # DEPENDENCYPART_ARC
(11,3),-1.08272 # DEPENDENCYPART_ARC
(11,4),-1.34275 # DEPENDENCYPART_ARC
(11,5),-1.14142 # DEPENDENCYPART_ARC
(11,6),-1.51455 # DEPENDENCYPART_ARC
(11,7),-1.49896 # DEPENDENCYPART_ARC
(11,8),-0.744929 # DEPENDENCYPART_ARC
(11,9),-0.699948 # DEPENDENCYPART_ARC
(11,10),1.20924 # DEPENDENCYPART_ARC
(11,12),0.29749 # DEPENDENCYPART_ARC
(11,13),-0.683078 # DEPENDENCYPART_ARC
(11,14),-1.03646 # DEPENDENCYPART_ARC
(11,15),-1.21365 # DEPENDENCYPART_ARC
(11,16),-1.55842 # DEPENDENCYPART_ARC
(11,17),-1.45322 # DEPENDENCYPART_ARC
(11,18),-2.03455 # DEPENDENCYPART_ARC
(11,19),-1.7809 # DEPENDENCYPART_ARC
(11,20),-1.51833 # DEPENDENCYPART_ARC
(11,22),-2.42687 # DEPENDENCYPART_ARC
(11,23),-1.92318 # DEPENDENCYPART_ARC
(11,26),-1.77506 # DEPENDENCYPART_ARC
(11,27),-1.1079 # DEPENDENCYPART_ARC
(11,29),-2.09652 # DEPENDENCYPART_ARC
(11,30),-1.1412 # DEPENDENCYPART_ARC
(12,2),-2.33439 # DEPENDENCYPART_ARC
(12,8),-2.17791 # DEPENDENCYPART_ARC
(12,9),-2.40893 # DEPENDENCYPART_ARC
(12,10),-1.51459 # DEPENDENCYPART_ARC
(12,11),-0.268771 # DEPENDENCYPART_ARC
(12,13),0.0159165 # DEPENDENCYPART_ARC
(12,14),-0.812949 # DEPENDENCYPART_ARC
(12,15),-1.0939 # DEPENDENCYPART_ARC
(12,16),-1.33017 # DEPENDENCYPART_ARC
(12,18),-1.43285 # DEPENDENCYPART_ARC
(12,19),-1.57226 # DEPENDENCYPART_ARC
(12,26),-1.15099 # DEPENDENCYPART_ARC
(12,29),-1.41265 # DEPENDENCYPART_ARC
(13,12),-0.0105668 # DEPENDENCYPART_ARC
(13,14),0.0253702 # DEPENDENCYPART_ARC
(13,15),-0.0981275 # DEPENDENCYPART_ARC
(13,16),-1.15677 # DEPENDENCYPART_ARC
(13,18),-1.46684 # DEPENDENCYPART_ARC
(13,19),-1.60108 # DEPENDENCYPART_ARC
(13,22),-2.13431 # DEPENDENCYPART_ARC
(13,23),-1.90397 # DEPENDENCYPART_ARC
(13,27),-1.3092 # DEPENDENCYPART_ARC
(14,9),-2.26888 # DEPENDENCYPART_ARC
(14,12),-1.43459 # DEPENDENCYPART_ARC
(14,13),-0.519344 # DEPENDENCYPART_ARC
(14,15),-0.536602 # DEPENDENCYPART_ARC
(14,16),-1.32497 # DEPENDENCYPART_ARC
(15,9),-2.02789 # DEPENDENCYPART_ARC
(15,10),-1.69267 # DEPENDENCYPART_ARC
(15,11),-0.977303 # DEPENDENCYPART_ARC
(15,12),-1.16216 # DEPENDENCYPART_ARC
(15,13),-1.06433 # DEPENDENCYPART_ARC
(15,14),1.46631 # DEPENDENCYPART_ARC
(15,16),0.658 # DEPENDENCYPART_ARC
(15,18),-1.10181 # DEPENDENCYPART_ARC
(15,19),-0.789536 # DEPENDENCYPART_ARC
(15,22),-1.33946 # DEPENDENCYPART_ARC
(15,23),-1.50853 # DEPENDENCYPART_ARC
(15,25),-1.52656 # DEPENDENCYPART_ARC
(15,26),-1.7618 # DEPENDENCYPART_ARC
(15,27),-1.34405 # DEPENDENCYPART_ARC
(15,29),-1.66932 # DEPENDENCYPART_ARC
(15,30),-2.21289 # DEPENDENCYPART_ARC
(16,14),-1.61148 # DEPENDENCYPART_ARC
(16,15),-0.628648 # DEPENDENCYPART_ARC
(16,17),-0.12808 # DEPENDENCYPART_ARC
(16,18),-0.199071 # DEPENDENCYPART_ARC
(16,19),-1.46402 # DEPENDENCYPART_ARC
(16,21),-1.29995 # DEPENDENCYPART_ARC
(16,22),-1.68052 # DEPENDENCYPART_ARC
(16,25),-1.97019 # DEPENDENCYPART_ARC
(17,19),-1.36409 # DEPENDENCYPART_ARC
(18,14),-1.41518 # DEPENDENCYPART_ARC
(18,17),1.32894 # DEPENDENCYPART_ARC
(18,19),0.193411 # DEPENDENCYPART_ARC
(18,22),-1.41954 # DEPENDENCYPART_ARC
(18,23),-1.47131 # DEPENDENCYPART_ARC
(18,25),-1.74013 # DEPENDENCYPART_ARC
(18,26),-1.99883 # DEPENDENCYPART_ARC
(18,27),-1.60495 # DEPENDENCYPART_ARC
(18,29),-1.96123 # DEPENDENCYPART_ARC
(19,15),-1.81869 # DEPENDENCYPART_ARC
(19,16),-1.40809 # DEPENDENCYPART_ARC
(19,17),-1.59802 # DEPENDENCYPART_ARC
(19,18),-0.714802 # DEPENDENCYPART_ARC
(19,20),-0.173177 # DEPENDENCYPART_ARC
(19,21),-0.762327 # DEPENDENCYPART_ARC
(19,22),-0.565532 # DEPENDENCYPART_ARC
(19,23),-1.5085 # DEPENDENCYPART_ARC
(19,24),-1.37305 # DEPENDENCYPART_ARC
(19,25),-1.20999 # DEPENDENCYPART_ARC
(19,29),-2.15005 # DEPENDENCYPART_ARC
(20,21),-0.54956 # DEPENDENCYPART_ARC
(20,23),-1.32668 # DEPENDENCYPART_ARC
(21,18),-1.14129 # DEPENDENCYPART_ARC
(21,20),0.162218 # DEPENDENCYPART_ARC
(21,23),-1.16677 # DEPENDENCYPART_ARC
(21,24),-1.13852 # DEPENDENCYPART_ARC
(21,25),-1.6829 # DEPENDENCYPART_ARC
(22,14),-1.77431 # DEPENDENCYPART_ARC
(22,17),-1.46054 # DEPENDENCYPART_ARC
(22,18),-1.18946 # DEPENDENCYPART_ARC
(22,20),0.423726 # DEPENDENCYPART_ARC
(22,21),1.6096 # DEPENDENCYPART_ARC
(22,23),0.648234 # DEPENDENCYPART_ARC
(22,24),-1.03902 # DEPENDENCYPART_ARC
(22,25),-1.09975 # DEPENDENCYPART_ARC
(22,26),-1.53865 # DEPENDENCYPART_ARC
(22,27),-1.44804 # DEPENDENCYPART_ARC
(22,29),-1.58635 # DEPENDENCYPART_ARC
(22,30),-1.89473 # DEPENDENCYPART_ARC
(23,21),-1.47526 # DEPENDENCYPART_ARC
(23,24),-0.105892 # DEPENDENCYPART_ARC
(23,25),-0.0791997 # DEPENDENCYPART_ARC
(23,27),-1.68744 # DEPENDENCYPART_ARC
(23,29),-2.09141 # DEPENDENCYPART_ARC
(25,14),-2.2624 # DEPENDENCYPART_ARC
(25,20),-1.41514 # DEPENDENCYPART_ARC
(25,21),-0.907898 # DEPENDENCYPART_ARC
(25,22),-1.26441 # DEPENDENCYPART_ARC
(25,23),-0.838831 # DEPENDENCYPART_ARC
(25,24),1.52658 # DEPENDENCYPART_ARC
(25,26),-0.266511 # DEPENDENCYPART_ARC
(25,27),-1.5167 # DEPENDENCYPART_ARC
(25,29),-2.0909 # DEPENDENCYPART_ARC
(29,1),0.27181 # DEPENDENCYPART_ARC
(29,2),-1.84043 # DEPENDENCYPART_ARC
(29,4),-2.08479 # DEPENDENCYPART_ARC
(29,5),-0.629658 # DEPENDENCYPART_ARC
(29,6),-1.15738 # DEPENDENCYPART_ARC
(29,8),-1.20279 # DEPENDENCYPART_ARC
(29,10),-2.4171 # DEPENDENCYPART_ARC
(29,11),-1.5938 # DEPENDENCYPART_ARC
(29,12),-2.07356 # DEPENDENCYPART_ARC
(29,13),-2.12272 # DEPENDENCYPART_ARC
(29,14),-1.83403 # DEPENDENCYPART_ARC
(29,15),-2.53339 # DEPENDENCYPART_ARC
(29,16),-2.22294 # DEPENDENCYPART_ARC
(29,18),-2.47891 # DEPENDENCYPART_ARC
(29,19),-1.68017 # DEPENDENCYPART_ARC
(29,22),-2.26537 # DEPENDENCYPART_ARC
(29,23),-1.58425 # DEPENDENCYPART_ARC
(29,24),-1.70086 # DEPENDENCYPART_ARC
(29,25),-2.11721 # DEPENDENCYPART_ARC
(29,26),-0.81728 # DEPENDENCYPART_ARC
(29,27),-0.476083 # DEPENDENCYPART_ARC
(29,28),1.19559 # DEPENDENCYPART_ARC
(29,30),0.918211 # DEPENDENCYPART_ARC
(0,2),(0,5),-0.12276 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.124429 # DEPENDENCYPART_SIBL
(0,2),(0,8),-0.126786 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0813952 # DEPENDENCYPART_SIBL
(0,2),(0,29),-0.131202 # DEPENDENCYPART_SIBL
(0,5),(0,6),-0.254985 # DEPENDENCYPART_SIBL
(0,5),(0,8),-0.252878 # DEPENDENCYPART_SIBL
(0,5),(0,11),-0.181127 # DEPENDENCYPART_SIBL
(0,5),(0,29),-0.282613 # DEPENDENCYPART_SIBL
(0,6),(0,8),-0.223401 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.168824 # DEPENDENCYPART_SIBL
(0,6),(0,29),-0.251594 # DEPENDENCYPART_SIBL
(0,8),(0,11),-0.167947 # DEPENDENCYPART_SIBL
(0,8),(0,29),-0.255691 # DEPENDENCYPART_SIBL
(0,11),(0,29),-0.163911 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0227439 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0991998 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0118175 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00988788 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0405686 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.00758747 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.0185019 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.10386 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.00688141 # DEPENDENCYPART_SIBL
(2,1),(2,12),0.0212305 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0227439 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.128463 # DEPENDENCYPART_SIBL
(2,1),(2,26),0.10386 # DEPENDENCYPART_SIBL
(2,1),(2,30),-0.00823813 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0255357 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0414226 # DEPENDENCYPART_SIBL
(2,3),(2,6),0.0680179 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.160898 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0762888 # DEPENDENCYPART_SIBL
(2,3),(2,9),0.0530353 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.142284 # DEPENDENCYPART_SIBL
(2,3),(2,11),0.00956581 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.0223237 # DEPENDENCYPART_SIBL
(2,3),(2,13),0.0883223 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0398948 # DEPENDENCYPART_SIBL
(2,3),(2,26),0.142284 # DEPENDENCYPART_SIBL
(2,3),(2,30),0.0886917 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.00182411 # DEPENDENCYPART_SIBL
(2,4),(2,6),-3.93582e-05 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0061708 # DEPENDENCYPART_SIBL
(2,4),(2,8),-0.00252636 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.0116121 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.0236878 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.0193349 # DEPENDENCYPART_SIBL
(2,4),(2,12),0.00385122 # DEPENDENCYPART_SIBL
(2,4),(2,13),-0.00664461 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.0167004 # DEPENDENCYPART_SIBL
(2,4),(2,26),0.0236878 # DEPENDENCYPART_SIBL
(2,4),(2,30),0.0612843 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0526096 # DEPENDENCYPART_SIBL
(2,5),(2,7),-0.0213402 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.0493824 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.0174437 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0269158 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0593791 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.02282 # DEPENDENCYPART_SIBL
(2,5),(2,13),-0.0628512 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0539778 # DEPENDENCYPART_SIBL
(2,5),(2,26),0.0269158 # DEPENDENCYPART_SIBL
(2,5),(2,30),0.0398489 # DEPENDENCYPART_SIBL
(2,6),(2,7),0.00519484 # DEPENDENCYPART_SIBL
(2,6),(2,8),0.00589124 # DEPENDENCYPART_SIBL
(2,6),(2,9),0.0115272 # DEPENDENCYPART_SIBL
(2,6),(2,10),0.0455745 # DEPENDENCYPART_SIBL
(2,6),(2,11),-0.0273521 # DEPENDENCYPART_SIBL
(2,6),(2,12),0.00711737 # DEPENDENCYPART_SIBL
(2,6),(2,13),-0.0134162 # DEPENDENCYPART_SIBL
(2,6),(2,16),-0.00515399 # DEPENDENCYPART_SIBL
(2,6),(2,26),0.0455745 # DEPENDENCYPART_SIBL
(2,6),(2,30),0.0182962 # DEPENDENCYPART_SIBL
(2,7),(2,8),-0.00960156 # DEPENDENCYPART_SIBL
(2,7),(2,9),0.00549215 # DEPENDENCYPART_SIBL
(2,7),(2,10),0.0117149 # DEPENDENCYPART_SIBL
(2,7),(2,11),-0.0253907 # DEPENDENCYPART_SIBL
(2,7),(2,12),-0.0221833 # DEPENDENCYPART_SIBL
(2,7),(2,13),0.110573 # DEPENDENCYPART_SIBL
(2,7),(2,16),0.000380716 # DEPENDENCYPART_SIBL
(2,7),(2,26),0.0117149 # DEPENDENCYPART_SIBL
(2,7),(2,30),0.0930922 # DEPENDENCYPART_SIBL
(2,8),(2,9),-0.00216079 # DEPENDENCYPART_SIBL
(2,8),(2,10),0.0107943 # DEPENDENCYPART_SIBL
(2,8),(2,11),-0.0401366 # DEPENDENCYPART_SIBL
(2,8),(2,12),-0.00531924 # DEPENDENCYPART_SIBL
(2,8),(2,13),-0.0263449 # DEPENDENCYPART_SIBL
(2,8),(2,16),-0.0180798 # DEPENDENCYPART_SIBL
(2,8),(2,26),0.0107943 # DEPENDENCYPART_SIBL
(2,8),(2,30),0.0306574 # DEPENDENCYPART_SIBL
(2,9),(2,10),0.0315663 # DEPENDENCYPART_SIBL
(2,9),(2,11),-0.0480635 # DEPENDENCYPART_SIBL
(2,9),(2,12),-0.0410343 # DEPENDENCYPART_SIBL
(2,9),(2,13),-0.0180617 # DEPENDENCYPART_SIBL
(2,9),(2,16),-0.00270856 # DEPENDENCYPART_SIBL
(2,9),(2,26),0.0315663 # DEPENDENCYPART_SIBL
(2,9),(2,30),0.00444359 # DEPENDENCYPART_SIBL
