# _root_ Asked what he would do differently on the morrow , Craig allowed that he might play his outfielders deeper , `` maybe on the other side of the fence . ''
#goldHeads=12,5,4,1,4,5,5,9,7,12,12,0,15,15,12,15,18,16,16,16,16,16,16,26,26,23,26,29,27,12,12,
#predictedHeads=12,5,4,1,4,5,5,9,7,12,12,0,15,15,12,15,18,16,16,16,16,23,16,26,26,23,26,29,27,12,12,
(0,1),-1.21058 # DEPENDENCYPART_ARC
(0,2),-2.49734 # DEPENDENCYPART_ARC
(0,4),-2.55767 # DEPENDENCYPART_ARC
(0,5),-2.88061 # DEPENDENCYPART_ARC
(0,12),-2.92954 # DEPENDENCYPART_ARC
(0,15),-3.07853 # DEPENDENCYPART_ARC
(0,16),-3.80507 # DEPENDENCYPART_ARC
(1,3),-1.04859 # DEPENDENCYPART_ARC
(1,4),-0.941155 # DEPENDENCYPART_ARC
(1,5),-0.953886 # DEPENDENCYPART_ARC
(1,6),-1.64669 # DEPENDENCYPART_ARC
(1,7),-1.54728 # DEPENDENCYPART_ARC
(1,9),-1.79853 # DEPENDENCYPART_ARC
(1,10),-1.85319 # DEPENDENCYPART_ARC
(1,12),-2.16967 # DEPENDENCYPART_ARC
(1,15),-2.09541 # DEPENDENCYPART_ARC
(1,16),-2.27785 # DEPENDENCYPART_ARC
(1,20),-2.36616 # DEPENDENCYPART_ARC
(1,23),-2.89638 # DEPENDENCYPART_ARC
(1,30),-1.06793 # DEPENDENCYPART_ARC
(2,5),-0.860232 # DEPENDENCYPART_ARC
(3,4),-0.255444 # DEPENDENCYPART_ARC
(3,5),-0.983836 # DEPENDENCYPART_ARC
(3,7),-1.3673 # DEPENDENCYPART_ARC
(3,9),-1.60729 # DEPENDENCYPART_ARC
(4,1),-0.973523 # DEPENDENCYPART_ARC
(4,2),-0.49518 # DEPENDENCYPART_ARC
(4,3),0.886147 # DEPENDENCYPART_ARC
(4,5),1.20255 # DEPENDENCYPART_ARC
(4,6),-0.955424 # DEPENDENCYPART_ARC
(4,7),-1.49978 # DEPENDENCYPART_ARC
(4,9),-1.59521 # DEPENDENCYPART_ARC
(4,10),-1.71074 # DEPENDENCYPART_ARC
(4,12),-2.35212 # DEPENDENCYPART_ARC
(4,15),-2.03373 # DEPENDENCYPART_ARC
(4,16),-2.12554 # DEPENDENCYPART_ARC
(4,20),-1.90885 # DEPENDENCYPART_ARC
(4,30),-0.231534 # DEPENDENCYPART_ARC
(4,31),-0.709488 # DEPENDENCYPART_ARC
(5,2),-0.796175 # DEPENDENCYPART_ARC
(5,3),-1.07182 # DEPENDENCYPART_ARC
(5,4),-0.638392 # DEPENDENCYPART_ARC
(5,6),0.739483 # DEPENDENCYPART_ARC
(5,7),-0.00232531 # DEPENDENCYPART_ARC
(5,8),-1.02216 # DEPENDENCYPART_ARC
(5,9),-0.537528 # DEPENDENCYPART_ARC
(5,10),-1.10266 # DEPENDENCYPART_ARC
(5,11),-1.90337 # DEPENDENCYPART_ARC
(5,12),-1.38613 # DEPENDENCYPART_ARC
(5,15),-1.93528 # DEPENDENCYPART_ARC
(5,16),-1.83835 # DEPENDENCYPART_ARC
(5,20),-1.90514 # DEPENDENCYPART_ARC
(5,21),-1.56 # DEPENDENCYPART_ARC
(5,22),-2.23148 # DEPENDENCYPART_ARC
(5,23),-2.16323 # DEPENDENCYPART_ARC
(5,30),-0.740264 # DEPENDENCYPART_ARC
(6,5),-0.212658 # DEPENDENCYPART_ARC
(6,7),-0.262717 # DEPENDENCYPART_ARC
(6,8),-0.985042 # DEPENDENCYPART_ARC
(6,9),-1.25696 # DEPENDENCYPART_ARC
(6,10),-1.46409 # DEPENDENCYPART_ARC
(6,11),-1.94595 # DEPENDENCYPART_ARC
(6,12),-1.7024 # DEPENDENCYPART_ARC
(6,15),-1.77953 # DEPENDENCYPART_ARC
(7,2),-1.4915 # DEPENDENCYPART_ARC
(7,6),-0.118171 # DEPENDENCYPART_ARC
(7,8),0.0818888 # DEPENDENCYPART_ARC
(7,9),0.284991 # DEPENDENCYPART_ARC
(7,10),-1.11869 # DEPENDENCYPART_ARC
(7,11),-1.59487 # DEPENDENCYPART_ARC
(7,12),-1.84092 # DEPENDENCYPART_ARC
(7,15),-1.91979 # DEPENDENCYPART_ARC
(7,19),-1.59287 # DEPENDENCYPART_ARC
(7,22),-1.3713 # DEPENDENCYPART_ARC
(7,23),-1.09667 # DEPENDENCYPART_ARC
(7,30),-0.504597 # DEPENDENCYPART_ARC
(7,31),-0.488753 # DEPENDENCYPART_ARC
(8,7),-0.551326 # DEPENDENCYPART_ARC
(9,2),-1.7919 # DEPENDENCYPART_ARC
(9,6),-1.40506 # DEPENDENCYPART_ARC
(9,7),-1.1377 # DEPENDENCYPART_ARC
(9,8),1.02218 # DEPENDENCYPART_ARC
(9,10),-0.200518 # DEPENDENCYPART_ARC
(9,11),-1.40182 # DEPENDENCYPART_ARC
(9,12),-1.70083 # DEPENDENCYPART_ARC
(9,13),-2.13801 # DEPENDENCYPART_ARC
(9,15),-1.81214 # DEPENDENCYPART_ARC
(9,16),-2.29079 # DEPENDENCYPART_ARC
(9,18),-1.76203 # DEPENDENCYPART_ARC
(9,19),-1.9817 # DEPENDENCYPART_ARC
(9,20),-2.15297 # DEPENDENCYPART_ARC
(9,23),-1.74569 # DEPENDENCYPART_ARC
(11,2),-2.26582 # DEPENDENCYPART_ARC
(11,8),-1.00254 # DEPENDENCYPART_ARC
(11,9),-0.940641 # DEPENDENCYPART_ARC
(11,10),-0.184786 # DEPENDENCYPART_ARC
(11,12),-0.0741716 # DEPENDENCYPART_ARC
(11,13),-1.1881 # DEPENDENCYPART_ARC
(11,14),-1.52655 # DEPENDENCYPART_ARC
(11,15),-1.21286 # DEPENDENCYPART_ARC
(11,16),-1.67087 # DEPENDENCYPART_ARC
(11,18),-1.50168 # DEPENDENCYPART_ARC
(11,21),-2.18598 # DEPENDENCYPART_ARC
(12,1),-0.90442 # DEPENDENCYPART_ARC
(12,2),-1.00266 # DEPENDENCYPART_ARC
(12,3),-2.06355 # DEPENDENCYPART_ARC
(12,4),-1.45163 # DEPENDENCYPART_ARC
(12,5),-0.949464 # DEPENDENCYPART_ARC
(12,6),-1.33589 # DEPENDENCYPART_ARC
(12,7),-0.715144 # DEPENDENCYPART_ARC
(12,8),-1.47978 # DEPENDENCYPART_ARC
(12,9),-1.35934 # DEPENDENCYPART_ARC
(12,10),0.000266985 # DEPENDENCYPART_ARC
(12,11),1.01202 # DEPENDENCYPART_ARC
(12,13),0.659899 # DEPENDENCYPART_ARC
(12,14),-0.721924 # DEPENDENCYPART_ARC
(12,15),-0.427188 # DEPENDENCYPART_ARC
(12,16),-0.524493 # DEPENDENCYPART_ARC
(12,18),-1.43453 # DEPENDENCYPART_ARC
(12,20),-1.16261 # DEPENDENCYPART_ARC
(12,21),-1.81488 # DEPENDENCYPART_ARC
(12,22),-2.12295 # DEPENDENCYPART_ARC
(12,23),-2.13736 # DEPENDENCYPART_ARC
(12,30),-0.703714 # DEPENDENCYPART_ARC
(12,31),-0.477474 # DEPENDENCYPART_ARC
(13,14),-0.372261 # DEPENDENCYPART_ARC
(13,16),-1.6598 # DEPENDENCYPART_ARC
(13,18),-2.17123 # DEPENDENCYPART_ARC
(13,19),-1.96072 # DEPENDENCYPART_ARC
(14,16),-1.01619 # DEPENDENCYPART_ARC
(15,1),-2.08565 # DEPENDENCYPART_ARC
(15,2),-1.53775 # DEPENDENCYPART_ARC
(15,3),-2.28716 # DEPENDENCYPART_ARC
(15,4),-1.90459 # DEPENDENCYPART_ARC
(15,5),-1.88589 # DEPENDENCYPART_ARC
(15,6),-1.83747 # DEPENDENCYPART_ARC
(15,7),-1.52459 # DEPENDENCYPART_ARC
(15,8),-2.15224 # DEPENDENCYPART_ARC
(15,9),-2.00482 # DEPENDENCYPART_ARC
(15,10),-1.32794 # DEPENDENCYPART_ARC
(15,11),-1.1116 # DEPENDENCYPART_ARC
(15,12),-1.30898 # DEPENDENCYPART_ARC
(15,13),-0.269922 # DEPENDENCYPART_ARC
(15,14),0.788577 # DEPENDENCYPART_ARC
(15,16),1.31599 # DEPENDENCYPART_ARC
(15,18),-1.351 # DEPENDENCYPART_ARC
(15,20),-1.71977 # DEPENDENCYPART_ARC
(15,22),-1.87564 # DEPENDENCYPART_ARC
(15,23),-2.28676 # DEPENDENCYPART_ARC
(15,30),-0.67347 # DEPENDENCYPART_ARC
(15,31),-1.45488 # DEPENDENCYPART_ARC
(16,4),-2.70684 # DEPENDENCYPART_ARC
(16,5),-1.99678 # DEPENDENCYPART_ARC
(16,7),-2.08247 # DEPENDENCYPART_ARC
(16,10),-2.35347 # DEPENDENCYPART_ARC
(16,11),-1.84119 # DEPENDENCYPART_ARC
(16,12),-2.03685 # DEPENDENCYPART_ARC
(16,13),-1.13774 # DEPENDENCYPART_ARC
(16,14),-1.21573 # DEPENDENCYPART_ARC
(16,15),-0.742561 # DEPENDENCYPART_ARC
(16,17),0.265882 # DEPENDENCYPART_ARC
(16,18),0.141144 # DEPENDENCYPART_ARC
(16,19),-0.507373 # DEPENDENCYPART_ARC
(16,20),-0.936977 # DEPENDENCYPART_ARC
(16,21),-1.49013 # DEPENDENCYPART_ARC
(16,22),-1.62617 # DEPENDENCYPART_ARC
(16,23),-1.67226 # DEPENDENCYPART_ARC
(16,26),-1.72148 # DEPENDENCYPART_ARC
(16,27),-2.2665 # DEPENDENCYPART_ARC
(16,29),-2.06804 # DEPENDENCYPART_ARC
(16,30),-0.96816 # DEPENDENCYPART_ARC
(16,31),-0.859138 # DEPENDENCYPART_ARC
(18,1),-2.41119 # DEPENDENCYPART_ARC
(18,13),-1.67743 # DEPENDENCYPART_ARC
(18,17),0.923707 # DEPENDENCYPART_ARC
(18,19),-0.420496 # DEPENDENCYPART_ARC
(18,20),-1.7844 # DEPENDENCYPART_ARC
(18,21),-2.01626 # DEPENDENCYPART_ARC
(18,22),-2.00711 # DEPENDENCYPART_ARC
(18,23),-2.15318 # DEPENDENCYPART_ARC
(18,26),-1.99609 # DEPENDENCYPART_ARC
(18,27),-2.51249 # DEPENDENCYPART_ARC
(18,29),-2.14282 # DEPENDENCYPART_ARC
(18,31),-1.72965 # DEPENDENCYPART_ARC
(19,18),-0.0730748 # DEPENDENCYPART_ARC
(19,22),-1.61304 # DEPENDENCYPART_ARC
(19,23),-1.7445 # DEPENDENCYPART_ARC
(19,27),-1.99425 # DEPENDENCYPART_ARC
(22,9),-1.92745 # DEPENDENCYPART_ARC
