# _root_ Nearby Paul Craig Roberts , a distinguished supply-sider with monetarist sympathies , argues the case for Sir Alan .
#goldHeads=13,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
#predictedHeads=4,4,4,13,4,8,8,4,8,11,9,4,0,15,13,15,18,16,13,
(0,1),-1.59053 # DEPENDENCYPART_ARC
(0,4),-2.83127 # DEPENDENCYPART_ARC
(0,7),-2.31783 # DEPENDENCYPART_ARC
(0,8),-3.76501 # DEPENDENCYPART_ARC
(0,13),-2.32661 # DEPENDENCYPART_ARC
(1,2),-0.457747 # DEPENDENCYPART_ARC
(1,3),-1.26325 # DEPENDENCYPART_ARC
(1,4),-1.50948 # DEPENDENCYPART_ARC
(1,5),-1.31427 # DEPENDENCYPART_ARC
(1,7),-1.86218 # DEPENDENCYPART_ARC
(1,8),-2.2612 # DEPENDENCYPART_ARC
(2,1),-0.450421 # DEPENDENCYPART_ARC
(2,3),-0.468887 # DEPENDENCYPART_ARC
(2,4),-1.52278 # DEPENDENCYPART_ARC
(2,5),-1.53347 # DEPENDENCYPART_ARC
(2,7),-1.94552 # DEPENDENCYPART_ARC
(2,8),-2.26653 # DEPENDENCYPART_ARC
(2,9),-2.11141 # DEPENDENCYPART_ARC
(2,11),-2.51926 # DEPENDENCYPART_ARC
(2,12),-1.95526 # DEPENDENCYPART_ARC
(2,19),-2.33464 # DEPENDENCYPART_ARC
(3,1),-1.19342 # DEPENDENCYPART_ARC
(3,2),0.0646502 # DEPENDENCYPART_ARC
(3,4),-0.744929 # DEPENDENCYPART_ARC
(3,5),-1.35639 # DEPENDENCYPART_ARC
(3,7),-2.11428 # DEPENDENCYPART_ARC
(3,8),-2.13921 # DEPENDENCYPART_ARC
(3,9),-2.28573 # DEPENDENCYPART_ARC
(3,11),-2.61643 # DEPENDENCYPART_ARC
(3,12),-1.93797 # DEPENDENCYPART_ARC
(4,1),-0.635594 # DEPENDENCYPART_ARC
(4,2),0.444861 # DEPENDENCYPART_ARC
(4,3),1.45672 # DEPENDENCYPART_ARC
(4,5),0.46941 # DEPENDENCYPART_ARC
(4,7),-1.84029 # DEPENDENCYPART_ARC
(4,8),-1.52875 # DEPENDENCYPART_ARC
(4,9),-1.95832 # DEPENDENCYPART_ARC
(4,11),-1.8661 # DEPENDENCYPART_ARC
(4,12),-1.11709 # DEPENDENCYPART_ARC
(4,13),-2.10307 # DEPENDENCYPART_ARC
(4,15),-1.87759 # DEPENDENCYPART_ARC
(4,16),-1.84907 # DEPENDENCYPART_ARC
(4,18),-2.16703 # DEPENDENCYPART_ARC
(4,19),-2.11442 # DEPENDENCYPART_ARC
(6,5),0.124506 # DEPENDENCYPART_ARC
(6,7),-0.224439 # DEPENDENCYPART_ARC
(6,9),-1.29164 # DEPENDENCYPART_ARC
(7,1),-2.36065 # DEPENDENCYPART_ARC
(7,4),-2.49551 # DEPENDENCYPART_ARC
(7,5),-0.998015 # DEPENDENCYPART_ARC
(7,6),-0.440424 # DEPENDENCYPART_ARC
(7,8),0.18371 # DEPENDENCYPART_ARC
(7,9),-0.699067 # DEPENDENCYPART_ARC
(7,10),-1.49636 # DEPENDENCYPART_ARC
(7,11),-1.37222 # DEPENDENCYPART_ARC
(7,12),-1.56703 # DEPENDENCYPART_ARC
(7,13),-1.95106 # DEPENDENCYPART_ARC
(7,16),-2.45567 # DEPENDENCYPART_ARC
(7,19),-1.30983 # DEPENDENCYPART_ARC
(8,1),-2.06004 # DEPENDENCYPART_ARC
(8,2),-2.1029 # DEPENDENCYPART_ARC
(8,3),-1.70011 # DEPENDENCYPART_ARC
(8,4),-1.9911 # DEPENDENCYPART_ARC
(8,5),-1.44689 # DEPENDENCYPART_ARC
(8,6),0.0478509 # DEPENDENCYPART_ARC
(8,7),1.04837 # DEPENDENCYPART_ARC
(8,9),0.534608 # DEPENDENCYPART_ARC
(8,10),-1.01563 # DEPENDENCYPART_ARC
(8,11),-1.47981 # DEPENDENCYPART_ARC
(8,12),-1.55863 # DEPENDENCYPART_ARC
(8,13),-1.79903 # DEPENDENCYPART_ARC
(8,15),-1.87757 # DEPENDENCYPART_ARC
(8,16),-1.70399 # DEPENDENCYPART_ARC
(8,19),-2.09046 # DEPENDENCYPART_ARC
(9,8),-0.554847 # DEPENDENCYPART_ARC
(9,10),0.116098 # DEPENDENCYPART_ARC
(9,11),-0.343911 # DEPENDENCYPART_ARC
(9,12),-1.31489 # DEPENDENCYPART_ARC
(9,13),-1.66333 # DEPENDENCYPART_ARC
(9,15),-3.01818 # DEPENDENCYPART_ARC
(9,16),-1.79991 # DEPENDENCYPART_ARC
(10,6),-2.52951 # DEPENDENCYPART_ARC
(10,7),-1.74859 # DEPENDENCYPART_ARC
(10,8),-1.43097 # DEPENDENCYPART_ARC
(10,9),-0.585228 # DEPENDENCYPART_ARC
(10,11),-0.600104 # DEPENDENCYPART_ARC
(10,12),-1.50821 # DEPENDENCYPART_ARC
(10,13),-1.83996 # DEPENDENCYPART_ARC
(10,15),-2.07724 # DEPENDENCYPART_ARC
(11,2),-2.01898 # DEPENDENCYPART_ARC
(11,4),-2.54637 # DEPENDENCYPART_ARC
(11,5),-1.79141 # DEPENDENCYPART_ARC
(11,6),-1.33916 # DEPENDENCYPART_ARC
(11,7),-0.649478 # DEPENDENCYPART_ARC
(11,8),-0.505397 # DEPENDENCYPART_ARC
(11,9),-0.683682 # DEPENDENCYPART_ARC
(11,10),2.05866 # DEPENDENCYPART_ARC
(11,12),0.242054 # DEPENDENCYPART_ARC
(11,13),-1.70883 # DEPENDENCYPART_ARC
(11,15),-1.69795 # DEPENDENCYPART_ARC
(11,16),-2.03421 # DEPENDENCYPART_ARC
(11,18),-2.06372 # DEPENDENCYPART_ARC
(11,19),-2.20655 # DEPENDENCYPART_ARC
(13,1),-1.03267 # DEPENDENCYPART_ARC
(13,2),-1.02017 # DEPENDENCYPART_ARC
(13,3),-0.844369 # DEPENDENCYPART_ARC
(13,4),-0.645356 # DEPENDENCYPART_ARC
(13,5),-1.70214 # DEPENDENCYPART_ARC
(13,6),-1.85063 # DEPENDENCYPART_ARC
(13,7),-1.28098 # DEPENDENCYPART_ARC
(13,8),-1.66183 # DEPENDENCYPART_ARC
(13,9),-0.901606 # DEPENDENCYPART_ARC
(13,10),-1.56601 # DEPENDENCYPART_ARC
(13,11),-1.21979 # DEPENDENCYPART_ARC
(13,12),0.662406 # DEPENDENCYPART_ARC
(13,14),0.4031 # DEPENDENCYPART_ARC
(13,15),0.540703 # DEPENDENCYPART_ARC
(13,16),-0.46896 # DEPENDENCYPART_ARC
(13,17),-0.540926 # DEPENDENCYPART_ARC
(13,18),-0.32737 # DEPENDENCYPART_ARC
(13,19),0.644553 # DEPENDENCYPART_ARC
(14,16),-1.24565 # DEPENDENCYPART_ARC
(15,6),-2.77318 # DEPENDENCYPART_ARC
(15,9),-2.31279 # DEPENDENCYPART_ARC
(15,11),-2.42029 # DEPENDENCYPART_ARC
(15,12),-1.80395 # DEPENDENCYPART_ARC
(15,14),1.29723 # DEPENDENCYPART_ARC
(15,16),0.294141 # DEPENDENCYPART_ARC
(15,17),-1.10329 # DEPENDENCYPART_ARC
(15,18),-1.61101 # DEPENDENCYPART_ARC
(15,19),-1.26523 # DEPENDENCYPART_ARC
(16,15),-0.595509 # DEPENDENCYPART_ARC
(16,17),0.21414 # DEPENDENCYPART_ARC
(16,18),-0.260148 # DEPENDENCYPART_ARC
(16,19),-1.43639 # DEPENDENCYPART_ARC
(17,18),-0.673156 # DEPENDENCYPART_ARC
(17,19),-1.26039 # DEPENDENCYPART_ARC
(18,14),-1.16939 # DEPENDENCYPART_ARC
(18,15),-1.17008 # DEPENDENCYPART_ARC
(18,16),-1.14872 # DEPENDENCYPART_ARC
(18,17),1.4546 # DEPENDENCYPART_ARC
(18,19),-0.301672 # DEPENDENCYPART_ARC
(19,16),-1.06089 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.0133166 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0660424 # DEPENDENCYPART_SIBL
(0,1),(0,8),-0.0133166 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0660426 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.101478 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0506223 # DEPENDENCYPART_SIBL
(0,4),(0,13),-0.102405 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.0603381 # DEPENDENCYPART_SIBL
(0,7),(0,13),-0.16462 # DEPENDENCYPART_SIBL
(0,8),(0,13),-0.102405 # DEPENDENCYPART_SIBL
