# _root_ FAST-FOOD chicken chains , faced with a worsening business slump , are struggling to hatch some new marketing strategies .
#goldHeads=3,3,12,3,3,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
#predictedHeads=3,3,12,3,3,5,10,10,10,6,3,0,12,13,14,19,19,19,15,12,
(0,3),-3.68136 # DEPENDENCYPART_ARC
(0,5),-3.47323 # DEPENDENCYPART_ARC
(0,12),-1.24689 # DEPENDENCYPART_ARC
(1,2),-0.916564 # DEPENDENCYPART_ARC
(1,4),-1.3178 # DEPENDENCYPART_ARC
(1,5),-1.71236 # DEPENDENCYPART_ARC
(1,6),-1.55772 # DEPENDENCYPART_ARC
(1,11),-1.74326 # DEPENDENCYPART_ARC
(2,1),-0.19339 # DEPENDENCYPART_ARC
(2,4),-1.66507 # DEPENDENCYPART_ARC
(2,5),-1.59595 # DEPENDENCYPART_ARC
(2,6),-1.51973 # DEPENDENCYPART_ARC
(2,8),-1.94564 # DEPENDENCYPART_ARC
(2,10),-2.48545 # DEPENDENCYPART_ARC
(2,11),-1.68678 # DEPENDENCYPART_ARC
(3,1),1.4772 # DEPENDENCYPART_ARC
(3,2),2.2129 # DEPENDENCYPART_ARC
(3,4),-0.340233 # DEPENDENCYPART_ARC
(3,5),-0.93941 # DEPENDENCYPART_ARC
(3,6),-1.0767 # DEPENDENCYPART_ARC
(3,8),-1.5769 # DEPENDENCYPART_ARC
(3,10),-2.03368 # DEPENDENCYPART_ARC
(3,11),-0.5942 # DEPENDENCYPART_ARC
(3,12),-2.50797 # DEPENDENCYPART_ARC
(3,13),-2.06845 # DEPENDENCYPART_ARC
(3,19),-2.95149 # DEPENDENCYPART_ARC
(3,20),-3.31987 # DEPENDENCYPART_ARC
(4,5),-1.85374 # DEPENDENCYPART_ARC
(5,1),-1.76635 # DEPENDENCYPART_ARC
(5,2),-1.47876 # DEPENDENCYPART_ARC
(5,3),-1.85953 # DEPENDENCYPART_ARC
(5,4),-1.53787 # DEPENDENCYPART_ARC
(5,6),1.54122 # DEPENDENCYPART_ARC
(5,7),-1.43347 # DEPENDENCYPART_ARC
(5,8),-0.670469 # DEPENDENCYPART_ARC
(5,9),-0.796206 # DEPENDENCYPART_ARC
(5,10),-0.595057 # DEPENDENCYPART_ARC
(5,11),-1.1525 # DEPENDENCYPART_ARC
(5,12),-1.38011 # DEPENDENCYPART_ARC
(5,13),-1.16388 # DEPENDENCYPART_ARC
(5,14),-0.977848 # DEPENDENCYPART_ARC
(5,20),-1.77238 # DEPENDENCYPART_ARC
(6,3),-1.89055 # DEPENDENCYPART_ARC
(6,4),-2.23413 # DEPENDENCYPART_ARC
(6,7),-1.04148 # DEPENDENCYPART_ARC
(6,8),-0.348086 # DEPENDENCYPART_ARC
(6,9),-1.18674 # DEPENDENCYPART_ARC
(6,10),-0.301949 # DEPENDENCYPART_ARC
(6,11),-1.74646 # DEPENDENCYPART_ARC
(6,12),-1.09471 # DEPENDENCYPART_ARC
(6,13),-1.21215 # DEPENDENCYPART_ARC
(6,14),-2.43988 # DEPENDENCYPART_ARC
(6,19),-2.74585 # DEPENDENCYPART_ARC
(6,20),-2.7102 # DEPENDENCYPART_ARC
(7,8),-1.06572 # DEPENDENCYPART_ARC
(7,12),-1.69792 # DEPENDENCYPART_ARC
(8,3),-2.12597 # DEPENDENCYPART_ARC
(8,4),-2.01393 # DEPENDENCYPART_ARC
(8,7),-1.20512 # DEPENDENCYPART_ARC
(8,9),-0.618191 # DEPENDENCYPART_ARC
(8,10),-0.62626 # DEPENDENCYPART_ARC
(8,11),-1.44664 # DEPENDENCYPART_ARC
(8,12),-1.63576 # DEPENDENCYPART_ARC
(8,13),-1.61236 # DEPENDENCYPART_ARC
(8,14),-1.34082 # DEPENDENCYPART_ARC
(8,19),-2.45626 # DEPENDENCYPART_ARC
(9,7),-0.215945 # DEPENDENCYPART_ARC
(9,8),-0.410732 # DEPENDENCYPART_ARC
(9,12),-1.71088 # DEPENDENCYPART_ARC
(9,13),-2.30339 # DEPENDENCYPART_ARC
(10,3),-1.72234 # DEPENDENCYPART_ARC
(10,4),-2.54651 # DEPENDENCYPART_ARC
(10,5),-1.30803 # DEPENDENCYPART_ARC
(10,6),-1.32072 # DEPENDENCYPART_ARC
(10,7),0.706737 # DEPENDENCYPART_ARC
(10,8),0.251271 # DEPENDENCYPART_ARC
(10,9),1.99561 # DEPENDENCYPART_ARC
(10,11),-0.681795 # DEPENDENCYPART_ARC
(10,12),-1.46245 # DEPENDENCYPART_ARC
(10,13),-1.73043 # DEPENDENCYPART_ARC
(10,14),-1.65866 # DEPENDENCYPART_ARC
(10,19),-2.36558 # DEPENDENCYPART_ARC
(10,20),-2.28438 # DEPENDENCYPART_ARC
(12,1),-2.00359 # DEPENDENCYPART_ARC
(12,2),-1.91747 # DEPENDENCYPART_ARC
(12,3),-0.37833 # DEPENDENCYPART_ARC
