# _root_ While profitable , it `` was n't growing and was n't providing a satisfactory return on invested capital , '' he says .
#goldHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,6,6,22,0,22,
#predictedHeads=6,1,6,6,6,22,6,6,6,9,10,10,15,15,12,15,18,16,22,22,22,0,22,
(0,6),-2.1578 # DEPENDENCYPART_ARC
(0,22),1.58452 # DEPENDENCYPART_ARC
(1,2),-0.0358002 # DEPENDENCYPART_ARC
(1,3),-1.18872 # DEPENDENCYPART_ARC
(1,4),-1.46161 # DEPENDENCYPART_ARC
(1,5),-1.50947 # DEPENDENCYPART_ARC
(1,6),0.2678 # DEPENDENCYPART_ARC
(1,7),-2.17953 # DEPENDENCYPART_ARC
(1,8),-1.68936 # DEPENDENCYPART_ARC
(1,9),-1.82845 # DEPENDENCYPART_ARC
(1,10),-0.838831 # DEPENDENCYPART_ARC
(1,12),-1.77433 # DEPENDENCYPART_ARC
(1,19),-1.90445 # DEPENDENCYPART_ARC
(1,23),-1.78164 # DEPENDENCYPART_ARC
(2,1),-0.86367 # DEPENDENCYPART_ARC
(2,3),-0.769445 # DEPENDENCYPART_ARC
(2,4),-1.33327 # DEPENDENCYPART_ARC
(2,5),-1.76128 # DEPENDENCYPART_ARC
(2,6),-1.31811 # DEPENDENCYPART_ARC
(2,7),-1.86318 # DEPENDENCYPART_ARC
(2,8),-1.83126 # DEPENDENCYPART_ARC
(2,9),-1.76589 # DEPENDENCYPART_ARC
(2,10),-1.8266 # DEPENDENCYPART_ARC
(2,12),-2.09082 # DEPENDENCYPART_ARC
(3,1),-2.60059 # DEPENDENCYPART_ARC
(3,2),-2.20192 # DEPENDENCYPART_ARC
(3,4),-1.76004 # DEPENDENCYPART_ARC
(4,1),-2.33019 # DEPENDENCYPART_ARC
(4,2),-2.51024 # DEPENDENCYPART_ARC
(4,3),-1.26946 # DEPENDENCYPART_ARC
(4,5),-1.19075 # DEPENDENCYPART_ARC
(4,6),-1.19934 # DEPENDENCYPART_ARC
(4,7),-1.90388 # DEPENDENCYPART_ARC
(4,8),-2.05792 # DEPENDENCYPART_ARC
(4,9),-1.42309 # DEPENDENCYPART_ARC
(4,10),-1.8959 # DEPENDENCYPART_ARC
(5,1),-2.7479 # DEPENDENCYPART_ARC
(5,2),-2.74234 # DEPENDENCYPART_ARC
(5,3),-2.5378 # DEPENDENCYPART_ARC
(5,4),-1.7625 # DEPENDENCYPART_ARC
(5,6),-1.75422 # DEPENDENCYPART_ARC
(6,1),-0.911487 # DEPENDENCYPART_ARC
(6,2),-1.79854 # DEPENDENCYPART_ARC
(6,3),-0.574059 # DEPENDENCYPART_ARC
(6,4),0.10762 # DEPENDENCYPART_ARC
(6,5),0.414381 # DEPENDENCYPART_ARC
(6,7),1.50222 # DEPENDENCYPART_ARC
(6,8),0.799829 # DEPENDENCYPART_ARC
(6,9),0.448149 # DEPENDENCYPART_ARC
(6,10),-0.361457 # DEPENDENCYPART_ARC
(6,11),-0.308744 # DEPENDENCYPART_ARC
(6,12),-0.331571 # DEPENDENCYPART_ARC
(6,14),-1.47176 # DEPENDENCYPART_ARC
(6,15),-1.04964 # DEPENDENCYPART_ARC
(6,16),-0.993378 # DEPENDENCYPART_ARC
(6,17),-1.16851 # DEPENDENCYPART_ARC
(6,18),-2.01582 # DEPENDENCYPART_ARC
(6,19),-1.28607 # DEPENDENCYPART_ARC
(6,20),-0.501409 # DEPENDENCYPART_ARC
(6,21),-2.1531 # DEPENDENCYPART_ARC
(6,22),-1.12263 # DEPENDENCYPART_ARC
(6,23),-0.565177 # DEPENDENCYPART_ARC
(7,1),-1.83974 # DEPENDENCYPART_ARC
(7,3),-2.30308 # DEPENDENCYPART_ARC
(7,4),-2.85849 # DEPENDENCYPART_ARC
(7,5),-2.07313 # DEPENDENCYPART_ARC
(7,8),-1.35865 # DEPENDENCYPART_ARC
(7,9),-1.63757 # DEPENDENCYPART_ARC
(7,10),-1.68253 # DEPENDENCYPART_ARC
(7,11),-2.49919 # DEPENDENCYPART_ARC
(8,1),-1.63407 # DEPENDENCYPART_ARC
(8,2),-2.49799 # DEPENDENCYPART_ARC
(8,3),-1.97721 # DEPENDENCYPART_ARC
(8,4),-2.26562 # DEPENDENCYPART_ARC
(8,5),-1.30862 # DEPENDENCYPART_ARC
(8,6),-1.71324 # DEPENDENCYPART_ARC
(8,7),-0.124734 # DEPENDENCYPART_ARC
(8,9),0.466892 # DEPENDENCYPART_ARC
(8,10),-0.0298231 # DEPENDENCYPART_ARC
(8,11),-0.583231 # DEPENDENCYPART_ARC
(8,12),-0.916544 # DEPENDENCYPART_ARC
(8,15),-0.946339 # DEPENDENCYPART_ARC
(8,16),-0.851219 # DEPENDENCYPART_ARC
(8,17),-1.52206 # DEPENDENCYPART_ARC
(8,18),-1.35223 # DEPENDENCYPART_ARC
(8,19),-1.14522 # DEPENDENCYPART_ARC
(8,20),-1.18597 # DEPENDENCYPART_ARC
(8,21),-1.77352 # DEPENDENCYPART_ARC
(8,22),-1.93125 # DEPENDENCYPART_ARC
(8,23),-2.37762 # DEPENDENCYPART_ARC
(9,7),-2.08233 # DEPENDENCYPART_ARC
(9,8),-1.09015 # DEPENDENCYPART_ARC
(9,10),1.79048 # DEPENDENCYPART_ARC
(9,11),-1.47902 # DEPENDENCYPART_ARC
(9,12),-1.34272 # DEPENDENCYPART_ARC
(9,15),-2.03891 # DEPENDENCYPART_ARC
(9,17),-2.03025 # DEPENDENCYPART_ARC
(9,22),-1.60812 # DEPENDENCYPART_ARC
(10,1),-1.38283 # DEPENDENCYPART_ARC
(10,2),-2.88577 # DEPENDENCYPART_ARC
(10,3),-2.84674 # DEPENDENCYPART_ARC
(10,4),-2.50383 # DEPENDENCYPART_ARC
(10,5),-1.86503 # DEPENDENCYPART_ARC
(10,6),-2.59429 # DEPENDENCYPART_ARC
(10,7),-2.12362 # DEPENDENCYPART_ARC
(10,8),-1.79106 # DEPENDENCYPART_ARC
(10,9),-1.25512 # DEPENDENCYPART_ARC
(10,11),1.17305 # DEPENDENCYPART_ARC
(10,12),0.445957 # DEPENDENCYPART_ARC
(10,14),-1.23625 # DEPENDENCYPART_ARC
(10,15),-0.719326 # DEPENDENCYPART_ARC
(10,16),-0.632436 # DEPENDENCYPART_ARC
(10,17),-1.15576 # DEPENDENCYPART_ARC
(10,18),-1.77898 # DEPENDENCYPART_ARC
(10,19),-1.12626 # DEPENDENCYPART_ARC
(10,20),-0.833352 # DEPENDENCYPART_ARC
(10,21),-2.3415 # DEPENDENCYPART_ARC
(10,22),-1.27509 # DEPENDENCYPART_ARC
(10,23),-1.325 # DEPENDENCYPART_ARC
(11,12),-1.35474 # DEPENDENCYPART_ARC
(11,15),-2.40613 # DEPENDENCYPART_ARC
(11,16),-2.10514 # DEPENDENCYPART_ARC
(12,1),-2.16778 # DEPENDENCYPART_ARC
(12,2),-3.17355 # DEPENDENCYPART_ARC
(12,4),-3.27629 # DEPENDENCYPART_ARC
(12,6),-2.21242 # DEPENDENCYPART_ARC
(12,7),-1.86726 # DEPENDENCYPART_ARC
(12,8),-2.04675 # DEPENDENCYPART_ARC
(12,9),-1.96747 # DEPENDENCYPART_ARC
(12,10),-2.12001 # DEPENDENCYPART_ARC
(12,11),-0.515433 # DEPENDENCYPART_ARC
(12,13),-0.383368 # DEPENDENCYPART_ARC
(12,14),-0.266151 # DEPENDENCYPART_ARC
(12,15),0.634718 # DEPENDENCYPART_ARC
(12,16),0.119846 # DEPENDENCYPART_ARC
