# _root_ Trade Representative Carla Hills , who along with Agriculture Secretary Clayton Yeutter unveiled the proposal , said she is confident it will gain considerable support from the U.S. 's trading partners .
#goldHeads=4,4,4,17,4,13,13,7,12,12,12,8,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
#predictedHeads=4,4,4,17,4,13,13,7,12,12,12,13,4,15,13,4,0,19,17,19,22,20,22,25,23,25,28,31,28,31,26,17,
(0,4),-2.96895 # DEPENDENCYPART_ARC
(0,13),-1.9094 # DEPENDENCYPART_ARC
(0,17),0.278449 # DEPENDENCYPART_ARC
(0,19),-2.44357 # DEPENDENCYPART_ARC
(0,22),-3.36962 # DEPENDENCYPART_ARC
(1,2),-0.550647 # DEPENDENCYPART_ARC
(1,3),-1.42721 # DEPENDENCYPART_ARC
(1,4),-1.87905 # DEPENDENCYPART_ARC
(1,5),-1.70713 # DEPENDENCYPART_ARC
(1,7),-2.08789 # DEPENDENCYPART_ARC
(1,8),-2.19432 # DEPENDENCYPART_ARC
(1,13),-1.98465 # DEPENDENCYPART_ARC
(1,16),-1.88678 # DEPENDENCYPART_ARC
(1,19),-1.97377 # DEPENDENCYPART_ARC
(2,1),0.0440532 # DEPENDENCYPART_ARC
(2,3),-0.546744 # DEPENDENCYPART_ARC
(2,4),-1.63754 # DEPENDENCYPART_ARC
(2,5),-1.73145 # DEPENDENCYPART_ARC
(2,7),-2.48886 # DEPENDENCYPART_ARC
(2,8),-2.57084 # DEPENDENCYPART_ARC
(2,12),-2.67542 # DEPENDENCYPART_ARC
(2,13),-2.22794 # DEPENDENCYPART_ARC
(2,16),-2.27184 # DEPENDENCYPART_ARC
(3,1),-0.681034 # DEPENDENCYPART_ARC
(3,2),0.136833 # DEPENDENCYPART_ARC
(3,4),-0.813363 # DEPENDENCYPART_ARC
(3,5),-1.67061 # DEPENDENCYPART_ARC
(3,16),-2.35171 # DEPENDENCYPART_ARC
(4,1),-0.0240078 # DEPENDENCYPART_ARC
(4,2),0.339219 # DEPENDENCYPART_ARC
(4,3),1.43126 # DEPENDENCYPART_ARC
(4,5),0.625153 # DEPENDENCYPART_ARC
(4,7),-1.93886 # DEPENDENCYPART_ARC
(4,8),-2.0744 # DEPENDENCYPART_ARC
(4,9),-1.92905 # DEPENDENCYPART_ARC
(4,10),-1.9171 # DEPENDENCYPART_ARC
(4,11),-2.01109 # DEPENDENCYPART_ARC
(4,12),-2.20991 # DEPENDENCYPART_ARC
(4,13),-2.02184 # DEPENDENCYPART_ARC
(4,15),-2.31454 # DEPENDENCYPART_ARC
(4,16),-1.21076 # DEPENDENCYPART_ARC
(4,17),-2.16384 # DEPENDENCYPART_ARC
(4,19),-2.16284 # DEPENDENCYPART_ARC
(4,26),-2.14423 # DEPENDENCYPART_ARC
(4,32),-2.16331 # DEPENDENCYPART_ARC
(5,7),-1.43095 # DEPENDENCYPART_ARC
(6,7),-0.0987514 # DEPENDENCYPART_ARC
(6,8),-0.986426 # DEPENDENCYPART_ARC
(7,5),-1.85961 # DEPENDENCYPART_ARC
(7,6),-0.588876 # DEPENDENCYPART_ARC
(7,8),0.136307 # DEPENDENCYPART_ARC
(7,9),-0.657477 # DEPENDENCYPART_ARC
(7,10),-1.30234 # DEPENDENCYPART_ARC
(7,11),-1.5936 # DEPENDENCYPART_ARC
(7,12),-1.70163 # DEPENDENCYPART_ARC
(7,13),-1.23986 # DEPENDENCYPART_ARC
(7,15),-2.71049 # DEPENDENCYPART_ARC
(7,17),-2.3109 # DEPENDENCYPART_ARC
(7,22),-2.14164 # DEPENDENCYPART_ARC
(8,6),-1.6109 # DEPENDENCYPART_ARC
(8,7),-0.60216 # DEPENDENCYPART_ARC
(8,9),-0.0794294 # DEPENDENCYPART_ARC
(8,10),-0.927206 # DEPENDENCYPART_ARC
(8,11),-1.71777 # DEPENDENCYPART_ARC
(8,12),-1.77661 # DEPENDENCYPART_ARC
(8,13),-0.98729 # DEPENDENCYPART_ARC
(8,15),-2.8543 # DEPENDENCYPART_ARC
(8,17),-1.92017 # DEPENDENCYPART_ARC
(8,19),-2.0606 # DEPENDENCYPART_ARC
(9,6),-2.9821 # DEPENDENCYPART_ARC
(9,10),-0.570195 # DEPENDENCYPART_ARC
(9,11),-1.50302 # DEPENDENCYPART_ARC
(10,6),-2.70533 # DEPENDENCYPART_ARC
(10,8),-2.31373 # DEPENDENCYPART_ARC
(10,9),-0.148594 # DEPENDENCYPART_ARC
(10,11),-0.553166 # DEPENDENCYPART_ARC
(11,6),-2.42223 # DEPENDENCYPART_ARC
(11,9),-0.71487 # DEPENDENCYPART_ARC
(11,10),0.172779 # DEPENDENCYPART_ARC
(11,12),-0.669041 # DEPENDENCYPART_ARC
(11,15),-2.00322 # DEPENDENCYPART_ARC
(12,1),-1.97379 # DEPENDENCYPART_ARC
(12,2),-2.06195 # DEPENDENCYPART_ARC
(12,3),-2.03149 # DEPENDENCYPART_ARC
(12,4),-2.66502 # DEPENDENCYPART_ARC
(12,6),-1.79352 # DEPENDENCYPART_ARC
(12,9),0.212547 # DEPENDENCYPART_ARC
(12,10),0.61786 # DEPENDENCYPART_ARC
(12,11),1.63922 # DEPENDENCYPART_ARC
(12,13),-0.619896 # DEPENDENCYPART_ARC
(12,15),-1.61972 # DEPENDENCYPART_ARC
(12,16),-1.90555 # DEPENDENCYPART_ARC
(12,17),-2.69483 # DEPENDENCYPART_ARC
(13,1),-2.10312 # DEPENDENCYPART_ARC
(13,2),-2.19466 # DEPENDENCYPART_ARC
(13,3),-2.08504 # DEPENDENCYPART_ARC
(13,4),-2.0191 # DEPENDENCYPART_ARC
(13,5),-1.3346 # DEPENDENCYPART_ARC
(13,6),-0.621301 # DEPENDENCYPART_ARC
(13,7),-0.236569 # DEPENDENCYPART_ARC
(13,8),-0.123203 # DEPENDENCYPART_ARC
(13,9),-0.606199 # DEPENDENCYPART_ARC
(13,10),-0.768503 # DEPENDENCYPART_ARC
(13,11),-0.560964 # DEPENDENCYPART_ARC
(13,12),0.746843 # DEPENDENCYPART_ARC
(13,14),0.185282 # DEPENDENCYPART_ARC
(13,15),0.300779 # DEPENDENCYPART_ARC
(13,16),-0.557007 # DEPENDENCYPART_ARC
(13,17),-1.20163 # DEPENDENCYPART_ARC
(13,19),-1.56215 # DEPENDENCYPART_ARC
(13,20),-1.62834 # DEPENDENCYPART_ARC
(13,22),-1.56456 # DEPENDENCYPART_ARC
(13,23),-2.00967 # DEPENDENCYPART_ARC
(13,25),-1.4239 # DEPENDENCYPART_ARC
(13,26),-1.89464 # DEPENDENCYPART_ARC
(13,32),-0.652442 # DEPENDENCYPART_ARC
(14,17),-1.79806 # DEPENDENCYPART_ARC
(15,6),-1.79678 # DEPENDENCYPART_ARC
(15,9),-1.58975 # DEPENDENCYPART_ARC
(15,10),-0.999666 # DEPENDENCYPART_ARC
(15,11),-1.03881 # DEPENDENCYPART_ARC
(15,12),-1.20995 # DEPENDENCYPART_ARC
(15,14),1.21902 # DEPENDENCYPART_ARC
(15,16),-0.24052 # DEPENDENCYPART_ARC
(15,17),-1.8263 # DEPENDENCYPART_ARC
(15,19),-2.31523 # DEPENDENCYPART_ARC
(15,20),-2.24119 # DEPENDENCYPART_ARC
(15,22),-2.12714 # DEPENDENCYPART_ARC
(17,1),-1.59307 # DEPENDENCYPART_ARC
(17,2),-1.58265 # DEPENDENCYPART_ARC
(17,3),-1.50399 # DEPENDENCYPART_ARC
(17,4),-1.11505 # DEPENDENCYPART_ARC
(17,5),-2.25228 # DEPENDENCYPART_ARC
(17,6),-1.44939 # DEPENDENCYPART_ARC
(17,7),-1.21621 # DEPENDENCYPART_ARC
(17,8),-1.32245 # DEPENDENCYPART_ARC
(17,9),-2.21019 # DEPENDENCYPART_ARC
(17,10),-2.43701 # DEPENDENCYPART_ARC
(17,11),-2.1355 # DEPENDENCYPART_ARC
(17,12),-1.91826 # DEPENDENCYPART_ARC
(17,13),-1.40118 # DEPENDENCYPART_ARC
(17,14),-1.59025 # DEPENDENCYPART_ARC
(17,15),-1.29398 # DEPENDENCYPART_ARC
(17,16),0.784213 # DEPENDENCYPART_ARC
(17,18),0.312367 # DEPENDENCYPART_ARC
(17,19),0.360148 # DEPENDENCYPART_ARC
(17,20),-0.885034 # DEPENDENCYPART_ARC
(17,22),-0.442198 # DEPENDENCYPART_ARC
(17,23),-0.859436 # DEPENDENCYPART_ARC
(17,25),-1.16288 # DEPENDENCYPART_ARC
(17,26),-1.23713 # DEPENDENCYPART_ARC
(17,32),0.504933 # DEPENDENCYPART_ARC
(18,19),-0.489864 # DEPENDENCYPART_ARC
(18,22),-1.66582 # DEPENDENCYPART_ARC
(19,1),-1.42536 # DEPENDENCYPART_ARC
(19,2),-1.62106 # DEPENDENCYPART_ARC
(19,3),-1.66251 # DEPENDENCYPART_ARC
(19,4),-1.57784 # DEPENDENCYPART_ARC
(19,5),-3.00764 # DEPENDENCYPART_ARC
(19,7),-1.7042 # DEPENDENCYPART_ARC
(19,8),-1.24331 # DEPENDENCYPART_ARC
(19,12),-2.50718 # DEPENDENCYPART_ARC
(19,13),-1.68691 # DEPENDENCYPART_ARC
(19,15),-2.2293 # DEPENDENCYPART_ARC
(19,16),-1.54215 # DEPENDENCYPART_ARC
(19,17),-1.32082 # DEPENDENCYPART_ARC
(19,18),0.824772 # DEPENDENCYPART_ARC
(19,20),0.628965 # DEPENDENCYPART_ARC
(19,21),-0.817504 # DEPENDENCYPART_ARC
(19,22),-0.68683 # DEPENDENCYPART_ARC
(19,23),-0.938134 # DEPENDENCYPART_ARC
(19,24),-1.49781 # DEPENDENCYPART_ARC
(19,25),-1.16106 # DEPENDENCYPART_ARC
(19,26),-1.35294 # DEPENDENCYPART_ARC
(19,32),-0.275962 # DEPENDENCYPART_ARC
(20,15),-1.85831 # DEPENDENCYPART_ARC
(20,18),-1.09191 # DEPENDENCYPART_ARC
(20,21),-0.0778176 # DEPENDENCYPART_ARC
(20,22),-0.758363 # DEPENDENCYPART_ARC
(20,23),-0.785345 # DEPENDENCYPART_ARC
(20,24),-1.13742 # DEPENDENCYPART_ARC
(20,25),-1.43955 # DEPENDENCYPART_ARC
(20,26),-1.41404 # DEPENDENCYPART_ARC
(21,22),-0.398947 # DEPENDENCYPART_ARC
(21,23),-1.10778 # DEPENDENCYPART_ARC
(21,25),-1.59563 # DEPENDENCYPART_ARC
(21,26),-1.62517 # DEPENDENCYPART_ARC
(22,1),-1.91425 # DEPENDENCYPART_ARC
(22,2),-1.91097 # DEPENDENCYPART_ARC
(22,3),-1.84303 # DEPENDENCYPART_ARC
(22,4),-1.73319 # DEPENDENCYPART_ARC
(22,5),-2.92386 # DEPENDENCYPART_ARC
(22,6),-1.72082 # DEPENDENCYPART_ARC
(22,7),-1.7924 # DEPENDENCYPART_ARC
(22,8),-1.75498 # DEPENDENCYPART_ARC
(22,9),-2.277 # DEPENDENCYPART_ARC
(22,10),-2.35944 # DEPENDENCYPART_ARC
(22,12),-2.14492 # DEPENDENCYPART_ARC
(22,13),-1.6118 # DEPENDENCYPART_ARC
(22,14),-2.0899 # DEPENDENCYPART_ARC
(22,15),-1.87261 # DEPENDENCYPART_ARC
(22,16),-1.54335 # DEPENDENCYPART_ARC
(22,17),-1.57111 # DEPENDENCYPART_ARC
(22,18),-1.28941 # DEPENDENCYPART_ARC
(22,19),-1.09807 # DEPENDENCYPART_ARC
(22,20),-0.696119 # DEPENDENCYPART_ARC
(22,21),0.915945 # DEPENDENCYPART_ARC
(22,23),1.44614 # DEPENDENCYPART_ARC
(22,24),-0.943848 # DEPENDENCYPART_ARC
(22,25),-1.24929 # DEPENDENCYPART_ARC
(22,26),-1.47883 # DEPENDENCYPART_ARC
(22,32),-0.385576 # DEPENDENCYPART_ARC
(23,4),-2.39334 # DEPENDENCYPART_ARC
(23,5),-3.26583 # DEPENDENCYPART_ARC
(23,18),-2.18372 # DEPENDENCYPART_ARC
(23,19),-1.89759 # DEPENDENCYPART_ARC
(23,20),-1.68189 # DEPENDENCYPART_ARC
(23,21),-1.10247 # DEPENDENCYPART_ARC
(23,22),-0.666856 # DEPENDENCYPART_ARC
(23,24),0.128876 # DEPENDENCYPART_ARC
(23,25),0.178918 # DEPENDENCYPART_ARC
