# _root_ Perhaps the shock would have been less if they 'd fixed to another low-tax , deregulated , supply-side economy .
#goldHeads=4,3,4,0,4,5,6,10,10,6,10,11,19,19,19,19,19,19,12,4,
#predictedHeads=4,3,4,0,4,5,6,10,10,7,10,11,14,12,6,19,19,19,6,4,
(0,1),-1.50533 # DEPENDENCYPART_ARC
(0,3),-2.38653 # DEPENDENCYPART_ARC
(0,4),-2.09774 # DEPENDENCYPART_ARC
(0,5),-2.19703 # DEPENDENCYPART_ARC
(0,6),-2.39891 # DEPENDENCYPART_ARC
(0,10),-2.86638 # DEPENDENCYPART_ARC
(0,11),-2.91119 # DEPENDENCYPART_ARC
(0,16),-3.59749 # DEPENDENCYPART_ARC
(1,2),0.0211592 # DEPENDENCYPART_ARC
(1,3),-0.953653 # DEPENDENCYPART_ARC
(1,4),-0.893809 # DEPENDENCYPART_ARC
(1,5),-1.06142 # DEPENDENCYPART_ARC
(1,8),-1.52623 # DEPENDENCYPART_ARC
(1,10),-1.23218 # DEPENDENCYPART_ARC
(2,1),-0.217719 # DEPENDENCYPART_ARC
(2,4),-1.27049 # DEPENDENCYPART_ARC
(2,5),-1.36263 # DEPENDENCYPART_ARC
(2,6),-1.66424 # DEPENDENCYPART_ARC
(3,1),-0.504883 # DEPENDENCYPART_ARC
(3,2),1.23433 # DEPENDENCYPART_ARC
(3,4),-0.638515 # DEPENDENCYPART_ARC
(3,5),-0.997393 # DEPENDENCYPART_ARC
(3,6),-1.52372 # DEPENDENCYPART_ARC
(3,7),-1.67719 # DEPENDENCYPART_ARC
(3,10),-1.61667 # DEPENDENCYPART_ARC
(3,12),-1.79085 # DEPENDENCYPART_ARC
(3,16),-2.67252 # DEPENDENCYPART_ARC
(4,1),-0.803473 # DEPENDENCYPART_ARC
(4,2),-0.738232 # DEPENDENCYPART_ARC
(4,3),0.984529 # DEPENDENCYPART_ARC
(4,5),1.65079 # DEPENDENCYPART_ARC
(4,6),-0.507436 # DEPENDENCYPART_ARC
(4,8),-1.46067 # DEPENDENCYPART_ARC
(4,10),-1.27602 # DEPENDENCYPART_ARC
(4,11),-1.48262 # DEPENDENCYPART_ARC
(4,15),-1.52282 # DEPENDENCYPART_ARC
(4,17),-1.90678 # DEPENDENCYPART_ARC
(4,20),-0.486433 # DEPENDENCYPART_ARC
(5,1),-1.58099 # DEPENDENCYPART_ARC
(5,3),-1.36527 # DEPENDENCYPART_ARC
(5,4),-0.771869 # DEPENDENCYPART_ARC
(5,6),1.17506 # DEPENDENCYPART_ARC
(5,7),-0.991062 # DEPENDENCYPART_ARC
(5,8),-1.39337 # DEPENDENCYPART_ARC
(5,9),-1.55651 # DEPENDENCYPART_ARC
(5,10),-1.22971 # DEPENDENCYPART_ARC
(5,11),-0.806483 # DEPENDENCYPART_ARC
(5,12),-1.60735 # DEPENDENCYPART_ARC
(5,15),-1.98126 # DEPENDENCYPART_ARC
(5,16),-2.05353 # DEPENDENCYPART_ARC
(5,17),-2.55656 # DEPENDENCYPART_ARC
(5,19),-2.14547 # DEPENDENCYPART_ARC
(5,20),-1.49829 # DEPENDENCYPART_ARC
(6,1),-2.22791 # DEPENDENCYPART_ARC
(6,3),-1.793 # DEPENDENCYPART_ARC
(6,7),0.467465 # DEPENDENCYPART_ARC
(6,8),-0.815985 # DEPENDENCYPART_ARC
(6,10),-0.922547 # DEPENDENCYPART_ARC
(6,11),-1.24634 # DEPENDENCYPART_ARC
(6,12),-1.6351 # DEPENDENCYPART_ARC
(6,14),-1.60027 # DEPENDENCYPART_ARC
(6,15),-1.28602 # DEPENDENCYPART_ARC
(6,16),-2.05828 # DEPENDENCYPART_ARC
(6,17),-2.10837 # DEPENDENCYPART_ARC
(6,19),-2.04383 # DEPENDENCYPART_ARC
(6,20),-1.69335 # DEPENDENCYPART_ARC
(7,3),-0.821085 # DEPENDENCYPART_ARC
(7,8),0.134162 # DEPENDENCYPART_ARC
(7,10),-0.717214 # DEPENDENCYPART_ARC
(7,14),-1.50557 # DEPENDENCYPART_ARC
