# _root_ Like Lebanon , and however unfairly , Israel is regarded by the Arab world as a colonial aberration .
#goldHeads=4,1,4,0,4,5,4,4,4,9,10,14,14,11,10,18,18,15,4,
#predictedHeads=9,4,4,1,4,5,9,9,0,9,10,14,14,11,10,18,18,15,9,
(0,1),-1.79093 # DEPENDENCYPART_ARC
(0,2),-2.46424 # DEPENDENCYPART_ARC
(0,4),-3.14306 # DEPENDENCYPART_ARC
(0,5),-3.14762 # DEPENDENCYPART_ARC
(0,6),-3.01481 # DEPENDENCYPART_ARC
(0,9),-1.52654 # DEPENDENCYPART_ARC
(0,10),-2.34858 # DEPENDENCYPART_ARC
(1,2),0.813174 # DEPENDENCYPART_ARC
(1,3),-0.693791 # DEPENDENCYPART_ARC
(1,4),-1.35223 # DEPENDENCYPART_ARC
(1,5),-1.53682 # DEPENDENCYPART_ARC
(1,6),-1.61445 # DEPENDENCYPART_ARC
(1,7),-1.5495 # DEPENDENCYPART_ARC
(1,8),-1.78419 # DEPENDENCYPART_ARC
(1,9),-1.65497 # DEPENDENCYPART_ARC
(2,1),-0.747931 # DEPENDENCYPART_ARC
(2,3),-0.12368 # DEPENDENCYPART_ARC
(2,4),-1.64544 # DEPENDENCYPART_ARC
(2,5),-1.69114 # DEPENDENCYPART_ARC
(2,6),-1.81421 # DEPENDENCYPART_ARC
(2,7),-1.72995 # DEPENDENCYPART_ARC
(2,8),-1.71803 # DEPENDENCYPART_ARC
(2,9),-1.81661 # DEPENDENCYPART_ARC
(2,10),-2.24372 # DEPENDENCYPART_ARC
(2,11),-1.68736 # DEPENDENCYPART_ARC
(2,14),-1.79417 # DEPENDENCYPART_ARC
(2,18),-1.90384 # DEPENDENCYPART_ARC
(2,19),-2.28593 # DEPENDENCYPART_ARC
(4,1),-1.15326 # DEPENDENCYPART_ARC
(4,2),-0.980134 # DEPENDENCYPART_ARC
(4,3),1.3782 # DEPENDENCYPART_ARC
(4,5),0.268949 # DEPENDENCYPART_ARC
(4,6),-0.454538 # DEPENDENCYPART_ARC
(4,7),-0.606828 # DEPENDENCYPART_ARC
(4,8),-1.74291 # DEPENDENCYPART_ARC
(4,9),-1.33228 # DEPENDENCYPART_ARC
