# _root_ New Jersey Turnpike Authority 's 7.20 % issue of 2018 was off 3\/4 at 98 1\/2 bid , yielding 7.32 % , up 0.07 percentage point from late Friday .
#goldHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
#predictedHeads=4,4,4,8,4,7,8,11,8,9,0,11,12,11,16,17,14,11,11,21,19,19,19,26,26,23,23,29,27,11,
(0,4),-4.47877 # DEPENDENCYPART_ARC
(0,8),-5.44526 # DEPENDENCYPART_ARC
(0,11),-1.91032 # DEPENDENCYPART_ARC
(1,2),-1.95436 # DEPENDENCYPART_ARC
(2,1),-0.776186 # DEPENDENCYPART_ARC
(2,3),-1.6886 # DEPENDENCYPART_ARC
(2,5),-2.8644 # DEPENDENCYPART_ARC
(2,30),-2.85288 # DEPENDENCYPART_ARC
(3,1),-0.800168 # DEPENDENCYPART_ARC
(3,2),-0.51842 # DEPENDENCYPART_ARC
(3,4),-2.22203 # DEPENDENCYPART_ARC
(3,5),-1.70607 # DEPENDENCYPART_ARC
(3,6),-2.95828 # DEPENDENCYPART_ARC
(3,30),-2.89915 # DEPENDENCYPART_ARC
(4,1),0.848787 # DEPENDENCYPART_ARC
(4,2),1.45248 # DEPENDENCYPART_ARC
(4,3),2.66846 # DEPENDENCYPART_ARC
(4,5),1.9623 # DEPENDENCYPART_ARC
(4,6),-1.22032 # DEPENDENCYPART_ARC
(4,7),-1.81518 # DEPENDENCYPART_ARC
(4,8),-1.95454 # DEPENDENCYPART_ARC
(4,9),-1.60036 # DEPENDENCYPART_ARC
(4,10),-2.8322 # DEPENDENCYPART_ARC
(4,30),-1.48983 # DEPENDENCYPART_ARC
(5,6),-1.54205 # DEPENDENCYPART_ARC
(6,4),-1.6754 # DEPENDENCYPART_ARC
(6,5),-1.06337 # DEPENDENCYPART_ARC
(6,7),-0.892575 # DEPENDENCYPART_ARC
(6,9),-1.54613 # DEPENDENCYPART_ARC
(7,2),-2.54548 # DEPENDENCYPART_ARC
(7,4),-1.79605 # DEPENDENCYPART_ARC
(7,6),0.641046 # DEPENDENCYPART_ARC
(7,8),-1.20568 # DEPENDENCYPART_ARC
(7,9),-1.01164 # DEPENDENCYPART_ARC
(8,1),-1.20963 # DEPENDENCYPART_ARC
(8,2),-1.11558 # DEPENDENCYPART_ARC
(8,3),-0.48314 # DEPENDENCYPART_ARC
(8,4),0.0903385 # DEPENDENCYPART_ARC
(8,5),-1.2172 # DEPENDENCYPART_ARC
(8,6),0.123894 # DEPENDENCYPART_ARC
(8,7),1.45245 # DEPENDENCYPART_ARC
(8,9),0.419111 # DEPENDENCYPART_ARC
(8,10),-0.868326 # DEPENDENCYPART_ARC
(8,11),-0.733832 # DEPENDENCYPART_ARC
(8,12),-1.36725 # DEPENDENCYPART_ARC
(8,13),-1.6807 # DEPENDENCYPART_ARC
(8,14),-1.09421 # DEPENDENCYPART_ARC
(8,17),-1.53085 # DEPENDENCYPART_ARC
(8,18),-1.07843 # DEPENDENCYPART_ARC
(8,19),-1.65546 # DEPENDENCYPART_ARC
(8,22),-1.21513 # DEPENDENCYPART_ARC
(8,23),-1.92105 # DEPENDENCYPART_ARC
(8,26),-3.29414 # DEPENDENCYPART_ARC
(8,27),-1.7079 # DEPENDENCYPART_ARC
(8,28),-2.35865 # DEPENDENCYPART_ARC
(8,30),-2.1169 # DEPENDENCYPART_ARC
(9,8),-1.54346 # DEPENDENCYPART_ARC
(9,10),0.571894 # DEPENDENCYPART_ARC
(9,11),-0.264744 # DEPENDENCYPART_ARC
(9,12),-1.66665 # DEPENDENCYPART_ARC
(9,13),-1.53508 # DEPENDENCYPART_ARC
(9,14),-1.95762 # DEPENDENCYPART_ARC
(9,17),-0.916265 # DEPENDENCYPART_ARC
(10,6),-2.19345 # DEPENDENCYPART_ARC
(10,8),-2.12716 # DEPENDENCYPART_ARC
(10,9),-1.02339 # DEPENDENCYPART_ARC
(10,11),-0.927425 # DEPENDENCYPART_ARC
(10,12),-1.99877 # DEPENDENCYPART_ARC
(11,1),-1.70772 # DEPENDENCYPART_ARC
(11,2),-1.7096 # DEPENDENCYPART_ARC
(11,3),-1.56144 # DEPENDENCYPART_ARC
(11,4),-1.33839 # DEPENDENCYPART_ARC
(11,5),-1.7763 # DEPENDENCYPART_ARC
(11,6),-1.87197 # DEPENDENCYPART_ARC
(11,7),-0.968507 # DEPENDENCYPART_ARC
(11,8),-0.243334 # DEPENDENCYPART_ARC
(11,9),-1.24125 # DEPENDENCYPART_ARC
(11,10),-0.566454 # DEPENDENCYPART_ARC
(11,12),0.596437 # DEPENDENCYPART_ARC
