# _root_ `` We did n't trade much today , as our policy now is to wait and see , '' said a fund manager at Taisho Life Insurance Co .
#goldHeads=20,3,20,3,3,5,5,5,5,11,13,11,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
#predictedHeads=20,3,20,3,3,7,5,5,5,11,13,13,9,13,14,15,16,20,20,0,23,23,20,23,27,27,24,27,20,
(0,3),-1.68588 # DEPENDENCYPART_ARC
(0,13),-2.35604 # DEPENDENCYPART_ARC
(0,20),0.478513 # DEPENDENCYPART_ARC
(1,2),-2.45319 # DEPENDENCYPART_ARC
(1,3),-2.40276 # DEPENDENCYPART_ARC
(2,1),-1.63478 # DEPENDENCYPART_ARC
(2,3),-0.778626 # DEPENDENCYPART_ARC
(2,4),-1.97391 # DEPENDENCYPART_ARC
(2,5),-2.51883 # DEPENDENCYPART_ARC
(2,8),-1.57222 # DEPENDENCYPART_ARC
(3,1),-0.481577 # DEPENDENCYPART_ARC
(3,2),1.53609 # DEPENDENCYPART_ARC
(3,4),1.34856 # DEPENDENCYPART_ARC
(3,5),0.835987 # DEPENDENCYPART_ARC
(3,6),-0.95486 # DEPENDENCYPART_ARC
(3,7),-0.27061 # DEPENDENCYPART_ARC
(3,8),-0.719263 # DEPENDENCYPART_ARC
(3,9),-0.733691 # DEPENDENCYPART_ARC
(3,10),-2.0652 # DEPENDENCYPART_ARC
(3,11),-1.63754 # DEPENDENCYPART_ARC
(3,12),-1.34582 # DEPENDENCYPART_ARC
(3,13),-0.819895 # DEPENDENCYPART_ARC
(3,14),-1.33234 # DEPENDENCYPART_ARC
(3,15),-1.64515 # DEPENDENCYPART_ARC
(3,16),-1.1028 # DEPENDENCYPART_ARC
(3,17),-1.72372 # DEPENDENCYPART_ARC
(3,18),-1.29962 # DEPENDENCYPART_ARC
(3,19),-0.727599 # DEPENDENCYPART_ARC
(3,20),-2.37248 # DEPENDENCYPART_ARC
(3,23),-3.066 # DEPENDENCYPART_ARC
(3,29),-0.70804 # DEPENDENCYPART_ARC
(4,2),-2.0397 # DEPENDENCYPART_ARC
(4,5),-1.49345 # DEPENDENCYPART_ARC
(4,6),-2.07837 # DEPENDENCYPART_ARC
(4,7),-2.56087 # DEPENDENCYPART_ARC
(5,1),-1.82557 # DEPENDENCYPART_ARC
(5,2),-1.78564 # DEPENDENCYPART_ARC
(5,3),-1.81995 # DEPENDENCYPART_ARC
(5,4),-0.752152 # DEPENDENCYPART_ARC
(5,6),-0.233031 # DEPENDENCYPART_ARC
(5,7),0.329543 # DEPENDENCYPART_ARC
(5,8),-0.653398 # DEPENDENCYPART_ARC
(5,9),-0.452102 # DEPENDENCYPART_ARC
(5,10),-1.86846 # DEPENDENCYPART_ARC
(5,11),-1.50352 # DEPENDENCYPART_ARC
(5,12),-0.982175 # DEPENDENCYPART_ARC
(5,13),-1.21077 # DEPENDENCYPART_ARC
(5,14),-1.00786 # DEPENDENCYPART_ARC
(5,15),-1.69286 # DEPENDENCYPART_ARC
(5,16),-1.15094 # DEPENDENCYPART_ARC
(5,17),-2.08945 # DEPENDENCYPART_ARC
