# _root_ But most of them , led by Morgan Stanley & Co. , moved back in earlier this year .
#goldHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
#predictedHeads=13,13,2,3,13,13,6,9,10,7,10,13,0,13,14,18,18,13,13,
(0,1),-2.39186 # DEPENDENCYPART_ARC
(0,3),-2.71706 # DEPENDENCYPART_ARC
(0,6),-1.71399 # DEPENDENCYPART_ARC
(0,10),-2.93321 # DEPENDENCYPART_ARC
(0,13),-1.71919 # DEPENDENCYPART_ARC
(1,2),-0.721156 # DEPENDENCYPART_ARC
(1,3),-1.71949 # DEPENDENCYPART_ARC
(1,5),-2.24788 # DEPENDENCYPART_ARC
(1,6),-2.79667 # DEPENDENCYPART_ARC
(1,13),-2.95361 # DEPENDENCYPART_ARC
(1,19),-1.82362 # DEPENDENCYPART_ARC
(2,3),0.549816 # DEPENDENCYPART_ARC
(2,5),-0.754427 # DEPENDENCYPART_ARC
(2,7),-1.50246 # DEPENDENCYPART_ARC
(2,10),-1.01593 # DEPENDENCYPART_ARC
(3,1),-1.20125 # DEPENDENCYPART_ARC
(3,2),-0.549407 # DEPENDENCYPART_ARC
(3,4),0.374671 # DEPENDENCYPART_ARC
(3,5),-0.939484 # DEPENDENCYPART_ARC
(3,6),-1.70246 # DEPENDENCYPART_ARC
(3,7),-1.83873 # DEPENDENCYPART_ARC
(3,8),-2.64065 # DEPENDENCYPART_ARC
(3,10),-1.78898 # DEPENDENCYPART_ARC
(3,12),-1.69822 # DEPENDENCYPART_ARC
(3,13),-1.96439 # DEPENDENCYPART_ARC
(3,14),-1.59932 # DEPENDENCYPART_ARC
(3,15),-1.67758 # DEPENDENCYPART_ARC
(3,16),-1.54157 # DEPENDENCYPART_ARC
(3,19),-1.60382 # DEPENDENCYPART_ARC
(4,5),-0.272049 # DEPENDENCYPART_ARC
(4,7),-1.77891 # DEPENDENCYPART_ARC
(4,8),-2.00021 # DEPENDENCYPART_ARC
(5,3),-1.3542 # DEPENDENCYPART_ARC
(6,1),-2.08857 # DEPENDENCYPART_ARC
(6,3),-1.69473 # DEPENDENCYPART_ARC
(6,4),-1.78606 # DEPENDENCYPART_ARC
(6,5),-0.112751 # DEPENDENCYPART_ARC
(6,7),0.491807 # DEPENDENCYPART_ARC
(6,8),-1.19851 # DEPENDENCYPART_ARC
(6,9),-1.12233 # DEPENDENCYPART_ARC
(6,10),-1.35123 # DEPENDENCYPART_ARC
(6,11),-1.65368 # DEPENDENCYPART_ARC
(6,12),-1.65449 # DEPENDENCYPART_ARC
(6,13),-2.03015 # DEPENDENCYPART_ARC
(6,14),-2.66931 # DEPENDENCYPART_ARC
(6,15),-2.61821 # DEPENDENCYPART_ARC
(6,18),-3.13718 # DEPENDENCYPART_ARC
(6,19),-1.79517 # DEPENDENCYPART_ARC
(7,3),-1.61462 # DEPENDENCYPART_ARC
(7,5),-1.26502 # DEPENDENCYPART_ARC
(7,6),-0.362673 # DEPENDENCYPART_ARC
(7,8),0.236914 # DEPENDENCYPART_ARC
(7,9),-0.206629 # DEPENDENCYPART_ARC
(7,10),-0.890723 # DEPENDENCYPART_ARC
(7,11),-1.04214 # DEPENDENCYPART_ARC
(7,12),-1.3765 # DEPENDENCYPART_ARC
(7,13),-2.12736 # DEPENDENCYPART_ARC
(7,14),-1.85226 # DEPENDENCYPART_ARC
(7,15),-1.92828 # DEPENDENCYPART_ARC
(7,16),-1.83991 # DEPENDENCYPART_ARC
(8,6),-2.70481 # DEPENDENCYPART_ARC
(8,7),-1.76893 # DEPENDENCYPART_ARC
(8,9),-0.696681 # DEPENDENCYPART_ARC
(8,12),-2.15307 # DEPENDENCYPART_ARC
(8,13),-2.22144 # DEPENDENCYPART_ARC
(8,18),-2.1689 # DEPENDENCYPART_ARC
(9,4),-3.00057 # DEPENDENCYPART_ARC
(9,6),-2.22431 # DEPENDENCYPART_ARC
(9,7),-2.04783 # DEPENDENCYPART_ARC
(9,8),1.02166 # DEPENDENCYPART_ARC
(9,11),-1.36095 # DEPENDENCYPART_ARC
(9,12),-1.71301 # DEPENDENCYPART_ARC
(9,13),-2.19148 # DEPENDENCYPART_ARC
(9,18),-1.99505 # DEPENDENCYPART_ARC
(10,1),-1.63661 # DEPENDENCYPART_ARC
(10,3),-1.68801 # DEPENDENCYPART_ARC
(10,4),-1.73022 # DEPENDENCYPART_ARC
(10,5),-1.82034 # DEPENDENCYPART_ARC
(10,6),-1.0524 # DEPENDENCYPART_ARC
(10,7),-1.03742 # DEPENDENCYPART_ARC
