# _root_ Excluding the $ 2 billion provision and allowing for the taxes Morgan paid , earnings were about 65 cents a share , Mr. Salem said .
#goldHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
#predictedHeads=16,6,6,3,3,1,1,7,8,11,9,13,11,16,16,25,19,17,16,21,19,25,24,25,0,25,
(0,16),-2.66291 # DEPENDENCYPART_ARC
(0,25),1.46183 # DEPENDENCYPART_ARC
(1,2),-0.525236 # DEPENDENCYPART_ARC
(1,3),-0.346358 # DEPENDENCYPART_ARC
(1,5),-1.5628 # DEPENDENCYPART_ARC
(1,6),-0.133822 # DEPENDENCYPART_ARC
(1,7),0.0302807 # DEPENDENCYPART_ARC
(1,8),-1.15242 # DEPENDENCYPART_ARC
(1,9),-0.435066 # DEPENDENCYPART_ARC
(1,11),-1.04144 # DEPENDENCYPART_ARC
(1,13),-1.48061 # DEPENDENCYPART_ARC
(1,14),-1.44409 # DEPENDENCYPART_ARC
(1,17),-1.97671 # DEPENDENCYPART_ARC
(1,19),-2.23827 # DEPENDENCYPART_ARC
(2,1),-1.83008 # DEPENDENCYPART_ARC
(2,3),-1.80267 # DEPENDENCYPART_ARC
(2,7),-1.93123 # DEPENDENCYPART_ARC
(3,1),-1.61292 # DEPENDENCYPART_ARC
(3,2),-0.503821 # DEPENDENCYPART_ARC
(3,4),2.0679 # DEPENDENCYPART_ARC
(3,5),1.661 # DEPENDENCYPART_ARC
(3,6),-1.34382 # DEPENDENCYPART_ARC
(3,7),-0.924847 # DEPENDENCYPART_ARC
(3,8),-1.31692 # DEPENDENCYPART_ARC
(3,9),-1.32442 # DEPENDENCYPART_ARC
(3,10),-2.26384 # DEPENDENCYPART_ARC
(3,12),-2.44812 # DEPENDENCYPART_ARC
(3,13),-1.30674 # DEPENDENCYPART_ARC
(3,14),-1.95974 # DEPENDENCYPART_ARC
(3,18),-3.77503 # DEPENDENCYPART_ARC
(3,21),-2.81876 # DEPENDENCYPART_ARC
(3,22),-2.8906 # DEPENDENCYPART_ARC
(3,25),-2.55148 # DEPENDENCYPART_ARC
(4,1),-2.63769 # DEPENDENCYPART_ARC
(4,2),-1.72372 # DEPENDENCYPART_ARC
(4,5),-0.887077 # DEPENDENCYPART_ARC
(4,6),-1.68968 # DEPENDENCYPART_ARC
(4,7),-1.49825 # DEPENDENCYPART_ARC
(5,1),-2.35195 # DEPENDENCYPART_ARC
(5,2),-1.78114 # DEPENDENCYPART_ARC
(5,3),-1.67228 # DEPENDENCYPART_ARC
(5,4),-0.317257 # DEPENDENCYPART_ARC
(5,6),-1.01798 # DEPENDENCYPART_ARC
(5,7),-1.73628 # DEPENDENCYPART_ARC
(6,1),-1.87169 # DEPENDENCYPART_ARC
(6,2),0.89159 # DEPENDENCYPART_ARC
(6,3),0.41191 # DEPENDENCYPART_ARC
(6,4),-0.474614 # DEPENDENCYPART_ARC
(6,5),0.548031 # DEPENDENCYPART_ARC
(6,7),0.357963 # DEPENDENCYPART_ARC
(6,8),-0.571517 # DEPENDENCYPART_ARC
(6,9),-0.158836 # DEPENDENCYPART_ARC
(6,10),-2.13417 # DEPENDENCYPART_ARC
(6,11),-1.41572 # DEPENDENCYPART_ARC
(6,12),-2.00525 # DEPENDENCYPART_ARC
(6,13),-1.17427 # DEPENDENCYPART_ARC
(6,14),-1.27592 # DEPENDENCYPART_ARC
(6,15),-1.83454 # DEPENDENCYPART_ARC
(6,16),-1.67356 # DEPENDENCYPART_ARC
(6,22),-1.65528 # DEPENDENCYPART_ARC
(6,24),-3.13942 # DEPENDENCYPART_ARC
(7,6),-1.47081 # DEPENDENCYPART_ARC
(7,8),0.829015 # DEPENDENCYPART_ARC
(7,9),-0.641082 # DEPENDENCYPART_ARC
(7,11),-1.09452 # DEPENDENCYPART_ARC
(7,12),-1.81066 # DEPENDENCYPART_ARC
(7,13),-0.532053 # DEPENDENCYPART_ARC
(7,16),-0.939454 # DEPENDENCYPART_ARC
(7,25),-2.38258 # DEPENDENCYPART_ARC
(8,3),-2.33151 # DEPENDENCYPART_ARC
(8,6),-2.1168 # DEPENDENCYPART_ARC
(8,7),-1.3754 # DEPENDENCYPART_ARC
(8,9),0.717366 # DEPENDENCYPART_ARC
(8,10),-1.51311 # DEPENDENCYPART_ARC
(8,11),-0.562073 # DEPENDENCYPART_ARC
(8,12),-1.36569 # DEPENDENCYPART_ARC
(8,13),-0.852446 # DEPENDENCYPART_ARC
(8,14),-1.21108 # DEPENDENCYPART_ARC
(8,15),-1.959 # DEPENDENCYPART_ARC
(8,16),-1.42587 # DEPENDENCYPART_ARC
(8,17),-1.61798 # DEPENDENCYPART_ARC
(8,22),-1.67739 # DEPENDENCYPART_ARC
(9,8),-1.88878 # DEPENDENCYPART_ARC
(9,10),-1.0629 # DEPENDENCYPART_ARC
(9,11),0.988089 # DEPENDENCYPART_ARC
(9,12),-1.36154 # DEPENDENCYPART_ARC
(9,13),-0.244111 # DEPENDENCYPART_ARC
(9,14),-1.44814 # DEPENDENCYPART_ARC
(9,15),-1.93318 # DEPENDENCYPART_ARC
(9,16),-1.02282 # DEPENDENCYPART_ARC
(11,8),-2.10026 # DEPENDENCYPART_ARC
(11,10),1.22225 # DEPENDENCYPART_ARC
(11,12),-1.18902 # DEPENDENCYPART_ARC
(11,13),-0.586021 # DEPENDENCYPART_ARC
(11,14),-1.17866 # DEPENDENCYPART_ARC
(11,15),-1.50766 # DEPENDENCYPART_ARC
(11,16),-1.38239 # DEPENDENCYPART_ARC
(11,17),-1.57966 # DEPENDENCYPART_ARC
(11,19),-2.5056 # DEPENDENCYPART_ARC
(11,21),-2.2083 # DEPENDENCYPART_ARC
(11,24),-2.96737 # DEPENDENCYPART_ARC
(11,25),-2.35917 # DEPENDENCYPART_ARC
(12,2),-3.10455 # DEPENDENCYPART_ARC
(12,3),-2.73603 # DEPENDENCYPART_ARC
(12,6),-2.85338 # DEPENDENCYPART_ARC
(12,8),-1.98265 # DEPENDENCYPART_ARC
(12,9),-1.57132 # DEPENDENCYPART_ARC
(12,10),-0.157923 # DEPENDENCYPART_ARC
(12,11),-0.101119 # DEPENDENCYPART_ARC
(12,15),-2.03714 # DEPENDENCYPART_ARC
(13,1),-1.47133 # DEPENDENCYPART_ARC
(13,2),-2.66525 # DEPENDENCYPART_ARC
(13,3),-2.02015 # DEPENDENCYPART_ARC
(13,5),-2.14638 # DEPENDENCYPART_ARC
(13,6),-1.09584 # DEPENDENCYPART_ARC
(13,7),-1.64397 # DEPENDENCYPART_ARC
(13,8),-1.5224 # DEPENDENCYPART_ARC
(13,9),-2.02831 # DEPENDENCYPART_ARC
(13,10),-1.59431 # DEPENDENCYPART_ARC
(13,11),-0.36703 # DEPENDENCYPART_ARC
(13,12),0.479716 # DEPENDENCYPART_ARC
(13,14),0.174635 # DEPENDENCYPART_ARC
(13,15),-0.563818 # DEPENDENCYPART_ARC
(13,16),-0.506333 # DEPENDENCYPART_ARC
(13,17),-1.76025 # DEPENDENCYPART_ARC
(13,18),-2.72148 # DEPENDENCYPART_ARC
(13,19),-2.04145 # DEPENDENCYPART_ARC
(13,21),-2.10632 # DEPENDENCYPART_ARC
(13,22),-1.70337 # DEPENDENCYPART_ARC
(13,24),-2.88938 # DEPENDENCYPART_ARC
(13,25),-2.41374 # DEPENDENCYPART_ARC
(13,26),-1.86291 # DEPENDENCYPART_ARC
(15,10),-1.66588 # DEPENDENCYPART_ARC
(15,11),-2.22814 # DEPENDENCYPART_ARC
(15,12),-1.80336 # DEPENDENCYPART_ARC
(15,13),-1.68839 # DEPENDENCYPART_ARC
(15,14),-1.39521 # DEPENDENCYPART_ARC
(15,16),-0.556282 # DEPENDENCYPART_ARC
(15,17),-1.36027 # DEPENDENCYPART_ARC
(15,18),-1.90317 # DEPENDENCYPART_ARC
(15,19),-1.66691 # DEPENDENCYPART_ARC
(15,21),-1.79732 # DEPENDENCYPART_ARC
(15,24),-2.52719 # DEPENDENCYPART_ARC
(15,25),-2.19201 # DEPENDENCYPART_ARC
(16,1),-0.96277 # DEPENDENCYPART_ARC
(16,2),-2.48978 # DEPENDENCYPART_ARC
(16,3),-1.58704 # DEPENDENCYPART_ARC
(16,5),-1.92727 # DEPENDENCYPART_ARC
(16,6),-0.964547 # DEPENDENCYPART_ARC
(16,7),-1.67827 # DEPENDENCYPART_ARC
(16,8),-1.20417 # DEPENDENCYPART_ARC
(16,9),-1.39119 # DEPENDENCYPART_ARC
(16,10),-1.81948 # DEPENDENCYPART_ARC
(16,11),-0.512503 # DEPENDENCYPART_ARC
(16,12),-1.33462 # DEPENDENCYPART_ARC
(16,13),-0.976515 # DEPENDENCYPART_ARC
(16,14),0.146598 # DEPENDENCYPART_ARC
(16,15),1.63329 # DEPENDENCYPART_ARC
(16,17),-0.213173 # DEPENDENCYPART_ARC
(16,18),-1.33571 # DEPENDENCYPART_ARC
(16,19),-0.75357 # DEPENDENCYPART_ARC
(16,21),-1.16163 # DEPENDENCYPART_ARC
(16,22),-1.44781 # DEPENDENCYPART_ARC
(16,24),-2.27708 # DEPENDENCYPART_ARC
(16,25),-1.96216 # DEPENDENCYPART_ARC
(16,26),-0.287255 # DEPENDENCYPART_ARC
(17,18),1.01177 # DEPENDENCYPART_ARC
(17,19),-0.729315 # DEPENDENCYPART_ARC
(17,21),-1.53399 # DEPENDENCYPART_ARC
(17,22),-1.40194 # DEPENDENCYPART_ARC
(17,24),-2.41073 # DEPENDENCYPART_ARC
(17,25),-1.66221 # DEPENDENCYPART_ARC
(18,1),-2.88258 # DEPENDENCYPART_ARC
(18,9),-2.20848 # DEPENDENCYPART_ARC
(18,15),-1.83721 # DEPENDENCYPART_ARC
(18,16),-1.52633 # DEPENDENCYPART_ARC
(18,17),-0.569743 # DEPENDENCYPART_ARC
(18,19),-1.50697 # DEPENDENCYPART_ARC
(18,21),-2.17099 # DEPENDENCYPART_ARC
(19,1),-3.13234 # DEPENDENCYPART_ARC
(19,3),-2.80259 # DEPENDENCYPART_ARC
(19,10),-2.12261 # DEPENDENCYPART_ARC
(19,15),-1.4557 # DEPENDENCYPART_ARC
(19,17),0.835555 # DEPENDENCYPART_ARC
(19,18),1.1873 # DEPENDENCYPART_ARC
(19,20),-0.893418 # DEPENDENCYPART_ARC
(19,21),-0.120348 # DEPENDENCYPART_ARC
(19,22),-1.02876 # DEPENDENCYPART_ARC
(19,23),-1.51792 # DEPENDENCYPART_ARC
(19,24),-1.58205 # DEPENDENCYPART_ARC
(19,25),-0.924378 # DEPENDENCYPART_ARC
(21,17),-0.769708 # DEPENDENCYPART_ARC
(21,18),-1.70983 # DEPENDENCYPART_ARC
(21,19),-0.88921 # DEPENDENCYPART_ARC
(21,20),2.06884 # DEPENDENCYPART_ARC
(21,22),-0.924602 # DEPENDENCYPART_ARC
(21,23),-1.7849 # DEPENDENCYPART_ARC
(21,24),-1.90195 # DEPENDENCYPART_ARC
(21,25),-1.43821 # DEPENDENCYPART_ARC
(23,24),-0.732799 # DEPENDENCYPART_ARC
(24,19),-1.85153 # DEPENDENCYPART_ARC
(24,20),-1.94148 # DEPENDENCYPART_ARC
(24,21),-1.91894 # DEPENDENCYPART_ARC
(24,22),-1.04302 # DEPENDENCYPART_ARC
(24,23),2.05575 # DEPENDENCYPART_ARC
(25,1),-2.51031 # DEPENDENCYPART_ARC
(25,3),-2.79075 # DEPENDENCYPART_ARC
(25,6),-2.64578 # DEPENDENCYPART_ARC
(25,7),-1.94621 # DEPENDENCYPART_ARC
(25,8),-2.36565 # DEPENDENCYPART_ARC
(25,9),-2.99029 # DEPENDENCYPART_ARC
(25,11),-2.80205 # DEPENDENCYPART_ARC
(25,12),-1.75945 # DEPENDENCYPART_ARC
(25,13),-0.650876 # DEPENDENCYPART_ARC
(25,14),-1.61632 # DEPENDENCYPART_ARC
(25,15),-1.61195 # DEPENDENCYPART_ARC
(25,16),-0.55221 # DEPENDENCYPART_ARC
(25,17),-1.90233 # DEPENDENCYPART_ARC
(25,18),-2.19711 # DEPENDENCYPART_ARC
(25,19),-1.30377 # DEPENDENCYPART_ARC
(25,21),-1.37537 # DEPENDENCYPART_ARC
(25,22),0.882432 # DEPENDENCYPART_ARC
(25,23),-0.885136 # DEPENDENCYPART_ARC
(25,24),0.44331 # DEPENDENCYPART_ARC
(25,26),1.41106 # DEPENDENCYPART_ARC
(0,16),(0,25),-2.34248 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.178975 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0651688 # DEPENDENCYPART_SIBL
(1,2),(1,6),-0.15978 # DEPENDENCYPART_SIBL
(1,2),(1,7),-0.0960603 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.0655929 # DEPENDENCYPART_SIBL
(1,2),(1,9),-0.0428481 # DEPENDENCYPART_SIBL
(1,2),(1,11),-0.125714 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.105594 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.109061 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.138151 # DEPENDENCYPART_SIBL
(1,2),(1,19),-0.133883 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.00236373 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.154115 # DEPENDENCYPART_SIBL
(1,3),(1,7),0.0530636 # DEPENDENCYPART_SIBL
(1,3),(1,8),0.0302202 # DEPENDENCYPART_SIBL
(1,3),(1,9),0.0996396 # DEPENDENCYPART_SIBL
(1,3),(1,11),-0.317082 # DEPENDENCYPART_SIBL
(1,3),(1,13),-0.14304 # DEPENDENCYPART_SIBL
(1,3),(1,14),-0.0254387 # DEPENDENCYPART_SIBL
(1,3),(1,17),-0.0202797 # DEPENDENCYPART_SIBL
(1,3),(1,19),-0.338435 # DEPENDENCYPART_SIBL
(1,5),(1,6),-0.151788 # DEPENDENCYPART_SIBL
(1,5),(1,7),-0.00336108 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.00854579 # DEPENDENCYPART_SIBL
(1,5),(1,9),-0.0570279 # DEPENDENCYPART_SIBL
(1,5),(1,11),-0.27474 # DEPENDENCYPART_SIBL
(1,5),(1,13),-0.0992909 # DEPENDENCYPART_SIBL
(1,5),(1,14),-0.112672 # DEPENDENCYPART_SIBL
(1,5),(1,17),-0.0854293 # DEPENDENCYPART_SIBL
(1,5),(1,19),-0.287466 # DEPENDENCYPART_SIBL
(1,6),(1,7),0.0202413 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0257378 # DEPENDENCYPART_SIBL
(1,6),(1,9),-0.0846263 # DEPENDENCYPART_SIBL
(1,6),(1,11),-0.359017 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.134493 # DEPENDENCYPART_SIBL
(1,6),(1,14),-0.0813162 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0691261 # DEPENDENCYPART_SIBL
(1,6),(1,19),-0.361515 # DEPENDENCYPART_SIBL
(1,7),(1,8),-0.0128526 # DEPENDENCYPART_SIBL
(1,7),(1,9),-0.0294671 # DEPENDENCYPART_SIBL
(1,7),(1,11),0.00988553 # DEPENDENCYPART_SIBL
(1,7),(1,13),-0.0884831 # DEPENDENCYPART_SIBL
(1,7),(1,14),-0.0928272 # DEPENDENCYPART_SIBL
(1,7),(1,17),-0.0345762 # DEPENDENCYPART_SIBL
(1,7),(1,19),-0.00141381 # DEPENDENCYPART_SIBL
(1,8),(1,9),-0.117807 # DEPENDENCYPART_SIBL
(1,8),(1,11),-0.230898 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.15703 # DEPENDENCYPART_SIBL
(1,8),(1,14),-0.0339322 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.157763 # DEPENDENCYPART_SIBL
(1,8),(1,19),-0.237778 # DEPENDENCYPART_SIBL
(1,9),(1,11),-0.147878 # DEPENDENCYPART_SIBL
(1,9),(1,13),-0.107836 # DEPENDENCYPART_SIBL
(1,9),(1,14),0.016644 # DEPENDENCYPART_SIBL
(1,9),(1,17),-0.0189836 # DEPENDENCYPART_SIBL
(1,9),(1,19),-0.157017 # DEPENDENCYPART_SIBL
(1,11),(1,13),-0.0883985 # DEPENDENCYPART_SIBL
(1,11),(1,14),-0.010476 # DEPENDENCYPART_SIBL
(1,11),(1,17),-0.114338 # DEPENDENCYPART_SIBL
(1,11),(1,19),-0.359584 # DEPENDENCYPART_SIBL
(1,13),(1,14),0.00907425 # DEPENDENCYPART_SIBL
(1,13),(1,17),-0.127059 # DEPENDENCYPART_SIBL
(1,13),(1,19),-0.188002 # DEPENDENCYPART_SIBL
(1,14),(1,17),0.0658458 # DEPENDENCYPART_SIBL
(1,14),(1,19),0.0585048 # DEPENDENCYPART_SIBL
(1,17),(1,19),-0.293223 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0140946 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0198127 # DEPENDENCYPART_SIBL
(2,3),(2,7),-0.0521592 # DEPENDENCYPART_SIBL
(3,1),(3,2),-0.000312559 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0598816 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.0312042 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.019082 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.112954 # DEPENDENCYPART_SIBL
(3,1),(3,8),-0.0641884 # DEPENDENCYPART_SIBL
(3,1),(3,9),-0.0639383 # DEPENDENCYPART_SIBL
(3,1),(3,10),-0.0823602 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0847539 # DEPENDENCYPART_SIBL
(3,1),(3,13),-0.0400056 # DEPENDENCYPART_SIBL
(3,1),(3,14),-0.126771 # DEPENDENCYPART_SIBL
(3,1),(3,18),-0.0574194 # DEPENDENCYPART_SIBL
(3,1),(3,21),-0.0283814 # DEPENDENCYPART_SIBL
(3,1),(3,22),-0.126771 # DEPENDENCYPART_SIBL
(3,1),(3,25),-0.0560022 # DEPENDENCYPART_SIBL
(3,2),(3,4),0.0788884 # DEPENDENCYPART_SIBL
(3,2),(3,5),0.151362 # DEPENDENCYPART_SIBL
(3,2),(3,6),0.121275 # DEPENDENCYPART_SIBL
(3,2),(3,7),0.0481203 # DEPENDENCYPART_SIBL
(3,2),(3,8),0.096728 # DEPENDENCYPART_SIBL
(3,2),(3,9),0.149541 # DEPENDENCYPART_SIBL
(3,2),(3,10),0.0384042 # DEPENDENCYPART_SIBL
(3,2),(3,12),0.0159392 # DEPENDENCYPART_SIBL
(3,2),(3,13),0.429768 # DEPENDENCYPART_SIBL
(3,2),(3,14),0.108466 # DEPENDENCYPART_SIBL
(3,2),(3,18),0.118261 # DEPENDENCYPART_SIBL
(3,2),(3,21),0.18235 # DEPENDENCYPART_SIBL
(3,2),(3,22),0.108466 # DEPENDENCYPART_SIBL
(3,2),(3,25),0.259032 # DEPENDENCYPART_SIBL
(3,4),(3,5),0.180526 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.110339 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.00622571 # DEPENDENCYPART_SIBL
(3,4),(3,8),0.0166333 # DEPENDENCYPART_SIBL
(3,4),(3,9),0.0545428 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.00887588 # DEPENDENCYPART_SIBL
(3,4),(3,12),-0.0769272 # DEPENDENCYPART_SIBL
(3,4),(3,13),0.131011 # DEPENDENCYPART_SIBL
(3,4),(3,14),-0.00842865 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0343625 # DEPENDENCYPART_SIBL
(3,4),(3,21),0.199425 # DEPENDENCYPART_SIBL
(3,4),(3,22),-0.00842865 # DEPENDENCYPART_SIBL
(3,4),(3,25),0.0246794 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.0389516 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.0497498 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0217597 # DEPENDENCYPART_SIBL
