# _root_ Laboring in blue and gray overalls , they are supposed to concentrate on cleaning out crevices , and not strain their eyes looking for diamonds .
#goldHeads=9,1,4,6,4,2,9,9,0,9,12,18,12,13,14,14,18,10,18,18,22,20,20,23,24,9,
#predictedHeads=18,1,4,6,4,2,9,9,18,9,12,10,12,13,14,14,18,0,20,18,22,20,20,23,24,18,
(0,1),-1.26721 # DEPENDENCYPART_ARC
(0,2),-2.52362 # DEPENDENCYPART_ARC
(0,4),-2.35376 # DEPENDENCYPART_ARC
(0,6),-3.00474 # DEPENDENCYPART_ARC
(0,9),-2.578 # DEPENDENCYPART_ARC
(0,10),-2.98746 # DEPENDENCYPART_ARC
(0,12),-3.14523 # DEPENDENCYPART_ARC
(0,14),-3.28818 # DEPENDENCYPART_ARC
(0,18),-1.47969 # DEPENDENCYPART_ARC
(0,20),-2.78775 # DEPENDENCYPART_ARC
(0,23),-2.64633 # DEPENDENCYPART_ARC
(1,2),0.529953 # DEPENDENCYPART_ARC
(1,3),-0.906317 # DEPENDENCYPART_ARC
(1,4),-0.747392 # DEPENDENCYPART_ARC
(1,5),-1.43539 # DEPENDENCYPART_ARC
(1,6),-1.1622 # DEPENDENCYPART_ARC
(1,7),-1.47734 # DEPENDENCYPART_ARC
(1,9),-2.16381 # DEPENDENCYPART_ARC
(1,10),-2.31321 # DEPENDENCYPART_ARC
(1,12),-2.26183 # DEPENDENCYPART_ARC
(1,17),-2.29639 # DEPENDENCYPART_ARC
(1,18),-1.1804 # DEPENDENCYPART_ARC
(1,20),-2.00056 # DEPENDENCYPART_ARC
(1,26),-2.07898 # DEPENDENCYPART_ARC
(2,1),-0.331666 # DEPENDENCYPART_ARC
(2,3),0.0978191 # DEPENDENCYPART_ARC
(2,4),-0.913512 # DEPENDENCYPART_ARC
(2,5),-1.02013 # DEPENDENCYPART_ARC
(2,6),-0.803953 # DEPENDENCYPART_ARC
(2,7),-1.30662 # DEPENDENCYPART_ARC
(3,2),-0.513254 # DEPENDENCYPART_ARC
(3,4),-0.633795 # DEPENDENCYPART_ARC
(3,5),-1.22274 # DEPENDENCYPART_ARC
(4,1),-0.825121 # DEPENDENCYPART_ARC
(4,2),-0.627119 # DEPENDENCYPART_ARC
(4,3),1.16615 # DEPENDENCYPART_ARC
(4,5),1.63177 # DEPENDENCYPART_ARC
(4,6),0.0520262 # DEPENDENCYPART_ARC
(4,7),-0.775795 # DEPENDENCYPART_ARC
(4,9),-1.32905 # DEPENDENCYPART_ARC
(4,10),-2.11103 # DEPENDENCYPART_ARC
(4,12),-2.17782 # DEPENDENCYPART_ARC
(4,13),-1.47137 # DEPENDENCYPART_ARC
(4,14),-2.26356 # DEPENDENCYPART_ARC
(4,17),-1.6975 # DEPENDENCYPART_ARC
(4,18),-0.952569 # DEPENDENCYPART_ARC
(4,26),-0.858129 # DEPENDENCYPART_ARC
(5,3),-1.643 # DEPENDENCYPART_ARC
(5,4),-0.513508 # DEPENDENCYPART_ARC
(5,6),-0.615926 # DEPENDENCYPART_ARC
(5,7),-1.29276 # DEPENDENCYPART_ARC
(6,1),-1.09398 # DEPENDENCYPART_ARC
(6,2),-1.2 # DEPENDENCYPART_ARC
(6,3),-0.685216 # DEPENDENCYPART_ARC
(6,4),0.0668899 # DEPENDENCYPART_ARC
(6,5),1.29021 # DEPENDENCYPART_ARC
(6,7),0.0278222 # DEPENDENCYPART_ARC
(6,9),-1.69486 # DEPENDENCYPART_ARC
(6,10),-2.14405 # DEPENDENCYPART_ARC
(6,12),-2.2131 # DEPENDENCYPART_ARC
(6,17),-1.39079 # DEPENDENCYPART_ARC
(6,18),-1.5284 # DEPENDENCYPART_ARC
(8,7),0.0315779 # DEPENDENCYPART_ARC
(8,9),-0.227218 # DEPENDENCYPART_ARC
(9,1),-1.32515 # DEPENDENCYPART_ARC
(9,2),-1.32885 # DEPENDENCYPART_ARC
