# _root_ `` I do n't think anyone is now immune from takeover , '' said Robert Schneider of Duff & Phelps Inc. , Chicago .
#goldHeads=14,3,14,3,3,7,5,7,7,9,10,14,14,0,16,14,16,19,21,19,17,21,21,14,
#predictedHeads=14,3,14,3,3,7,5,9,7,9,10,14,14,0,16,14,16,19,21,19,17,21,21,14,
(0,3),-2.03802 # DEPENDENCYPART_ARC
(0,5),-2.64319 # DEPENDENCYPART_ARC
(0,7),-2.25821 # DEPENDENCYPART_ARC
(0,14),-1.38615 # DEPENDENCYPART_ARC
(0,16),-3.58532 # DEPENDENCYPART_ARC
(2,3),-0.187184 # DEPENDENCYPART_ARC
(2,5),-1.30113 # DEPENDENCYPART_ARC
(3,1),-0.382317 # DEPENDENCYPART_ARC
(3,2),0.984155 # DEPENDENCYPART_ARC
(3,4),1.15145 # DEPENDENCYPART_ARC
(3,5),0.517014 # DEPENDENCYPART_ARC
(3,6),-0.719131 # DEPENDENCYPART_ARC
(3,7),-0.560164 # DEPENDENCYPART_ARC
(3,8),-1.04402 # DEPENDENCYPART_ARC
(3,9),-0.531952 # DEPENDENCYPART_ARC
(3,10),-0.941618 # DEPENDENCYPART_ARC
(3,11),-1.31964 # DEPENDENCYPART_ARC
(3,12),-1.26463 # DEPENDENCYPART_ARC
(3,13),-0.661148 # DEPENDENCYPART_ARC
(3,14),-1.97009 # DEPENDENCYPART_ARC
(3,19),-1.44052 # DEPENDENCYPART_ARC
(3,22),-1.93612 # DEPENDENCYPART_ARC
(3,24),-0.843128 # DEPENDENCYPART_ARC
(4,2),-1.38753 # DEPENDENCYPART_ARC
(4,3),-0.23464 # DEPENDENCYPART_ARC
(4,5),-0.520168 # DEPENDENCYPART_ARC
(4,6),-1.33977 # DEPENDENCYPART_ARC
(4,7),-1.56539 # DEPENDENCYPART_ARC
(4,8),-1.62136 # DEPENDENCYPART_ARC
(4,9),-1.74772 # DEPENDENCYPART_ARC
(4,10),-1.60415 # DEPENDENCYPART_ARC
(4,11),-1.95094 # DEPENDENCYPART_ARC
(5,1),-1.19493 # DEPENDENCYPART_ARC
(5,2),-1.51292 # DEPENDENCYPART_ARC
(5,3),-1.29705 # DEPENDENCYPART_ARC
(5,4),0.150868 # DEPENDENCYPART_ARC
(5,6),0.654261 # DEPENDENCYPART_ARC
(5,7),0.0166401 # DEPENDENCYPART_ARC
(5,8),-1.0345 # DEPENDENCYPART_ARC
(5,9),-0.959325 # DEPENDENCYPART_ARC
(5,10),-1.18194 # DEPENDENCYPART_ARC
(5,11),-1.47757 # DEPENDENCYPART_ARC
(5,12),-1.26304 # DEPENDENCYPART_ARC
(5,13),-1.1592 # DEPENDENCYPART_ARC
(5,14),-2.24365 # DEPENDENCYPART_ARC
(5,16),-2.24628 # DEPENDENCYPART_ARC
(5,19),-1.61649 # DEPENDENCYPART_ARC
(5,22),-2.3325 # DEPENDENCYPART_ARC
(5,24),-1.1573 # DEPENDENCYPART_ARC
(6,1),-1.27724 # DEPENDENCYPART_ARC
(6,2),-1.25084 # DEPENDENCYPART_ARC
(6,3),-1.0151 # DEPENDENCYPART_ARC
(6,4),-0.516232 # DEPENDENCYPART_ARC
(6,5),0.760964 # DEPENDENCYPART_ARC
(6,7),-0.23399 # DEPENDENCYPART_ARC
(6,8),-1.4324 # DEPENDENCYPART_ARC
(6,9),-1.51706 # DEPENDENCYPART_ARC
(6,10),-1.33327 # DEPENDENCYPART_ARC
(6,16),-2.23814 # DEPENDENCYPART_ARC
(7,1),-0.556931 # DEPENDENCYPART_ARC
(7,2),-1.49837 # DEPENDENCYPART_ARC
(7,3),-1.31571 # DEPENDENCYPART_ARC
(7,4),-1.16178 # DEPENDENCYPART_ARC
(7,5),-0.939153 # DEPENDENCYPART_ARC
(7,6),0.39077 # DEPENDENCYPART_ARC
(7,8),0.547161 # DEPENDENCYPART_ARC
(7,9),0.121447 # DEPENDENCYPART_ARC
(7,10),-0.511001 # DEPENDENCYPART_ARC
(7,11),-0.693386 # DEPENDENCYPART_ARC
(7,12),-0.911807 # DEPENDENCYPART_ARC
(7,13),-0.892087 # DEPENDENCYPART_ARC
(7,14),-1.88543 # DEPENDENCYPART_ARC
(7,19),-1.60025 # DEPENDENCYPART_ARC
(7,22),-2.07571 # DEPENDENCYPART_ARC
(7,24),-0.955615 # DEPENDENCYPART_ARC
(8,5),-1.52283 # DEPENDENCYPART_ARC
(8,6),-1.50742 # DEPENDENCYPART_ARC
(8,7),-0.38613 # DEPENDENCYPART_ARC
(8,9),-0.277401 # DEPENDENCYPART_ARC
(8,10),-0.836286 # DEPENDENCYPART_ARC
(8,11),-1.16491 # DEPENDENCYPART_ARC
(8,12),-1.20861 # DEPENDENCYPART_ARC
(8,14),-1.75412 # DEPENDENCYPART_ARC
(8,17),-2.10381 # DEPENDENCYPART_ARC
(9,4),-1.06528 # DEPENDENCYPART_ARC
(9,6),-0.998193 # DEPENDENCYPART_ARC
(9,8),0.721248 # DEPENDENCYPART_ARC
(9,10),0.267207 # DEPENDENCYPART_ARC
(9,11),-0.831909 # DEPENDENCYPART_ARC
(9,12),-0.830112 # DEPENDENCYPART_ARC
(9,13),-1.20507 # DEPENDENCYPART_ARC
(9,14),-1.42992 # DEPENDENCYPART_ARC
(9,17),-1.78871 # DEPENDENCYPART_ARC
(9,19),-1.27971 # DEPENDENCYPART_ARC
(9,24),-1.72461 # DEPENDENCYPART_ARC
(10,6),-1.63674 # DEPENDENCYPART_ARC
(10,8),-1.07557 # DEPENDENCYPART_ARC
(10,9),-0.430115 # DEPENDENCYPART_ARC
(10,11),1.1541 # DEPENDENCYPART_ARC
(10,12),-0.533343 # DEPENDENCYPART_ARC
(10,13),-1.10384 # DEPENDENCYPART_ARC
(10,14),-1.52671 # DEPENDENCYPART_ARC
(10,16),-2.32437 # DEPENDENCYPART_ARC
(10,17),-1.53388 # DEPENDENCYPART_ARC
(10,19),-1.32315 # DEPENDENCYPART_ARC
(10,21),-2.97407 # DEPENDENCYPART_ARC
(10,23),-3.0299 # DEPENDENCYPART_ARC
(11,1),-1.88229 # DEPENDENCYPART_ARC
(11,3),-1.80523 # DEPENDENCYPART_ARC
(11,6),-1.81051 # DEPENDENCYPART_ARC
(11,8),-1.44339 # DEPENDENCYPART_ARC
(11,9),-1.04153 # DEPENDENCYPART_ARC
(11,10),-0.326749 # DEPENDENCYPART_ARC
(11,12),-0.0697358 # DEPENDENCYPART_ARC
(11,13),-1.4285 # DEPENDENCYPART_ARC
(11,14),-1.80414 # DEPENDENCYPART_ARC
(11,15),-1.66809 # DEPENDENCYPART_ARC
(11,16),-1.85729 # DEPENDENCYPART_ARC
(11,17),-2.02224 # DEPENDENCYPART_ARC
(11,21),-2.06311 # DEPENDENCYPART_ARC
(11,22),-1.50676 # DEPENDENCYPART_ARC
(11,23),-2.17392 # DEPENDENCYPART_ARC
(11,24),-1.81545 # DEPENDENCYPART_ARC
(14,1),-0.515109 # DEPENDENCYPART_ARC
(14,2),-2.16883 # DEPENDENCYPART_ARC
(14,3),-1.0636 # DEPENDENCYPART_ARC
(14,4),-1.81837 # DEPENDENCYPART_ARC
(14,5),-1.24146 # DEPENDENCYPART_ARC
(14,6),-2.27595 # DEPENDENCYPART_ARC
(14,7),-0.903026 # DEPENDENCYPART_ARC
(14,8),-1.54116 # DEPENDENCYPART_ARC
(14,9),-1.50164 # DEPENDENCYPART_ARC
(14,10),-1.12548 # DEPENDENCYPART_ARC
(14,11),-1.65757 # DEPENDENCYPART_ARC
(14,12),-0.228035 # DEPENDENCYPART_ARC
(14,13),0.677046 # DEPENDENCYPART_ARC
(14,15),0.299224 # DEPENDENCYPART_ARC
(14,16),0.0509507 # DEPENDENCYPART_ARC
(14,17),-0.749896 # DEPENDENCYPART_ARC
(14,18),-0.90152 # DEPENDENCYPART_ARC
(14,19),-0.832468 # DEPENDENCYPART_ARC
(14,21),-1.00597 # DEPENDENCYPART_ARC
(14,22),-1.62504 # DEPENDENCYPART_ARC
(14,23),-2.17108 # DEPENDENCYPART_ARC
(14,24),0.0322313 # DEPENDENCYPART_ARC
(15,13),-2.05267 # DEPENDENCYPART_ARC
(15,16),-0.58058 # DEPENDENCYPART_ARC
(15,17),-0.882179 # DEPENDENCYPART_ARC
(15,21),-2.16064 # DEPENDENCYPART_ARC
(15,23),-2.43924 # DEPENDENCYPART_ARC
(16,11),-2.21007 # DEPENDENCYPART_ARC
(16,12),-2.14013 # DEPENDENCYPART_ARC
(16,13),-1.63991 # DEPENDENCYPART_ARC
(16,14),-0.82313 # DEPENDENCYPART_ARC
(16,15),1.44201 # DEPENDENCYPART_ARC
(16,17),0.565765 # DEPENDENCYPART_ARC
(16,18),-0.862366 # DEPENDENCYPART_ARC
(16,19),-0.780063 # DEPENDENCYPART_ARC
(16,20),-1.11816 # DEPENDENCYPART_ARC
(16,21),-1.37218 # DEPENDENCYPART_ARC
(16,22),-1.15108 # DEPENDENCYPART_ARC
(16,23),-1.72549 # DEPENDENCYPART_ARC
(16,24),-1.36383 # DEPENDENCYPART_ARC
(17,18),0.844808 # DEPENDENCYPART_ARC
(17,19),-0.866552 # DEPENDENCYPART_ARC
(17,20),-1.38022 # DEPENDENCYPART_ARC
(17,21),-1.10132 # DEPENDENCYPART_ARC
(17,23),-2.58914 # DEPENDENCYPART_ARC
(18,16),-1.91923 # DEPENDENCYPART_ARC
(18,20),-1.07935 # DEPENDENCYPART_ARC
(18,21),-1.52556 # DEPENDENCYPART_ARC
(18,22),-1.66115 # DEPENDENCYPART_ARC
(18,23),-2.00811 # DEPENDENCYPART_ARC
(19,1),-1.6581 # DEPENDENCYPART_ARC
(19,2),-2.49691 # DEPENDENCYPART_ARC
(19,3),-2.63755 # DEPENDENCYPART_ARC
(19,4),-2.12018 # DEPENDENCYPART_ARC
(19,5),-2.40511 # DEPENDENCYPART_ARC
(19,6),-2.05287 # DEPENDENCYPART_ARC
(19,7),-2.08309 # DEPENDENCYPART_ARC
(19,8),-1.90918 # DEPENDENCYPART_ARC
(19,9),-2.14303 # DEPENDENCYPART_ARC
(19,10),-1.88562 # DEPENDENCYPART_ARC
(19,11),-1.59467 # DEPENDENCYPART_ARC
(19,12),-1.90105 # DEPENDENCYPART_ARC
(19,13),-1.64132 # DEPENDENCYPART_ARC
(19,14),-1.38475 # DEPENDENCYPART_ARC
(19,15),-0.806038 # DEPENDENCYPART_ARC
(19,16),-0.844238 # DEPENDENCYPART_ARC
(19,17),-1.08574 # DEPENDENCYPART_ARC
(19,18),2.00414 # DEPENDENCYPART_ARC
(19,20),1.91746 # DEPENDENCYPART_ARC
(19,21),0.11808 # DEPENDENCYPART_ARC
(19,22),-0.911296 # DEPENDENCYPART_ARC
(19,23),-1.55114 # DEPENDENCYPART_ARC
(19,24),-2.56343 # DEPENDENCYPART_ARC
(20,21),-1.06529 # DEPENDENCYPART_ARC
(20,23),-2.4185 # DEPENDENCYPART_ARC
(21,15),-0.761083 # DEPENDENCYPART_ARC
(21,16),-1.29775 # DEPENDENCYPART_ARC
(21,18),-0.659231 # DEPENDENCYPART_ARC
(21,19),-0.0440618 # DEPENDENCYPART_ARC
(21,20),1.52219 # DEPENDENCYPART_ARC
(21,22),0.337149 # DEPENDENCYPART_ARC
(21,23),-1.31576 # DEPENDENCYPART_ARC
(21,24),-1.70196 # DEPENDENCYPART_ARC
(23,15),-2.32663 # DEPENDENCYPART_ARC
(23,18),-2.08058 # DEPENDENCYPART_ARC
(23,19),-1.53481 # DEPENDENCYPART_ARC
(23,20),-1.34676 # DEPENDENCYPART_ARC
(23,21),-1.1568 # DEPENDENCYPART_ARC
(23,22),-0.248879 # DEPENDENCYPART_ARC
(23,24),-0.260534 # DEPENDENCYPART_ARC
(0,3),(0,5),-0.171518 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.167774 # DEPENDENCYPART_SIBL
