# _root_ Further , under the agreement , First Tennesse would continue to develop the software that creates customer products and sevices .
#goldHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,19,19,16,19,9,
#predictedHeads=9,9,9,5,3,9,8,9,0,9,12,10,14,12,16,14,18,19,16,19,9,
(0,1),-1.52054 # DEPENDENCYPART_ARC
(0,8),-2.68449 # DEPENDENCYPART_ARC
(0,9),-2.00926 # DEPENDENCYPART_ARC
(0,10),-1.96811 # DEPENDENCYPART_ARC
(0,12),-2.58614 # DEPENDENCYPART_ARC
(0,16),-2.67003 # DEPENDENCYPART_ARC
(0,19),-2.22112 # DEPENDENCYPART_ARC
(1,2),-0.344085 # DEPENDENCYPART_ARC
(1,3),-1.6201 # DEPENDENCYPART_ARC
(1,5),-2.01931 # DEPENDENCYPART_ARC
(1,6),-2.08366 # DEPENDENCYPART_ARC
(1,9),-1.45212 # DEPENDENCYPART_ARC
(2,1),-0.319342 # DEPENDENCYPART_ARC
(2,3),-0.731903 # DEPENDENCYPART_ARC
(3,1),-1.65249 # DEPENDENCYPART_ARC
(3,2),-0.196243 # DEPENDENCYPART_ARC
(3,4),-0.124011 # DEPENDENCYPART_ARC
(3,5),-0.0213844 # DEPENDENCYPART_ARC
(3,6),-1.08921 # DEPENDENCYPART_ARC
(3,7),-2.02637 # DEPENDENCYPART_ARC
(3,8),-2.00427 # DEPENDENCYPART_ARC
(3,9),-1.9327 # DEPENDENCYPART_ARC
(3,19),-1.58796 # DEPENDENCYPART_ARC
(4,2),-1.61275 # DEPENDENCYPART_ARC
(4,3),-0.465557 # DEPENDENCYPART_ARC
(4,5),-0.460399 # DEPENDENCYPART_ARC
(5,1),-2.06036 # DEPENDENCYPART_ARC
(5,2),-1.73775 # DEPENDENCYPART_ARC
(5,3),-0.975371 # DEPENDENCYPART_ARC
(5,4),1.13948 # DEPENDENCYPART_ARC
(5,6),-0.213628 # DEPENDENCYPART_ARC
(5,7),-1.29397 # DEPENDENCYPART_ARC
(5,8),-1.71331 # DEPENDENCYPART_ARC
(5,9),-1.64513 # DEPENDENCYPART_ARC
(5,10),-1.88116 # DEPENDENCYPART_ARC
(5,12),-2.22306 # DEPENDENCYPART_ARC
(5,14),-1.79615 # DEPENDENCYPART_ARC
(5,16),-2.00213 # DEPENDENCYPART_ARC
(5,19),-1.36755 # DEPENDENCYPART_ARC
(5,21),-2.2296 # DEPENDENCYPART_ARC
(6,3),-1.45189 # DEPENDENCYPART_ARC
(7,4),-2.22176 # DEPENDENCYPART_ARC
(7,5),-1.95936 # DEPENDENCYPART_ARC
(7,6),-1.12588 # DEPENDENCYPART_ARC
(7,8),-0.656682 # DEPENDENCYPART_ARC
(7,9),-1.15863 # DEPENDENCYPART_ARC
(7,10),-1.25728 # DEPENDENCYPART_ARC
(7,12),-1.69906 # DEPENDENCYPART_ARC
(8,2),-2.72294 # DEPENDENCYPART_ARC
(8,4),-1.29946 # DEPENDENCYPART_ARC
(8,5),-1.83346 # DEPENDENCYPART_ARC
(8,6),-1.44963 # DEPENDENCYPART_ARC
(8,7),1.3433 # DEPENDENCYPART_ARC
(8,9),-0.708869 # DEPENDENCYPART_ARC
(8,10),-1.17739 # DEPENDENCYPART_ARC
(8,12),-1.68083 # DEPENDENCYPART_ARC
(8,14),-1.59678 # DEPENDENCYPART_ARC
(8,16),-1.6083 # DEPENDENCYPART_ARC
(8,19),-1.10932 # DEPENDENCYPART_ARC
(8,21),-1.83197 # DEPENDENCYPART_ARC
(9,1),-1.19064 # DEPENDENCYPART_ARC
(9,2),-1.86155 # DEPENDENCYPART_ARC
(9,3),-0.656553 # DEPENDENCYPART_ARC
(9,4),-1.85087 # DEPENDENCYPART_ARC
(9,5),-1.51929 # DEPENDENCYPART_ARC
(9,6),-0.656666 # DEPENDENCYPART_ARC
(9,7),-0.374637 # DEPENDENCYPART_ARC
(9,8),0.957556 # DEPENDENCYPART_ARC
(9,10),1.67326 # DEPENDENCYPART_ARC
(9,12),-0.787754 # DEPENDENCYPART_ARC
(9,14),-1.31068 # DEPENDENCYPART_ARC
(9,16),-1.29699 # DEPENDENCYPART_ARC
(9,19),-0.903803 # DEPENDENCYPART_ARC
(9,21),-0.0825025 # DEPENDENCYPART_ARC
(10,1),-1.72276 # DEPENDENCYPART_ARC
(10,2),-2.33524 # DEPENDENCYPART_ARC
(10,3),-1.65785 # DEPENDENCYPART_ARC
(10,5),-2.53702 # DEPENDENCYPART_ARC
(10,6),-1.53199 # DEPENDENCYPART_ARC
(10,7),-1.31261 # DEPENDENCYPART_ARC
(10,8),-1.22353 # DEPENDENCYPART_ARC
(10,9),-0.513659 # DEPENDENCYPART_ARC
(10,11),0.25444 # DEPENDENCYPART_ARC
(10,12),0.150999 # DEPENDENCYPART_ARC
(10,14),-1.00311 # DEPENDENCYPART_ARC
(10,16),-1.18597 # DEPENDENCYPART_ARC
(10,18),-1.49333 # DEPENDENCYPART_ARC
(10,19),-0.736124 # DEPENDENCYPART_ARC
(10,20),-1.76951 # DEPENDENCYPART_ARC
(10,21),-0.907892 # DEPENDENCYPART_ARC
(11,12),-0.290519 # DEPENDENCYPART_ARC
(11,14),-1.80741 # DEPENDENCYPART_ARC
(11,19),-1.72333 # DEPENDENCYPART_ARC
(12,2),-2.38093 # DEPENDENCYPART_ARC
(12,3),-1.49365 # DEPENDENCYPART_ARC
