# _root_ If the pound falls closer to 2.80 marks , the Bank of England may raise Britain 's base lending rate by one percentage point to 16 % , says Mr. Rendell .
#goldHeads=4,3,4,14,4,5,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
#predictedHeads=4,3,4,14,4,4,8,6,14,11,14,11,12,29,14,20,16,20,20,15,15,24,24,21,15,27,25,29,0,31,29,29,
(0,3),-2.73518 # DEPENDENCYPART_ARC
(0,4),-2.15817 # DEPENDENCYPART_ARC
(0,6),-2.75899 # DEPENDENCYPART_ARC
(0,14),-2.95764 # DEPENDENCYPART_ARC
(0,15),-3.57358 # DEPENDENCYPART_ARC
(0,29),-0.230695 # DEPENDENCYPART_ARC
(1,2),-0.256158 # DEPENDENCYPART_ARC
(1,3),-0.576592 # DEPENDENCYPART_ARC
(1,4),-1.53418 # DEPENDENCYPART_ARC
(1,5),-1.8356 # DEPENDENCYPART_ARC
(1,6),-1.86097 # DEPENDENCYPART_ARC
(1,7),-2.07566 # DEPENDENCYPART_ARC
(1,8),-2.14577 # DEPENDENCYPART_ARC
(2,1),-0.271119 # DEPENDENCYPART_ARC
(2,4),-1.00429 # DEPENDENCYPART_ARC
(3,1),-1.02803 # DEPENDENCYPART_ARC
(3,2),1.3962 # DEPENDENCYPART_ARC
(3,4),-0.263081 # DEPENDENCYPART_ARC
(3,5),-1.34145 # DEPENDENCYPART_ARC
(3,6),-1.60094 # DEPENDENCYPART_ARC
(3,8),-1.67243 # DEPENDENCYPART_ARC
(3,9),-2.16471 # DEPENDENCYPART_ARC
(3,32),-2.32969 # DEPENDENCYPART_ARC
(4,1),0.218879 # DEPENDENCYPART_ARC
(4,2),-0.76916 # DEPENDENCYPART_ARC
(4,3),0.676924 # DEPENDENCYPART_ARC
(4,5),0.563643 # DEPENDENCYPART_ARC
(4,6),-0.583746 # DEPENDENCYPART_ARC
(4,7),-1.45246 # DEPENDENCYPART_ARC
(4,8),-0.654004 # DEPENDENCYPART_ARC
(4,9),-1.26668 # DEPENDENCYPART_ARC
(4,11),-1.8671 # DEPENDENCYPART_ARC
(4,12),-2.05371 # DEPENDENCYPART_ARC
(4,14),-1.82289 # DEPENDENCYPART_ARC
(4,15),-1.76902 # DEPENDENCYPART_ARC
(4,21),-2.34052 # DEPENDENCYPART_ARC
(4,28),-1.9112 # DEPENDENCYPART_ARC
(4,29),-1.74829 # DEPENDENCYPART_ARC
(4,32),-1.09624 # DEPENDENCYPART_ARC
(5,3),-1.45428 # DEPENDENCYPART_ARC
