# _root_ In addition to increasing costs as a result of greater financial exposure for members , these measures could have other , far-reaching repercussions .
#goldHeads=18,1,2,3,4,4,8,6,8,12,12,9,12,13,18,17,18,0,18,22,22,23,19,18,
#predictedHeads=18,1,2,5,3,5,8,6,8,12,12,9,12,13,18,17,18,0,18,23,23,23,19,18,
(0,1),-1.84663 # DEPENDENCYPART_ARC
(0,2),-2.35253 # DEPENDENCYPART_ARC
(0,3),-2.41827 # DEPENDENCYPART_ARC
(0,4),-2.4478 # DEPENDENCYPART_ARC
(0,5),-2.94229 # DEPENDENCYPART_ARC
(0,8),-2.83082 # DEPENDENCYPART_ARC
(0,18),-3.07087 # DEPENDENCYPART_ARC
(0,19),-3.38714 # DEPENDENCYPART_ARC
(1,2),0.776002 # DEPENDENCYPART_ARC
(1,3),-0.887244 # DEPENDENCYPART_ARC
(1,4),-1.03563 # DEPENDENCYPART_ARC
(1,5),-1.68584 # DEPENDENCYPART_ARC
(1,6),-1.43255 # DEPENDENCYPART_ARC
(2,1),-0.51794 # DEPENDENCYPART_ARC
(2,3),-0.063799 # DEPENDENCYPART_ARC
(2,4),-0.930542 # DEPENDENCYPART_ARC
(2,5),-1.31889 # DEPENDENCYPART_ARC
(2,6),-1.25956 # DEPENDENCYPART_ARC
(2,8),-1.48944 # DEPENDENCYPART_ARC
(2,9),-1.97919 # DEPENDENCYPART_ARC
(2,15),-2.34112 # DEPENDENCYPART_ARC
(2,21),-2.51914 # DEPENDENCYPART_ARC
(2,24),-2.06044 # DEPENDENCYPART_ARC
(3,1),-1.17121 # DEPENDENCYPART_ARC
(3,2),-0.47549 # DEPENDENCYPART_ARC
(3,4),0.12594 # DEPENDENCYPART_ARC
(3,5),-0.979334 # DEPENDENCYPART_ARC
(3,6),-1.37352 # DEPENDENCYPART_ARC
(3,8),-1.86263 # DEPENDENCYPART_ARC
(3,9),-1.66737 # DEPENDENCYPART_ARC
(3,12),-2.23196 # DEPENDENCYPART_ARC
(4,1),-1.25653 # DEPENDENCYPART_ARC
(4,2),-1.6253 # DEPENDENCYPART_ARC
(4,3),0.462222 # DEPENDENCYPART_ARC
(4,5),0.669472 # DEPENDENCYPART_ARC
(4,6),-1.00223 # DEPENDENCYPART_ARC
(4,8),-0.82303 # DEPENDENCYPART_ARC
(4,9),-1.9083 # DEPENDENCYPART_ARC
(4,12),-1.35787 # DEPENDENCYPART_ARC
(4,13),-1.4579 # DEPENDENCYPART_ARC
(4,14),-1.95088 # DEPENDENCYPART_ARC
(4,15),-2.0126 # DEPENDENCYPART_ARC
(4,19),-2.206 # DEPENDENCYPART_ARC
(4,24),-1.83282 # DEPENDENCYPART_ARC
(5,1),-1.29714 # DEPENDENCYPART_ARC
(5,2),-0.916179 # DEPENDENCYPART_ARC
(5,3),-0.823527 # DEPENDENCYPART_ARC
(5,4),0.678864 # DEPENDENCYPART_ARC
(5,6),0.302703 # DEPENDENCYPART_ARC
(5,8),-1.42763 # DEPENDENCYPART_ARC
(5,9),-1.30493 # DEPENDENCYPART_ARC
(5,10),-1.70209 # DEPENDENCYPART_ARC
(5,12),-1.72336 # DEPENDENCYPART_ARC
(5,13),-1.20155 # DEPENDENCYPART_ARC
(5,14),-1.96032 # DEPENDENCYPART_ARC
(5,15),-2.35912 # DEPENDENCYPART_ARC
(5,18),-1.89069 # DEPENDENCYPART_ARC
(5,21),-2.57863 # DEPENDENCYPART_ARC
(5,24),-1.73263 # DEPENDENCYPART_ARC
(6,1),-1.3795 # DEPENDENCYPART_ARC
(6,2),-1.60515 # DEPENDENCYPART_ARC
(6,3),-1.58142 # DEPENDENCYPART_ARC
(6,4),-1.55029 # DEPENDENCYPART_ARC
(6,5),-0.600606 # DEPENDENCYPART_ARC
(6,7),-0.254857 # DEPENDENCYPART_ARC
(6,8),-0.445896 # DEPENDENCYPART_ARC
(6,9),-1.61543 # DEPENDENCYPART_ARC
(6,10),-1.47335 # DEPENDENCYPART_ARC
(6,11),-1.58849 # DEPENDENCYPART_ARC
(6,12),-1.89405 # DEPENDENCYPART_ARC
(6,14),-2.32476 # DEPENDENCYPART_ARC
(7,9),-1.14053 # DEPENDENCYPART_ARC
(8,1),-2.0634 # DEPENDENCYPART_ARC
(8,4),-1.36595 # DEPENDENCYPART_ARC
(8,5),-1.53264 # DEPENDENCYPART_ARC
(8,6),-1.16801 # DEPENDENCYPART_ARC
(8,7),1.18949 # DEPENDENCYPART_ARC
(8,9),0.608527 # DEPENDENCYPART_ARC
(8,10),-0.880744 # DEPENDENCYPART_ARC
(8,11),-0.987531 # DEPENDENCYPART_ARC
(8,12),-1.08247 # DEPENDENCYPART_ARC
(8,13),-0.772575 # DEPENDENCYPART_ARC
(8,14),-1.42551 # DEPENDENCYPART_ARC
(8,15),-1.74938 # DEPENDENCYPART_ARC
(8,16),-1.75279 # DEPENDENCYPART_ARC
(8,17),-1.60848 # DEPENDENCYPART_ARC
(8,18),-1.36145 # DEPENDENCYPART_ARC
(8,19),-1.85557 # DEPENDENCYPART_ARC
(8,20),-1.94469 # DEPENDENCYPART_ARC
