# _root_ All the while , Ms. Bartlett had been busy at her assignment , serene in her sense of self-tilth .
#goldHeads=3,3,7,7,6,7,0,7,14,9,12,10,14,8,14,17,15,17,18,7,
#predictedHeads=3,3,7,7,6,7,0,7,8,8,12,10,8,8,14,17,15,17,18,7,
(0,3),-2.41675 # DEPENDENCYPART_ARC
(0,6),-2.97316 # DEPENDENCYPART_ARC
(0,7),-1.74459 # DEPENDENCYPART_ARC
(0,8),-2.40307 # DEPENDENCYPART_ARC
(0,14),-2.69508 # DEPENDENCYPART_ARC
(2,1),-0.33991 # DEPENDENCYPART_ARC
(2,3),-0.495272 # DEPENDENCYPART_ARC
(2,4),-1.36754 # DEPENDENCYPART_ARC
(3,1),-0.651308 # DEPENDENCYPART_ARC
(3,2),1.03933 # DEPENDENCYPART_ARC
(3,4),-0.36799 # DEPENDENCYPART_ARC
(3,5),-1.51922 # DEPENDENCYPART_ARC
(3,6),-1.99589 # DEPENDENCYPART_ARC
(3,7),-1.76537 # DEPENDENCYPART_ARC
(3,8),-2.44474 # DEPENDENCYPART_ARC
(3,9),-2.0563 # DEPENDENCYPART_ARC
(3,10),-2.13511 # DEPENDENCYPART_ARC
(3,12),-2.07102 # DEPENDENCYPART_ARC
(3,13),-1.91004 # DEPENDENCYPART_ARC
(3,14),-2.03568 # DEPENDENCYPART_ARC
(3,15),-2.39618 # DEPENDENCYPART_ARC
(3,20),-2.19237 # DEPENDENCYPART_ARC
(5,2),-2.25938 # DEPENDENCYPART_ARC
(5,3),-1.97418 # DEPENDENCYPART_ARC
(5,4),-1.15812 # DEPENDENCYPART_ARC
(5,6),-0.657348 # DEPENDENCYPART_ARC
(5,7),-0.878509 # DEPENDENCYPART_ARC
(5,8),-1.51469 # DEPENDENCYPART_ARC
(5,9),-1.68507 # DEPENDENCYPART_ARC
(5,10),-1.51441 # DEPENDENCYPART_ARC
(6,2),-1.33259 # DEPENDENCYPART_ARC
(6,3),-1.86189 # DEPENDENCYPART_ARC
(6,4),-1.37789 # DEPENDENCYPART_ARC
(6,5),1.55651 # DEPENDENCYPART_ARC
(6,7),-0.315967 # DEPENDENCYPART_ARC
(6,8),-1.25612 # DEPENDENCYPART_ARC
(6,9),-1.39693 # DEPENDENCYPART_ARC
(6,10),-1.30718 # DEPENDENCYPART_ARC
(6,12),-1.57498 # DEPENDENCYPART_ARC
(6,13),-1.85577 # DEPENDENCYPART_ARC
(7,2),-1.9531 # DEPENDENCYPART_ARC
(7,3),-1.6973 # DEPENDENCYPART_ARC
(7,4),-0.725572 # DEPENDENCYPART_ARC
(7,5),-0.504611 # DEPENDENCYPART_ARC
(7,6),0.991409 # DEPENDENCYPART_ARC
(7,8),1.48079 # DEPENDENCYPART_ARC
(7,9),-0.703807 # DEPENDENCYPART_ARC
(7,10),-0.892489 # DEPENDENCYPART_ARC
(7,12),-1.20177 # DEPENDENCYPART_ARC
(7,13),-1.49525 # DEPENDENCYPART_ARC
(7,14),-2.01671 # DEPENDENCYPART_ARC
(7,15),-2.17266 # DEPENDENCYPART_ARC
(7,20),-0.56497 # DEPENDENCYPART_ARC
(8,3),-2.82896 # DEPENDENCYPART_ARC
(8,4),-2.01379 # DEPENDENCYPART_ARC
(8,5),-1.61222 # DEPENDENCYPART_ARC
(8,6),-1.53093 # DEPENDENCYPART_ARC
(8,7),-0.998357 # DEPENDENCYPART_ARC
(8,9),0.699315 # DEPENDENCYPART_ARC
(8,10),-0.305244 # DEPENDENCYPART_ARC
(8,12),-0.655923 # DEPENDENCYPART_ARC
(8,13),-1.21056 # DEPENDENCYPART_ARC
(8,14),-1.52092 # DEPENDENCYPART_ARC
(8,15),-1.82196 # DEPENDENCYPART_ARC
(8,17),-1.98984 # DEPENDENCYPART_ARC
(8,18),-2.01571 # DEPENDENCYPART_ARC
(8,20),-1.12841 # DEPENDENCYPART_ARC
(9,3),-1.57253 # DEPENDENCYPART_ARC
(9,5),-0.985139 # DEPENDENCYPART_ARC
(9,6),-0.91075 # DEPENDENCYPART_ARC
(9,10),0.259079 # DEPENDENCYPART_ARC
(9,12),-1.0038 # DEPENDENCYPART_ARC
(9,13),-1.05935 # DEPENDENCYPART_ARC
(9,14),-1.07597 # DEPENDENCYPART_ARC
(9,15),-1.62825 # DEPENDENCYPART_ARC
(9,17),-1.6839 # DEPENDENCYPART_ARC
(9,18),-1.82455 # DEPENDENCYPART_ARC
(9,19),-1.73653 # DEPENDENCYPART_ARC
(9,20),-1.45484 # DEPENDENCYPART_ARC
(10,9),-0.550602 # DEPENDENCYPART_ARC
(10,11),0.0162793 # DEPENDENCYPART_ARC
(10,12),-0.0175613 # DEPENDENCYPART_ARC
(10,13),-1.19192 # DEPENDENCYPART_ARC
(10,14),-1.54428 # DEPENDENCYPART_ARC
(10,15),-1.87879 # DEPENDENCYPART_ARC
(10,17),-2.28826 # DEPENDENCYPART_ARC
(10,18),-1.7825 # DEPENDENCYPART_ARC
(11,12),-0.346912 # DEPENDENCYPART_ARC
(11,15),-1.97608 # DEPENDENCYPART_ARC
(12,3),-2.75307 # DEPENDENCYPART_ARC
(12,4),-2.01478 # DEPENDENCYPART_ARC
(12,6),-2.04162 # DEPENDENCYPART_ARC
(12,7),-1.62991 # DEPENDENCYPART_ARC
(12,8),-1.29558 # DEPENDENCYPART_ARC
(12,9),-1.40653 # DEPENDENCYPART_ARC
(12,10),-1.00702 # DEPENDENCYPART_ARC
(12,11),0.901182 # DEPENDENCYPART_ARC
