# _root_ In New York Stock Exchange composite trading , Boeing closed yesterday at $ 54.50 a share , off a scant 12.5 cents .
#goldHeads=10,7,7,7,7,7,1,10,10,0,10,10,14,12,16,14,10,10,22,22,22,18,10,
#predictedHeads=10,7,7,7,7,7,1,10,10,0,10,10,14,12,16,14,10,10,22,22,22,18,10,
(0,1),-1.84663 # DEPENDENCYPART_ARC
(0,7),-3.21528 # DEPENDENCYPART_ARC
(0,10),-1.68664 # DEPENDENCYPART_ARC
(1,2),0.346921 # DEPENDENCYPART_ARC
(1,3),-0.511987 # DEPENDENCYPART_ARC
(1,4),-1.37963 # DEPENDENCYPART_ARC
(1,5),-1.60246 # DEPENDENCYPART_ARC
(1,7),-1.66948 # DEPENDENCYPART_ARC
(1,8),-1.1623 # DEPENDENCYPART_ARC
(2,3),-0.600764 # DEPENDENCYPART_ARC
(2,4),-1.55098 # DEPENDENCYPART_ARC
(2,5),-1.92655 # DEPENDENCYPART_ARC
(3,2),-0.0281848 # DEPENDENCYPART_ARC
(3,4),-0.750298 # DEPENDENCYPART_ARC
(3,5),-1.82428 # DEPENDENCYPART_ARC
(4,2),-0.694247 # DEPENDENCYPART_ARC
(4,3),0.110362 # DEPENDENCYPART_ARC
(4,5),-0.776281 # DEPENDENCYPART_ARC
(4,6),-1.58961 # DEPENDENCYPART_ARC
(4,8),-2.28775 # DEPENDENCYPART_ARC
(4,9),-2.40656 # DEPENDENCYPART_ARC
(5,2),-0.380391 # DEPENDENCYPART_ARC
(5,3),-0.0383011 # DEPENDENCYPART_ARC
(5,4),1.03912 # DEPENDENCYPART_ARC
(5,6),-0.531973 # DEPENDENCYPART_ARC
(5,7),-1.55148 # DEPENDENCYPART_ARC
(5,8),-1.89433 # DEPENDENCYPART_ARC
(5,9),-2.05789 # DEPENDENCYPART_ARC
(5,10),-2.36588 # DEPENDENCYPART_ARC
(5,11),-2.09131 # DEPENDENCYPART_ARC
(5,12),-2.36241 # DEPENDENCYPART_ARC
(5,17),-2.28431 # DEPENDENCYPART_ARC
(5,22),-2.44876 # DEPENDENCYPART_ARC
(5,23),-2.14067 # DEPENDENCYPART_ARC
(6,1),-1.44226 # DEPENDENCYPART_ARC
(6,3),-1.03467 # DEPENDENCYPART_ARC
(6,4),-1.01267 # DEPENDENCYPART_ARC
(6,5),-0.0389213 # DEPENDENCYPART_ARC
(6,7),-0.451671 # DEPENDENCYPART_ARC
(6,8),-1.30976 # DEPENDENCYPART_ARC
(6,9),-1.93242 # DEPENDENCYPART_ARC
(7,1),-1.63027 # DEPENDENCYPART_ARC
(7,2),0.0697879 # DEPENDENCYPART_ARC
(7,3),0.138508 # DEPENDENCYPART_ARC
(7,4),0.193724 # DEPENDENCYPART_ARC
(7,5),0.361733 # DEPENDENCYPART_ARC
(7,6),1.67247 # DEPENDENCYPART_ARC
(7,8),-0.0546869 # DEPENDENCYPART_ARC
(7,9),-1.46344 # DEPENDENCYPART_ARC
(7,10),-1.85953 # DEPENDENCYPART_ARC
(7,11),-1.86027 # DEPENDENCYPART_ARC
(7,12),-2.07121 # DEPENDENCYPART_ARC
(7,13),-2.09945 # DEPENDENCYPART_ARC
(7,14),-2.51161 # DEPENDENCYPART_ARC
(7,16),-1.86359 # DEPENDENCYPART_ARC
(7,17),-1.42295 # DEPENDENCYPART_ARC
(7,20),-1.86295 # DEPENDENCYPART_ARC
(7,22),-2.0078 # DEPENDENCYPART_ARC
