# _root_ `` They all went in the wrong direction , '' said Andreas Insam , an investment adviser for the Bank in Liechtenstein 's Frankfurt branch .
#goldHeads=11,4,2,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,18,17,25,22,25,21,11,
#predictedHeads=11,4,4,11,4,8,8,5,11,11,0,13,11,13,17,17,13,17,20,25,20,21,20,25,18,11,
(0,4),-1.80528 # DEPENDENCYPART_ARC
(0,11),1.29536 # DEPENDENCYPART_ARC
(1,2),-2.38283 # DEPENDENCYPART_ARC
(1,3),-3.37188 # DEPENDENCYPART_ARC
(1,4),-2.61863 # DEPENDENCYPART_ARC
(2,1),-1.70074 # DEPENDENCYPART_ARC
(2,3),-0.5808 # DEPENDENCYPART_ARC
(2,4),-1.07189 # DEPENDENCYPART_ARC
(2,5),-1.33708 # DEPENDENCYPART_ARC
(2,8),-2.11532 # DEPENDENCYPART_ARC
(2,9),-0.838718 # DEPENDENCYPART_ARC
(2,10),-1.86755 # DEPENDENCYPART_ARC
(2,11),-1.915 # DEPENDENCYPART_ARC
(2,13),-2.81919 # DEPENDENCYPART_ARC
(2,14),-0.954896 # DEPENDENCYPART_ARC
(2,17),-2.72183 # DEPENDENCYPART_ARC
(3,1),-1.96356 # DEPENDENCYPART_ARC
(3,2),-0.523537 # DEPENDENCYPART_ARC
(3,4),-0.671978 # DEPENDENCYPART_ARC
(3,5),-1.6941 # DEPENDENCYPART_ARC
(3,9),-2.13811 # DEPENDENCYPART_ARC
(3,11),-2.05276 # DEPENDENCYPART_ARC
(4,1),-0.601364 # DEPENDENCYPART_ARC
(4,2),0.100278 # DEPENDENCYPART_ARC
(4,3),0.0808991 # DEPENDENCYPART_ARC
(4,5),1.81271 # DEPENDENCYPART_ARC
(4,6),-1.37978 # DEPENDENCYPART_ARC
(4,7),-1.29922 # DEPENDENCYPART_ARC
(4,8),-0.423348 # DEPENDENCYPART_ARC
(4,9),-0.891607 # DEPENDENCYPART_ARC
(4,10),-0.943523 # DEPENDENCYPART_ARC
(4,11),-1.23679 # DEPENDENCYPART_ARC
(4,13),-1.86914 # DEPENDENCYPART_ARC
(4,14),-1.85417 # DEPENDENCYPART_ARC
(4,17),-2.33094 # DEPENDENCYPART_ARC
(4,18),-1.24509 # DEPENDENCYPART_ARC
(4,20),-2.71591 # DEPENDENCYPART_ARC
(4,21),-1.45394 # DEPENDENCYPART_ARC
(4,25),-3.0483 # DEPENDENCYPART_ARC
(4,26),-0.650034 # DEPENDENCYPART_ARC
(5,1),-2.19447 # DEPENDENCYPART_ARC
(5,2),-2.65399 # DEPENDENCYPART_ARC
(5,3),-1.90669 # DEPENDENCYPART_ARC
(5,4),-1.33601 # DEPENDENCYPART_ARC
(5,6),-1.31421 # DEPENDENCYPART_ARC
(5,7),-0.842822 # DEPENDENCYPART_ARC
(5,8),1.14445 # DEPENDENCYPART_ARC
(5,9),-1.5167 # DEPENDENCYPART_ARC
(5,10),-1.55848 # DEPENDENCYPART_ARC
(5,11),-1.25865 # DEPENDENCYPART_ARC
(5,13),-2.06976 # DEPENDENCYPART_ARC
(5,14),-1.646 # DEPENDENCYPART_ARC
(5,17),-2.61522 # DEPENDENCYPART_ARC
(7,1),-2.4798 # DEPENDENCYPART_ARC
(7,2),-3.18304 # DEPENDENCYPART_ARC
(7,3),-2.35968 # DEPENDENCYPART_ARC
(7,6),-0.770118 # DEPENDENCYPART_ARC
(7,9),-1.74994 # DEPENDENCYPART_ARC
(7,10),-1.71076 # DEPENDENCYPART_ARC
(7,14),-1.76608 # DEPENDENCYPART_ARC
(8,1),-2.10978 # DEPENDENCYPART_ARC
(8,2),-2.74657 # DEPENDENCYPART_ARC
(8,3),-1.79601 # DEPENDENCYPART_ARC
(8,4),-1.65407 # DEPENDENCYPART_ARC
(8,6),1.17828 # DEPENDENCYPART_ARC
(8,7),1.89286 # DEPENDENCYPART_ARC
(8,9),-0.899528 # DEPENDENCYPART_ARC
(8,10),-1.05469 # DEPENDENCYPART_ARC
(8,11),-1.25627 # DEPENDENCYPART_ARC
(8,12),-2.15738 # DEPENDENCYPART_ARC
(8,13),-1.60185 # DEPENDENCYPART_ARC
(8,14),-1.29983 # DEPENDENCYPART_ARC
(8,17),-2.83819 # DEPENDENCYPART_ARC
(8,18),-2.13771 # DEPENDENCYPART_ARC
(8,20),-3.34943 # DEPENDENCYPART_ARC
(8,25),-3.76212 # DEPENDENCYPART_ARC
(10,3),-2.98482 # DEPENDENCYPART_ARC
(10,4),-2.64378 # DEPENDENCYPART_ARC
(10,8),-2.57268 # DEPENDENCYPART_ARC
(10,9),-1.34049 # DEPENDENCYPART_ARC
(10,13),-2.83125 # DEPENDENCYPART_ARC
(11,1),-0.277917 # DEPENDENCYPART_ARC
(11,2),-2.25626 # DEPENDENCYPART_ARC
(11,3),-1.946 # DEPENDENCYPART_ARC
(11,4),-1.2591 # DEPENDENCYPART_ARC
(11,5),-1.55808 # DEPENDENCYPART_ARC
(11,6),-2.16677 # DEPENDENCYPART_ARC
(11,7),-1.953 # DEPENDENCYPART_ARC
(11,8),-1.33774 # DEPENDENCYPART_ARC
(11,9),-0.204448 # DEPENDENCYPART_ARC
(11,10),0.113941 # DEPENDENCYPART_ARC
(11,12),-0.66185 # DEPENDENCYPART_ARC
(11,13),-0.40436 # DEPENDENCYPART_ARC
(11,14),-0.99249 # DEPENDENCYPART_ARC
(11,17),-1.70964 # DEPENDENCYPART_ARC
(11,18),-0.818257 # DEPENDENCYPART_ARC
(11,20),-2.3911 # DEPENDENCYPART_ARC
(11,21),-0.957331 # DEPENDENCYPART_ARC
(11,23),-2.82915 # DEPENDENCYPART_ARC
(11,26),1.13755 # DEPENDENCYPART_ARC
(12,10),-2.2886 # DEPENDENCYPART_ARC
(12,13),-0.805835 # DEPENDENCYPART_ARC
(12,14),-1.16753 # DEPENDENCYPART_ARC
(12,16),-2.26463 # DEPENDENCYPART_ARC
(12,17),-2.24228 # DEPENDENCYPART_ARC
(13,1),-2.91793 # DEPENDENCYPART_ARC
(13,2),-3.6926 # DEPENDENCYPART_ARC
(13,3),-3.30405 # DEPENDENCYPART_ARC
(13,4),-2.81202 # DEPENDENCYPART_ARC
(13,6),-2.1087 # DEPENDENCYPART_ARC
(13,7),-2.15679 # DEPENDENCYPART_ARC
(13,8),-2.21085 # DEPENDENCYPART_ARC
(13,9),-2.09125 # DEPENDENCYPART_ARC
(13,10),-1.85467 # DEPENDENCYPART_ARC
(13,11),-1.24489 # DEPENDENCYPART_ARC
(13,12),1.79045 # DEPENDENCYPART_ARC
(13,14),0.346628 # DEPENDENCYPART_ARC
(13,15),-1.59696 # DEPENDENCYPART_ARC
(13,16),-1.51671 # DEPENDENCYPART_ARC
(13,17),-1.1432 # DEPENDENCYPART_ARC
(13,18),-1.90031 # DEPENDENCYPART_ARC
(13,19),-2.32113 # DEPENDENCYPART_ARC
(13,20),-3.21298 # DEPENDENCYPART_ARC
(13,21),-2.04317 # DEPENDENCYPART_ARC
(13,23),-2.57553 # DEPENDENCYPART_ARC
(13,25),-3.28243 # DEPENDENCYPART_ARC
(15,14),-1.73695 # DEPENDENCYPART_ARC
(15,16),-1.04725 # DEPENDENCYPART_ARC
(15,18),-1.59492 # DEPENDENCYPART_ARC
(16,15),-0.634416 # DEPENDENCYPART_ARC
(16,17),-0.987224 # DEPENDENCYPART_ARC
(16,18),-0.639644 # DEPENDENCYPART_ARC
(16,20),-2.10384 # DEPENDENCYPART_ARC
(16,21),-1.38696 # DEPENDENCYPART_ARC
(16,25),-2.87128 # DEPENDENCYPART_ARC
(17,1),-2.62048 # DEPENDENCYPART_ARC
(17,2),-3.62858 # DEPENDENCYPART_ARC
(17,3),-4.26639 # DEPENDENCYPART_ARC
(17,4),-2.47115 # DEPENDENCYPART_ARC
(17,6),-2.48212 # DEPENDENCYPART_ARC
(17,7),-1.51334 # DEPENDENCYPART_ARC
(17,10),-2.54809 # DEPENDENCYPART_ARC
(17,12),-1.56418 # DEPENDENCYPART_ARC
(17,13),-2.12089 # DEPENDENCYPART_ARC
(17,14),-1.6792 # DEPENDENCYPART_ARC
(17,15),0.837588 # DEPENDENCYPART_ARC
(17,16),1.85339 # DEPENDENCYPART_ARC
(17,18),0.375814 # DEPENDENCYPART_ARC
(17,19),-2.01834 # DEPENDENCYPART_ARC
(17,20),-1.52926 # DEPENDENCYPART_ARC
(17,21),-1.18239 # DEPENDENCYPART_ARC
(17,22),-1.93604 # DEPENDENCYPART_ARC
(17,23),-2.63535 # DEPENDENCYPART_ARC
(17,25),-1.97007 # DEPENDENCYPART_ARC
(18,17),-1.63721 # DEPENDENCYPART_ARC
(18,19),-1.24285 # DEPENDENCYPART_ARC
(18,20),-0.452364 # DEPENDENCYPART_ARC
(18,21),-1.81406 # DEPENDENCYPART_ARC
(18,22),-1.86631 # DEPENDENCYPART_ARC
(18,23),-2.55351 # DEPENDENCYPART_ARC
(18,24),-2.11586 # DEPENDENCYPART_ARC
(18,25),-0.134196 # DEPENDENCYPART_ARC
(20,15),-2.4137 # DEPENDENCYPART_ARC
(20,16),-1.51538 # DEPENDENCYPART_ARC
(20,17),-1.62548 # DEPENDENCYPART_ARC
(20,18),-1.32953 # DEPENDENCYPART_ARC
(20,19),1.06218 # DEPENDENCYPART_ARC
(20,21),0.00821416 # DEPENDENCYPART_ARC
(20,22),-1.45341 # DEPENDENCYPART_ARC
(20,23),-0.468011 # DEPENDENCYPART_ARC
(20,24),-2.15663 # DEPENDENCYPART_ARC
(20,25),-2.00448 # DEPENDENCYPART_ARC
(21,18),-1.63766 # DEPENDENCYPART_ARC
(21,19),-2.09232 # DEPENDENCYPART_ARC
(21,22),1.53226 # DEPENDENCYPART_ARC
(21,23),-0.991574 # DEPENDENCYPART_ARC
(21,24),-0.328442 # DEPENDENCYPART_ARC
(21,25),0.0804803 # DEPENDENCYPART_ARC
(22,19),-1.20738 # DEPENDENCYPART_ARC
(22,20),-0.765945 # DEPENDENCYPART_ARC
(22,21),-1.15721 # DEPENDENCYPART_ARC
(22,23),1.6471 # DEPENDENCYPART_ARC
(22,24),-1.52174 # DEPENDENCYPART_ARC
(22,25),-1.83352 # DEPENDENCYPART_ARC
(23,21),-1.70983 # DEPENDENCYPART_ARC
(24,19),-2.11659 # DEPENDENCYPART_ARC
(24,20),-1.8805 # DEPENDENCYPART_ARC
(24,22),-0.927297 # DEPENDENCYPART_ARC
(24,23),-1.40129 # DEPENDENCYPART_ARC
(24,25),-1.30386 # DEPENDENCYPART_ARC
(25,1),-2.63459 # DEPENDENCYPART_ARC
(25,15),-3.67189 # DEPENDENCYPART_ARC
(25,18),-1.73677 # DEPENDENCYPART_ARC
(25,19),-1.97739 # DEPENDENCYPART_ARC
(25,20),-0.254891 # DEPENDENCYPART_ARC
(25,21),-1.36735 # DEPENDENCYPART_ARC
(25,22),0.253221 # DEPENDENCYPART_ARC
(25,23),-0.716295 # DEPENDENCYPART_ARC
(25,24),1.20254 # DEPENDENCYPART_ARC
(0,4),(0,11),-2.28756 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0941872 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0510342 # DEPENDENCYPART_SIBL
