# _root_ The new generation of plants will possess the flourishing , high-production trait known as `` hybrid vigor , '' similar to that now seen in hybrid corn .
#goldHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,14,17,14,12,12,12,20,21,24,22,24,27,25,6,
#predictedHeads=3,3,6,3,4,0,6,12,12,12,12,7,12,13,17,17,14,17,17,17,20,21,24,20,24,27,25,6,
(0,3),-2.50302 # DEPENDENCYPART_ARC
(0,4),-2.63834 # DEPENDENCYPART_ARC
(0,5),-2.67098 # DEPENDENCYPART_ARC
(0,6),-1.93606 # DEPENDENCYPART_ARC
(0,7),-2.31688 # DEPENDENCYPART_ARC
(0,13),-2.73924 # DEPENDENCYPART_ARC
(1,2),-0.44171 # DEPENDENCYPART_ARC
(1,4),-1.21555 # DEPENDENCYPART_ARC
(2,1),-0.157279 # DEPENDENCYPART_ARC
(2,4),-1.06642 # DEPENDENCYPART_ARC
(2,5),-1.45139 # DEPENDENCYPART_ARC
(2,6),-1.12741 # DEPENDENCYPART_ARC
(2,7),-1.30595 # DEPENDENCYPART_ARC
(3,1),0.101205 # DEPENDENCYPART_ARC
(3,2),1.37567 # DEPENDENCYPART_ARC
(3,4),0.643253 # DEPENDENCYPART_ARC
(3,5),-0.817174 # DEPENDENCYPART_ARC
(3,6),-0.634556 # DEPENDENCYPART_ARC
(3,7),-0.831741 # DEPENDENCYPART_ARC
(3,8),-1.35214 # DEPENDENCYPART_ARC
(3,9),-1.25881 # DEPENDENCYPART_ARC
(3,10),-1.29396 # DEPENDENCYPART_ARC
(3,11),-1.77549 # DEPENDENCYPART_ARC
(3,12),-1.59014 # DEPENDENCYPART_ARC
(3,13),-2.0241 # DEPENDENCYPART_ARC
(3,14),-1.50158 # DEPENDENCYPART_ARC
(3,17),-1.64919 # DEPENDENCYPART_ARC
(3,18),-1.64157 # DEPENDENCYPART_ARC
(3,20),-1.46865 # DEPENDENCYPART_ARC
(3,22),-1.34809 # DEPENDENCYPART_ARC
(3,24),-2.03979 # DEPENDENCYPART_ARC
(3,25),-1.79247 # DEPENDENCYPART_ARC
(3,28),-1.77655 # DEPENDENCYPART_ARC
(4,2),-1.31248 # DEPENDENCYPART_ARC
(4,3),-0.417496 # DEPENDENCYPART_ARC
(4,5),0.764322 # DEPENDENCYPART_ARC
(4,6),-1.16876 # DEPENDENCYPART_ARC
(4,7),-1.26151 # DEPENDENCYPART_ARC
(4,9),-1.47615 # DEPENDENCYPART_ARC
(4,12),-2.94342 # DEPENDENCYPART_ARC
(5,1),-1.34133 # DEPENDENCYPART_ARC
(5,2),-1.28419 # DEPENDENCYPART_ARC
(5,3),-0.859065 # DEPENDENCYPART_ARC
(5,4),-0.0171847 # DEPENDENCYPART_ARC
(5,6),-0.377261 # DEPENDENCYPART_ARC
(5,7),-0.831828 # DEPENDENCYPART_ARC
(5,8),-1.49285 # DEPENDENCYPART_ARC
(5,9),-1.50091 # DEPENDENCYPART_ARC
(5,12),-1.77404 # DEPENDENCYPART_ARC
(5,19),-1.36661 # DEPENDENCYPART_ARC
(5,22),-1.754 # DEPENDENCYPART_ARC
(6,1),-1.15587 # DEPENDENCYPART_ARC
(6,2),-1.09226 # DEPENDENCYPART_ARC
(6,3),-0.361208 # DEPENDENCYPART_ARC
(6,4),-0.444057 # DEPENDENCYPART_ARC
(6,5),0.894041 # DEPENDENCYPART_ARC
(6,7),1.50151 # DEPENDENCYPART_ARC
(6,10),-1.10441 # DEPENDENCYPART_ARC
(6,13),-1.84704 # DEPENDENCYPART_ARC
(6,14),-1.9158 # DEPENDENCYPART_ARC
(6,18),-1.54789 # DEPENDENCYPART_ARC
(6,19),-1.10988 # DEPENDENCYPART_ARC
(6,28),-0.64759 # DEPENDENCYPART_ARC
(7,3),-1.36364 # DEPENDENCYPART_ARC
(7,4),-1.13498 # DEPENDENCYPART_ARC
(7,5),-1.25219 # DEPENDENCYPART_ARC
(7,6),-0.674146 # DEPENDENCYPART_ARC
(7,8),0.142615 # DEPENDENCYPART_ARC
(7,9),-0.478138 # DEPENDENCYPART_ARC
(7,10),-0.88911 # DEPENDENCYPART_ARC
(7,11),-1.53881 # DEPENDENCYPART_ARC
(7,12),-1.13224 # DEPENDENCYPART_ARC
(7,13),-1.65529 # DEPENDENCYPART_ARC
(7,14),-1.8279 # DEPENDENCYPART_ARC
(7,15),-1.80969 # DEPENDENCYPART_ARC
(7,17),-1.87532 # DEPENDENCYPART_ARC
(7,18),-1.81077 # DEPENDENCYPART_ARC
(7,19),-0.996656 # DEPENDENCYPART_ARC
(7,20),-1.60567 # DEPENDENCYPART_ARC
(7,21),-1.7693 # DEPENDENCYPART_ARC
(7,23),-1.83737 # DEPENDENCYPART_ARC
(7,25),-1.93697 # DEPENDENCYPART_ARC
(7,27),-1.57556 # DEPENDENCYPART_ARC
(7,28),-1.18777 # DEPENDENCYPART_ARC
(8,7),0.014282 # DEPENDENCYPART_ARC
(8,9),-0.398043 # DEPENDENCYPART_ARC
(8,10),-1.01057 # DEPENDENCYPART_ARC
(8,13),-1.84222 # DEPENDENCYPART_ARC
(9,3),-1.40852 # DEPENDENCYPART_ARC
(9,4),-1.2694 # DEPENDENCYPART_ARC
(9,5),-1.27992 # DEPENDENCYPART_ARC
(9,8),0.0915552 # DEPENDENCYPART_ARC
(9,10),-0.283979 # DEPENDENCYPART_ARC
(9,11),-1.53676 # DEPENDENCYPART_ARC
(9,12),-1.81295 # DEPENDENCYPART_ARC
(9,13),-1.64131 # DEPENDENCYPART_ARC
(9,14),-1.86476 # DEPENDENCYPART_ARC
(9,17),-2.21112 # DEPENDENCYPART_ARC
(9,19),-1.39715 # DEPENDENCYPART_ARC
(11,3),-1.73043 # DEPENDENCYPART_ARC
(11,8),-1.55267 # DEPENDENCYPART_ARC
(11,9),-1.36001 # DEPENDENCYPART_ARC
(11,10),0.120243 # DEPENDENCYPART_ARC
(11,13),-0.966559 # DEPENDENCYPART_ARC
(11,14),-1.27448 # DEPENDENCYPART_ARC
(11,17),-1.86646 # DEPENDENCYPART_ARC
(12,1),-2.7141 # DEPENDENCYPART_ARC
(12,2),-2.02489 # DEPENDENCYPART_ARC
(12,8),-0.925052 # DEPENDENCYPART_ARC
(12,9),-1.11172 # DEPENDENCYPART_ARC
(12,10),-0.815901 # DEPENDENCYPART_ARC
(12,11),1.34672 # DEPENDENCYPART_ARC
(12,13),0.140259 # DEPENDENCYPART_ARC
(12,14),-0.757455 # DEPENDENCYPART_ARC
(12,15),-1.23289 # DEPENDENCYPART_ARC
(12,16),-1.44575 # DEPENDENCYPART_ARC
(12,17),-1.46905 # DEPENDENCYPART_ARC
(12,18),-1.32643 # DEPENDENCYPART_ARC
(12,19),-1.49765 # DEPENDENCYPART_ARC
(12,20),-1.87006 # DEPENDENCYPART_ARC
(12,21),-1.65322 # DEPENDENCYPART_ARC
(12,22),-1.94512 # DEPENDENCYPART_ARC
(12,24),-2.29876 # DEPENDENCYPART_ARC
(12,28),-2.09324 # DEPENDENCYPART_ARC
(13,3),-2.26656 # DEPENDENCYPART_ARC
(13,5),-2.58979 # DEPENDENCYPART_ARC
(13,8),-2.17377 # DEPENDENCYPART_ARC
(13,9),-2.04666 # DEPENDENCYPART_ARC
(13,10),-1.22802 # DEPENDENCYPART_ARC
(13,11),-1.2461 # DEPENDENCYPART_ARC
(13,12),-0.0833472 # DEPENDENCYPART_ARC
