# _root_ Commodities : Dow Jones futures index 129.63 , up 0.25 ; spot index 129.84 , off 0.25 .
#goldHeads=0,1,6,6,6,1,6,6,6,9,1,13,1,13,13,13,16,1,
#predictedHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
(0,1),-1.75373 # DEPENDENCYPART_ARC
(0,2),-2.1961 # DEPENDENCYPART_ARC
(0,3),-2.90822 # DEPENDENCYPART_ARC
(0,4),-2.85252 # DEPENDENCYPART_ARC
(0,5),-2.97022 # DEPENDENCYPART_ARC
(0,6),-3.01752 # DEPENDENCYPART_ARC
(0,7),-3.12172 # DEPENDENCYPART_ARC
(0,9),-3.24419 # DEPENDENCYPART_ARC
(0,10),-3.70831 # DEPENDENCYPART_ARC
(0,14),-3.64985 # DEPENDENCYPART_ARC
(0,16),-2.97508 # DEPENDENCYPART_ARC
(0,17),-3.45615 # DEPENDENCYPART_ARC
(1,2),0.226259 # DEPENDENCYPART_ARC
(1,3),-1.02185 # DEPENDENCYPART_ARC
(1,4),-1.45816 # DEPENDENCYPART_ARC
(1,5),-1.65879 # DEPENDENCYPART_ARC
(1,6),-1.82884 # DEPENDENCYPART_ARC
(1,7),-1.56528 # DEPENDENCYPART_ARC
(1,8),-1.84382 # DEPENDENCYPART_ARC
(1,9),-1.93546 # DEPENDENCYPART_ARC
(1,10),-2.33656 # DEPENDENCYPART_ARC
(1,11),-1.43768 # DEPENDENCYPART_ARC
(1,12),-2.13815 # DEPENDENCYPART_ARC
(1,13),-2.35113 # DEPENDENCYPART_ARC
(1,15),-2.2183 # DEPENDENCYPART_ARC
(1,18),-1.11115 # DEPENDENCYPART_ARC
(2,6),-1.65362 # DEPENDENCYPART_ARC
(3,1),-2.19247 # DEPENDENCYPART_ARC
(3,2),-1.52453 # DEPENDENCYPART_ARC
(3,4),-0.318812 # DEPENDENCYPART_ARC
(3,5),-1.25423 # DEPENDENCYPART_ARC
(3,6),-1.55708 # DEPENDENCYPART_ARC
(3,7),-1.61347 # DEPENDENCYPART_ARC
(3,8),-1.91661 # DEPENDENCYPART_ARC
(3,9),-1.82739 # DEPENDENCYPART_ARC
(3,10),-2.4098 # DEPENDENCYPART_ARC
(3,11),-1.48973 # DEPENDENCYPART_ARC
(3,13),-2.13215 # DEPENDENCYPART_ARC
(3,15),-2.24435 # DEPENDENCYPART_ARC
(3,18),-1.39992 # DEPENDENCYPART_ARC
(4,1),-1.98558 # DEPENDENCYPART_ARC
(4,2),-2.07457 # DEPENDENCYPART_ARC
