# _root_ The DAX Index of 30 West German blue chips plunged 12.8 % , a one-day record , wiping out the summer 's gains .
#goldHeads=3,3,10,3,9,9,9,9,4,0,12,10,12,16,16,12,12,10,18,21,23,21,18,10,
#predictedHeads=3,3,10,3,9,7,9,9,4,0,12,10,10,16,16,12,10,10,18,21,23,21,18,10,
(0,2),-3.40956 # DEPENDENCYPART_ARC
(0,3),-3.46795 # DEPENDENCYPART_ARC
(0,9),-3.38683 # DEPENDENCYPART_ARC
(0,10),-1.59478 # DEPENDENCYPART_ARC
(1,4),-1.746 # DEPENDENCYPART_ARC
(2,1),-0.976737 # DEPENDENCYPART_ARC
(2,3),-1.34239 # DEPENDENCYPART_ARC
(2,4),-1.33927 # DEPENDENCYPART_ARC
(2,5),-2.45351 # DEPENDENCYPART_ARC
(2,9),-3.25128 # DEPENDENCYPART_ARC
(2,10),-2.76129 # DEPENDENCYPART_ARC
(2,13),-2.20267 # DEPENDENCYPART_ARC
(2,24),-3.14179 # DEPENDENCYPART_ARC
(3,1),0.953955 # DEPENDENCYPART_ARC
(3,2),1.56194 # DEPENDENCYPART_ARC
(3,4),-0.28569 # DEPENDENCYPART_ARC
(3,5),-1.25986 # DEPENDENCYPART_ARC
(3,6),-1.59774 # DEPENDENCYPART_ARC
(3,7),-1.74093 # DEPENDENCYPART_ARC
(3,8),-1.88485 # DEPENDENCYPART_ARC
(3,9),-2.57688 # DEPENDENCYPART_ARC
(3,10),-2.00579 # DEPENDENCYPART_ARC
(3,12),-2.47302 # DEPENDENCYPART_ARC
(3,13),-1.46175 # DEPENDENCYPART_ARC
(3,16),-3.40253 # DEPENDENCYPART_ARC
(3,17),-2.43425 # DEPENDENCYPART_ARC
(3,22),-3.39586 # DEPENDENCYPART_ARC
(3,23),-3.8141 # DEPENDENCYPART_ARC
(3,24),-2.53252 # DEPENDENCYPART_ARC
(4,3),-1.77011 # DEPENDENCYPART_ARC
(4,5),-0.17246 # DEPENDENCYPART_ARC
(4,6),-1.03983 # DEPENDENCYPART_ARC
(4,7),-1.62484 # DEPENDENCYPART_ARC
(4,8),-1.75603 # DEPENDENCYPART_ARC
(4,9),0.0847592 # DEPENDENCYPART_ARC
(4,10),-1.32213 # DEPENDENCYPART_ARC
(4,12),-1.41508 # DEPENDENCYPART_ARC
(4,16),-2.37868 # DEPENDENCYPART_ARC
(4,23),-3.36851 # DEPENDENCYPART_ARC
(4,24),-2.45979 # DEPENDENCYPART_ARC
(5,3),-2.27552 # DEPENDENCYPART_ARC
(5,4),-0.881626 # DEPENDENCYPART_ARC
(5,6),-0.829858 # DEPENDENCYPART_ARC
(5,7),-1.49407 # DEPENDENCYPART_ARC
(5,10),-1.45042 # DEPENDENCYPART_ARC
(5,12),-2.17818 # DEPENDENCYPART_ARC
(5,13),-1.65246 # DEPENDENCYPART_ARC
(5,18),-2.32281 # DEPENDENCYPART_ARC
(6,1),-2.29255 # DEPENDENCYPART_ARC
(6,2),-1.93195 # DEPENDENCYPART_ARC
(6,3),-1.89345 # DEPENDENCYPART_ARC
(6,4),-1.66243 # DEPENDENCYPART_ARC
(6,5),-1.04391 # DEPENDENCYPART_ARC
(6,7),-1.08789 # DEPENDENCYPART_ARC
(6,8),-1.76963 # DEPENDENCYPART_ARC
(6,10),-1.45559 # DEPENDENCYPART_ARC
(6,13),-1.87096 # DEPENDENCYPART_ARC
(7,2),-1.7516 # DEPENDENCYPART_ARC
(7,3),-1.84649 # DEPENDENCYPART_ARC
(7,4),-1.43083 # DEPENDENCYPART_ARC
(7,5),-1.36783 # DEPENDENCYPART_ARC
(7,6),0.433024 # DEPENDENCYPART_ARC
(7,8),-0.967131 # DEPENDENCYPART_ARC
(7,9),-1.29465 # DEPENDENCYPART_ARC
(7,10),-1.21703 # DEPENDENCYPART_ARC
(7,11),-2.05067 # DEPENDENCYPART_ARC
(7,12),-2.0427 # DEPENDENCYPART_ARC
(7,13),-1.69698 # DEPENDENCYPART_ARC
(7,17),-1.95654 # DEPENDENCYPART_ARC
(7,18),-2.07584 # DEPENDENCYPART_ARC
(8,3),-2.36989 # DEPENDENCYPART_ARC
(8,5),-2.05499 # DEPENDENCYPART_ARC
(8,6),-0.807914 # DEPENDENCYPART_ARC
(8,7),-0.0856947 # DEPENDENCYPART_ARC
(8,10),-1.22889 # DEPENDENCYPART_ARC
(8,12),-2.17646 # DEPENDENCYPART_ARC
(9,1),-1.34189 # DEPENDENCYPART_ARC
(9,2),-1.16958 # DEPENDENCYPART_ARC
(9,3),-1.50375 # DEPENDENCYPART_ARC
(9,4),-1.86983 # DEPENDENCYPART_ARC
(9,5),-0.188906 # DEPENDENCYPART_ARC
(9,6),0.433275 # DEPENDENCYPART_ARC
(9,7),1.32351 # DEPENDENCYPART_ARC
(9,8),1.78815 # DEPENDENCYPART_ARC
(9,10),-1.0023 # DEPENDENCYPART_ARC
(9,11),-1.84903 # DEPENDENCYPART_ARC
(9,12),-1.76859 # DEPENDENCYPART_ARC
(9,13),-1.89229 # DEPENDENCYPART_ARC
(9,16),-2.57225 # DEPENDENCYPART_ARC
(9,17),-1.9767 # DEPENDENCYPART_ARC
(9,18),-2.16446 # DEPENDENCYPART_ARC
(9,24),-2.88398 # DEPENDENCYPART_ARC
(10,1),-2.41574 # DEPENDENCYPART_ARC
(10,2),-1.59685 # DEPENDENCYPART_ARC
(10,3),-1.09823 # DEPENDENCYPART_ARC
(10,4),-1.35609 # DEPENDENCYPART_ARC
(10,5),-1.95244 # DEPENDENCYPART_ARC
(10,6),-1.4663 # DEPENDENCYPART_ARC
(10,7),-1.22977 # DEPENDENCYPART_ARC
(10,8),-1.0545 # DEPENDENCYPART_ARC
(10,9),0.659005 # DEPENDENCYPART_ARC
(10,11),-0.395251 # DEPENDENCYPART_ARC
(10,12),0.655711 # DEPENDENCYPART_ARC
(10,13),-0.520739 # DEPENDENCYPART_ARC
(10,14),-1.79233 # DEPENDENCYPART_ARC
(10,15),-1.39082 # DEPENDENCYPART_ARC
(10,16),-0.803856 # DEPENDENCYPART_ARC
(10,17),-0.0613723 # DEPENDENCYPART_ARC
(10,18),-0.317723 # DEPENDENCYPART_ARC
(10,19),-1.22608 # DEPENDENCYPART_ARC
(10,21),-1.93909 # DEPENDENCYPART_ARC
(10,22),-2.17608 # DEPENDENCYPART_ARC
(10,23),-1.73548 # DEPENDENCYPART_ARC
(10,24),0.115764 # DEPENDENCYPART_ARC
(11,4),-2.01941 # DEPENDENCYPART_ARC
(11,9),-1.6228 # DEPENDENCYPART_ARC
(11,12),-1.29605 # DEPENDENCYPART_ARC
(11,13),-1.63962 # DEPENDENCYPART_ARC
(11,16),-2.40465 # DEPENDENCYPART_ARC
(11,17),-1.51737 # DEPENDENCYPART_ARC
(11,18),-2.22608 # DEPENDENCYPART_ARC
(12,1),-3.44184 # DEPENDENCYPART_ARC
(12,2),-2.73907 # DEPENDENCYPART_ARC
(12,3),-3.17544 # DEPENDENCYPART_ARC
(12,4),-2.48096 # DEPENDENCYPART_ARC
(12,5),-2.15856 # DEPENDENCYPART_ARC
(12,6),-1.5697 # DEPENDENCYPART_ARC
(12,7),-0.836347 # DEPENDENCYPART_ARC
(12,8),-0.90757 # DEPENDENCYPART_ARC
(12,9),-1.30999 # DEPENDENCYPART_ARC
(12,10),-1.27316 # DEPENDENCYPART_ARC
(12,11),1.55196 # DEPENDENCYPART_ARC
(12,13),-0.774028 # DEPENDENCYPART_ARC
(12,15),-1.96471 # DEPENDENCYPART_ARC
(12,16),-1.44455 # DEPENDENCYPART_ARC
(12,17),-1.75065 # DEPENDENCYPART_ARC
(12,18),-2.52272 # DEPENDENCYPART_ARC
(12,19),-2.21589 # DEPENDENCYPART_ARC
(12,21),-2.62336 # DEPENDENCYPART_ARC
(12,22),-3.33533 # DEPENDENCYPART_ARC
(12,23),-2.79698 # DEPENDENCYPART_ARC
(12,24),-2.71512 # DEPENDENCYPART_ARC
(14,15),-1.58158 # DEPENDENCYPART_ARC
(14,18),-2.10961 # DEPENDENCYPART_ARC
(15,14),-0.958903 # DEPENDENCYPART_ARC
(15,17),-1.69662 # DEPENDENCYPART_ARC
(15,18),-1.68288 # DEPENDENCYPART_ARC
(16,1),-3.51857 # DEPENDENCYPART_ARC
(16,6),-1.97502 # DEPENDENCYPART_ARC
(16,7),-1.78251 # DEPENDENCYPART_ARC
(16,8),-2.06042 # DEPENDENCYPART_ARC
(16,9),-2.12083 # DEPENDENCYPART_ARC
(16,11),-1.61253 # DEPENDENCYPART_ARC
(16,12),-1.83029 # DEPENDENCYPART_ARC
(16,13),-1.62169 # DEPENDENCYPART_ARC
(16,14),1.20343 # DEPENDENCYPART_ARC
(16,15),1.7955 # DEPENDENCYPART_ARC
(16,17),-1.04552 # DEPENDENCYPART_ARC
(16,18),-1.55339 # DEPENDENCYPART_ARC
(16,19),-1.48608 # DEPENDENCYPART_ARC
(16,21),-1.98902 # DEPENDENCYPART_ARC
(16,22),-2.16277 # DEPENDENCYPART_ARC
(16,23),-2.15848 # DEPENDENCYPART_ARC
(16,24),-2.64688 # DEPENDENCYPART_ARC
(18,9),-2.28082 # DEPENDENCYPART_ARC
(18,12),-2.40797 # DEPENDENCYPART_ARC
(18,16),-2.03106 # DEPENDENCYPART_ARC
(18,17),-1.35993 # DEPENDENCYPART_ARC
(18,19),1.2885 # DEPENDENCYPART_ARC
(18,20),-0.983609 # DEPENDENCYPART_ARC
(18,21),0.14724 # DEPENDENCYPART_ARC
(18,22),-1.42162 # DEPENDENCYPART_ARC
(18,23),-0.00962236 # DEPENDENCYPART_ARC
(18,24),-1.62234 # DEPENDENCYPART_ARC
(19,16),-1.92616 # DEPENDENCYPART_ARC
(19,17),-1.78771 # DEPENDENCYPART_ARC
(19,20),-1.88535 # DEPENDENCYPART_ARC
(19,21),-1.8527 # DEPENDENCYPART_ARC
(19,23),-2.21727 # DEPENDENCYPART_ARC
(20,19),-2.06084 # DEPENDENCYPART_ARC
(21,14),-1.6883 # DEPENDENCYPART_ARC
(21,16),-2.01373 # DEPENDENCYPART_ARC
(21,19),-1.16764 # DEPENDENCYPART_ARC
(21,20),1.82554 # DEPENDENCYPART_ARC
(21,22),1.64901 # DEPENDENCYPART_ARC
(21,23),-1.11097 # DEPENDENCYPART_ARC
(21,24),-1.76138 # DEPENDENCYPART_ARC
(22,23),-1.88667 # DEPENDENCYPART_ARC
(23,5),-3.11892 # DEPENDENCYPART_ARC
(23,6),-2.50415 # DEPENDENCYPART_ARC
(23,7),-2.43467 # DEPENDENCYPART_ARC
(23,14),-2.50535 # DEPENDENCYPART_ARC
(23,15),-1.75962 # DEPENDENCYPART_ARC
(23,16),-1.80342 # DEPENDENCYPART_ARC
(23,18),-1.80301 # DEPENDENCYPART_ARC
(23,19),-1.97241 # DEPENDENCYPART_ARC
(23,20),-0.648832 # DEPENDENCYPART_ARC
(23,21),0.478417 # DEPENDENCYPART_ARC
(23,22),-0.219552 # DEPENDENCYPART_ARC
(23,24),-1.53795 # DEPENDENCYPART_ARC
(24,23),-2.57168 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.230059 # DEPENDENCYPART_SIBL
(0,2),(0,9),-0.179094 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.770364 # DEPENDENCYPART_SIBL
(0,3),(0,9),-0.179916 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.770961 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.762523 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0718401 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.197885 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.018532 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.00611753 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.192009 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.0338447 # DEPENDENCYPART_SIBL
(2,1),(2,24),-0.0649358 # DEPENDENCYPART_SIBL
(2,3),(2,4),0.0154648 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0592675 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0540328 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0871604 # DEPENDENCYPART_SIBL
(2,3),(2,13),-0.00429526 # DEPENDENCYPART_SIBL
(2,3),(2,24),-0.0217355 # DEPENDENCYPART_SIBL
(2,4),(2,5),0.0355216 # DEPENDENCYPART_SIBL
(2,4),(2,9),0.141694 # DEPENDENCYPART_SIBL
(2,4),(2,10),-0.0307892 # DEPENDENCYPART_SIBL
(2,4),(2,13),0.0107424 # DEPENDENCYPART_SIBL
(2,4),(2,24),-0.020456 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.118446 # DEPENDENCYPART_SIBL
(2,5),(2,10),0.0201832 # DEPENDENCYPART_SIBL
(2,5),(2,13),0.0882234 # DEPENDENCYPART_SIBL
(2,5),(2,24),-0.0617089 # DEPENDENCYPART_SIBL
(2,9),(2,10),-0.0827802 # DEPENDENCYPART_SIBL
(2,9),(2,13),0.0370494 # DEPENDENCYPART_SIBL
(2,9),(2,24),0.0864634 # DEPENDENCYPART_SIBL
(2,10),(2,13),0.45912 # DEPENDENCYPART_SIBL
(2,10),(2,24),0.0247325 # DEPENDENCYPART_SIBL
(2,13),(2,24),0.00426558 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.342421 # DEPENDENCYPART_SIBL
(3,1),(3,4),0.214632 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.0531819 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0278319 # DEPENDENCYPART_SIBL
(3,1),(3,7),0.0364759 # DEPENDENCYPART_SIBL
