# _root_ Jaguar 's own defenses against a hostile bid are weakened , analysts add , because fewer than 3 % of its shares are owned by employees and management .
#goldHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,10,23,24,27,25,27,9,
#predictedHeads=4,1,4,9,4,8,8,5,0,9,13,13,10,13,23,17,19,17,23,19,22,20,13,23,24,27,25,27,9,
(0,1),-1.72228 # DEPENDENCYPART_ARC
(0,4),-3.03329 # DEPENDENCYPART_ARC
(0,9),-1.97886 # DEPENDENCYPART_ARC
(0,10),-3.34524 # DEPENDENCYPART_ARC
(0,13),-3.29166 # DEPENDENCYPART_ARC
(0,23),-2.80464 # DEPENDENCYPART_ARC
(0,24),-3.69409 # DEPENDENCYPART_ARC
(0,27),-2.32128 # DEPENDENCYPART_ARC
(1,2),0.896194 # DEPENDENCYPART_ARC
(1,3),-0.831169 # DEPENDENCYPART_ARC
(1,4),-1.15823 # DEPENDENCYPART_ARC
(1,5),-0.774928 # DEPENDENCYPART_ARC
(1,8),-1.45285 # DEPENDENCYPART_ARC
(1,9),-1.10784 # DEPENDENCYPART_ARC
(1,10),-1.31486 # DEPENDENCYPART_ARC
(1,11),-1.39469 # DEPENDENCYPART_ARC
(1,14),-1.35621 # DEPENDENCYPART_ARC
(1,19),-1.33311 # DEPENDENCYPART_ARC
(1,29),-2.05313 # DEPENDENCYPART_ARC
(3,1),-0.84823 # DEPENDENCYPART_ARC
(3,5),-1.16663 # DEPENDENCYPART_ARC
(4,1),-0.56239 # DEPENDENCYPART_ARC
(4,2),-0.984507 # DEPENDENCYPART_ARC
(4,3),1.33424 # DEPENDENCYPART_ARC
(4,5),0.460965 # DEPENDENCYPART_ARC
(4,6),-1.26243 # DEPENDENCYPART_ARC
(4,7),-1.20549 # DEPENDENCYPART_ARC
(4,8),-1.33579 # DEPENDENCYPART_ARC
(4,9),-1.12259 # DEPENDENCYPART_ARC
(4,10),-1.48214 # DEPENDENCYPART_ARC
(4,11),-1.55811 # DEPENDENCYPART_ARC
(4,12),-1.72876 # DEPENDENCYPART_ARC
(4,13),-2.18499 # DEPENDENCYPART_ARC
(4,14),-1.6514 # DEPENDENCYPART_ARC
(4,24),-1.98595 # DEPENDENCYPART_ARC
(4,29),-2.33538 # DEPENDENCYPART_ARC
(5,3),-1.42834 # DEPENDENCYPART_ARC
(5,4),-0.509099 # DEPENDENCYPART_ARC
(5,6),-0.188603 # DEPENDENCYPART_ARC
(5,7),-0.765158 # DEPENDENCYPART_ARC
(5,8),-0.601766 # DEPENDENCYPART_ARC
(5,9),-1.53818 # DEPENDENCYPART_ARC
(5,11),-1.47185 # DEPENDENCYPART_ARC
(5,12),-2.49823 # DEPENDENCYPART_ARC
(5,13),-2.42511 # DEPENDENCYPART_ARC
(6,5),-0.212495 # DEPENDENCYPART_ARC
(6,7),-0.339016 # DEPENDENCYPART_ARC
(7,3),-1.49028 # DEPENDENCYPART_ARC
