# _root_ Today , with business activity in Hong Kong staggering along at an uneven pace , the economy itself seems locked in a struggle between hope and fear .
#goldHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
#predictedHeads=19,19,19,5,9,5,8,6,3,9,9,14,14,11,19,17,19,17,0,19,20,23,21,23,26,24,26,19,
(0,1),-1.72517 # DEPENDENCYPART_ARC
(0,3),-3.26904 # DEPENDENCYPART_ARC
(0,5),-3.31741 # DEPENDENCYPART_ARC
(0,9),-2.09996 # DEPENDENCYPART_ARC
(0,17),-2.87146 # DEPENDENCYPART_ARC
(0,19),-2.37749 # DEPENDENCYPART_ARC
(0,20),-2.64324 # DEPENDENCYPART_ARC
(0,26),-2.57137 # DEPENDENCYPART_ARC
(1,2),-0.312319 # DEPENDENCYPART_ARC
(1,3),-1.77567 # DEPENDENCYPART_ARC
(1,4),-1.79668 # DEPENDENCYPART_ARC
(1,5),-2.05707 # DEPENDENCYPART_ARC
(1,6),-2.18267 # DEPENDENCYPART_ARC
(1,7),-2.13965 # DEPENDENCYPART_ARC
(1,8),-2.35612 # DEPENDENCYPART_ARC
(1,9),-2.25917 # DEPENDENCYPART_ARC
(1,11),-2.57828 # DEPENDENCYPART_ARC
(1,14),-2.27276 # DEPENDENCYPART_ARC
(1,15),-1.92798 # DEPENDENCYPART_ARC
(1,19),-2.44365 # DEPENDENCYPART_ARC
(1,20),-2.49271 # DEPENDENCYPART_ARC
(1,24),-2.25196 # DEPENDENCYPART_ARC
(1,28),-2.94895 # DEPENDENCYPART_ARC
(2,3),-0.842628 # DEPENDENCYPART_ARC
(3,1),-1.968 # DEPENDENCYPART_ARC
(3,2),-0.167075 # DEPENDENCYPART_ARC
(3,4),-0.218851 # DEPENDENCYPART_ARC
(3,5),-0.768834 # DEPENDENCYPART_ARC
(3,6),-1.67334 # DEPENDENCYPART_ARC
(3,7),-2.28122 # DEPENDENCYPART_ARC
(3,8),-2.18858 # DEPENDENCYPART_ARC
(3,9),-0.919414 # DEPENDENCYPART_ARC
(3,10),-1.83758 # DEPENDENCYPART_ARC
(3,26),-1.35246 # DEPENDENCYPART_ARC
(4,2),-2.1288 # DEPENDENCYPART_ARC
(4,3),-0.915164 # DEPENDENCYPART_ARC
(4,6),-1.24851 # DEPENDENCYPART_ARC
(5,1),-1.56281 # DEPENDENCYPART_ARC
(5,2),-1.4985 # DEPENDENCYPART_ARC
(5,3),-0.920121 # DEPENDENCYPART_ARC
(5,4),2.08728 # DEPENDENCYPART_ARC
(5,6),0.136314 # DEPENDENCYPART_ARC
(5,7),-1.20034 # DEPENDENCYPART_ARC
(5,8),-1.47663 # DEPENDENCYPART_ARC
(5,9),-1.24441 # DEPENDENCYPART_ARC
