# _root_ `` Parenthood , '' this summer 's successful and amusing movie about parents and children , apparently was only the beginning .
#goldHeads=2,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
#predictedHeads=18,18,2,2,6,11,6,9,11,9,2,11,14,12,14,2,18,0,21,21,18,18,
(0,2),-2.36454 # DEPENDENCYPART_ARC
(0,9),-2.76855 # DEPENDENCYPART_ARC
(0,11),-3.52206 # DEPENDENCYPART_ARC
(0,14),-3.03164 # DEPENDENCYPART_ARC
(0,18),-1.82697 # DEPENDENCYPART_ARC
(2,1),0.57485 # DEPENDENCYPART_ARC
(2,3),0.225239 # DEPENDENCYPART_ARC
(2,4),-1.21426 # DEPENDENCYPART_ARC
(2,5),-1.72039 # DEPENDENCYPART_ARC
(2,6),-1.5969 # DEPENDENCYPART_ARC
(2,8),-1.58584 # DEPENDENCYPART_ARC
(2,9),-1.15991 # DEPENDENCYPART_ARC
(2,10),-1.69247 # DEPENDENCYPART_ARC
(2,11),-1.59051 # DEPENDENCYPART_ARC
(2,12),-1.60501 # DEPENDENCYPART_ARC
(2,14),-1.10107 # DEPENDENCYPART_ARC
(2,15),-1.81662 # DEPENDENCYPART_ARC
(2,16),-1.20728 # DEPENDENCYPART_ARC
(2,17),-1.39938 # DEPENDENCYPART_ARC
(2,18),-1.79258 # DEPENDENCYPART_ARC
(2,19),-1.59694 # DEPENDENCYPART_ARC
(2,21),-2.05138 # DEPENDENCYPART_ARC
(2,22),-1.78565 # DEPENDENCYPART_ARC
(5,3),-0.72255 # DEPENDENCYPART_ARC
(6,1),-1.45011 # DEPENDENCYPART_ARC
(6,2),-1.70355 # DEPENDENCYPART_ARC
(6,3),-1.50741 # DEPENDENCYPART_ARC
(6,4),-0.63443 # DEPENDENCYPART_ARC
(6,5),1.36336 # DEPENDENCYPART_ARC
(6,7),0.90702 # DEPENDENCYPART_ARC
(6,8),-0.879313 # DEPENDENCYPART_ARC
(6,9),-0.70226 # DEPENDENCYPART_ARC
(6,10),-1.1473 # DEPENDENCYPART_ARC
(6,12),-0.864161 # DEPENDENCYPART_ARC
(6,14),-0.663624 # DEPENDENCYPART_ARC
(6,15),-1.61007 # DEPENDENCYPART_ARC
(6,16),-1.48107 # DEPENDENCYPART_ARC
(6,17),-1.51952 # DEPENDENCYPART_ARC
(6,18),-1.84871 # DEPENDENCYPART_ARC
(6,19),-1.66329 # DEPENDENCYPART_ARC
(6,22),-1.81153 # DEPENDENCYPART_ARC
(8,2),-1.60684 # DEPENDENCYPART_ARC
(8,5),-1.18798 # DEPENDENCYPART_ARC
(8,6),-0.860223 # DEPENDENCYPART_ARC
(8,10),-1.20147 # DEPENDENCYPART_ARC
(8,22),-2.26852 # DEPENDENCYPART_ARC
(9,1),-1.4561 # DEPENDENCYPART_ARC
(9,2),-1.23746 # DEPENDENCYPART_ARC
(9,3),-1.01019 # DEPENDENCYPART_ARC
(9,4),-1.16315 # DEPENDENCYPART_ARC
(9,5),-0.785489 # DEPENDENCYPART_ARC
(9,6),-0.432708 # DEPENDENCYPART_ARC
(9,8),1.18643 # DEPENDENCYPART_ARC
(9,10),1.56913 # DEPENDENCYPART_ARC
(9,11),-0.0469112 # DEPENDENCYPART_ARC
(9,12),-0.898404 # DEPENDENCYPART_ARC
(9,13),-1.1357 # DEPENDENCYPART_ARC
(9,14),-0.877327 # DEPENDENCYPART_ARC
(9,15),-1.46995 # DEPENDENCYPART_ARC
(9,16),-1.0957 # DEPENDENCYPART_ARC
(9,17),-1.61646 # DEPENDENCYPART_ARC
(9,18),-1.63079 # DEPENDENCYPART_ARC
(9,21),-2.95109 # DEPENDENCYPART_ARC
(9,22),-1.2292 # DEPENDENCYPART_ARC
(10,2),-2.31837 # DEPENDENCYPART_ARC
(10,6),-1.73057 # DEPENDENCYPART_ARC
(10,8),-1.72763 # DEPENDENCYPART_ARC
(10,11),-0.52792 # DEPENDENCYPART_ARC
(10,12),-1.11993 # DEPENDENCYPART_ARC
(11,1),-1.62412 # DEPENDENCYPART_ARC
(11,2),-2.59955 # DEPENDENCYPART_ARC
(11,3),-1.96524 # DEPENDENCYPART_ARC
(11,5),-1.68344 # DEPENDENCYPART_ARC
(11,6),-0.969936 # DEPENDENCYPART_ARC
(11,8),-0.844149 # DEPENDENCYPART_ARC
(11,9),-0.0596024 # DEPENDENCYPART_ARC
(11,10),1.17541 # DEPENDENCYPART_ARC
(11,12),0.481483 # DEPENDENCYPART_ARC
(11,13),-1.03336 # DEPENDENCYPART_ARC
(11,14),-0.795432 # DEPENDENCYPART_ARC
(11,15),-1.37885 # DEPENDENCYPART_ARC
(11,16),-1.40523 # DEPENDENCYPART_ARC
(11,17),-1.59817 # DEPENDENCYPART_ARC
(11,18),-1.73121 # DEPENDENCYPART_ARC
(11,19),-1.8539 # DEPENDENCYPART_ARC
(11,21),-1.92944 # DEPENDENCYPART_ARC
(11,22),-2.2075 # DEPENDENCYPART_ARC
(12,9),-1.07563 # DEPENDENCYPART_ARC
(12,10),-1.29483 # DEPENDENCYPART_ARC
(12,11),-0.438343 # DEPENDENCYPART_ARC
(12,13),0.787797 # DEPENDENCYPART_ARC
(12,14),-0.672022 # DEPENDENCYPART_ARC
(12,15),-1.02937 # DEPENDENCYPART_ARC
(12,16),-1.23533 # DEPENDENCYPART_ARC
(12,17),-1.69334 # DEPENDENCYPART_ARC
(12,18),-1.91499 # DEPENDENCYPART_ARC
(12,19),-1.79507 # DEPENDENCYPART_ARC
(12,21),-2.83622 # DEPENDENCYPART_ARC
(12,22),-1.86556 # DEPENDENCYPART_ARC
(13,6),-2.49329 # DEPENDENCYPART_ARC
(13,8),-2.23651 # DEPENDENCYPART_ARC
(13,9),-1.52314 # DEPENDENCYPART_ARC
(13,10),-1.81542 # DEPENDENCYPART_ARC
(13,11),-1.23648 # DEPENDENCYPART_ARC
(13,12),-0.310134 # DEPENDENCYPART_ARC
(13,15),-1.17119 # DEPENDENCYPART_ARC
(13,16),-1.60857 # DEPENDENCYPART_ARC
(13,18),-2.03682 # DEPENDENCYPART_ARC
(14,1),-1.13912 # DEPENDENCYPART_ARC
(14,2),-0.924324 # DEPENDENCYPART_ARC
(14,3),-1.02455 # DEPENDENCYPART_ARC
(14,5),-0.940212 # DEPENDENCYPART_ARC
(14,6),-0.379355 # DEPENDENCYPART_ARC
(14,8),-0.983887 # DEPENDENCYPART_ARC
(14,9),-0.679686 # DEPENDENCYPART_ARC
(14,10),-0.6069 # DEPENDENCYPART_ARC
(14,11),-0.291154 # DEPENDENCYPART_ARC
(14,12),-0.52218 # DEPENDENCYPART_ARC
(14,13),2.41292 # DEPENDENCYPART_ARC
(14,15),1.72815 # DEPENDENCYPART_ARC
