# _root_ The plan had been to make one of Shearson 's easy-to-film , black-and-white `` Where We Stand '' commercials , which have been running occasionally in response to news events since 1985 .
#goldHeads=2,3,0,3,4,5,6,7,19,9,19,19,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
#predictedHeads=2,3,0,3,4,5,6,7,19,9,19,6,19,19,17,17,19,19,8,19,22,19,22,23,24,24,26,27,30,28,24,31,3,
(0,2),-3.23038 # DEPENDENCYPART_ARC
(0,3),-0.9995 # DEPENDENCYPART_ARC
(0,4),-3.19834 # DEPENDENCYPART_ARC
(0,17),-2.78439 # DEPENDENCYPART_ARC
(0,22),-3.51541 # DEPENDENCYPART_ARC
(2,1),1.76159 # DEPENDENCYPART_ARC
(2,3),-0.820109 # DEPENDENCYPART_ARC
(2,4),-1.27378 # DEPENDENCYPART_ARC
(2,5),-0.7753 # DEPENDENCYPART_ARC
(2,7),-2.27687 # DEPENDENCYPART_ARC
(2,8),-1.46826 # DEPENDENCYPART_ARC
(2,10),-2.65795 # DEPENDENCYPART_ARC
(3,1),-1.32849 # DEPENDENCYPART_ARC
(3,2),0.583365 # DEPENDENCYPART_ARC
(3,4),1.9523 # DEPENDENCYPART_ARC
(3,5),-0.0478599 # DEPENDENCYPART_ARC
(3,6),-1.20198 # DEPENDENCYPART_ARC
(3,7),-2.29498 # DEPENDENCYPART_ARC
(3,8),-1.90962 # DEPENDENCYPART_ARC
(3,9),-2.17476 # DEPENDENCYPART_ARC
(3,10),-2.42311 # DEPENDENCYPART_ARC
(3,11),-2.57013 # DEPENDENCYPART_ARC
(3,12),-1.40595 # DEPENDENCYPART_ARC
(3,14),-1.97787 # DEPENDENCYPART_ARC
(3,17),-1.59657 # DEPENDENCYPART_ARC
(3,18),-1.16704 # DEPENDENCYPART_ARC
(3,19),-2.4991 # DEPENDENCYPART_ARC
(3,20),-1.62483 # DEPENDENCYPART_ARC
(3,22),-1.75528 # DEPENDENCYPART_ARC
(3,23),-2.55236 # DEPENDENCYPART_ARC
(3,24),-2.66067 # DEPENDENCYPART_ARC
(3,33),0.0375071 # DEPENDENCYPART_ARC
(4,2),-1.55043 # DEPENDENCYPART_ARC
(4,3),-1.20212 # DEPENDENCYPART_ARC
(4,5),0.994118 # DEPENDENCYPART_ARC
(4,6),-0.487103 # DEPENDENCYPART_ARC
(4,7),-1.385 # DEPENDENCYPART_ARC
(4,8),-0.70802 # DEPENDENCYPART_ARC
(4,9),-1.32889 # DEPENDENCYPART_ARC
(4,10),-2.21665 # DEPENDENCYPART_ARC
(4,11),-1.56829 # DEPENDENCYPART_ARC
(4,12),-1.06449 # DEPENDENCYPART_ARC
(4,13),-1.79068 # DEPENDENCYPART_ARC
(4,14),-1.54509 # DEPENDENCYPART_ARC
(4,17),-2.01838 # DEPENDENCYPART_ARC
(4,18),-1.1107 # DEPENDENCYPART_ARC
(4,19),-2.18617 # DEPENDENCYPART_ARC
(4,20),-1.55091 # DEPENDENCYPART_ARC
(4,22),-2.48266 # DEPENDENCYPART_ARC
(4,23),-2.10429 # DEPENDENCYPART_ARC
(4,24),-1.85844 # DEPENDENCYPART_ARC
(4,33),-2.2892 # DEPENDENCYPART_ARC
(5,2),-1.84437 # DEPENDENCYPART_ARC
(5,4),-1.21747 # DEPENDENCYPART_ARC
(5,6),2.04048 # DEPENDENCYPART_ARC
(5,7),-0.515631 # DEPENDENCYPART_ARC
(5,8),-0.95524 # DEPENDENCYPART_ARC
(5,9),-1.5858 # DEPENDENCYPART_ARC
(5,12),-1.08072 # DEPENDENCYPART_ARC
(5,19),-1.70957 # DEPENDENCYPART_ARC
(6,2),-1.50395 # DEPENDENCYPART_ARC
(6,7),-0.204446 # DEPENDENCYPART_ARC
(6,8),-0.285599 # DEPENDENCYPART_ARC
(6,9),-0.898255 # DEPENDENCYPART_ARC
(6,10),-1.58012 # DEPENDENCYPART_ARC
(6,11),-0.936506 # DEPENDENCYPART_ARC
(6,12),-1.03812 # DEPENDENCYPART_ARC
(6,13),-1.46205 # DEPENDENCYPART_ARC
(6,14),-1.30255 # DEPENDENCYPART_ARC
(6,15),-2.18962 # DEPENDENCYPART_ARC
(6,16),-1.7349 # DEPENDENCYPART_ARC
(6,17),-1.11992 # DEPENDENCYPART_ARC
(6,18),-1.37619 # DEPENDENCYPART_ARC
(6,19),-1.3662 # DEPENDENCYPART_ARC
(6,20),-1.55121 # DEPENDENCYPART_ARC
(6,21),-2.77044 # DEPENDENCYPART_ARC
(6,22),-1.37212 # DEPENDENCYPART_ARC
(6,23),-1.97654 # DEPENDENCYPART_ARC
(6,24),-2.11764 # DEPENDENCYPART_ARC
(6,25),-2.37523 # DEPENDENCYPART_ARC
(6,26),-2.46837 # DEPENDENCYPART_ARC
(6,33),-1.92931 # DEPENDENCYPART_ARC
(7,5),-1.67041 # DEPENDENCYPART_ARC
(7,6),-0.59951 # DEPENDENCYPART_ARC
(7,8),0.631469 # DEPENDENCYPART_ARC
(7,9),-1.26194 # DEPENDENCYPART_ARC
(7,10),-1.32418 # DEPENDENCYPART_ARC
(7,11),-1.60604 # DEPENDENCYPART_ARC
(7,12),-1.15121 # DEPENDENCYPART_ARC
(7,13),-1.88711 # DEPENDENCYPART_ARC
(7,14),-1.89979 # DEPENDENCYPART_ARC
(7,15),-2.26055 # DEPENDENCYPART_ARC
(7,17),-1.48364 # DEPENDENCYPART_ARC
(7,18),-1.59105 # DEPENDENCYPART_ARC
(7,19),-2.29348 # DEPENDENCYPART_ARC
(7,20),-1.33842 # DEPENDENCYPART_ARC
(7,22),-1.72195 # DEPENDENCYPART_ARC
(7,23),-2.26876 # DEPENDENCYPART_ARC
(7,24),-1.95759 # DEPENDENCYPART_ARC
(8,7),-2.0896 # DEPENDENCYPART_ARC
(8,9),0.214173 # DEPENDENCYPART_ARC
(8,10),-1.32897 # DEPENDENCYPART_ARC
(8,11),-1.79631 # DEPENDENCYPART_ARC
(8,13),-2.36035 # DEPENDENCYPART_ARC
(8,17),-1.69678 # DEPENDENCYPART_ARC
(8,18),-1.96842 # DEPENDENCYPART_ARC
(8,19),-1.32209 # DEPENDENCYPART_ARC
(8,21),-2.68091 # DEPENDENCYPART_ARC
(9,7),-1.3934 # DEPENDENCYPART_ARC
(9,8),-1.16394 # DEPENDENCYPART_ARC
(9,10),1.83016 # DEPENDENCYPART_ARC
(9,11),-1.03278 # DEPENDENCYPART_ARC
(9,12),-1.08168 # DEPENDENCYPART_ARC
(9,13),-1.71642 # DEPENDENCYPART_ARC
(9,17),-1.94113 # DEPENDENCYPART_ARC
(10,8),-1.59921 # DEPENDENCYPART_ARC
(10,11),-1.67472 # DEPENDENCYPART_ARC
(11,2),-2.58342 # DEPENDENCYPART_ARC
(11,3),-2.59848 # DEPENDENCYPART_ARC
(11,7),-2.31869 # DEPENDENCYPART_ARC
(11,8),-1.62484 # DEPENDENCYPART_ARC
(11,9),-1.38074 # DEPENDENCYPART_ARC
(11,10),-1.43126 # DEPENDENCYPART_ARC
(11,12),-0.675595 # DEPENDENCYPART_ARC
(11,13),-1.05533 # DEPENDENCYPART_ARC
(11,14),-1.82177 # DEPENDENCYPART_ARC
(11,15),-2.3177 # DEPENDENCYPART_ARC
(11,17),-1.66114 # DEPENDENCYPART_ARC
(11,20),-1.79065 # DEPENDENCYPART_ARC
(11,22),-1.81667 # DEPENDENCYPART_ARC
(13,3),-2.71002 # DEPENDENCYPART_ARC
(13,9),-1.85511 # DEPENDENCYPART_ARC
(13,11),-1.072 # DEPENDENCYPART_ARC
(13,12),-0.921579 # DEPENDENCYPART_ARC
(13,14),-0.578729 # DEPENDENCYPART_ARC
(13,15),-1.52248 # DEPENDENCYPART_ARC
(13,16),-1.49794 # DEPENDENCYPART_ARC
(13,17),-1.09882 # DEPENDENCYPART_ARC
(13,18),-1.37776 # DEPENDENCYPART_ARC
(13,19),-1.9811 # DEPENDENCYPART_ARC
(13,20),-1.39432 # DEPENDENCYPART_ARC
(13,22),-1.45713 # DEPENDENCYPART_ARC
(13,23),-2.0737 # DEPENDENCYPART_ARC
(13,24),-1.8586 # DEPENDENCYPART_ARC
(13,28),-1.89986 # DEPENDENCYPART_ARC
(14,13),-1.54652 # DEPENDENCYPART_ARC
(15,13),-2.06507 # DEPENDENCYPART_ARC
(15,14),-1.29345 # DEPENDENCYPART_ARC
(15,16),-1.27617 # DEPENDENCYPART_ARC
(15,18),-1.55365 # DEPENDENCYPART_ARC
(15,19),-2.24679 # DEPENDENCYPART_ARC
(15,20),-2.0188 # DEPENDENCYPART_ARC
(15,22),-2.16449 # DEPENDENCYPART_ARC
(16,15),-1.73733 # DEPENDENCYPART_ARC
(17,2),-2.17973 # DEPENDENCYPART_ARC
(17,3),-1.69464 # DEPENDENCYPART_ARC
(17,4),-1.8848 # DEPENDENCYPART_ARC
(17,5),-1.71185 # DEPENDENCYPART_ARC
(17,7),-2.10312 # DEPENDENCYPART_ARC
(17,8),-1.47466 # DEPENDENCYPART_ARC
(17,9),-1.94432 # DEPENDENCYPART_ARC
(17,10),-1.76086 # DEPENDENCYPART_ARC
(17,11),-1.72016 # DEPENDENCYPART_ARC
(17,12),-1.05532 # DEPENDENCYPART_ARC
(17,13),-1.4355 # DEPENDENCYPART_ARC
(17,14),-0.729664 # DEPENDENCYPART_ARC
(17,15),0.72961 # DEPENDENCYPART_ARC
(17,16),1.83106 # DEPENDENCYPART_ARC
(17,18),0.0924335 # DEPENDENCYPART_ARC
(17,19),0.336102 # DEPENDENCYPART_ARC
(17,20),-0.998219 # DEPENDENCYPART_ARC
(17,21),-1.9193 # DEPENDENCYPART_ARC
(17,22),-0.541143 # DEPENDENCYPART_ARC
(17,23),-1.29442 # DEPENDENCYPART_ARC
(17,24),-1.20489 # DEPENDENCYPART_ARC
(17,25),-1.75413 # DEPENDENCYPART_ARC
(17,26),-1.26383 # DEPENDENCYPART_ARC
(17,27),-2.26507 # DEPENDENCYPART_ARC
(17,28),-1.52385 # DEPENDENCYPART_ARC
(17,31),-1.43541 # DEPENDENCYPART_ARC
(17,33),-0.83759 # DEPENDENCYPART_ARC
(19,2),-2.32271 # DEPENDENCYPART_ARC
(19,3),-2.36463 # DEPENDENCYPART_ARC
(19,4),-2.24665 # DEPENDENCYPART_ARC
(19,7),-2.77492 # DEPENDENCYPART_ARC
(19,9),-1.67073 # DEPENDENCYPART_ARC
(19,11),-1.00988 # DEPENDENCYPART_ARC
(19,13),-1.02122 # DEPENDENCYPART_ARC
(19,14),-0.870303 # DEPENDENCYPART_ARC
(19,15),-0.692803 # DEPENDENCYPART_ARC
(19,16),-1.61343 # DEPENDENCYPART_ARC
(19,17),-0.868561 # DEPENDENCYPART_ARC
(19,18),0.544192 # DEPENDENCYPART_ARC
(19,20),-0.124285 # DEPENDENCYPART_ARC
(19,21),-1.74638 # DEPENDENCYPART_ARC
