# _root_ `` I think we could very well have { an economic } slowdown , beginning very soon if not already , '' he says .
#goldHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,13,13,18,16,15,18,18,24,24,24,0,24,
#predictedHeads=24,3,24,5,3,5,6,5,13,13,13,13,8,3,3,15,16,16,16,19,24,24,24,0,24,
(0,3),-2.07176 # DEPENDENCYPART_ARC
(0,5),-2.56212 # DEPENDENCYPART_ARC
(0,8),-2.78802 # DEPENDENCYPART_ARC
(0,24),-0.48026 # DEPENDENCYPART_ARC
(2,3),-0.179476 # DEPENDENCYPART_ARC
(2,8),-1.46636 # DEPENDENCYPART_ARC
(3,1),-0.347632 # DEPENDENCYPART_ARC
(3,2),1.01686 # DEPENDENCYPART_ARC
(3,4),0.362586 # DEPENDENCYPART_ARC
(3,5),0.0173389 # DEPENDENCYPART_ARC
(3,6),-0.440674 # DEPENDENCYPART_ARC
(3,7),-0.615342 # DEPENDENCYPART_ARC
(3,8),-0.570611 # DEPENDENCYPART_ARC
(3,11),-1.15028 # DEPENDENCYPART_ARC
(3,12),-0.956858 # DEPENDENCYPART_ARC
(3,13),-1.21537 # DEPENDENCYPART_ARC
(3,14),-1.11173 # DEPENDENCYPART_ARC
(3,15),-1.77317 # DEPENDENCYPART_ARC
(3,16),-1.7774 # DEPENDENCYPART_ARC
(3,18),-2.32927 # DEPENDENCYPART_ARC
(3,21),-1.70709 # DEPENDENCYPART_ARC
(3,22),-0.54682 # DEPENDENCYPART_ARC
(3,25),-1.50133 # DEPENDENCYPART_ARC
(4,8),-1.21404 # DEPENDENCYPART_ARC
(5,1),-1.20591 # DEPENDENCYPART_ARC
(5,2),-1.22745 # DEPENDENCYPART_ARC
(5,3),-1.06388 # DEPENDENCYPART_ARC
(5,4),0.719895 # DEPENDENCYPART_ARC
(5,6),0.706606 # DEPENDENCYPART_ARC
(5,7),-0.216918 # DEPENDENCYPART_ARC
(5,8),0.070957 # DEPENDENCYPART_ARC
(5,12),-0.863435 # DEPENDENCYPART_ARC
(5,14),-1.10042 # DEPENDENCYPART_ARC
(5,16),-1.55946 # DEPENDENCYPART_ARC
