# _root_ Ms. Bogart does better with music than with words when she wants , as she so often does want , to express herself through Gorky 's helpless play .
#goldHeads=2,3,0,3,4,5,4,7,8,12,12,3,18,18,18,18,16,12,18,18,22,12,22,22,28,25,28,24,3,
#predictedHeads=2,3,0,3,3,5,4,7,8,12,12,3,12,18,18,18,18,12,18,19,22,19,22,22,28,25,28,24,3,
(0,1),-1.75855 # DEPENDENCYPART_ARC
(0,2),-2.48848 # DEPENDENCYPART_ARC
(0,3),-1.97299 # DEPENDENCYPART_ARC
(0,12),-3.64021 # DEPENDENCYPART_ARC
(0,18),-3.9158 # DEPENDENCYPART_ARC
(0,19),-4.54456 # DEPENDENCYPART_ARC
(0,22),-4.04147 # DEPENDENCYPART_ARC
(1,2),-0.609352 # DEPENDENCYPART_ARC
(1,3),-0.838342 # DEPENDENCYPART_ARC
(1,5),-1.33241 # DEPENDENCYPART_ARC
(2,1),1.40201 # DEPENDENCYPART_ARC
(2,3),-0.328024 # DEPENDENCYPART_ARC
(2,5),-1.22799 # DEPENDENCYPART_ARC
(2,6),-1.50434 # DEPENDENCYPART_ARC
(2,7),-1.50398 # DEPENDENCYPART_ARC
(2,8),-1.61819 # DEPENDENCYPART_ARC
(2,12),-1.71824 # DEPENDENCYPART_ARC
(2,29),-2.79609 # DEPENDENCYPART_ARC
(3,1),-0.393857 # DEPENDENCYPART_ARC
(3,2),0.50908 # DEPENDENCYPART_ARC
(3,4),0.860031 # DEPENDENCYPART_ARC
(3,5),0.024084 # DEPENDENCYPART_ARC
(3,6),-0.402738 # DEPENDENCYPART_ARC
(3,7),-0.72382 # DEPENDENCYPART_ARC
(3,8),-0.874548 # DEPENDENCYPART_ARC
(3,9),-1.26515 # DEPENDENCYPART_ARC
(3,12),-0.450992 # DEPENDENCYPART_ARC
(3,13),-1.16152 # DEPENDENCYPART_ARC
(3,14),-2.22116 # DEPENDENCYPART_ARC
(3,16),-1.61416 # DEPENDENCYPART_ARC
(3,17),-1.80916 # DEPENDENCYPART_ARC
(3,18),-1.40106 # DEPENDENCYPART_ARC
(3,20),-1.82057 # DEPENDENCYPART_ARC
(3,29),-0.176874 # DEPENDENCYPART_ARC
(4,3),-0.175683 # DEPENDENCYPART_ARC
(4,5),0.0796995 # DEPENDENCYPART_ARC
(4,6),-0.766452 # DEPENDENCYPART_ARC
(4,7),-0.804002 # DEPENDENCYPART_ARC
(4,8),-1.07057 # DEPENDENCYPART_ARC
(5,4),0.0731393 # DEPENDENCYPART_ARC
(5,6),0.552746 # DEPENDENCYPART_ARC
(5,7),-0.971222 # DEPENDENCYPART_ARC
(5,8),-1.19365 # DEPENDENCYPART_ARC
(5,9),-1.4524 # DEPENDENCYPART_ARC
(5,12),-0.983855 # DEPENDENCYPART_ARC
(6,1),-1.54213 # DEPENDENCYPART_ARC
(6,2),-1.83424 # DEPENDENCYPART_ARC
(6,4),-0.852296 # DEPENDENCYPART_ARC
(6,5),-0.332658 # DEPENDENCYPART_ARC
(6,7),0.0699329 # DEPENDENCYPART_ARC
(6,8),-0.896978 # DEPENDENCYPART_ARC
(6,9),-1.3392 # DEPENDENCYPART_ARC
(6,12),-1.08749 # DEPENDENCYPART_ARC
(6,13),-1.74842 # DEPENDENCYPART_ARC
(6,18),-2.10903 # DEPENDENCYPART_ARC
(6,19),-2.22042 # DEPENDENCYPART_ARC
(6,20),-1.96946 # DEPENDENCYPART_ARC
(6,22),-2.03036 # DEPENDENCYPART_ARC
(7,5),-1.09551 # DEPENDENCYPART_ARC
(7,6),-0.394817 # DEPENDENCYPART_ARC
(7,8),0.306307 # DEPENDENCYPART_ARC
(7,9),-0.318035 # DEPENDENCYPART_ARC
(7,12),-1.13401 # DEPENDENCYPART_ARC
(7,14),-1.80391 # DEPENDENCYPART_ARC
(7,16),-1.82959 # DEPENDENCYPART_ARC
(7,17),-1.94904 # DEPENDENCYPART_ARC
(7,18),-1.93751 # DEPENDENCYPART_ARC
(7,21),-1.82272 # DEPENDENCYPART_ARC
(8,6),-1.63596 # DEPENDENCYPART_ARC
(8,7),-0.379666 # DEPENDENCYPART_ARC
(8,9),0.407597 # DEPENDENCYPART_ARC
(8,12),-1.12614 # DEPENDENCYPART_ARC
(8,17),-2.01075 # DEPENDENCYPART_ARC
(8,21),-1.9166 # DEPENDENCYPART_ARC
(9,4),-1.69791 # DEPENDENCYPART_ARC
(9,6),-1.48364 # DEPENDENCYPART_ARC
(9,7),-1.01375 # DEPENDENCYPART_ARC
(9,8),-0.15666 # DEPENDENCYPART_ARC
(9,12),-0.848975 # DEPENDENCYPART_ARC
(9,13),-1.58599 # DEPENDENCYPART_ARC
(9,14),-1.93887 # DEPENDENCYPART_ARC
(9,16),-1.84345 # DEPENDENCYPART_ARC
(9,17),-1.9009 # DEPENDENCYPART_ARC
(9,18),-2.00777 # DEPENDENCYPART_ARC
(9,19),-2.20589 # DEPENDENCYPART_ARC
(9,20),-1.77456 # DEPENDENCYPART_ARC
(9,22),-1.96959 # DEPENDENCYPART_ARC
(9,28),-1.65376 # DEPENDENCYPART_ARC
(9,29),-2.29991 # DEPENDENCYPART_ARC
(12,1),-1.28352 # DEPENDENCYPART_ARC
(12,2),-1.06826 # DEPENDENCYPART_ARC
(12,3),-1.56149 # DEPENDENCYPART_ARC
(12,5),-0.726623 # DEPENDENCYPART_ARC
(12,6),-0.902884 # DEPENDENCYPART_ARC
(12,7),-0.82624 # DEPENDENCYPART_ARC
(12,8),-0.521747 # DEPENDENCYPART_ARC
(12,9),-0.738742 # DEPENDENCYPART_ARC
(12,10),-0.063878 # DEPENDENCYPART_ARC
(12,11),0.830904 # DEPENDENCYPART_ARC
(12,13),0.41937 # DEPENDENCYPART_ARC
(12,14),-1.33009 # DEPENDENCYPART_ARC
(12,16),-1.53816 # DEPENDENCYPART_ARC
(12,17),-1.67749 # DEPENDENCYPART_ARC
(12,18),-1.80729 # DEPENDENCYPART_ARC
(12,19),-1.94179 # DEPENDENCYPART_ARC
(12,20),-1.7897 # DEPENDENCYPART_ARC
(12,21),-1.94244 # DEPENDENCYPART_ARC
(12,22),-1.68376 # DEPENDENCYPART_ARC
(12,24),-1.95366 # DEPENDENCYPART_ARC
(12,29),-1.47832 # DEPENDENCYPART_ARC
(13,14),-0.538727 # DEPENDENCYPART_ARC
(14,10),-1.67489 # DEPENDENCYPART_ARC
(14,13),-0.0358337 # DEPENDENCYPART_ARC
(14,15),-0.0377409 # DEPENDENCYPART_ARC
(14,16),-1.03684 # DEPENDENCYPART_ARC
(14,17),-1.33151 # DEPENDENCYPART_ARC
(14,18),-1.22378 # DEPENDENCYPART_ARC
(14,19),-1.51239 # DEPENDENCYPART_ARC
(14,20),-1.23965 # DEPENDENCYPART_ARC
(14,21),-2.10537 # DEPENDENCYPART_ARC
(14,22),-2.22286 # DEPENDENCYPART_ARC
(14,28),-2.97694 # DEPENDENCYPART_ARC
(15,16),-0.172214 # DEPENDENCYPART_ARC
(15,19),-1.32043 # DEPENDENCYPART_ARC
(15,22),-1.8224 # DEPENDENCYPART_ARC
(16,9),-2.15117 # DEPENDENCYPART_ARC
(16,13),-1.34973 # DEPENDENCYPART_ARC
(16,14),-1.17127 # DEPENDENCYPART_ARC
(16,15),-0.307361 # DEPENDENCYPART_ARC
(16,17),0.62026 # DEPENDENCYPART_ARC
(16,18),-0.681482 # DEPENDENCYPART_ARC
(16,19),-0.90189 # DEPENDENCYPART_ARC
(16,20),-1.10381 # DEPENDENCYPART_ARC
(16,21),-1.47183 # DEPENDENCYPART_ARC
(16,24),-1.52882 # DEPENDENCYPART_ARC
(17,9),-1.9433 # DEPENDENCYPART_ARC
(17,13),-1.23324 # DEPENDENCYPART_ARC
(17,14),-1.06877 # DEPENDENCYPART_ARC
(17,15),-1.15408 # DEPENDENCYPART_ARC
(17,16),-0.203281 # DEPENDENCYPART_ARC
(17,18),-0.232573 # DEPENDENCYPART_ARC
(17,19),-1.12759 # DEPENDENCYPART_ARC
(17,21),-1.80076 # DEPENDENCYPART_ARC
(17,22),-1.8783 # DEPENDENCYPART_ARC
(18,2),-2.22191 # DEPENDENCYPART_ARC
(18,3),-1.62964 # DEPENDENCYPART_ARC
(18,5),-1.71964 # DEPENDENCYPART_ARC
(18,6),-1.95963 # DEPENDENCYPART_ARC
(18,7),-1.91309 # DEPENDENCYPART_ARC
(18,8),-1.41991 # DEPENDENCYPART_ARC
(18,9),-1.89133 # DEPENDENCYPART_ARC
(18,10),-1.55179 # DEPENDENCYPART_ARC
(18,11),-1.92973 # DEPENDENCYPART_ARC
(18,12),-1.10466 # DEPENDENCYPART_ARC
(18,13),-0.919067 # DEPENDENCYPART_ARC
(18,14),-0.381346 # DEPENDENCYPART_ARC
(18,15),-0.575277 # DEPENDENCYPART_ARC
(18,16),-0.0185116 # DEPENDENCYPART_ARC
(18,17),0.642758 # DEPENDENCYPART_ARC
(18,19),0.953656 # DEPENDENCYPART_ARC
(18,20),-1.18502 # DEPENDENCYPART_ARC
(18,21),-1.81336 # DEPENDENCYPART_ARC
(18,22),-1.7414 # DEPENDENCYPART_ARC
(18,24),-2.12756 # DEPENDENCYPART_ARC
(18,28),-2.57867 # DEPENDENCYPART_ARC
(18,29),-1.56214 # DEPENDENCYPART_ARC
(19,5),-1.98366 # DEPENDENCYPART_ARC
(19,10),-1.56975 # DEPENDENCYPART_ARC
(19,12),-1.61074 # DEPENDENCYPART_ARC
(19,13),-1.62169 # DEPENDENCYPART_ARC
(19,14),-0.862133 # DEPENDENCYPART_ARC
(19,15),-1.45294 # DEPENDENCYPART_ARC
(19,16),-1.10382 # DEPENDENCYPART_ARC
(19,17),-0.796415 # DEPENDENCYPART_ARC
(19,20),0.266796 # DEPENDENCYPART_ARC
(19,21),-1.26114 # DEPENDENCYPART_ARC
(19,22),-1.36934 # DEPENDENCYPART_ARC
(19,23),-1.76383 # DEPENDENCYPART_ARC
(19,24),-1.93148 # DEPENDENCYPART_ARC
(19,28),-2.44181 # DEPENDENCYPART_ARC
(19,29),-1.76446 # DEPENDENCYPART_ARC
(21,20),0.237305 # DEPENDENCYPART_ARC
(21,22),-0.382423 # DEPENDENCYPART_ARC
(21,24),-1.60324 # DEPENDENCYPART_ARC
(21,25),-1.94446 # DEPENDENCYPART_ARC
(21,28),-2.31383 # DEPENDENCYPART_ARC
(22,5),-1.78116 # DEPENDENCYPART_ARC
(22,6),-1.86357 # DEPENDENCYPART_ARC
(22,7),-1.97123 # DEPENDENCYPART_ARC
(22,8),-1.63952 # DEPENDENCYPART_ARC
(22,9),-1.87277 # DEPENDENCYPART_ARC
(22,10),-1.62028 # DEPENDENCYPART_ARC
(22,13),-2.42718 # DEPENDENCYPART_ARC
(22,14),-1.83193 # DEPENDENCYPART_ARC
(22,15),-2.21828 # DEPENDENCYPART_ARC
(22,16),-1.94314 # DEPENDENCYPART_ARC
(22,17),-1.98989 # DEPENDENCYPART_ARC
(22,18),-1.55862 # DEPENDENCYPART_ARC
(22,19),-1.20384 # DEPENDENCYPART_ARC
(22,20),-0.669756 # DEPENDENCYPART_ARC
(22,21),1.13237 # DEPENDENCYPART_ARC
(22,23),0.589491 # DEPENDENCYPART_ARC
(22,24),-0.288357 # DEPENDENCYPART_ARC
(22,25),-0.523824 # DEPENDENCYPART_ARC
(22,27),-0.960911 # DEPENDENCYPART_ARC
(22,28),-0.616021 # DEPENDENCYPART_ARC
(22,29),-0.574977 # DEPENDENCYPART_ARC
(23,24),-0.0614768 # DEPENDENCYPART_ARC
(23,25),-0.764558 # DEPENDENCYPART_ARC
(24,25),0.444482 # DEPENDENCYPART_ARC
(24,27),-1.17526 # DEPENDENCYPART_ARC
(24,28),-1.00352 # DEPENDENCYPART_ARC
(25,23),-1.22884 # DEPENDENCYPART_ARC
(25,24),-0.571721 # DEPENDENCYPART_ARC
(25,26),0.899668 # DEPENDENCYPART_ARC
(25,27),-0.88728 # DEPENDENCYPART_ARC
(25,28),-1.24086 # DEPENDENCYPART_ARC
(25,29),-0.993204 # DEPENDENCYPART_ARC
(26,29),-0.781727 # DEPENDENCYPART_ARC
(27,21),-1.56257 # DEPENDENCYPART_ARC
(27,23),-1.54698 # DEPENDENCYPART_ARC
(27,24),-1.16652 # DEPENDENCYPART_ARC
(27,25),-0.960103 # DEPENDENCYPART_ARC
(27,28),-0.58324 # DEPENDENCYPART_ARC
(28,23),-1.16141 # DEPENDENCYPART_ARC
(28,24),-1.0916 # DEPENDENCYPART_ARC
(28,25),-0.252735 # DEPENDENCYPART_ARC
(28,26),-0.797334 # DEPENDENCYPART_ARC
(28,27),1.40274 # DEPENDENCYPART_ARC
(28,29),-0.369422 # DEPENDENCYPART_ARC
(29,28),-0.254773 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.0520986 # DEPENDENCYPART_SIBL
(0,1),(0,3),-0.109832 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.103861 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.109832 # DEPENDENCYPART_SIBL
(0,1),(0,19),-0.0968374 # DEPENDENCYPART_SIBL
(0,1),(0,22),-0.102265 # DEPENDENCYPART_SIBL
(0,2),(0,3),-0.110532 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.104561 # DEPENDENCYPART_SIBL
(0,2),(0,18),-0.110532 # DEPENDENCYPART_SIBL
(0,2),(0,19),-0.0975368 # DEPENDENCYPART_SIBL
(0,2),(0,22),-0.102965 # DEPENDENCYPART_SIBL
(0,3),(0,12),-0.162302 # DEPENDENCYPART_SIBL
(0,3),(0,18),-0.165694 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.159037 # DEPENDENCYPART_SIBL
(0,3),(0,22),-0.162093 # DEPENDENCYPART_SIBL
(0,12),(0,18),-0.169473 # DEPENDENCYPART_SIBL
(0,12),(0,19),-0.162811 # DEPENDENCYPART_SIBL
(0,12),(0,22),-0.165872 # DEPENDENCYPART_SIBL
(0,18),(0,19),-0.159037 # DEPENDENCYPART_SIBL
(0,18),(0,22),-0.162093 # DEPENDENCYPART_SIBL
(0,19),(0,22),-0.160904 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0185968 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0271113 # DEPENDENCYPART_SIBL
(1,3),(1,5),0.0138654 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0345142 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0160974 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.00299679 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0821851 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0160974 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0610585 # DEPENDENCYPART_SIBL
(2,1),(2,29),-0.00849883 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0138657 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0189372 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.0433397 # DEPENDENCYPART_SIBL
(2,3),(2,8),0.0138657 # DEPENDENCYPART_SIBL
(2,3),(2,12),-0.0057798 # DEPENDENCYPART_SIBL
(2,3),(2,29),0.00366985 # DEPENDENCYPART_SIBL
(2,5),(2,6),-0.0113696 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0409273 # DEPENDENCYPART_SIBL
(2,5),(2,8),-0.00350534 # DEPENDENCYPART_SIBL
