# _root_ In 1987 , it sold a 2.5 % stake in the Veslefrikk field to the Swedish national oil company , resulting in a $ 7 million after-tax gain .
#goldHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,5,5,21,28,28,24,24,28,22,5,
#predictedHeads=5,1,5,5,0,9,8,9,5,9,13,13,10,5,19,19,19,19,14,19,19,21,28,28,24,24,28,22,5,
(0,1),-1.81378 # DEPENDENCYPART_ARC
(0,2),-2.35434 # DEPENDENCYPART_ARC
(0,5),-2.36524 # DEPENDENCYPART_ARC
(0,21),-2.40847 # DEPENDENCYPART_ARC
(1,2),0.735284 # DEPENDENCYPART_ARC
(1,3),-0.794039 # DEPENDENCYPART_ARC
(1,5),-1.60959 # DEPENDENCYPART_ARC
(1,7),-2.06779 # DEPENDENCYPART_ARC
(1,10),-1.21649 # DEPENDENCYPART_ARC
(1,14),-2.45836 # DEPENDENCYPART_ARC
(1,22),-0.868736 # DEPENDENCYPART_ARC
(2,1),-0.344469 # DEPENDENCYPART_ARC
(2,3),-0.125707 # DEPENDENCYPART_ARC
(2,5),-1.45515 # DEPENDENCYPART_ARC
(2,9),-2.12977 # DEPENDENCYPART_ARC
(3,1),-1.17956 # DEPENDENCYPART_ARC
(4,3),0.40544 # DEPENDENCYPART_ARC
(4,9),-1.59759 # DEPENDENCYPART_ARC
(5,1),-0.826331 # DEPENDENCYPART_ARC
(5,2),-1.61997 # DEPENDENCYPART_ARC
(5,3),-0.268126 # DEPENDENCYPART_ARC
(5,4),0.995416 # DEPENDENCYPART_ARC
(5,6),0.232824 # DEPENDENCYPART_ARC
(5,7),-0.487121 # DEPENDENCYPART_ARC
(5,8),-0.2581 # DEPENDENCYPART_ARC
(5,9),0.248615 # DEPENDENCYPART_ARC
(5,10),-0.561874 # DEPENDENCYPART_ARC
(5,11),-1.05363 # DEPENDENCYPART_ARC
(5,12),-0.924078 # DEPENDENCYPART_ARC
(5,13),-0.664992 # DEPENDENCYPART_ARC
(5,14),-0.475827 # DEPENDENCYPART_ARC
(5,16),-0.885362 # DEPENDENCYPART_ARC
(5,17),-0.950304 # DEPENDENCYPART_ARC
(5,18),-0.967158 # DEPENDENCYPART_ARC
(5,19),-0.862023 # DEPENDENCYPART_ARC
(5,20),-1.12951 # DEPENDENCYPART_ARC
(5,21),-1.55729 # DEPENDENCYPART_ARC
(5,22),-2.1888 # DEPENDENCYPART_ARC
(5,28),-2.11211 # DEPENDENCYPART_ARC
(5,29),-1.26435 # DEPENDENCYPART_ARC
(6,7),-0.0744137 # DEPENDENCYPART_ARC
(6,8),-1.05596 # DEPENDENCYPART_ARC
(6,10),-1.31882 # DEPENDENCYPART_ARC
(7,1),-2.04919 # DEPENDENCYPART_ARC
(7,6),-0.166954 # DEPENDENCYPART_ARC
(7,8),-0.0978716 # DEPENDENCYPART_ARC
(7,9),-1.15739 # DEPENDENCYPART_ARC
(7,10),-1.29585 # DEPENDENCYPART_ARC
(7,19),-1.80771 # DEPENDENCYPART_ARC
(7,20),-1.26822 # DEPENDENCYPART_ARC
(8,1),-2.63216 # DEPENDENCYPART_ARC
(8,2),-3.01366 # DEPENDENCYPART_ARC
(8,3),-2.54625 # DEPENDENCYPART_ARC
(8,4),-2.03225 # DEPENDENCYPART_ARC
(8,6),-0.641691 # DEPENDENCYPART_ARC
(8,7),0.279307 # DEPENDENCYPART_ARC
(8,9),-0.416584 # DEPENDENCYPART_ARC
(8,10),-1.36578 # DEPENDENCYPART_ARC
(8,13),-1.92543 # DEPENDENCYPART_ARC
(8,14),-1.65284 # DEPENDENCYPART_ARC
(8,19),-2.03196 # DEPENDENCYPART_ARC
(9,1),-1.64476 # DEPENDENCYPART_ARC
(9,2),-2.05959 # DEPENDENCYPART_ARC
(9,3),-1.77186 # DEPENDENCYPART_ARC
(9,4),-0.898379 # DEPENDENCYPART_ARC
(9,5),-0.917024 # DEPENDENCYPART_ARC
(9,6),0.0312743 # DEPENDENCYPART_ARC
(9,7),0.150418 # DEPENDENCYPART_ARC
(9,8),1.94348 # DEPENDENCYPART_ARC
(9,10),0.385711 # DEPENDENCYPART_ARC
(9,11),-1.44975 # DEPENDENCYPART_ARC
(9,12),-1.22465 # DEPENDENCYPART_ARC
(9,13),-1.42307 # DEPENDENCYPART_ARC
(9,14),-1.49026 # DEPENDENCYPART_ARC
(9,16),-1.49425 # DEPENDENCYPART_ARC
(9,17),-1.55805 # DEPENDENCYPART_ARC
(9,18),-1.50649 # DEPENDENCYPART_ARC
(9,19),-1.53795 # DEPENDENCYPART_ARC
(9,20),-1.81366 # DEPENDENCYPART_ARC
(9,21),-2.05045 # DEPENDENCYPART_ARC
(9,22),-2.69609 # DEPENDENCYPART_ARC
