# _root_ Bear Stearns is the holding company for Bear , Stearns & Co. , the investment banking and brokerage firm .
#goldHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
#predictedHeads=2,3,0,6,6,3,6,7,8,8,10,11,8,16,16,8,16,19,17,3,
(0,2),-3.47242 # DEPENDENCYPART_ARC
(0,3),-0.362595 # DEPENDENCYPART_ARC
(1,2),-0.79356 # DEPENDENCYPART_ARC
(1,3),-1.68247 # DEPENDENCYPART_ARC
(1,6),-2.22527 # DEPENDENCYPART_ARC
(1,7),-2.25174 # DEPENDENCYPART_ARC
(1,8),-3.45541 # DEPENDENCYPART_ARC
(1,9),-1.72757 # DEPENDENCYPART_ARC
(1,10),-3.46583 # DEPENDENCYPART_ARC
(1,11),-2.17777 # DEPENDENCYPART_ARC
(1,13),-1.84418 # DEPENDENCYPART_ARC
(1,16),-4.63684 # DEPENDENCYPART_ARC
(2,1),1.65123 # DEPENDENCYPART_ARC
(2,3),-1.07083 # DEPENDENCYPART_ARC
(2,6),-1.98682 # DEPENDENCYPART_ARC
(2,7),-2.24588 # DEPENDENCYPART_ARC
(2,8),-3.30746 # DEPENDENCYPART_ARC
(2,9),-1.99672 # DEPENDENCYPART_ARC
(2,11),-2.00734 # DEPENDENCYPART_ARC
(2,13),-2.13501 # DEPENDENCYPART_ARC
(3,1),-0.60085 # DEPENDENCYPART_ARC
(3,2),0.455511 # DEPENDENCYPART_ARC
(3,4),-0.914355 # DEPENDENCYPART_ARC
(3,5),0.169966 # DEPENDENCYPART_ARC
(3,6),-0.159496 # DEPENDENCYPART_ARC
(3,7),-0.66183 # DEPENDENCYPART_ARC
(3,8),-1.74944 # DEPENDENCYPART_ARC
(3,9),-1.45519 # DEPENDENCYPART_ARC
(3,10),-2.41176 # DEPENDENCYPART_ARC
(3,11),-1.33408 # DEPENDENCYPART_ARC
(3,13),-1.80427 # DEPENDENCYPART_ARC
(3,16),-2.69457 # DEPENDENCYPART_ARC
(3,17),-2.24082 # DEPENDENCYPART_ARC
(3,19),-2.91765 # DEPENDENCYPART_ARC
(3,20),0.0399352 # DEPENDENCYPART_ARC
(4,2),-2.80094 # DEPENDENCYPART_ARC
(4,5),-1.37412 # DEPENDENCYPART_ARC
(4,7),-1.95909 # DEPENDENCYPART_ARC
(5,2),-1.79969 # DEPENDENCYPART_ARC
(5,4),-1.02087 # DEPENDENCYPART_ARC
(5,6),-0.81953 # DEPENDENCYPART_ARC
(5,7),-0.671129 # DEPENDENCYPART_ARC
(5,8),-1.81339 # DEPENDENCYPART_ARC
(5,9),-1.74343 # DEPENDENCYPART_ARC
(5,10),-2.26679 # DEPENDENCYPART_ARC
(5,11),-1.88985 # DEPENDENCYPART_ARC
(5,13),-2.00422 # DEPENDENCYPART_ARC
(5,17),-2.58632 # DEPENDENCYPART_ARC
(5,20),-2.96127 # DEPENDENCYPART_ARC
(6,1),-0.777055 # DEPENDENCYPART_ARC
(6,2),-0.659336 # DEPENDENCYPART_ARC
(6,4),2.26429 # DEPENDENCYPART_ARC
(6,5),1.74944 # DEPENDENCYPART_ARC
