# _root_ Departing from its newspaper ads featuring prim sketches of a suit or a coat , Brooks Brothers is marketing an updated image in a new campaign that carries the slogan , `` The Surprise of Brooks Brothers . ''
#goldHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,30,30,34,30,34,37,35,18,18,
#predictedHeads=18,1,5,5,2,5,8,6,8,11,12,9,14,12,18,17,18,0,18,22,22,19,19,26,26,23,28,26,30,28,28,28,34,28,34,37,35,18,18,
(0,1),-1.27077 # DEPENDENCYPART_ARC
(0,2),-2.53064 # DEPENDENCYPART_ARC
(0,5),-2.82034 # DEPENDENCYPART_ARC
(0,6),-2.41474 # DEPENDENCYPART_ARC
(0,8),-3.15671 # DEPENDENCYPART_ARC
(0,12),-2.27853 # DEPENDENCYPART_ARC
(0,18),-2.73599 # DEPENDENCYPART_ARC
(0,19),-2.99171 # DEPENDENCYPART_ARC
(1,2),0.545521 # DEPENDENCYPART_ARC
(1,4),-1.12336 # DEPENDENCYPART_ARC
(1,5),-1.08437 # DEPENDENCYPART_ARC
(1,6),-1.08668 # DEPENDENCYPART_ARC
(1,8),-1.71957 # DEPENDENCYPART_ARC
(1,9),-1.67928 # DEPENDENCYPART_ARC
(1,12),-1.19707 # DEPENDENCYPART_ARC
(1,15),-1.91439 # DEPENDENCYPART_ARC
(1,18),-2.04316 # DEPENDENCYPART_ARC
(1,19),-2.27635 # DEPENDENCYPART_ARC
(1,38),-1.57181 # DEPENDENCYPART_ARC
(1,39),0.234612 # DEPENDENCYPART_ARC
(2,1),-0.46955 # DEPENDENCYPART_ARC
(2,4),-0.233674 # DEPENDENCYPART_ARC
(2,5),-0.774039 # DEPENDENCYPART_ARC
(2,6),-1.30154 # DEPENDENCYPART_ARC
(2,7),-1.39667 # DEPENDENCYPART_ARC
(2,8),-1.90563 # DEPENDENCYPART_ARC
(2,9),-1.52912 # DEPENDENCYPART_ARC
(2,11),-2.38228 # DEPENDENCYPART_ARC
