# _root_ In his Rolling Stone interview in 1980 , Mr. Bush volunteered his abortion-rights remarks to contrast himself with his rival , Ronald Reagan .
#goldHeads=11,5,5,5,1,5,6,11,10,11,0,14,14,11,16,11,16,16,20,18,20,23,20,11,
#predictedHeads=11,5,5,5,1,5,6,11,10,11,0,14,14,11,16,11,16,16,20,18,20,23,20,11,
(0,1),-1.8039 # DEPENDENCYPART_ARC
(0,5),-2.76096 # DEPENDENCYPART_ARC
(0,6),-2.8672 # DEPENDENCYPART_ARC
(0,10),-3.3662 # DEPENDENCYPART_ARC
(0,11),-2.14157 # DEPENDENCYPART_ARC
(0,16),-3.19725 # DEPENDENCYPART_ARC
(1,2),0.110571 # DEPENDENCYPART_ARC
(1,3),-0.127642 # DEPENDENCYPART_ARC
(1,4),-0.995927 # DEPENDENCYPART_ARC
(1,5),-1.15095 # DEPENDENCYPART_ARC
(1,6),-1.22953 # DEPENDENCYPART_ARC
(1,7),-1.64348 # DEPENDENCYPART_ARC
(1,8),-1.08718 # DEPENDENCYPART_ARC
(3,1),-2.59373 # DEPENDENCYPART_ARC
(3,2),-0.663793 # DEPENDENCYPART_ARC
(3,4),-0.521357 # DEPENDENCYPART_ARC
(3,5),-1.53218 # DEPENDENCYPART_ARC
(3,6),-1.49208 # DEPENDENCYPART_ARC
(3,7),-1.96669 # DEPENDENCYPART_ARC
(3,10),-2.36008 # DEPENDENCYPART_ARC
(3,11),-2.33397 # DEPENDENCYPART_ARC
(3,16),-2.54231 # DEPENDENCYPART_ARC
(4,2),-1.24961 # DEPENDENCYPART_ARC
(4,3),-0.0028142 # DEPENDENCYPART_ARC
(4,5),-0.563671 # DEPENDENCYPART_ARC
(4,6),-1.46419 # DEPENDENCYPART_ARC
(4,7),-1.80811 # DEPENDENCYPART_ARC
(4,8),-2.06684 # DEPENDENCYPART_ARC
(4,10),-2.35703 # DEPENDENCYPART_ARC
(4,11),-2.33504 # DEPENDENCYPART_ARC
(4,24),-2.28365 # DEPENDENCYPART_ARC
(5,1),-0.839644 # DEPENDENCYPART_ARC
(5,2),0.0175765 # DEPENDENCYPART_ARC
(5,3),1.11616 # DEPENDENCYPART_ARC
(5,4),2.24327 # DEPENDENCYPART_ARC
(5,6),-0.195305 # DEPENDENCYPART_ARC
(5,7),-1.21232 # DEPENDENCYPART_ARC
(5,8),-1.79027 # DEPENDENCYPART_ARC
(5,9),-1.82224 # DEPENDENCYPART_ARC
(5,10),-1.9911 # DEPENDENCYPART_ARC
(5,11),-2.23869 # DEPENDENCYPART_ARC
(5,14),-2.11102 # DEPENDENCYPART_ARC
(5,15),-2.54054 # DEPENDENCYPART_ARC
(5,16),-2.55768 # DEPENDENCYPART_ARC
(5,18),-2.553 # DEPENDENCYPART_ARC
(5,21),-2.518 # DEPENDENCYPART_ARC
(5,24),-2.16042 # DEPENDENCYPART_ARC
(6,1),-1.33479 # DEPENDENCYPART_ARC
(6,5),-0.642993 # DEPENDENCYPART_ARC
(6,7),0.323092 # DEPENDENCYPART_ARC
(6,8),-0.977375 # DEPENDENCYPART_ARC
(6,9),-1.79612 # DEPENDENCYPART_ARC
(6,10),-1.79196 # DEPENDENCYPART_ARC
(6,11),-1.92535 # DEPENDENCYPART_ARC
(6,14),-3.32096 # DEPENDENCYPART_ARC
(7,1),-1.45233 # DEPENDENCYPART_ARC
(7,4),-1.42807 # DEPENDENCYPART_ARC
(7,5),-1.40122 # DEPENDENCYPART_ARC
(7,6),-0.334708 # DEPENDENCYPART_ARC
(7,8),-0.101846 # DEPENDENCYPART_ARC
(7,9),-1.40178 # DEPENDENCYPART_ARC
(7,10),-1.73494 # DEPENDENCYPART_ARC
(7,11),-1.52921 # DEPENDENCYPART_ARC
(7,14),-2.21797 # DEPENDENCYPART_ARC
(7,21),-1.71039 # DEPENDENCYPART_ARC
(7,23),-2.07416 # DEPENDENCYPART_ARC
(8,1),-1.57545 # DEPENDENCYPART_ARC
(8,6),-1.43079 # DEPENDENCYPART_ARC
(9,7),-2.40216 # DEPENDENCYPART_ARC
(9,8),-1.35837 # DEPENDENCYPART_ARC
(9,10),-0.721248 # DEPENDENCYPART_ARC
(9,11),-1.15326 # DEPENDENCYPART_ARC
(9,14),-2.1978 # DEPENDENCYPART_ARC
(9,16),-1.79214 # DEPENDENCYPART_ARC
(9,18),-1.7551 # DEPENDENCYPART_ARC
(10,3),-2.18688 # DEPENDENCYPART_ARC
(10,5),-2.35368 # DEPENDENCYPART_ARC
(10,7),-2.01296 # DEPENDENCYPART_ARC
(10,8),-1.32691 # DEPENDENCYPART_ARC
(10,9),1.71134 # DEPENDENCYPART_ARC
(10,11),-0.703163 # DEPENDENCYPART_ARC
(10,14),-1.76779 # DEPENDENCYPART_ARC
(10,16),-1.90247 # DEPENDENCYPART_ARC
(10,18),-1.90301 # DEPENDENCYPART_ARC
(10,24),-2.59407 # DEPENDENCYPART_ARC
(11,1),-0.720688 # DEPENDENCYPART_ARC
(11,5),-1.81708 # DEPENDENCYPART_ARC
(11,6),-1.29637 # DEPENDENCYPART_ARC
(11,7),-1.76968 # DEPENDENCYPART_ARC
(11,8),-0.653253 # DEPENDENCYPART_ARC
(11,9),-0.545807 # DEPENDENCYPART_ARC
(11,10),0.882427 # DEPENDENCYPART_ARC
(11,13),0.0874145 # DEPENDENCYPART_ARC
(11,14),0.0299918 # DEPENDENCYPART_ARC
(11,15),-0.587928 # DEPENDENCYPART_ARC
(11,16),-0.210873 # DEPENDENCYPART_ARC
(11,18),-0.91191 # DEPENDENCYPART_ARC
(11,20),-1.18891 # DEPENDENCYPART_ARC
(11,21),-1.27909 # DEPENDENCYPART_ARC
(11,23),-2.12234 # DEPENDENCYPART_ARC
(11,24),-0.740406 # DEPENDENCYPART_ARC
(13,11),-1.75109 # DEPENDENCYPART_ARC
(13,12),0.104532 # DEPENDENCYPART_ARC
(13,14),-0.786077 # DEPENDENCYPART_ARC
(13,15),-1.57225 # DEPENDENCYPART_ARC
(13,16),-1.42381 # DEPENDENCYPART_ARC
(13,18),-2.07099 # DEPENDENCYPART_ARC
(13,23),-2.57418 # DEPENDENCYPART_ARC
(14,1),-2.02215 # DEPENDENCYPART_ARC
(14,2),-1.65289 # DEPENDENCYPART_ARC
(14,5),-2.80996 # DEPENDENCYPART_ARC
(14,6),-1.97129 # DEPENDENCYPART_ARC
(14,7),-2.1277 # DEPENDENCYPART_ARC
(14,8),-1.82167 # DEPENDENCYPART_ARC
(14,9),-0.407155 # DEPENDENCYPART_ARC
(14,10),-1.0038 # DEPENDENCYPART_ARC
(14,11),-1.20661 # DEPENDENCYPART_ARC
(14,12),0.141267 # DEPENDENCYPART_ARC
(14,13),1.74107 # DEPENDENCYPART_ARC
(14,15),-0.451097 # DEPENDENCYPART_ARC
(14,16),-1.06024 # DEPENDENCYPART_ARC
(14,18),-1.63596 # DEPENDENCYPART_ARC
(14,20),-1.61201 # DEPENDENCYPART_ARC
(14,21),-2.1336 # DEPENDENCYPART_ARC
(14,23),-1.97159 # DEPENDENCYPART_ARC
(14,24),-2.07989 # DEPENDENCYPART_ARC
(15,14),-0.29148 # DEPENDENCYPART_ARC
(15,16),-0.518432 # DEPENDENCYPART_ARC
(15,18),-1.97796 # DEPENDENCYPART_ARC
(15,20),-2.28226 # DEPENDENCYPART_ARC
(15,23),-3.49771 # DEPENDENCYPART_ARC
(16,1),-1.42889 # DEPENDENCYPART_ARC
(16,5),-2.64617 # DEPENDENCYPART_ARC
(16,6),-1.57285 # DEPENDENCYPART_ARC
(16,7),-2.1999 # DEPENDENCYPART_ARC
(16,8),-1.77647 # DEPENDENCYPART_ARC
(16,9),-1.52068 # DEPENDENCYPART_ARC
(16,10),-1.39158 # DEPENDENCYPART_ARC
(16,13),-1.09761 # DEPENDENCYPART_ARC
(16,14),-0.819895 # DEPENDENCYPART_ARC
(16,15),1.24454 # DEPENDENCYPART_ARC
(16,17),0.520222 # DEPENDENCYPART_ARC
(16,18),-0.387234 # DEPENDENCYPART_ARC
(16,20),-0.423858 # DEPENDENCYPART_ARC
(16,21),-1.30109 # DEPENDENCYPART_ARC
(16,22),-1.90666 # DEPENDENCYPART_ARC
(16,23),-1.61376 # DEPENDENCYPART_ARC
(16,24),-1.54312 # DEPENDENCYPART_ARC
(17,18),-0.304733 # DEPENDENCYPART_ARC
(17,20),-1.29398 # DEPENDENCYPART_ARC
(17,21),-1.31162 # DEPENDENCYPART_ARC
(18,14),-1.93675 # DEPENDENCYPART_ARC
(18,19),-0.0710334 # DEPENDENCYPART_ARC
(18,20),-0.242282 # DEPENDENCYPART_ARC
(18,21),-1.32728 # DEPENDENCYPART_ARC
(18,22),-2.18862 # DEPENDENCYPART_ARC
(18,23),-2.09645 # DEPENDENCYPART_ARC
(18,24),-1.80925 # DEPENDENCYPART_ARC
(20,12),-1.79135 # DEPENDENCYPART_ARC
(20,16),-1.59835 # DEPENDENCYPART_ARC
(20,17),-1.20394 # DEPENDENCYPART_ARC
(20,18),-1.19507 # DEPENDENCYPART_ARC
(20,19),0.792002 # DEPENDENCYPART_ARC
(20,21),0.14587 # DEPENDENCYPART_ARC
(20,22),-1.25327 # DEPENDENCYPART_ARC
(20,23),-1.67928 # DEPENDENCYPART_ARC
(20,24),-1.80525 # DEPENDENCYPART_ARC
(22,17),-2.96322 # DEPENDENCYPART_ARC
(22,19),-2.46493 # DEPENDENCYPART_ARC
(22,20),-2.10165 # DEPENDENCYPART_ARC
(22,21),-1.18475 # DEPENDENCYPART_ARC
