# _root_ The suits relate to a $ 200 million loss , disclosed in December , that was suffered by West Virginia 's consolidated investment pool .
#goldHeads=2,3,0,3,9,9,6,6,4,9,9,11,12,9,16,9,16,17,20,24,20,24,24,18,3,
#predictedHeads=2,3,0,3,9,9,6,6,4,3,3,11,12,13,16,13,16,17,20,24,20,24,24,18,3,
(0,2),-2.09466 # DEPENDENCYPART_ARC
(0,3),-1.66216 # DEPENDENCYPART_ARC
(0,4),-2.36511 # DEPENDENCYPART_ARC
(0,6),-2.40427 # DEPENDENCYPART_ARC
(0,11),-2.66576 # DEPENDENCYPART_ARC
(0,16),-3.16109 # DEPENDENCYPART_ARC
(0,17),-2.65946 # DEPENDENCYPART_ARC
(1,3),-1.2238 # DEPENDENCYPART_ARC
(2,1),1.30416 # DEPENDENCYPART_ARC
(2,3),-0.0713462 # DEPENDENCYPART_ARC
(2,4),-1.12411 # DEPENDENCYPART_ARC
(2,5),-1.47705 # DEPENDENCYPART_ARC
(2,9),-1.6155 # DEPENDENCYPART_ARC
(2,10),-1.4481 # DEPENDENCYPART_ARC
(2,11),-2.10393 # DEPENDENCYPART_ARC
(2,12),-1.8992 # DEPENDENCYPART_ARC
(2,14),-1.6187 # DEPENDENCYPART_ARC
(2,16),-1.54408 # DEPENDENCYPART_ARC
(2,17),-1.79107 # DEPENDENCYPART_ARC
(2,25),-2.23351 # DEPENDENCYPART_ARC
(3,1),-0.469589 # DEPENDENCYPART_ARC
(3,2),0.846224 # DEPENDENCYPART_ARC
(3,4),0.572309 # DEPENDENCYPART_ARC
(3,5),-0.792337 # DEPENDENCYPART_ARC
(3,6),-1.02423 # DEPENDENCYPART_ARC
(3,7),-1.21952 # DEPENDENCYPART_ARC
(3,9),-0.971521 # DEPENDENCYPART_ARC
(3,10),-0.692475 # DEPENDENCYPART_ARC
(3,11),-1.41628 # DEPENDENCYPART_ARC
(3,12),-1.82534 # DEPENDENCYPART_ARC
(3,14),-1.6277 # DEPENDENCYPART_ARC
(3,16),-1.30903 # DEPENDENCYPART_ARC
(3,17),-1.22682 # DEPENDENCYPART_ARC
(3,18),-1.51754 # DEPENDENCYPART_ARC
(3,25),-0.582132 # DEPENDENCYPART_ARC
(4,5),0.163866 # DEPENDENCYPART_ARC
(4,6),-0.637894 # DEPENDENCYPART_ARC
(4,7),-0.979089 # DEPENDENCYPART_ARC
(4,8),-1.15269 # DEPENDENCYPART_ARC
(4,9),-1.03942 # DEPENDENCYPART_ARC
(4,10),-0.742121 # DEPENDENCYPART_ARC
(4,12),-1.4154 # DEPENDENCYPART_ARC
(5,10),-1.12023 # DEPENDENCYPART_ARC
(5,11),-1.76231 # DEPENDENCYPART_ARC
(5,12),-1.8274 # DEPENDENCYPART_ARC
(6,1),-1.39478 # DEPENDENCYPART_ARC
(6,5),0.145729 # DEPENDENCYPART_ARC
(6,7),0.890418 # DEPENDENCYPART_ARC
(6,8),0.507839 # DEPENDENCYPART_ARC
(6,9),-0.889423 # DEPENDENCYPART_ARC
(6,10),-0.856449 # DEPENDENCYPART_ARC
(6,11),-1.23701 # DEPENDENCYPART_ARC
(6,12),-1.6885 # DEPENDENCYPART_ARC
(6,13),-1.89903 # DEPENDENCYPART_ARC
(6,14),-1.59841 # DEPENDENCYPART_ARC
(6,16),-1.31553 # DEPENDENCYPART_ARC
(6,17),-1.32291 # DEPENDENCYPART_ARC
(6,18),-1.51148 # DEPENDENCYPART_ARC
(6,22),-1.20515 # DEPENDENCYPART_ARC
(6,25),-0.872819 # DEPENDENCYPART_ARC
(7,5),-1.1698 # DEPENDENCYPART_ARC
(7,6),-0.28823 # DEPENDENCYPART_ARC
(7,8),-0.522018 # DEPENDENCYPART_ARC
(7,9),-0.735498 # DEPENDENCYPART_ARC
(7,10),-0.933231 # DEPENDENCYPART_ARC
(7,11),-1.50071 # DEPENDENCYPART_ARC
(7,12),-1.76017 # DEPENDENCYPART_ARC
(7,13),-1.95336 # DEPENDENCYPART_ARC
(7,18),-1.44397 # DEPENDENCYPART_ARC
(8,5),-1.30164 # DEPENDENCYPART_ARC
(8,6),-1.12511 # DEPENDENCYPART_ARC
(8,7),1.96562e-05 # DEPENDENCYPART_ARC
(8,9),0.00443022 # DEPENDENCYPART_ARC
(8,10),-1.12733 # DEPENDENCYPART_ARC
(8,11),-1.63703 # DEPENDENCYPART_ARC
(9,1),-1.83587 # DEPENDENCYPART_ARC
(9,3),-1.31535 # DEPENDENCYPART_ARC
(9,5),-0.242612 # DEPENDENCYPART_ARC
(9,6),-0.733968 # DEPENDENCYPART_ARC
(9,7),-0.542626 # DEPENDENCYPART_ARC
(9,8),0.742333 # DEPENDENCYPART_ARC
(9,10),0.244504 # DEPENDENCYPART_ARC
(9,11),-1.48364 # DEPENDENCYPART_ARC
(9,12),-1.72291 # DEPENDENCYPART_ARC
(9,13),-1.56529 # DEPENDENCYPART_ARC
(9,14),-1.33871 # DEPENDENCYPART_ARC
(9,16),-1.42443 # DEPENDENCYPART_ARC
(9,17),-1.8168 # DEPENDENCYPART_ARC
(9,18),-1.49261 # DEPENDENCYPART_ARC
(9,22),-1.56161 # DEPENDENCYPART_ARC
(9,24),-2.03969 # DEPENDENCYPART_ARC
(9,25),-2.25952 # DEPENDENCYPART_ARC
(11,2),-2.50903 # DEPENDENCYPART_ARC
(11,5),-2.2047 # DEPENDENCYPART_ARC
(11,9),-1.67747 # DEPENDENCYPART_ARC
(11,10),0.10665 # DEPENDENCYPART_ARC
(11,12),0.747355 # DEPENDENCYPART_ARC
(11,13),-0.682193 # DEPENDENCYPART_ARC
(11,14),-1.16347 # DEPENDENCYPART_ARC
(11,16),-1.73877 # DEPENDENCYPART_ARC
(11,17),-1.84776 # DEPENDENCYPART_ARC
(11,18),-1.80348 # DEPENDENCYPART_ARC
(11,25),-0.563734 # DEPENDENCYPART_ARC
(12,9),-1.77535 # DEPENDENCYPART_ARC
(12,10),-1.12464 # DEPENDENCYPART_ARC
(12,11),-0.261838 # DEPENDENCYPART_ARC
(12,13),0.847705 # DEPENDENCYPART_ARC
(12,14),-0.695586 # DEPENDENCYPART_ARC
(12,16),-1.78569 # DEPENDENCYPART_ARC
(12,24),-3.73336 # DEPENDENCYPART_ARC
(13,14),0.269183 # DEPENDENCYPART_ARC
(13,16),-1.11244 # DEPENDENCYPART_ARC
(13,17),-1.74521 # DEPENDENCYPART_ARC
(13,18),-1.74406 # DEPENDENCYPART_ARC
(13,20),-1.73906 # DEPENDENCYPART_ARC
(13,24),-2.06792 # DEPENDENCYPART_ARC
(13,25),-2.09801 # DEPENDENCYPART_ARC
(16,2),-1.69709 # DEPENDENCYPART_ARC
(16,3),-2.00226 # DEPENDENCYPART_ARC
(16,4),-2.02007 # DEPENDENCYPART_ARC
(16,5),-1.97239 # DEPENDENCYPART_ARC
(16,6),-1.45355 # DEPENDENCYPART_ARC
(16,9),-1.39635 # DEPENDENCYPART_ARC
(16,11),-1.65238 # DEPENDENCYPART_ARC
(16,12),-1.39244 # DEPENDENCYPART_ARC
(16,13),-1.94198 # DEPENDENCYPART_ARC
(16,14),-0.900701 # DEPENDENCYPART_ARC
(16,15),0.574303 # DEPENDENCYPART_ARC
(16,17),1.12191 # DEPENDENCYPART_ARC
(16,18),-0.69628 # DEPENDENCYPART_ARC
(16,20),-1.34108 # DEPENDENCYPART_ARC
(16,22),-1.41083 # DEPENDENCYPART_ARC
(16,24),-1.66257 # DEPENDENCYPART_ARC
(16,25),-0.219502 # DEPENDENCYPART_ARC
(17,9),-1.92333 # DEPENDENCYPART_ARC
(17,12),-2.08194 # DEPENDENCYPART_ARC
(17,14),-2.03652 # DEPENDENCYPART_ARC
(17,15),-1.35688 # DEPENDENCYPART_ARC
(17,16),-1.00255 # DEPENDENCYPART_ARC
(17,18),0.833592 # DEPENDENCYPART_ARC
(17,19),-0.680468 # DEPENDENCYPART_ARC
(17,20),-0.860989 # DEPENDENCYPART_ARC
(17,22),-1.15856 # DEPENDENCYPART_ARC
(17,23),-1.36552 # DEPENDENCYPART_ARC
(17,24),-1.11911 # DEPENDENCYPART_ARC
(17,25),-0.335031 # DEPENDENCYPART_ARC
(18,19),0.23192 # DEPENDENCYPART_ARC
(18,20),-0.557274 # DEPENDENCYPART_ARC
(18,22),-1.4379 # DEPENDENCYPART_ARC
(18,23),-1.52641 # DEPENDENCYPART_ARC
(18,24),-1.66993 # DEPENDENCYPART_ARC
(19,20),-0.650142 # DEPENDENCYPART_ARC
(19,21),-1.19109 # DEPENDENCYPART_ARC
(19,22),-1.48927 # DEPENDENCYPART_ARC
(19,24),-2.20394 # DEPENDENCYPART_ARC
(20,17),-1.21888 # DEPENDENCYPART_ARC
(20,18),-1.04161 # DEPENDENCYPART_ARC
(20,19),1.90877 # DEPENDENCYPART_ARC
(20,21),0.94966 # DEPENDENCYPART_ARC
(20,22),-0.97091 # DEPENDENCYPART_ARC
(20,23),-1.22957 # DEPENDENCYPART_ARC
(20,24),-1.52413 # DEPENDENCYPART_ARC
(21,25),-0.929072 # DEPENDENCYPART_ARC
(22,19),-0.85781 # DEPENDENCYPART_ARC
(22,20),-0.880691 # DEPENDENCYPART_ARC
(22,23),-0.492319 # DEPENDENCYPART_ARC
(23,19),-1.62285 # DEPENDENCYPART_ARC
(23,20),-1.45628 # DEPENDENCYPART_ARC
(23,21),-1.6801 # DEPENDENCYPART_ARC
(23,22),0.0585851 # DEPENDENCYPART_ARC
(23,24),-0.614803 # DEPENDENCYPART_ARC
(24,14),-1.50594 # DEPENDENCYPART_ARC
(24,16),-1.12425 # DEPENDENCYPART_ARC
(24,18),-1.16963 # DEPENDENCYPART_ARC
(24,19),0.148159 # DEPENDENCYPART_ARC
(24,20),-0.120527 # DEPENDENCYPART_ARC
(24,22),0.45668 # DEPENDENCYPART_ARC
(24,23),1.91401 # DEPENDENCYPART_ARC
(24,25),-0.202291 # DEPENDENCYPART_ARC
(25,24),-0.327115 # DEPENDENCYPART_ARC
(0,2),(0,3),-0.0975573 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0124491 # DEPENDENCYPART_SIBL
(0,2),(0,6),-0.0249238 # DEPENDENCYPART_SIBL
(0,2),(0,11),-0.0976344 # DEPENDENCYPART_SIBL
(0,2),(0,16),-0.105785 # DEPENDENCYPART_SIBL
(0,2),(0,17),-0.0977259 # DEPENDENCYPART_SIBL
(0,3),(0,4),-0.0553442 # DEPENDENCYPART_SIBL
(0,3),(0,6),-0.050044 # DEPENDENCYPART_SIBL
(0,3),(0,11),-0.165444 # DEPENDENCYPART_SIBL
(0,3),(0,16),-0.164903 # DEPENDENCYPART_SIBL
(0,3),(0,17),-0.16541 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0160832 # DEPENDENCYPART_SIBL
(0,4),(0,11),-0.0723783 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.0840303 # DEPENDENCYPART_SIBL
(0,4),(0,17),-0.0723793 # DEPENDENCYPART_SIBL
(0,6),(0,11),-0.105185 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.115335 # DEPENDENCYPART_SIBL
(0,6),(0,17),-0.105185 # DEPENDENCYPART_SIBL
(0,11),(0,16),-0.158412 # DEPENDENCYPART_SIBL
(0,11),(0,17),-0.158919 # DEPENDENCYPART_SIBL
(0,16),(0,17),-0.167449 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.138471 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.00260377 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.102078 # DEPENDENCYPART_SIBL
(2,1),(2,9),-0.0218283 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.00920301 # DEPENDENCYPART_SIBL
(2,1),(2,11),0.13991 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.00214335 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.00920301 # DEPENDENCYPART_SIBL
(2,1),(2,16),0.129929 # DEPENDENCYPART_SIBL
(2,1),(2,17),0.141728 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.116499 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0104662 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.0125738 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0180062 # DEPENDENCYPART_SIBL
(2,3),(2,10),0.0145149 # DEPENDENCYPART_SIBL
(2,3),(2,11),-0.00937458 # DEPENDENCYPART_SIBL
(2,3),(2,12),0.00268458 # DEPENDENCYPART_SIBL
(2,3),(2,14),0.0145149 # DEPENDENCYPART_SIBL
(2,3),(2,16),0.0106339 # DEPENDENCYPART_SIBL
(2,3),(2,17),-0.0093341 # DEPENDENCYPART_SIBL
(2,3),(2,25),-0.00523299 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.0186876 # DEPENDENCYPART_SIBL
(2,4),(2,9),-0.000702636 # DEPENDENCYPART_SIBL
(2,4),(2,10),0.00218537 # DEPENDENCYPART_SIBL
(2,4),(2,11),-0.00242705 # DEPENDENCYPART_SIBL
(2,4),(2,12),-0.0193538 # DEPENDENCYPART_SIBL
(2,4),(2,14),0.00218537 # DEPENDENCYPART_SIBL
(2,4),(2,16),-0.00371738 # DEPENDENCYPART_SIBL
(2,4),(2,17),-0.00242122 # DEPENDENCYPART_SIBL
(2,4),(2,25),0.0615623 # DEPENDENCYPART_SIBL
(2,5),(2,9),-0.00372838 # DEPENDENCYPART_SIBL
(2,5),(2,10),-0.0259239 # DEPENDENCYPART_SIBL
(2,5),(2,11),-0.0259743 # DEPENDENCYPART_SIBL
(2,5),(2,12),-0.0533773 # DEPENDENCYPART_SIBL
(2,5),(2,14),-0.0259239 # DEPENDENCYPART_SIBL
(2,5),(2,16),-0.0187621 # DEPENDENCYPART_SIBL
(2,5),(2,17),-0.0259675 # DEPENDENCYPART_SIBL
