# _root_ After Mr. Stanley 's article was published in two Namibian newspapers , Mr. O'Linn had criminal charges brought against their editors , publisher and lawyer .
#goldHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,15,18,21,19,21,21,23,24,15,
#predictedHeads=15,3,5,3,6,1,6,7,11,11,8,15,14,15,0,17,15,17,18,21,19,21,21,23,24,15,
(0,1),-3.91028 # DEPENDENCYPART_ARC
(0,6),-1.92311 # DEPENDENCYPART_ARC
(0,7),-3.90627 # DEPENDENCYPART_ARC
(0,15),-2.38537 # DEPENDENCYPART_ARC
(0,18),-3.62383 # DEPENDENCYPART_ARC
(1,2),-0.669404 # DEPENDENCYPART_ARC
(1,3),-0.970673 # DEPENDENCYPART_ARC
(1,4),-1.95955 # DEPENDENCYPART_ARC
(1,5),-0.174331 # DEPENDENCYPART_ARC
(1,6),1.61848 # DEPENDENCYPART_ARC
(1,7),-1.39173 # DEPENDENCYPART_ARC
(1,8),-1.55908 # DEPENDENCYPART_ARC
(1,11),-1.6022 # DEPENDENCYPART_ARC
(1,12),-1.02115 # DEPENDENCYPART_ARC
(1,15),-0.0481533 # DEPENDENCYPART_ARC
(1,24),-1.72654 # DEPENDENCYPART_ARC
(1,26),-2.72269 # DEPENDENCYPART_ARC
(2,1),-2.4333 # DEPENDENCYPART_ARC
(2,4),-2.28187 # DEPENDENCYPART_ARC
(3,1),-1.71683 # DEPENDENCYPART_ARC
(3,2),3.16744 # DEPENDENCYPART_ARC
(3,4),1.93451 # DEPENDENCYPART_ARC
(3,5),-1.59954 # DEPENDENCYPART_ARC
(3,6),-1.37107 # DEPENDENCYPART_ARC
(3,7),-2.02897 # DEPENDENCYPART_ARC
(3,11),-2.87978 # DEPENDENCYPART_ARC
(3,12),-1.60695 # DEPENDENCYPART_ARC
(4,1),-1.69939 # DEPENDENCYPART_ARC
(4,6),-2.01517 # DEPENDENCYPART_ARC
(5,1),-1.44619 # DEPENDENCYPART_ARC
(5,2),-0.29054 # DEPENDENCYPART_ARC
(5,3),0.672561 # DEPENDENCYPART_ARC
(5,4),-0.192081 # DEPENDENCYPART_ARC
(5,6),-1.16517 # DEPENDENCYPART_ARC
(5,7),-1.47942 # DEPENDENCYPART_ARC
(5,8),-1.25483 # DEPENDENCYPART_ARC
(5,12),-1.51173 # DEPENDENCYPART_ARC
(5,15),-2.42587 # DEPENDENCYPART_ARC
(6,1),-1.19932 # DEPENDENCYPART_ARC
(6,3),-0.990943 # DEPENDENCYPART_ARC
(6,4),-1.00669 # DEPENDENCYPART_ARC
