# _root_ A few years ago , Mrs. Hammack insisted on buying earthquake insurance for this house , which had been converted into apartments .
#goldHeads=3,3,4,8,8,7,8,0,8,9,12,10,12,15,13,15,18,15,18,19,20,21,8,
#predictedHeads=3,3,4,8,8,7,8,0,8,9,12,10,10,15,13,15,18,15,18,19,20,21,8,
(0,3),-2.55534 # DEPENDENCYPART_ARC
(0,4),-2.52302 # DEPENDENCYPART_ARC
(0,7),-3.22534 # DEPENDENCYPART_ARC
(0,8),-2.02003 # DEPENDENCYPART_ARC
(0,10),-3.13941 # DEPENDENCYPART_ARC
(0,19),-2.60818 # DEPENDENCYPART_ARC
(0,20),-2.9243 # DEPENDENCYPART_ARC
(1,2),-0.467631 # DEPENDENCYPART_ARC
(1,5),-1.24628 # DEPENDENCYPART_ARC
(2,1),0.110213 # DEPENDENCYPART_ARC
(2,3),-0.361642 # DEPENDENCYPART_ARC
(2,4),-1.11435 # DEPENDENCYPART_ARC
(2,5),-1.1531 # DEPENDENCYPART_ARC
(2,7),-2.0166 # DEPENDENCYPART_ARC
(3,1),0.0822608 # DEPENDENCYPART_ARC
(3,2),1.23402 # DEPENDENCYPART_ARC
(3,4),-0.394627 # DEPENDENCYPART_ARC
(3,5),-1.40539 # DEPENDENCYPART_ARC
(3,6),-1.65589 # DEPENDENCYPART_ARC
(3,7),-1.93059 # DEPENDENCYPART_ARC
(3,8),-1.94012 # DEPENDENCYPART_ARC
(3,9),-1.99441 # DEPENDENCYPART_ARC
(3,10),-2.27936 # DEPENDENCYPART_ARC
(3,12),-2.07353 # DEPENDENCYPART_ARC
(3,13),-2.06549 # DEPENDENCYPART_ARC
(3,16),-1.90107 # DEPENDENCYPART_ARC
(3,18),-1.44056 # DEPENDENCYPART_ARC
(3,19),-1.80965 # DEPENDENCYPART_ARC
(3,20),-1.97284 # DEPENDENCYPART_ARC
(3,23),-2.6401 # DEPENDENCYPART_ARC
(4,2),-0.853419 # DEPENDENCYPART_ARC
(4,3),0.408299 # DEPENDENCYPART_ARC
(4,5),-0.16593 # DEPENDENCYPART_ARC
(4,6),-1.28898 # DEPENDENCYPART_ARC
(4,7),-1.55006 # DEPENDENCYPART_ARC
(4,8),-1.58458 # DEPENDENCYPART_ARC
(4,9),-1.84598 # DEPENDENCYPART_ARC
(4,18),-1.47959 # DEPENDENCYPART_ARC
(5,4),-0.415666 # DEPENDENCYPART_ARC
(6,1),-2.44702 # DEPENDENCYPART_ARC
(6,2),-2.87226 # DEPENDENCYPART_ARC
(6,3),-2.81068 # DEPENDENCYPART_ARC
(6,4),-2.29054 # DEPENDENCYPART_ARC
(6,5),-1.1841 # DEPENDENCYPART_ARC
(6,7),-0.632562 # DEPENDENCYPART_ARC
(6,8),-0.827652 # DEPENDENCYPART_ARC
(6,9),-1.21744 # DEPENDENCYPART_ARC
(7,1),-1.81565 # DEPENDENCYPART_ARC
(7,2),-1.65309 # DEPENDENCYPART_ARC
(7,3),-1.8643 # DEPENDENCYPART_ARC
(7,4),-1.98802 # DEPENDENCYPART_ARC
(7,5),-1.16418 # DEPENDENCYPART_ARC
(7,6),1.4834 # DEPENDENCYPART_ARC
(7,8),-0.143922 # DEPENDENCYPART_ARC
(7,9),-1.01427 # DEPENDENCYPART_ARC
(7,10),-1.3661 # DEPENDENCYPART_ARC
(7,12),-1.39104 # DEPENDENCYPART_ARC
(7,13),-1.27541 # DEPENDENCYPART_ARC
(7,15),-1.74995 # DEPENDENCYPART_ARC
(7,16),-1.35846 # DEPENDENCYPART_ARC
(7,18),-1.73032 # DEPENDENCYPART_ARC
(7,19),-2.07316 # DEPENDENCYPART_ARC
(8,1),-1.70886 # DEPENDENCYPART_ARC
(8,2),-1.62921 # DEPENDENCYPART_ARC
(8,3),-1.54732 # DEPENDENCYPART_ARC
(8,4),-1.38905 # DEPENDENCYPART_ARC
(8,5),-0.436718 # DEPENDENCYPART_ARC
(8,6),-0.332606 # DEPENDENCYPART_ARC
(8,7),0.633182 # DEPENDENCYPART_ARC
(8,9),1.26751 # DEPENDENCYPART_ARC
(8,10),-0.11989 # DEPENDENCYPART_ARC
(8,11),-1.14392 # DEPENDENCYPART_ARC
(8,12),-1.00539 # DEPENDENCYPART_ARC
(8,13),-0.779294 # DEPENDENCYPART_ARC
(8,15),-1.70999 # DEPENDENCYPART_ARC
(8,16),-1.18851 # DEPENDENCYPART_ARC
(8,18),-1.85413 # DEPENDENCYPART_ARC
(8,19),-1.41759 # DEPENDENCYPART_ARC
(8,20),-1.40134 # DEPENDENCYPART_ARC
(8,21),-1.82087 # DEPENDENCYPART_ARC
(8,23),0.0349248 # DEPENDENCYPART_ARC
(9,10),0.563037 # DEPENDENCYPART_ARC
(9,11),-0.698042 # DEPENDENCYPART_ARC
(9,12),-1.38689 # DEPENDENCYPART_ARC
(9,13),-1.24366 # DEPENDENCYPART_ARC
(9,15),-2.22859 # DEPENDENCYPART_ARC
(9,18),-1.85546 # DEPENDENCYPART_ARC
(9,23),-0.988706 # DEPENDENCYPART_ARC
(10,3),-3.08086 # DEPENDENCYPART_ARC
(10,8),-2.06509 # DEPENDENCYPART_ARC
(10,9),-0.658774 # DEPENDENCYPART_ARC
(10,11),0.538846 # DEPENDENCYPART_ARC
(10,12),0.19182 # DEPENDENCYPART_ARC
(10,13),-0.628595 # DEPENDENCYPART_ARC
(10,14),-1.1968 # DEPENDENCYPART_ARC
(10,15),-0.816141 # DEPENDENCYPART_ARC
(10,16),-1.20525 # DEPENDENCYPART_ARC
(10,18),-2.05077 # DEPENDENCYPART_ARC
(10,19),-2.0539 # DEPENDENCYPART_ARC
(10,20),-2.09039 # DEPENDENCYPART_ARC
(10,21),-2.23045 # DEPENDENCYPART_ARC
(10,23),-1.52683 # DEPENDENCYPART_ARC
(11,7),-2.11927 # DEPENDENCYPART_ARC
(11,9),-1.47191 # DEPENDENCYPART_ARC
(11,10),-0.133883 # DEPENDENCYPART_ARC
(11,12),-0.69819 # DEPENDENCYPART_ARC
(11,13),-0.943567 # DEPENDENCYPART_ARC
(11,15),-1.97188 # DEPENDENCYPART_ARC
(11,18),-1.65925 # DEPENDENCYPART_ARC
(12,1),-2.24728 # DEPENDENCYPART_ARC
(12,2),-1.84382 # DEPENDENCYPART_ARC
(12,6),-0.703601 # DEPENDENCYPART_ARC
(12,7),-1.12391 # DEPENDENCYPART_ARC
(12,8),-1.06963 # DEPENDENCYPART_ARC
(12,9),-0.897237 # DEPENDENCYPART_ARC
(12,10),-0.161149 # DEPENDENCYPART_ARC
(12,11),2.08859 # DEPENDENCYPART_ARC
(12,13),0.164758 # DEPENDENCYPART_ARC
(12,14),-1.44132 # DEPENDENCYPART_ARC
(12,15),-1.40339 # DEPENDENCYPART_ARC
(12,16),-1.22367 # DEPENDENCYPART_ARC
(12,18),-1.5172 # DEPENDENCYPART_ARC
(12,19),-1.99694 # DEPENDENCYPART_ARC
(12,20),-2.1084 # DEPENDENCYPART_ARC
(12,21),-1.82522 # DEPENDENCYPART_ARC
(13,10),-1.55751 # DEPENDENCYPART_ARC
(13,12),-0.572945 # DEPENDENCYPART_ARC
(13,14),-0.074313 # DEPENDENCYPART_ARC
(13,15),-0.0391502 # DEPENDENCYPART_ARC
(13,16),-1.17996 # DEPENDENCYPART_ARC
(13,18),-2.0435 # DEPENDENCYPART_ARC
(13,21),-1.91781 # DEPENDENCYPART_ARC
(15,10),-1.1055 # DEPENDENCYPART_ARC
(15,11),-0.885822 # DEPENDENCYPART_ARC
(15,12),-1.37355 # DEPENDENCYPART_ARC
(15,13),-0.814657 # DEPENDENCYPART_ARC
(15,14),1.0294 # DEPENDENCYPART_ARC
(15,16),0.319711 # DEPENDENCYPART_ARC
(15,18),-1.05838 # DEPENDENCYPART_ARC
(15,19),-1.61138 # DEPENDENCYPART_ARC
(15,20),-1.7992 # DEPENDENCYPART_ARC
(15,21),-1.56069 # DEPENDENCYPART_ARC
(15,22),-1.56447 # DEPENDENCYPART_ARC
(15,23),-2.13134 # DEPENDENCYPART_ARC
(18,3),-1.67503 # DEPENDENCYPART_ARC
(18,4),-2.00891 # DEPENDENCYPART_ARC
(18,5),-2.29149 # DEPENDENCYPART_ARC
(18,7),-2.7675 # DEPENDENCYPART_ARC
(18,8),-2.23998 # DEPENDENCYPART_ARC
(18,9),-1.73416 # DEPENDENCYPART_ARC
(18,10),-2.04705 # DEPENDENCYPART_ARC
(18,12),-2.40928 # DEPENDENCYPART_ARC
(18,13),-1.63732 # DEPENDENCYPART_ARC
(18,14),-2.11906 # DEPENDENCYPART_ARC
(18,15),-2.24204 # DEPENDENCYPART_ARC
(18,16),-1.14433 # DEPENDENCYPART_ARC
(18,17),0.107391 # DEPENDENCYPART_ARC
(18,19),1.15821 # DEPENDENCYPART_ARC
(18,20),0.0374865 # DEPENDENCYPART_ARC
(18,21),-0.951637 # DEPENDENCYPART_ARC
(18,22),-1.245 # DEPENDENCYPART_ARC
(18,23),-1.05034 # DEPENDENCYPART_ARC
(19,5),-3.07181 # DEPENDENCYPART_ARC
(19,8),-2.32493 # DEPENDENCYPART_ARC
(19,16),-2.0212 # DEPENDENCYPART_ARC
(19,17),-1.46877 # DEPENDENCYPART_ARC
(19,20),1.04825 # DEPENDENCYPART_ARC
(19,21),-0.727261 # DEPENDENCYPART_ARC
(19,22),-1.22725 # DEPENDENCYPART_ARC
(19,23),-0.939181 # DEPENDENCYPART_ARC
(20,5),-2.754 # DEPENDENCYPART_ARC
(20,8),-2.14153 # DEPENDENCYPART_ARC
(20,9),-1.87455 # DEPENDENCYPART_ARC
(20,12),-2.34097 # DEPENDENCYPART_ARC
(20,13),-1.55676 # DEPENDENCYPART_ARC
(20,16),-1.66493 # DEPENDENCYPART_ARC
(20,17),-1.20484 # DEPENDENCYPART_ARC
(20,21),0.869705 # DEPENDENCYPART_ARC
(20,22),-0.451607 # DEPENDENCYPART_ARC
(20,23),-0.274518 # DEPENDENCYPART_ARC
(21,22),0.489817 # DEPENDENCYPART_ARC
(21,23),-1.14141 # DEPENDENCYPART_ARC
(22,20),-0.913951 # DEPENDENCYPART_ARC
(22,21),-0.0764921 # DEPENDENCYPART_ARC
(22,23),-0.327183 # DEPENDENCYPART_ARC
(23,19),-1.38408 # DEPENDENCYPART_ARC
(23,20),-1.13525 # DEPENDENCYPART_ARC
(23,21),-1.00062 # DEPENDENCYPART_ARC
(0,3),(0,4),-0.0312717 # DEPENDENCYPART_SIBL
(0,3),(0,7),-0.0523845 # DEPENDENCYPART_SIBL
(0,3),(0,8),-0.0949997 # DEPENDENCYPART_SIBL
(0,3),(0,10),-0.0943229 # DEPENDENCYPART_SIBL
(0,3),(0,19),-0.0887516 # DEPENDENCYPART_SIBL
(0,3),(0,20),-0.0952326 # DEPENDENCYPART_SIBL
(0,4),(0,7),-0.0206657 # DEPENDENCYPART_SIBL
(0,4),(0,8),-0.0830135 # DEPENDENCYPART_SIBL
(0,4),(0,10),-0.0845891 # DEPENDENCYPART_SIBL
(0,4),(0,19),-0.0736662 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.0830225 # DEPENDENCYPART_SIBL
(0,7),(0,8),-0.101616 # DEPENDENCYPART_SIBL
(0,7),(0,10),-0.100932 # DEPENDENCYPART_SIBL
(0,7),(0,19),-0.0953675 # DEPENDENCYPART_SIBL
(0,7),(0,20),-0.101849 # DEPENDENCYPART_SIBL
(0,8),(0,10),-0.165428 # DEPENDENCYPART_SIBL
(0,8),(0,19),-0.16389 # DEPENDENCYPART_SIBL
(0,8),(0,20),-0.164448 # DEPENDENCYPART_SIBL
(0,10),(0,19),-0.165325 # DEPENDENCYPART_SIBL
(0,10),(0,20),-0.165883 # DEPENDENCYPART_SIBL
(0,19),(0,20),-0.172497 # DEPENDENCYPART_SIBL
(1,2),(1,5),0.0254735 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.0237572 # DEPENDENCYPART_SIBL
(2,1),(2,4),0.0128898 # DEPENDENCYPART_SIBL
(2,1),(2,5),0.125152 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.0258534 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.00388797 # DEPENDENCYPART_SIBL
(2,3),(2,5),0.0228643 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.013865 # DEPENDENCYPART_SIBL
(2,4),(2,5),-0.00319923 # DEPENDENCYPART_SIBL
(2,4),(2,7),0.0355043 # DEPENDENCYPART_SIBL
(2,5),(2,7),0.0879945 # DEPENDENCYPART_SIBL
(3,1),(3,2),0.00645617 # DEPENDENCYPART_SIBL
(3,1),(3,4),-0.0497928 # DEPENDENCYPART_SIBL
(3,1),(3,5),-0.141926 # DEPENDENCYPART_SIBL
(3,1),(3,6),-0.0636323 # DEPENDENCYPART_SIBL
(3,1),(3,7),-0.0633416 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.211427 # DEPENDENCYPART_SIBL
(3,1),(3,9),0.0565702 # DEPENDENCYPART_SIBL
(3,1),(3,10),0.209383 # DEPENDENCYPART_SIBL
(3,1),(3,12),-0.0726942 # DEPENDENCYPART_SIBL
(3,1),(3,13),0.074979 # DEPENDENCYPART_SIBL
(3,1),(3,16),-0.141926 # DEPENDENCYPART_SIBL
(3,1),(3,18),0.222782 # DEPENDENCYPART_SIBL
(3,1),(3,19),0.272395 # DEPENDENCYPART_SIBL
(3,1),(3,20),0.224826 # DEPENDENCYPART_SIBL
(3,1),(3,23),-0.0686113 # DEPENDENCYPART_SIBL
(3,2),(3,4),-0.064575 # DEPENDENCYPART_SIBL
(3,2),(3,5),-0.114913 # DEPENDENCYPART_SIBL
(3,2),(3,6),-0.0638519 # DEPENDENCYPART_SIBL
(3,2),(3,7),-0.0638372 # DEPENDENCYPART_SIBL
(3,2),(3,8),-0.0561864 # DEPENDENCYPART_SIBL
(3,2),(3,9),-0.164206 # DEPENDENCYPART_SIBL
(3,2),(3,10),-0.0581619 # DEPENDENCYPART_SIBL
(3,2),(3,12),-0.0728954 # DEPENDENCYPART_SIBL
(3,2),(3,13),-0.151997 # DEPENDENCYPART_SIBL
(3,2),(3,16),-0.114913 # DEPENDENCYPART_SIBL
(3,2),(3,18),-0.0518665 # DEPENDENCYPART_SIBL
(3,2),(3,19),-0.0138222 # DEPENDENCYPART_SIBL
(3,2),(3,20),-0.0478001 # DEPENDENCYPART_SIBL
(3,2),(3,23),-0.0833295 # DEPENDENCYPART_SIBL
(3,4),(3,5),-0.0484791 # DEPENDENCYPART_SIBL
(3,4),(3,6),0.000143589 # DEPENDENCYPART_SIBL
(3,4),(3,7),0.000164815 # DEPENDENCYPART_SIBL
(3,4),(3,8),-0.0207222 # DEPENDENCYPART_SIBL
(3,4),(3,9),-0.00569243 # DEPENDENCYPART_SIBL
(3,4),(3,10),-0.0227425 # DEPENDENCYPART_SIBL
(3,4),(3,12),0.00142486 # DEPENDENCYPART_SIBL
(3,4),(3,13),-0.0307298 # DEPENDENCYPART_SIBL
(3,4),(3,16),-0.0484791 # DEPENDENCYPART_SIBL
(3,4),(3,18),-0.0138469 # DEPENDENCYPART_SIBL
(3,4),(3,19),-0.00688208 # DEPENDENCYPART_SIBL
(3,4),(3,20),-0.0201009 # DEPENDENCYPART_SIBL
(3,4),(3,23),-0.00853905 # DEPENDENCYPART_SIBL
(3,5),(3,6),-0.00377654 # DEPENDENCYPART_SIBL
(3,5),(3,7),-0.00368706 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.0215212 # DEPENDENCYPART_SIBL
(3,5),(3,9),0.0208083 # DEPENDENCYPART_SIBL
(3,5),(3,10),-0.0212209 # DEPENDENCYPART_SIBL
(3,5),(3,12),-0.0239065 # DEPENDENCYPART_SIBL
(3,5),(3,13),-0.0397057 # DEPENDENCYPART_SIBL
(3,5),(3,16),-0.0124212 # DEPENDENCYPART_SIBL
(3,5),(3,18),-0.00633077 # DEPENDENCYPART_SIBL
(3,5),(3,19),-0.0264789 # DEPENDENCYPART_SIBL
(3,5),(3,20),-0.0158129 # DEPENDENCYPART_SIBL
(3,5),(3,23),-0.0333748 # DEPENDENCYPART_SIBL
(3,6),(3,7),-0.0183992 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0198773 # DEPENDENCYPART_SIBL
(3,6),(3,9),-0.0102679 # DEPENDENCYPART_SIBL
(3,6),(3,10),-0.0195049 # DEPENDENCYPART_SIBL
(3,6),(3,12),-0.0274362 # DEPENDENCYPART_SIBL
(3,6),(3,13),-0.040372 # DEPENDENCYPART_SIBL
(3,6),(3,16),-0.00280557 # DEPENDENCYPART_SIBL
(3,6),(3,18),-0.00965418 # DEPENDENCYPART_SIBL
(3,6),(3,19),-0.00916778 # DEPENDENCYPART_SIBL
(3,6),(3,20),-0.0197139 # DEPENDENCYPART_SIBL
(3,6),(3,23),0.0171319 # DEPENDENCYPART_SIBL
(3,7),(3,8),-0.0193407 # DEPENDENCYPART_SIBL
(3,7),(3,9),-0.00972756 # DEPENDENCYPART_SIBL
(3,7),(3,10),-0.0189683 # DEPENDENCYPART_SIBL
(3,7),(3,12),-0.0272585 # DEPENDENCYPART_SIBL
(3,7),(3,13),-0.0398317 # DEPENDENCYPART_SIBL
(3,7),(3,16),-0.00178441 # DEPENDENCYPART_SIBL
(3,7),(3,18),-0.00911755 # DEPENDENCYPART_SIBL
(3,7),(3,19),-0.00863119 # DEPENDENCYPART_SIBL
(3,7),(3,20),-0.0191773 # DEPENDENCYPART_SIBL
(3,7),(3,23),0.0171936 # DEPENDENCYPART_SIBL
(3,8),(3,9),-0.0190424 # DEPENDENCYPART_SIBL
(3,8),(3,10),-0.0165085 # DEPENDENCYPART_SIBL
(3,8),(3,12),-0.0287414 # DEPENDENCYPART_SIBL
(3,8),(3,13),-0.0154147 # DEPENDENCYPART_SIBL
(3,8),(3,16),0.00104762 # DEPENDENCYPART_SIBL
(3,8),(3,18),-0.00569423 # DEPENDENCYPART_SIBL
(3,8),(3,19),-0.0108337 # DEPENDENCYPART_SIBL
(3,8),(3,20),-0.0144563 # DEPENDENCYPART_SIBL
(3,8),(3,23),-0.00646445 # DEPENDENCYPART_SIBL
(3,9),(3,10),0.0210723 # DEPENDENCYPART_SIBL
(3,9),(3,12),0.00828094 # DEPENDENCYPART_SIBL
(3,9),(3,13),0.0419664 # DEPENDENCYPART_SIBL
(3,9),(3,16),0.0352236 # DEPENDENCYPART_SIBL
(3,9),(3,18),0.0207427 # DEPENDENCYPART_SIBL
(3,9),(3,19),0.0279381 # DEPENDENCYPART_SIBL
(3,9),(3,20),0.0213444 # DEPENDENCYPART_SIBL
(3,9),(3,23),0.0905621 # DEPENDENCYPART_SIBL
(3,10),(3,12),-0.0292756 # DEPENDENCYPART_SIBL
(3,10),(3,13),-0.0208939 # DEPENDENCYPART_SIBL
(3,10),(3,16),-0.00674749 # DEPENDENCYPART_SIBL
(3,10),(3,18),-0.00871942 # DEPENDENCYPART_SIBL
(3,10),(3,19),-0.0138588 # DEPENDENCYPART_SIBL
(3,10),(3,20),-0.0174814 # DEPENDENCYPART_SIBL
(3,10),(3,23),-0.00539852 # DEPENDENCYPART_SIBL
(3,12),(3,13),-0.0411998 # DEPENDENCYPART_SIBL
(3,12),(3,16),-0.0131847 # DEPENDENCYPART_SIBL
(3,12),(3,18),-0.0089833 # DEPENDENCYPART_SIBL
(3,12),(3,19),-0.010705 # DEPENDENCYPART_SIBL
(3,12),(3,20),-0.0212512 # DEPENDENCYPART_SIBL
(3,12),(3,23),0.0135463 # DEPENDENCYPART_SIBL
(3,13),(3,16),-0.00669322 # DEPENDENCYPART_SIBL
(3,13),(3,18),-0.0386909 # DEPENDENCYPART_SIBL
(3,13),(3,19),-0.0264274 # DEPENDENCYPART_SIBL
(3,13),(3,20),-0.0354531 # DEPENDENCYPART_SIBL
(3,13),(3,23),0.0493353 # DEPENDENCYPART_SIBL
(3,16),(3,18),-0.00633077 # DEPENDENCYPART_SIBL
(3,16),(3,19),-0.0264789 # DEPENDENCYPART_SIBL
(3,16),(3,20),-0.0158129 # DEPENDENCYPART_SIBL
(3,16),(3,23),-0.0333748 # DEPENDENCYPART_SIBL
(3,18),(3,19),-0.00443156 # DEPENDENCYPART_SIBL
(3,18),(3,20),-0.00696174 # DEPENDENCYPART_SIBL
(3,18),(3,23),0.00852139 # DEPENDENCYPART_SIBL
(3,19),(3,20),-0.0241459 # DEPENDENCYPART_SIBL
(3,19),(3,23),-0.0125604 # DEPENDENCYPART_SIBL
(3,20),(3,23),-0.0137115 # DEPENDENCYPART_SIBL
(4,2),(4,3),-0.0039435 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0973992 # DEPENDENCYPART_SIBL
(4,2),(4,6),0.0558377 # DEPENDENCYPART_SIBL
(4,2),(4,7),0.05585 # DEPENDENCYPART_SIBL
(4,2),(4,8),0.0197957 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.0443105 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0235958 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.107828 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.144229 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.147687 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0567605 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0224127 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0527049 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.00961241 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.00964812 # DEPENDENCYPART_SIBL
(4,5),(4,8),0.0709251 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.0289728 # DEPENDENCYPART_SIBL
(4,5),(4,18),0.0665558 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.0210209 # DEPENDENCYPART_SIBL
(4,6),(4,8),0.0210083 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0173767 # DEPENDENCYPART_SIBL
(4,6),(4,18),0.0175217 # DEPENDENCYPART_SIBL
(4,7),(4,8),0.0214844 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0168968 # DEPENDENCYPART_SIBL
(4,7),(4,18),0.0179978 # DEPENDENCYPART_SIBL
(4,8),(4,9),0.0396541 # DEPENDENCYPART_SIBL
(4,8),(4,18),0.0149561 # DEPENDENCYPART_SIBL
(4,9),(4,18),0.00425212 # DEPENDENCYPART_SIBL
(6,1),(6,2),-0.0188306 # DEPENDENCYPART_SIBL
(6,1),(6,3),0.0374084 # DEPENDENCYPART_SIBL
(6,1),(6,4),0.00318624 # DEPENDENCYPART_SIBL
(6,1),(6,5),0.112322 # DEPENDENCYPART_SIBL
(6,1),(6,7),-0.0277686 # DEPENDENCYPART_SIBL
(6,1),(6,8),0.261476 # DEPENDENCYPART_SIBL
(6,1),(6,9),0.104167 # DEPENDENCYPART_SIBL
(6,2),(6,3),0.0636199 # DEPENDENCYPART_SIBL
(6,2),(6,4),0.00283159 # DEPENDENCYPART_SIBL
(6,2),(6,5),0.142298 # DEPENDENCYPART_SIBL
(6,2),(6,7),-0.0235812 # DEPENDENCYPART_SIBL
(6,2),(6,8),-0.00624947 # DEPENDENCYPART_SIBL
(6,2),(6,9),-0.114714 # DEPENDENCYPART_SIBL
(6,3),(6,4),-0.0267337 # DEPENDENCYPART_SIBL
(6,3),(6,5),0.0266129 # DEPENDENCYPART_SIBL
(6,3),(6,7),0.0107492 # DEPENDENCYPART_SIBL
(6,3),(6,8),-0.0254483 # DEPENDENCYPART_SIBL
(6,3),(6,9),0.0128925 # DEPENDENCYPART_SIBL
(6,4),(6,5),0.011361 # DEPENDENCYPART_SIBL
(6,4),(6,7),-0.00594446 # DEPENDENCYPART_SIBL
(6,4),(6,8),-0.0139393 # DEPENDENCYPART_SIBL
(6,4),(6,9),0.0283568 # DEPENDENCYPART_SIBL
(6,5),(6,7),-0.0156577 # DEPENDENCYPART_SIBL
(6,5),(6,8),0.0100235 # DEPENDENCYPART_SIBL
(6,5),(6,9),-0.0933543 # DEPENDENCYPART_SIBL
(6,7),(6,8),-0.0141994 # DEPENDENCYPART_SIBL
(6,7),(6,9),0.00198302 # DEPENDENCYPART_SIBL
(6,8),(6,9),-0.00683431 # DEPENDENCYPART_SIBL
(7,1),(7,2),-0.0188301 # DEPENDENCYPART_SIBL
(7,1),(7,3),0.0374089 # DEPENDENCYPART_SIBL
(7,1),(7,4),0.00318678 # DEPENDENCYPART_SIBL
(7,1),(7,5),0.112322 # DEPENDENCYPART_SIBL
(7,1),(7,6),0.0254248 # DEPENDENCYPART_SIBL
(7,1),(7,8),0.261473 # DEPENDENCYPART_SIBL
(7,1),(7,9),0.104162 # DEPENDENCYPART_SIBL
(7,1),(7,10),0.259435 # DEPENDENCYPART_SIBL
(7,1),(7,12),-0.0371016 # DEPENDENCYPART_SIBL
(7,1),(7,13),0.136467 # DEPENDENCYPART_SIBL
(7,1),(7,15),-0.0230995 # DEPENDENCYPART_SIBL
(7,1),(7,16),-0.0629704 # DEPENDENCYPART_SIBL
(7,1),(7,18),0.273161 # DEPENDENCYPART_SIBL
(7,1),(7,19),0.322454 # DEPENDENCYPART_SIBL
(7,2),(7,3),0.0636199 # DEPENDENCYPART_SIBL
(7,2),(7,4),0.00283159 # DEPENDENCYPART_SIBL
(7,2),(7,5),0.142298 # DEPENDENCYPART_SIBL
(7,2),(7,6),0.0553973 # DEPENDENCYPART_SIBL
(7,2),(7,8),-0.00625531 # DEPENDENCYPART_SIBL
(7,2),(7,9),-0.11472 # DEPENDENCYPART_SIBL
(7,2),(7,10),-0.00822469 # DEPENDENCYPART_SIBL
(7,2),(7,12),-0.0326208 # DEPENDENCYPART_SIBL
(7,2),(7,13),-0.0886147 # DEPENDENCYPART_SIBL
(7,2),(7,15),-0.0139198 # DEPENDENCYPART_SIBL
(7,2),(7,16),-0.0262791 # DEPENDENCYPART_SIBL
(7,2),(7,18),-0.00160167 # DEPENDENCYPART_SIBL
(7,2),(7,19),0.0361275 # DEPENDENCYPART_SIBL
(7,3),(7,4),-0.0267334 # DEPENDENCYPART_SIBL
(7,3),(7,5),0.0266133 # DEPENDENCYPART_SIBL
(7,3),(7,6),-0.00511316 # DEPENDENCYPART_SIBL
(7,3),(7,8),-0.0254741 # DEPENDENCYPART_SIBL
(7,3),(7,9),0.0128671 # DEPENDENCYPART_SIBL
(7,3),(7,10),-0.0236971 # DEPENDENCYPART_SIBL
(7,3),(7,12),0.00359175 # DEPENDENCYPART_SIBL
(7,3),(7,13),-0.0319997 # DEPENDENCYPART_SIBL
(7,3),(7,15),0.0104415 # DEPENDENCYPART_SIBL
(7,3),(7,16),0.0420476 # DEPENDENCYPART_SIBL
(7,3),(7,18),-0.0313826 # DEPENDENCYPART_SIBL
(7,3),(7,19),-0.00441827 # DEPENDENCYPART_SIBL
(7,4),(7,5),0.011361 # DEPENDENCYPART_SIBL
(7,4),(7,6),-0.00705943 # DEPENDENCYPART_SIBL
(7,4),(7,8),-0.013945 # DEPENDENCYPART_SIBL
(7,4),(7,9),0.0283507 # DEPENDENCYPART_SIBL
(7,4),(7,10),-0.0150308 # DEPENDENCYPART_SIBL
(7,4),(7,12),-0.0126877 # DEPENDENCYPART_SIBL
(7,4),(7,13),-0.0374647 # DEPENDENCYPART_SIBL
