# _root_ Armstrong , which has faced a takeover threat from the Belzberg family of Canada since July , said that disposing of the carpet business would improve `` total financial performance . ''
#goldHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
#predictedHeads=18,1,4,1,4,8,8,5,8,12,12,9,12,13,5,15,1,0,25,25,20,24,24,21,18,25,26,30,30,26,18,18,
(0,1),-1.83576 # DEPENDENCYPART_ARC
(0,4),-2.59938 # DEPENDENCYPART_ARC
(0,5),-3.15717 # DEPENDENCYPART_ARC
(0,18),-0.0873551 # DEPENDENCYPART_ARC
(1,2),0.377638 # DEPENDENCYPART_ARC
(1,4),-1.11773 # DEPENDENCYPART_ARC
(1,5),-1.91869 # DEPENDENCYPART_ARC
(1,7),-1.56818 # DEPENDENCYPART_ARC
(1,8),-1.65457 # DEPENDENCYPART_ARC
(1,9),-1.85684 # DEPENDENCYPART_ARC
(1,12),-1.8747 # DEPENDENCYPART_ARC
(1,16),-1.91768 # DEPENDENCYPART_ARC
(1,17),-1.0983 # DEPENDENCYPART_ARC
(1,18),-1.6686 # DEPENDENCYPART_ARC
(1,20),-1.8719 # DEPENDENCYPART_ARC
(1,27),-1.74923 # DEPENDENCYPART_ARC
(1,31),-2.59141 # DEPENDENCYPART_ARC
(1,32),-0.958122 # DEPENDENCYPART_ARC
(4,1),-2.11538 # DEPENDENCYPART_ARC
(4,2),-1.08799 # DEPENDENCYPART_ARC
(4,3),0.412222 # DEPENDENCYPART_ARC
(4,5),1.36109 # DEPENDENCYPART_ARC
(4,6),-1.14474 # DEPENDENCYPART_ARC
(4,7),-1.09307 # DEPENDENCYPART_ARC
(4,8),-0.895081 # DEPENDENCYPART_ARC
(4,9),-1.22649 # DEPENDENCYPART_ARC
(4,12),-1.53737 # DEPENDENCYPART_ARC
(4,15),-1.78165 # DEPENDENCYPART_ARC
(4,17),-1.94988 # DEPENDENCYPART_ARC
(4,18),-3.36488 # DEPENDENCYPART_ARC
(4,25),-2.21765 # DEPENDENCYPART_ARC
(4,27),-1.90171 # DEPENDENCYPART_ARC
(4,31),-0.516473 # DEPENDENCYPART_ARC
(4,32),-0.293966 # DEPENDENCYPART_ARC
(5,1),-2.86847 # DEPENDENCYPART_ARC
(5,2),-2.25637 # DEPENDENCYPART_ARC
(5,3),-1.40317 # DEPENDENCYPART_ARC
(5,4),-1.04096 # DEPENDENCYPART_ARC
(5,6),-0.320691 # DEPENDENCYPART_ARC
(5,7),-0.308098 # DEPENDENCYPART_ARC
(5,8),-0.116078 # DEPENDENCYPART_ARC
(5,9),-0.818833 # DEPENDENCYPART_ARC
(5,11),-1.31069 # DEPENDENCYPART_ARC
(5,12),-0.816686 # DEPENDENCYPART_ARC
(5,13),-1.79644 # DEPENDENCYPART_ARC
(5,15),-1.59552 # DEPENDENCYPART_ARC
(5,17),-1.40473 # DEPENDENCYPART_ARC
(5,18),-2.37357 # DEPENDENCYPART_ARC
