# _root_ Simulated golf games , in which players hit golf balls into nets , have been installed at airports in Denver and Pittsburgh ... .
#goldHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
#predictedHeads=3,3,14,3,8,5,8,3,10,8,8,11,3,0,14,15,16,17,18,21,19,21,14,14,
(0,3),-2.58708 # DEPENDENCYPART_ARC
(0,8),-2.12272 # DEPENDENCYPART_ARC
(0,14),-1.97858 # DEPENDENCYPART_ARC
(0,15),-2.06387 # DEPENDENCYPART_ARC
(0,16),-2.51304 # DEPENDENCYPART_ARC
(0,21),-2.73499 # DEPENDENCYPART_ARC
(1,2),-0.509768 # DEPENDENCYPART_ARC
(1,4),-1.4123 # DEPENDENCYPART_ARC
(1,8),-2.07179 # DEPENDENCYPART_ARC
(2,1),0.190314 # DEPENDENCYPART_ARC
(2,3),-0.876957 # DEPENDENCYPART_ARC
(2,4),-1.96131 # DEPENDENCYPART_ARC
(2,5),-2.37744 # DEPENDENCYPART_ARC
(2,7),-2.48599 # DEPENDENCYPART_ARC
(2,8),-1.97231 # DEPENDENCYPART_ARC
(2,13),-2.48981 # DEPENDENCYPART_ARC
(3,1),0.224552 # DEPENDENCYPART_ARC
(3,2),1.90795 # DEPENDENCYPART_ARC
(3,4),-0.123731 # DEPENDENCYPART_ARC
(3,5),-2.05592 # DEPENDENCYPART_ARC
(3,7),-2.06503 # DEPENDENCYPART_ARC
(3,8),-2.091 # DEPENDENCYPART_ARC
(3,10),-2.05525 # DEPENDENCYPART_ARC
(3,12),-2.23097 # DEPENDENCYPART_ARC
(3,13),-1.40489 # DEPENDENCYPART_ARC
(3,14),-2.26168 # DEPENDENCYPART_ARC
(3,15),-2.15744 # DEPENDENCYPART_ARC
(3,16),-2.19164 # DEPENDENCYPART_ARC
(3,23),-1.5443 # DEPENDENCYPART_ARC
(3,24),-2.43029 # DEPENDENCYPART_ARC
(4,5),-0.761528 # DEPENDENCYPART_ARC
(5,2),-1.59085 # DEPENDENCYPART_ARC
(5,3),-1.65695 # DEPENDENCYPART_ARC
(5,4),0.0986563 # DEPENDENCYPART_ARC
(5,6),0.714442 # DEPENDENCYPART_ARC
(5,7),-0.568934 # DEPENDENCYPART_ARC
(5,8),-0.871459 # DEPENDENCYPART_ARC
(5,9),-1.95676 # DEPENDENCYPART_ARC
(5,10),-2.17698 # DEPENDENCYPART_ARC
(5,11),-1.46493 # DEPENDENCYPART_ARC
(5,12),-2.81328 # DEPENDENCYPART_ARC
(7,1),-2.639 # DEPENDENCYPART_ARC
(7,2),-1.97916 # DEPENDENCYPART_ARC
(7,3),-2.16367 # DEPENDENCYPART_ARC
(7,4),-1.96827 # DEPENDENCYPART_ARC
(7,5),-1.1415 # DEPENDENCYPART_ARC
(7,6),-0.0232142 # DEPENDENCYPART_ARC
(7,8),-0.482353 # DEPENDENCYPART_ARC
(7,10),-1.71365 # DEPENDENCYPART_ARC
(7,11),-1.70759 # DEPENDENCYPART_ARC
(7,13),-2.18159 # DEPENDENCYPART_ARC
(7,14),-2.67799 # DEPENDENCYPART_ARC
(8,1),-1.73397 # DEPENDENCYPART_ARC
(8,2),-2.06707 # DEPENDENCYPART_ARC
(8,3),-2.11496 # DEPENDENCYPART_ARC
(8,4),-1.11668 # DEPENDENCYPART_ARC
(8,5),-0.081715 # DEPENDENCYPART_ARC
(8,6),-0.650431 # DEPENDENCYPART_ARC
(8,7),0.788098 # DEPENDENCYPART_ARC
(8,9),0.386736 # DEPENDENCYPART_ARC
(8,10),0.0840618 # DEPENDENCYPART_ARC
(8,11),-0.582796 # DEPENDENCYPART_ARC
(8,12),-0.894425 # DEPENDENCYPART_ARC
(8,13),-1.05375 # DEPENDENCYPART_ARC
(8,14),-1.29559 # DEPENDENCYPART_ARC
(8,15),-1.71175 # DEPENDENCYPART_ARC
(8,16),-1.68022 # DEPENDENCYPART_ARC
(8,17),-2.3446 # DEPENDENCYPART_ARC
(8,19),-2.44381 # DEPENDENCYPART_ARC
(8,21),-1.10679 # DEPENDENCYPART_ARC
(8,23),-1.45375 # DEPENDENCYPART_ARC
(8,24),-1.2256 # DEPENDENCYPART_ARC
(9,6),-1.9305 # DEPENDENCYPART_ARC
(9,7),-1.11598 # DEPENDENCYPART_ARC
(9,8),-0.357766 # DEPENDENCYPART_ARC
(9,10),-0.538163 # DEPENDENCYPART_ARC
(9,11),-1.08827 # DEPENDENCYPART_ARC
(9,12),-1.85997 # DEPENDENCYPART_ARC
(9,14),-2.06442 # DEPENDENCYPART_ARC
(10,1),-2.29808 # DEPENDENCYPART_ARC
