# _root_ But the guidelines could `` make it impossible to commercialize research , '' says Kenneth Smith , associate provost and vice president for research at Massachusetts Institute of Technology .
#goldHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,20,27,25,27,28,14,
#predictedHeads=4,3,4,14,4,4,10,10,10,6,10,14,14,0,16,14,16,19,20,16,22,20,22,23,22,27,25,27,28,14,
(0,1),-2.13612 # DEPENDENCYPART_ARC
(0,3),-2.59362 # DEPENDENCYPART_ARC
(0,4),-2.1064 # DEPENDENCYPART_ARC
(0,6),-2.14854 # DEPENDENCYPART_ARC
(0,10),-2.89481 # DEPENDENCYPART_ARC
(0,14),-1.29602 # DEPENDENCYPART_ARC
(0,20),-2.02171 # DEPENDENCYPART_ARC
(1,2),-0.697438 # DEPENDENCYPART_ARC
(1,3),-1.25792 # DEPENDENCYPART_ARC
(1,4),-1.54571 # DEPENDENCYPART_ARC
(1,5),-1.89714 # DEPENDENCYPART_ARC
(1,6),-1.90083 # DEPENDENCYPART_ARC
(1,8),-2.22682 # DEPENDENCYPART_ARC
(1,12),-2.35532 # DEPENDENCYPART_ARC
(1,13),-1.79423 # DEPENDENCYPART_ARC
(1,14),-3.25295 # DEPENDENCYPART_ARC
(1,30),-1.24569 # DEPENDENCYPART_ARC
(2,3),-0.348559 # DEPENDENCYPART_ARC
(2,4),-1.1354 # DEPENDENCYPART_ARC
(3,1),-0.532281 # DEPENDENCYPART_ARC
(3,2),1.13395 # DEPENDENCYPART_ARC
(3,4),-0.250205 # DEPENDENCYPART_ARC
(3,5),-1.08206 # DEPENDENCYPART_ARC
(3,6),-0.962647 # DEPENDENCYPART_ARC
(3,8),-1.52591 # DEPENDENCYPART_ARC
(3,9),-1.32863 # DEPENDENCYPART_ARC
(3,10),-1.44109 # DEPENDENCYPART_ARC
(3,14),-2.28763 # DEPENDENCYPART_ARC
(4,1),-0.53628 # DEPENDENCYPART_ARC
(4,2),-0.637103 # DEPENDENCYPART_ARC
(4,3),0.815911 # DEPENDENCYPART_ARC
(4,5),0.794086 # DEPENDENCYPART_ARC
(4,6),0.676164 # DEPENDENCYPART_ARC
(4,10),-0.626198 # DEPENDENCYPART_ARC
(4,12),-0.724514 # DEPENDENCYPART_ARC
(4,13),-1.0089 # DEPENDENCYPART_ARC
(4,14),-1.56098 # DEPENDENCYPART_ARC
(4,17),-1.01283 # DEPENDENCYPART_ARC
(4,20),-0.358032 # DEPENDENCYPART_ARC
(4,30),0.725961 # DEPENDENCYPART_ARC
(6,1),-0.880633 # DEPENDENCYPART_ARC
(6,2),-1.09381 # DEPENDENCYPART_ARC
(6,3),-0.756317 # DEPENDENCYPART_ARC
(6,4),-0.938073 # DEPENDENCYPART_ARC
(6,5),0.464652 # DEPENDENCYPART_ARC
(6,7),0.194223 # DEPENDENCYPART_ARC
(6,8),-0.402758 # DEPENDENCYPART_ARC
(6,9),-0.8232 # DEPENDENCYPART_ARC
(6,10),-0.637062 # DEPENDENCYPART_ARC
(6,11),-0.933945 # DEPENDENCYPART_ARC
(6,12),-1.0753 # DEPENDENCYPART_ARC
(6,13),-1.17511 # DEPENDENCYPART_ARC
(6,14),-1.96738 # DEPENDENCYPART_ARC
(6,16),-2.04159 # DEPENDENCYPART_ARC
