# _root_ The approval also ends any hope that Banque Nationale de Paris , another state-sector bank , might have had about taking Credit Lyonnais 's place in the accord .
#goldHeads=2,4,4,0,6,4,19,11,11,11,17,11,15,15,11,11,6,17,18,19,20,23,25,23,21,25,28,26,4,
#predictedHeads=2,4,4,0,6,4,17,9,17,9,10,9,15,15,9,9,6,17,18,19,20,23,25,23,21,21,28,26,4,
(0,2),-2.07941 # DEPENDENCYPART_ARC
(0,3),-2.2369 # DEPENDENCYPART_ARC
(0,4),-1.96909 # DEPENDENCYPART_ARC
(0,17),-2.47022 # DEPENDENCYPART_ARC
(0,18),-2.65452 # DEPENDENCYPART_ARC
(0,19),-2.97484 # DEPENDENCYPART_ARC
(1,2),-0.437621 # DEPENDENCYPART_ARC
(1,4),-1.449 # DEPENDENCYPART_ARC
(2,1),1.12586 # DEPENDENCYPART_ARC
(2,3),-0.16459 # DEPENDENCYPART_ARC
(2,4),-0.756333 # DEPENDENCYPART_ARC
(2,6),-1.35407 # DEPENDENCYPART_ARC
(2,7),-1.21837 # DEPENDENCYPART_ARC
(2,9),-1.68138 # DEPENDENCYPART_ARC
(2,10),-1.44973 # DEPENDENCYPART_ARC
(2,12),-1.83688 # DEPENDENCYPART_ARC
(2,15),-2.16988 # DEPENDENCYPART_ARC
(2,16),-1.88468 # DEPENDENCYPART_ARC
(2,17),-1.55628 # DEPENDENCYPART_ARC
(2,18),-1.89473 # DEPENDENCYPART_ARC
(2,19),-1.56922 # DEPENDENCYPART_ARC
(2,29),-2.44992 # DEPENDENCYPART_ARC
(3,2),-0.241278 # DEPENDENCYPART_ARC
(3,4),-0.361978 # DEPENDENCYPART_ARC
(3,6),-1.31559 # DEPENDENCYPART_ARC
(3,7),-1.37635 # DEPENDENCYPART_ARC
(4,1),-0.522536 # DEPENDENCYPART_ARC
(4,2),-0.0445595 # DEPENDENCYPART_ARC
(4,3),1.03782 # DEPENDENCYPART_ARC
(4,5),0.233701 # DEPENDENCYPART_ARC
(4,6),0.37505 # DEPENDENCYPART_ARC
(4,7),-0.829716 # DEPENDENCYPART_ARC
(4,8),-0.741268 # DEPENDENCYPART_ARC
(4,9),-0.345729 # DEPENDENCYPART_ARC
(4,10),-0.960813 # DEPENDENCYPART_ARC
(4,11),-1.16996 # DEPENDENCYPART_ARC
(4,12),-1.1706 # DEPENDENCYPART_ARC
(4,14),-1.64018 # DEPENDENCYPART_ARC
(4,15),-2.05272 # DEPENDENCYPART_ARC
(4,16),-1.48988 # DEPENDENCYPART_ARC
(4,17),-1.43068 # DEPENDENCYPART_ARC
(4,18),-1.08369 # DEPENDENCYPART_ARC
(4,19),-1.50866 # DEPENDENCYPART_ARC
(4,20),-1.91075 # DEPENDENCYPART_ARC
(4,21),-1.6528 # DEPENDENCYPART_ARC
(4,26),-1.99967 # DEPENDENCYPART_ARC
