# _root_ In the U.S. , radiation limits are set and monitored by the Nuclear Regulatory Commission , which licenses reactors that process the topaz .
#goldHeads=7,3,1,7,6,7,0,9,7,9,9,15,15,15,11,15,18,15,18,21,19,23,21,7,
#predictedHeads=7,3,1,7,6,7,0,9,7,9,10,15,15,15,11,15,18,15,18,21,19,23,21,7,
(0,1),-1.82595 # DEPENDENCYPART_ARC
(0,3),-2.53566 # DEPENDENCYPART_ARC
(0,6),-3.08495 # DEPENDENCYPART_ARC
(0,7),-1.76738 # DEPENDENCYPART_ARC
(0,8),-2.95392 # DEPENDENCYPART_ARC
(0,9),-2.5441 # DEPENDENCYPART_ARC
(0,10),-2.74224 # DEPENDENCYPART_ARC
(0,18),-2.4259 # DEPENDENCYPART_ARC
(0,21),-2.72005 # DEPENDENCYPART_ARC
(1,2),0.181958 # DEPENDENCYPART_ARC
(1,3),0.360151 # DEPENDENCYPART_ARC
(1,4),-1.01505 # DEPENDENCYPART_ARC
(1,5),-1.79751 # DEPENDENCYPART_ARC
(1,6),-1.99318 # DEPENDENCYPART_ARC
(1,7),-1.94166 # DEPENDENCYPART_ARC
(1,9),-1.9853 # DEPENDENCYPART_ARC
(1,11),-1.40822 # DEPENDENCYPART_ARC
(2,1),-0.794064 # DEPENDENCYPART_ARC
(2,4),-1.30329 # DEPENDENCYPART_ARC
(3,2),0.565757 # DEPENDENCYPART_ARC
(3,4),-0.305181 # DEPENDENCYPART_ARC
(3,5),-1.43268 # DEPENDENCYPART_ARC
(3,6),-1.90242 # DEPENDENCYPART_ARC
(3,7),-1.9734 # DEPENDENCYPART_ARC
(3,8),-2.2441 # DEPENDENCYPART_ARC
(3,9),-1.58611 # DEPENDENCYPART_ARC
(3,11),-2.06331 # DEPENDENCYPART_ARC
(3,15),-1.84967 # DEPENDENCYPART_ARC
(3,16),-1.2605 # DEPENDENCYPART_ARC
(3,18),-2.0636 # DEPENDENCYPART_ARC
(3,21),-1.97674 # DEPENDENCYPART_ARC
(3,24),-3.27674 # DEPENDENCYPART_ARC
(4,1),-1.4988 # DEPENDENCYPART_ARC
(5,1),-2.248 # DEPENDENCYPART_ARC
(5,2),-1.63583 # DEPENDENCYPART_ARC
(5,3),-1.28294 # DEPENDENCYPART_ARC
(5,4),-0.510567 # DEPENDENCYPART_ARC
(5,6),-0.688039 # DEPENDENCYPART_ARC
(5,7),-1.00707 # DEPENDENCYPART_ARC
(5,9),-1.51638 # DEPENDENCYPART_ARC
(5,11),-1.47064 # DEPENDENCYPART_ARC
(6,1),-1.80359 # DEPENDENCYPART_ARC
(6,2),-0.739056 # DEPENDENCYPART_ARC
(6,3),-1.29087 # DEPENDENCYPART_ARC
(6,4),-0.886518 # DEPENDENCYPART_ARC
(6,5),2.02394 # DEPENDENCYPART_ARC
(6,7),-0.384552 # DEPENDENCYPART_ARC
(6,8),-1.28031 # DEPENDENCYPART_ARC
(6,9),-1.23547 # DEPENDENCYPART_ARC
(6,11),-1.49004 # DEPENDENCYPART_ARC
(6,15),-1.35983 # DEPENDENCYPART_ARC
(6,16),-1.55138 # DEPENDENCYPART_ARC
(7,1),-0.76273 # DEPENDENCYPART_ARC
(7,2),-1.98333 # DEPENDENCYPART_ARC
(7,3),-1.73929 # DEPENDENCYPART_ARC
(7,4),-0.545131 # DEPENDENCYPART_ARC
(7,5),-0.414973 # DEPENDENCYPART_ARC
(7,6),1.05911 # DEPENDENCYPART_ARC
(7,8),1.64555 # DEPENDENCYPART_ARC
(7,9),-0.684485 # DEPENDENCYPART_ARC
(7,10),-1.10451 # DEPENDENCYPART_ARC
(7,11),-1.26732 # DEPENDENCYPART_ARC
(7,16),-2.09474 # DEPENDENCYPART_ARC
(7,24),-0.433029 # DEPENDENCYPART_ARC
(8,1),-1.65623 # DEPENDENCYPART_ARC
(8,4),-2.12418 # DEPENDENCYPART_ARC
(8,6),-1.52081 # DEPENDENCYPART_ARC
(8,7),-1.16796 # DEPENDENCYPART_ARC
(8,9),-0.598498 # DEPENDENCYPART_ARC
(8,10),-0.783449 # DEPENDENCYPART_ARC
(8,11),-1.42941 # DEPENDENCYPART_ARC
(8,15),-1.87669 # DEPENDENCYPART_ARC
(8,24),-2.00518 # DEPENDENCYPART_ARC
(9,1),-1.02725 # DEPENDENCYPART_ARC
(9,2),-1.91414 # DEPENDENCYPART_ARC
(9,3),-1.37487 # DEPENDENCYPART_ARC
(9,4),-0.962922 # DEPENDENCYPART_ARC
(9,5),-0.680401 # DEPENDENCYPART_ARC
(9,6),-0.0112221 # DEPENDENCYPART_ARC
(9,7),0.351293 # DEPENDENCYPART_ARC
(9,8),2.07325 # DEPENDENCYPART_ARC
(9,10),1.65502 # DEPENDENCYPART_ARC
(9,11),-0.390541 # DEPENDENCYPART_ARC
