# _root_ With the exception of August , when exports rose 2.1 % , exports have declined every month from year-earlier levels since March .
#goldHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,15,21,14,
#predictedHeads=14,3,1,3,4,5,9,9,5,11,9,14,14,0,14,17,15,15,20,18,20,21,14,
(0,1),-1.7546 # DEPENDENCYPART_ARC
(0,3),-2.55901 # DEPENDENCYPART_ARC
(0,8),-3.49521 # DEPENDENCYPART_ARC
(0,9),-2.69493 # DEPENDENCYPART_ARC
(0,14),-2.60701 # DEPENDENCYPART_ARC
(0,15),-2.63967 # DEPENDENCYPART_ARC
(1,2),0.0690403 # DEPENDENCYPART_ARC
(1,3),-0.0680587 # DEPENDENCYPART_ARC
(1,4),-1.12828 # DEPENDENCYPART_ARC
(1,5),-0.960098 # DEPENDENCYPART_ARC
(1,6),-1.20796 # DEPENDENCYPART_ARC
(1,8),-2.4499 # DEPENDENCYPART_ARC
(1,9),-1.34643 # DEPENDENCYPART_ARC
(1,12),-1.74476 # DEPENDENCYPART_ARC
(1,14),-1.039 # DEPENDENCYPART_ARC
(2,1),-0.390272 # DEPENDENCYPART_ARC
(2,4),-1.19507 # DEPENDENCYPART_ARC
(3,1),-1.12634 # DEPENDENCYPART_ARC
(3,2),0.99962 # DEPENDENCYPART_ARC
(3,4),0.644894 # DEPENDENCYPART_ARC
(3,5),-0.836925 # DEPENDENCYPART_ARC
(3,6),-1.0053 # DEPENDENCYPART_ARC
(3,8),-1.64834 # DEPENDENCYPART_ARC
(3,9),-1.51978 # DEPENDENCYPART_ARC
(3,11),-1.68988 # DEPENDENCYPART_ARC
(3,12),-1.48248 # DEPENDENCYPART_ARC
(3,13),-1.96901 # DEPENDENCYPART_ARC
(3,14),-1.52566 # DEPENDENCYPART_ARC
(3,15),-1.70172 # DEPENDENCYPART_ARC
(3,18),-1.18246 # DEPENDENCYPART_ARC
(3,21),-1.3011 # DEPENDENCYPART_ARC
(3,23),-1.6223 # DEPENDENCYPART_ARC
(4,1),-1.17967 # DEPENDENCYPART_ARC
(4,2),-1.29624 # DEPENDENCYPART_ARC
(4,5),0.834272 # DEPENDENCYPART_ARC
(4,6),-0.830966 # DEPENDENCYPART_ARC
(4,8),-1.85788 # DEPENDENCYPART_ARC
(4,9),-1.95747 # DEPENDENCYPART_ARC
(4,11),-2.78502 # DEPENDENCYPART_ARC
(4,13),-2.6954 # DEPENDENCYPART_ARC
(5,2),-1.87185 # DEPENDENCYPART_ARC
(5,3),-1.2941 # DEPENDENCYPART_ARC
(5,4),-0.594768 # DEPENDENCYPART_ARC
(5,6),0.312261 # DEPENDENCYPART_ARC
(5,8),-1.58498 # DEPENDENCYPART_ARC
(5,9),-1.60106 # DEPENDENCYPART_ARC
(5,10),-2.2063 # DEPENDENCYPART_ARC
(5,11),-1.62297 # DEPENDENCYPART_ARC
(5,12),-1.24145 # DEPENDENCYPART_ARC
(5,13),-1.95984 # DEPENDENCYPART_ARC
(5,14),-1.67098 # DEPENDENCYPART_ARC
(5,15),-2.00092 # DEPENDENCYPART_ARC
(5,18),-1.3766 # DEPENDENCYPART_ARC
(5,23),-1.94041 # DEPENDENCYPART_ARC
(7,6),0.291999 # DEPENDENCYPART_ARC
(8,1),-2.23846 # DEPENDENCYPART_ARC
(8,2),-2.12017 # DEPENDENCYPART_ARC
(8,3),-2.21583 # DEPENDENCYPART_ARC
(8,4),-1.88809 # DEPENDENCYPART_ARC
(8,5),-1.70882 # DEPENDENCYPART_ARC
(8,6),-1.20338 # DEPENDENCYPART_ARC
(8,7),-0.229653 # DEPENDENCYPART_ARC
(8,9),0.00157501 # DEPENDENCYPART_ARC
(8,10),-1.10864 # DEPENDENCYPART_ARC
(8,11),-1.19293 # DEPENDENCYPART_ARC
(8,12),-1.27597 # DEPENDENCYPART_ARC
(8,13),-1.69332 # DEPENDENCYPART_ARC
(8,14),-2.15534 # DEPENDENCYPART_ARC
(9,1),-0.805884 # DEPENDENCYPART_ARC
(9,3),-1.6458 # DEPENDENCYPART_ARC
(9,4),-1.51692 # DEPENDENCYPART_ARC
(9,5),-1.82505 # DEPENDENCYPART_ARC
(9,6),-1.01212 # DEPENDENCYPART_ARC
(9,7),-0.00305207 # DEPENDENCYPART_ARC
(9,8),0.738132 # DEPENDENCYPART_ARC
(9,10),0.238864 # DEPENDENCYPART_ARC
(9,11),0.218219 # DEPENDENCYPART_ARC
(9,12),-0.557733 # DEPENDENCYPART_ARC
(9,13),-1.37894 # DEPENDENCYPART_ARC
(9,14),-1.31421 # DEPENDENCYPART_ARC
(9,15),-1.4391 # DEPENDENCYPART_ARC
(9,17),-1.72815 # DEPENDENCYPART_ARC
(9,18),-1.36674 # DEPENDENCYPART_ARC
(9,21),-1.91145 # DEPENDENCYPART_ARC
(9,23),-0.693244 # DEPENDENCYPART_ARC
(10,11),-0.123217 # DEPENDENCYPART_ARC
(10,12),-0.942979 # DEPENDENCYPART_ARC
(11,1),-2.00255 # DEPENDENCYPART_ARC
(11,4),-1.92765 # DEPENDENCYPART_ARC
