# _root_ `` For $ 10 million , you can move $ 100 million of stocks , '' a specialist on the Big Board gripes .
#goldHeads=8,8,2,3,3,8,8,23,8,9,10,10,10,13,8,8,18,23,18,22,22,19,0,23,
#predictedHeads=23,8,2,3,3,8,8,23,8,9,10,10,10,13,23,23,18,23,18,22,22,19,0,23,
(0,2),-2.55645 # DEPENDENCYPART_ARC
(0,3),-2.37791 # DEPENDENCYPART_ARC
(0,4),-2.70019 # DEPENDENCYPART_ARC
(0,5),-2.8176 # DEPENDENCYPART_ARC
(0,8),-2.61986 # DEPENDENCYPART_ARC
(0,9),-2.74855 # DEPENDENCYPART_ARC
(0,23),-2.23115 # DEPENDENCYPART_ARC
(2,1),-0.39871 # DEPENDENCYPART_ARC
(2,3),-0.317706 # DEPENDENCYPART_ARC
(2,4),-0.79834 # DEPENDENCYPART_ARC
(2,5),-1.36171 # DEPENDENCYPART_ARC
(2,6),-1.16845 # DEPENDENCYPART_ARC
(2,8),-1.91546 # DEPENDENCYPART_ARC
(2,9),-1.93213 # DEPENDENCYPART_ARC
(2,13),-1.84114 # DEPENDENCYPART_ARC
(2,16),-1.40246 # DEPENDENCYPART_ARC
(2,19),-1.39961 # DEPENDENCYPART_ARC
(2,24),-1.74901 # DEPENDENCYPART_ARC
(3,1),-0.861463 # DEPENDENCYPART_ARC
(3,2),0.352485 # DEPENDENCYPART_ARC
(3,4),0.946365 # DEPENDENCYPART_ARC
(3,5),-0.0140852 # DEPENDENCYPART_ARC
(3,6),-0.879366 # DEPENDENCYPART_ARC
(3,8),-1.41119 # DEPENDENCYPART_ARC
(3,9),-1.46042 # DEPENDENCYPART_ARC
(3,10),-1.64552 # DEPENDENCYPART_ARC
(3,11),-2.26416 # DEPENDENCYPART_ARC
(3,12),-2.0884 # DEPENDENCYPART_ARC
(3,13),-2.06588 # DEPENDENCYPART_ARC
(3,15),-1.64787 # DEPENDENCYPART_ARC
(3,18),-1.74761 # DEPENDENCYPART_ARC
(3,19),-2.30732 # DEPENDENCYPART_ARC
(3,24),-1.18059 # DEPENDENCYPART_ARC
(4,2),-1.60358 # DEPENDENCYPART_ARC
(4,3),-0.70773 # DEPENDENCYPART_ARC
(4,5),-0.61051 # DEPENDENCYPART_ARC
(4,6),-1.02182 # DEPENDENCYPART_ARC
(4,8),-1.50028 # DEPENDENCYPART_ARC
(4,9),-1.64847 # DEPENDENCYPART_ARC
(5,2),-0.977203 # DEPENDENCYPART_ARC
(5,3),-0.967408 # DEPENDENCYPART_ARC
(5,4),0.517881 # DEPENDENCYPART_ARC
(5,6),-0.296039 # DEPENDENCYPART_ARC
(5,8),-1.5181 # DEPENDENCYPART_ARC
(5,9),-1.71621 # DEPENDENCYPART_ARC
(6,2),-1.41013 # DEPENDENCYPART_ARC
(7,6),0.357046 # DEPENDENCYPART_ARC
(7,9),-1.08448 # DEPENDENCYPART_ARC
(8,1),-1.2991 # DEPENDENCYPART_ARC
(8,2),-1.2739 # DEPENDENCYPART_ARC
(8,3),-1.59097 # DEPENDENCYPART_ARC
(8,4),-1.64448 # DEPENDENCYPART_ARC
(8,5),-1.52031 # DEPENDENCYPART_ARC
(8,6),-0.294941 # DEPENDENCYPART_ARC
(8,7),0.949086 # DEPENDENCYPART_ARC
(8,9),1.51808 # DEPENDENCYPART_ARC
(8,13),-1.44366 # DEPENDENCYPART_ARC
(8,15),-1.5335 # DEPENDENCYPART_ARC
(8,16),-1.33643 # DEPENDENCYPART_ARC
(8,23),-2.29109 # DEPENDENCYPART_ARC
(8,24),-1.00953 # DEPENDENCYPART_ARC
(9,1),-2.06161 # DEPENDENCYPART_ARC
(9,2),-1.71261 # DEPENDENCYPART_ARC
(9,5),-2.2796 # DEPENDENCYPART_ARC
(9,6),-1.3709 # DEPENDENCYPART_ARC
(9,7),-1.04081 # DEPENDENCYPART_ARC
(9,8),-0.515115 # DEPENDENCYPART_ARC
(9,10),-0.0122994 # DEPENDENCYPART_ARC
(9,11),-0.697468 # DEPENDENCYPART_ARC
(9,12),-1.22771 # DEPENDENCYPART_ARC
(9,13),-1.05842 # DEPENDENCYPART_ARC
(9,14),-0.896741 # DEPENDENCYPART_ARC
(9,15),-1.01025 # DEPENDENCYPART_ARC
(9,16),-1.44343 # DEPENDENCYPART_ARC
(9,18),-1.80928 # DEPENDENCYPART_ARC
(9,19),-1.58793 # DEPENDENCYPART_ARC
(9,22),-2.26547 # DEPENDENCYPART_ARC
(9,23),-1.59548 # DEPENDENCYPART_ARC
(9,24),-1.60771 # DEPENDENCYPART_ARC
(10,11),0.661241 # DEPENDENCYPART_ARC
