# _root_ `` We 're encouraged that talks are scheduled again but beyond that , we have made no expression of expectations , '' a Boeing spokesman said .
#goldHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
#predictedHeads=26,3,26,3,4,7,5,7,8,3,15,11,15,15,10,15,18,16,18,19,26,26,25,25,26,0,26,
(0,3),-2.32426 # DEPENDENCYPART_ARC
(0,26),2.4318 # DEPENDENCYPART_ARC
(1,2),-2.45345 # DEPENDENCYPART_ARC
(1,3),-2.57831 # DEPENDENCYPART_ARC
(2,1),-1.67339 # DEPENDENCYPART_ARC
(2,3),-1.11922 # DEPENDENCYPART_ARC
(2,4),-1.81487 # DEPENDENCYPART_ARC
(2,5),-1.6372 # DEPENDENCYPART_ARC
(2,6),-2.11666 # DEPENDENCYPART_ARC
(2,7),-2.29232 # DEPENDENCYPART_ARC
(3,1),-0.438123 # DEPENDENCYPART_ARC
(3,2),1.82966 # DEPENDENCYPART_ARC
(3,4),1.61438 # DEPENDENCYPART_ARC
(3,5),-0.507531 # DEPENDENCYPART_ARC
(3,6),-0.938085 # DEPENDENCYPART_ARC
(3,7),-0.441898 # DEPENDENCYPART_ARC
(3,8),-0.64926 # DEPENDENCYPART_ARC
(3,9),-1.46121 # DEPENDENCYPART_ARC
(3,10),-0.901772 # DEPENDENCYPART_ARC
(3,11),-1.50622 # DEPENDENCYPART_ARC
(3,13),-1.4833 # DEPENDENCYPART_ARC
(3,15),-1.30518 # DEPENDENCYPART_ARC
(3,16),-1.85074 # DEPENDENCYPART_ARC
(3,21),-1.76509 # DEPENDENCYPART_ARC
(3,22),-1.88195 # DEPENDENCYPART_ARC
(3,27),-0.471323 # DEPENDENCYPART_ARC
(4,1),-1.32507 # DEPENDENCYPART_ARC
(4,2),-1.31644 # DEPENDENCYPART_ARC
(4,3),-0.931796 # DEPENDENCYPART_ARC
(4,5),0.638962 # DEPENDENCYPART_ARC
(4,6),-0.614328 # DEPENDENCYPART_ARC
(4,7),-0.91038 # DEPENDENCYPART_ARC
(4,8),-0.991306 # DEPENDENCYPART_ARC
(4,9),-1.16371 # DEPENDENCYPART_ARC
(4,10),-1.07453 # DEPENDENCYPART_ARC
(4,11),-0.935743 # DEPENDENCYPART_ARC
(4,13),-1.52382 # DEPENDENCYPART_ARC
(4,15),-2.04292 # DEPENDENCYPART_ARC
(4,21),-1.95868 # DEPENDENCYPART_ARC
(4,24),-2.14964 # DEPENDENCYPART_ARC
(5,4),-1.39888 # DEPENDENCYPART_ARC
(5,6),-0.608438 # DEPENDENCYPART_ARC
(5,7),0.792543 # DEPENDENCYPART_ARC
(5,8),-2.31499 # DEPENDENCYPART_ARC
(5,10),-1.0148 # DEPENDENCYPART_ARC
(5,13),-1.68499 # DEPENDENCYPART_ARC
(5,15),-1.00506 # DEPENDENCYPART_ARC
(6,1),-2.31783 # DEPENDENCYPART_ARC
(6,3),-2.29963 # DEPENDENCYPART_ARC
(6,4),-0.905801 # DEPENDENCYPART_ARC
(6,5),-1.08082 # DEPENDENCYPART_ARC
(6,7),-0.69427 # DEPENDENCYPART_ARC
(6,8),-0.798675 # DEPENDENCYPART_ARC
(6,9),-1.17553 # DEPENDENCYPART_ARC
(6,10),-1.37706 # DEPENDENCYPART_ARC
(6,11),-0.67968 # DEPENDENCYPART_ARC
(7,1),-1.55004 # DEPENDENCYPART_ARC
(7,2),-1.58706 # DEPENDENCYPART_ARC
(7,3),-1.79613 # DEPENDENCYPART_ARC
(7,4),-1.68627 # DEPENDENCYPART_ARC
(7,5),-1.29238 # DEPENDENCYPART_ARC
(7,6),1.09178 # DEPENDENCYPART_ARC
(7,8),1.57873 # DEPENDENCYPART_ARC
(7,9),-0.738918 # DEPENDENCYPART_ARC
(7,10),-0.860241 # DEPENDENCYPART_ARC
(7,11),-1.28913 # DEPENDENCYPART_ARC
(7,12),-2.81545 # DEPENDENCYPART_ARC
(7,13),-1.54831 # DEPENDENCYPART_ARC
(7,15),-1.21069 # DEPENDENCYPART_ARC
(7,16),-1.47778 # DEPENDENCYPART_ARC
(7,21),-1.65741 # DEPENDENCYPART_ARC
(7,22),-1.66904 # DEPENDENCYPART_ARC
(7,24),-2.40678 # DEPENDENCYPART_ARC
(7,27),-1.75251 # DEPENDENCYPART_ARC
(8,1),-2.05652 # DEPENDENCYPART_ARC
(8,3),-1.94907 # DEPENDENCYPART_ARC
(8,5),-0.964601 # DEPENDENCYPART_ARC
(8,6),-1.52387 # DEPENDENCYPART_ARC
(8,7),-0.884024 # DEPENDENCYPART_ARC
(8,9),0.477433 # DEPENDENCYPART_ARC
(8,10),-0.370918 # DEPENDENCYPART_ARC
(8,11),-0.0665492 # DEPENDENCYPART_ARC
(8,12),-2.12554 # DEPENDENCYPART_ARC
(8,13),-1.23737 # DEPENDENCYPART_ARC
(8,14),-1.37511 # DEPENDENCYPART_ARC
(8,15),-1.4116 # DEPENDENCYPART_ARC
(8,16),-1.38613 # DEPENDENCYPART_ARC
(8,18),-1.46546 # DEPENDENCYPART_ARC
(8,19),-1.67092 # DEPENDENCYPART_ARC
(8,21),-1.52109 # DEPENDENCYPART_ARC
(8,22),-1.07412 # DEPENDENCYPART_ARC
(8,24),-1.6521 # DEPENDENCYPART_ARC
(8,25),-2.30045 # DEPENDENCYPART_ARC
(8,27),-2.05586 # DEPENDENCYPART_ARC
(9,5),-1.67066 # DEPENDENCYPART_ARC
(9,6),-1.80232 # DEPENDENCYPART_ARC
(9,7),-1.91582 # DEPENDENCYPART_ARC
(9,8),-1.12292 # DEPENDENCYPART_ARC
(9,10),0.0950444 # DEPENDENCYPART_ARC
(9,11),-0.733818 # DEPENDENCYPART_ARC
(9,12),-1.74012 # DEPENDENCYPART_ARC
(9,15),-1.629 # DEPENDENCYPART_ARC
(10,8),-2.35788 # DEPENDENCYPART_ARC
(10,9),-1.64376 # DEPENDENCYPART_ARC
(10,11),0.538841 # DEPENDENCYPART_ARC
(10,12),-1.52563 # DEPENDENCYPART_ARC
(10,13),-1.24837 # DEPENDENCYPART_ARC
(10,15),-0.107653 # DEPENDENCYPART_ARC
(10,16),-1.80227 # DEPENDENCYPART_ARC
(10,26),-1.15477 # DEPENDENCYPART_ARC
(11,9),-1.78965 # DEPENDENCYPART_ARC
(11,10),-1.17169 # DEPENDENCYPART_ARC
(11,12),0.30808 # DEPENDENCYPART_ARC
(11,13),-1.04544 # DEPENDENCYPART_ARC
(11,14),-1.29026 # DEPENDENCYPART_ARC
(11,15),-0.170689 # DEPENDENCYPART_ARC
(11,16),-1.42332 # DEPENDENCYPART_ARC
(11,18),-1.89364 # DEPENDENCYPART_ARC
(11,19),-1.63887 # DEPENDENCYPART_ARC
(11,21),-1.61175 # DEPENDENCYPART_ARC
(12,13),-1.31231 # DEPENDENCYPART_ARC
(12,14),-2.21986 # DEPENDENCYPART_ARC
(12,15),-0.858513 # DEPENDENCYPART_ARC
(12,16),-1.91137 # DEPENDENCYPART_ARC
(12,26),-1.05111 # DEPENDENCYPART_ARC
(14,12),-2.01901 # DEPENDENCYPART_ARC
(14,16),-1.67421 # DEPENDENCYPART_ARC
(15,1),-1.40274 # DEPENDENCYPART_ARC
(15,2),-1.69877 # DEPENDENCYPART_ARC
(15,3),-1.48364 # DEPENDENCYPART_ARC
(15,4),-1.89523 # DEPENDENCYPART_ARC
(15,5),-1.11301 # DEPENDENCYPART_ARC
(15,6),-0.952725 # DEPENDENCYPART_ARC
(15,7),-1.4706 # DEPENDENCYPART_ARC
(15,8),-1.75772 # DEPENDENCYPART_ARC
(15,9),-1.00959 # DEPENDENCYPART_ARC
(15,10),-1.24065 # DEPENDENCYPART_ARC
(15,11),-0.440693 # DEPENDENCYPART_ARC
(15,12),-1.00699 # DEPENDENCYPART_ARC
(15,13),0.492408 # DEPENDENCYPART_ARC
(15,14),1.97094 # DEPENDENCYPART_ARC
(15,16),2.1497 # DEPENDENCYPART_ARC
(15,17),-1.30442 # DEPENDENCYPART_ARC
(15,18),-0.867591 # DEPENDENCYPART_ARC
(15,19),-0.977115 # DEPENDENCYPART_ARC
(15,20),-1.18862 # DEPENDENCYPART_ARC
(15,21),-0.928799 # DEPENDENCYPART_ARC
(15,22),-1.0746 # DEPENDENCYPART_ARC
(15,24),-1.25398 # DEPENDENCYPART_ARC
(15,25),-2.20611 # DEPENDENCYPART_ARC
