# _root_ The establishment of the separate company , to be called Courtaulds Textiles , could be effective as early as next year 's first quarter .
#goldHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
#predictedHeads=2,14,2,6,6,3,6,9,6,9,12,10,6,0,14,15,15,17,17,21,24,21,24,19,14,
(0,2),-2.25789 # DEPENDENCYPART_ARC
(0,9),-2.82713 # DEPENDENCYPART_ARC
(0,10),-2.74659 # DEPENDENCYPART_ARC
(0,14),-2.13953 # DEPENDENCYPART_ARC
(0,15),-2.78711 # DEPENDENCYPART_ARC
(1,3),-1.3712 # DEPENDENCYPART_ARC
(2,1),1.18763 # DEPENDENCYPART_ARC
(2,3),0.582307 # DEPENDENCYPART_ARC
(2,4),-1.2139 # DEPENDENCYPART_ARC
(2,5),-1.12132 # DEPENDENCYPART_ARC
(2,6),-1.18571 # DEPENDENCYPART_ARC
(2,7),-1.69525 # DEPENDENCYPART_ARC
(2,8),-1.753 # DEPENDENCYPART_ARC
(2,9),-1.63491 # DEPENDENCYPART_ARC
(2,10),-2.03085 # DEPENDENCYPART_ARC
(2,12),-1.63687 # DEPENDENCYPART_ARC
(2,13),-1.99235 # DEPENDENCYPART_ARC
(2,14),-1.6623 # DEPENDENCYPART_ARC
(2,15),-2.22411 # DEPENDENCYPART_ARC
(2,17),-1.24765 # DEPENDENCYPART_ARC
(2,19),-1.38996 # DEPENDENCYPART_ARC
(2,25),-1.85432 # DEPENDENCYPART_ARC
(3,1),-1.61605 # DEPENDENCYPART_ARC
(3,4),-0.1983 # DEPENDENCYPART_ARC
(3,5),-0.801853 # DEPENDENCYPART_ARC
(3,6),-0.43402 # DEPENDENCYPART_ARC
(3,7),-1.40877 # DEPENDENCYPART_ARC
(3,8),-2.18006 # DEPENDENCYPART_ARC
(3,9),-2.14055 # DEPENDENCYPART_ARC
(3,12),-2.86876 # DEPENDENCYPART_ARC
(3,14),-1.96729 # DEPENDENCYPART_ARC
(4,5),-0.560135 # DEPENDENCYPART_ARC
(4,7),-1.33659 # DEPENDENCYPART_ARC
(4,9),-2.00615 # DEPENDENCYPART_ARC
(4,10),-2.17153 # DEPENDENCYPART_ARC
(5,2),-1.20646 # DEPENDENCYPART_ARC
(5,4),0.0414503 # DEPENDENCYPART_ARC
(5,7),-1.38173 # DEPENDENCYPART_ARC
(5,8),-1.73885 # DEPENDENCYPART_ARC
(6,1),-1.16436 # DEPENDENCYPART_ARC
(6,2),-0.934055 # DEPENDENCYPART_ARC
(6,3),-0.89798 # DEPENDENCYPART_ARC
(6,4),0.661673 # DEPENDENCYPART_ARC
(6,5),1.69452 # DEPENDENCYPART_ARC
(6,7),-0.169879 # DEPENDENCYPART_ARC
(6,8),-1.95867 # DEPENDENCYPART_ARC
(6,9),-1.77087 # DEPENDENCYPART_ARC
(6,10),-2.22285 # DEPENDENCYPART_ARC
(6,12),-1.72693 # DEPENDENCYPART_ARC
(6,13),-1.55639 # DEPENDENCYPART_ARC
(6,14),-2.05334 # DEPENDENCYPART_ARC
(6,24),-2.1582 # DEPENDENCYPART_ARC
(6,25),-2.24348 # DEPENDENCYPART_ARC
(8,7),0.124052 # DEPENDENCYPART_ARC
(8,11),-2.16038 # DEPENDENCYPART_ARC
(8,12),-2.3396 # DEPENDENCYPART_ARC
(9,2),-2.11829 # DEPENDENCYPART_ARC
(9,3),-1.87123 # DEPENDENCYPART_ARC
(9,6),-1.91856 # DEPENDENCYPART_ARC
(9,7),-0.800148 # DEPENDENCYPART_ARC
(9,8),1.33561 # DEPENDENCYPART_ARC
(9,10),0.854815 # DEPENDENCYPART_ARC
(9,11),-0.751032 # DEPENDENCYPART_ARC
(9,12),-0.831934 # DEPENDENCYPART_ARC
(9,13),-1.76472 # DEPENDENCYPART_ARC
(9,14),-2.10821 # DEPENDENCYPART_ARC
(9,15),-2.03713 # DEPENDENCYPART_ARC
(9,16),-1.76085 # DEPENDENCYPART_ARC
(9,17),-2.12853 # DEPENDENCYPART_ARC
(9,24),-2.56358 # DEPENDENCYPART_ARC
(9,25),-2.23174 # DEPENDENCYPART_ARC
(10,2),-3.17598 # DEPENDENCYPART_ARC
(10,7),-2.15807 # DEPENDENCYPART_ARC
(10,8),-1.23354 # DEPENDENCYPART_ARC
(10,11),-0.0776559 # DEPENDENCYPART_ARC
(10,12),-0.28411 # DEPENDENCYPART_ARC
(10,13),-1.35546 # DEPENDENCYPART_ARC
(10,14),-2.05486 # DEPENDENCYPART_ARC
(10,15),-2.05626 # DEPENDENCYPART_ARC
(10,16),-1.81455 # DEPENDENCYPART_ARC
(10,17),-2.20435 # DEPENDENCYPART_ARC
(10,18),-2.62843 # DEPENDENCYPART_ARC
(10,24),-2.7068 # DEPENDENCYPART_ARC
(10,25),-1.83988 # DEPENDENCYPART_ARC
(11,10),-0.596781 # DEPENDENCYPART_ARC
(11,14),-1.79922 # DEPENDENCYPART_ARC
(12,4),-2.7456 # DEPENDENCYPART_ARC
(12,5),-2.37143 # DEPENDENCYPART_ARC
(12,7),-1.9819 # DEPENDENCYPART_ARC
(12,9),-1.45001 # DEPENDENCYPART_ARC
(12,10),-0.785118 # DEPENDENCYPART_ARC
(12,11),1.86239 # DEPENDENCYPART_ARC
(12,13),-0.101168 # DEPENDENCYPART_ARC
(12,14),-1.89491 # DEPENDENCYPART_ARC
(12,15),-2.27512 # DEPENDENCYPART_ARC
(12,16),-2.22519 # DEPENDENCYPART_ARC
(12,17),-2.24759 # DEPENDENCYPART_ARC
(12,19),-2.39555 # DEPENDENCYPART_ARC
(12,21),-2.19138 # DEPENDENCYPART_ARC
(12,24),-2.39963 # DEPENDENCYPART_ARC
(12,25),-2.11964 # DEPENDENCYPART_ARC
(14,1),-1.64145 # DEPENDENCYPART_ARC
(14,2),-0.954931 # DEPENDENCYPART_ARC
(14,3),-0.862859 # DEPENDENCYPART_ARC
(14,5),-1.06937 # DEPENDENCYPART_ARC
(14,6),-0.785477 # DEPENDENCYPART_ARC
(14,7),-1.84366 # DEPENDENCYPART_ARC
(14,9),-1.28924 # DEPENDENCYPART_ARC
(14,10),-1.07314 # DEPENDENCYPART_ARC
(14,11),-1.15177 # DEPENDENCYPART_ARC
(14,12),-0.77271 # DEPENDENCYPART_ARC
(14,13),0.860057 # DEPENDENCYPART_ARC
(14,15),1.36418 # DEPENDENCYPART_ARC
(14,16),-1.00999 # DEPENDENCYPART_ARC
(14,17),-1.21418 # DEPENDENCYPART_ARC
(14,18),-1.31347 # DEPENDENCYPART_ARC
(14,19),-1.68317 # DEPENDENCYPART_ARC
(14,21),-1.77492 # DEPENDENCYPART_ARC
(14,25),0.0168054 # DEPENDENCYPART_ARC
(15,2),-1.78154 # DEPENDENCYPART_ARC
(15,6),-1.79925 # DEPENDENCYPART_ARC
(15,9),-2.08131 # DEPENDENCYPART_ARC
(15,13),-1.1649 # DEPENDENCYPART_ARC
(15,14),-0.508144 # DEPENDENCYPART_ARC
(15,16),0.498 # DEPENDENCYPART_ARC
(15,17),-0.623395 # DEPENDENCYPART_ARC
(15,18),-0.963011 # DEPENDENCYPART_ARC
(15,19),-1.29301 # DEPENDENCYPART_ARC
(15,20),-1.37473 # DEPENDENCYPART_ARC
(15,21),-0.921608 # DEPENDENCYPART_ARC
(15,23),-1.36943 # DEPENDENCYPART_ARC
(15,24),-0.982999 # DEPENDENCYPART_ARC
(15,25),-0.719473 # DEPENDENCYPART_ARC
(16,2),-1.58133 # DEPENDENCYPART_ARC
(16,6),-1.53894 # DEPENDENCYPART_ARC
(16,12),-1.70628 # DEPENDENCYPART_ARC
(16,13),-1.38629 # DEPENDENCYPART_ARC
(16,15),0.0489811 # DEPENDENCYPART_ARC
(16,17),-0.245587 # DEPENDENCYPART_ARC
(16,18),-1.11468 # DEPENDENCYPART_ARC
(16,19),-1.04395 # DEPENDENCYPART_ARC
(16,20),-1.02926 # DEPENDENCYPART_ARC
(16,21),-1.38541 # DEPENDENCYPART_ARC
(16,23),-1.01923 # DEPENDENCYPART_ARC
(16,24),-1.54882 # DEPENDENCYPART_ARC
(16,25),-1.20455 # DEPENDENCYPART_ARC
(17,2),-1.49627 # DEPENDENCYPART_ARC
(17,6),-1.61808 # DEPENDENCYPART_ARC
(17,8),-1.80408 # DEPENDENCYPART_ARC
(17,9),-2.0156 # DEPENDENCYPART_ARC
(17,11),-1.97107 # DEPENDENCYPART_ARC
(17,12),-2.14269 # DEPENDENCYPART_ARC
(17,13),-1.69636 # DEPENDENCYPART_ARC
(17,15),-1.2099 # DEPENDENCYPART_ARC
(17,16),-0.136024 # DEPENDENCYPART_ARC
(17,18),0.651229 # DEPENDENCYPART_ARC
(17,19),-0.415538 # DEPENDENCYPART_ARC
(17,20),-0.534002 # DEPENDENCYPART_ARC
(17,21),-0.855163 # DEPENDENCYPART_ARC
(17,24),-1.24721 # DEPENDENCYPART_ARC
(17,25),-0.974886 # DEPENDENCYPART_ARC
(18,2),-1.58761 # DEPENDENCYPART_ARC
(18,6),-1.65062 # DEPENDENCYPART_ARC
(18,8),-1.81834 # DEPENDENCYPART_ARC
(18,9),-1.86553 # DEPENDENCYPART_ARC
(18,12),-1.96497 # DEPENDENCYPART_ARC
(18,13),-1.63222 # DEPENDENCYPART_ARC
(18,15),-1.03906 # DEPENDENCYPART_ARC
(18,16),-1.27665 # DEPENDENCYPART_ARC
(18,17),-0.193399 # DEPENDENCYPART_ARC
(18,19),-0.213094 # DEPENDENCYPART_ARC
(18,20),-0.899524 # DEPENDENCYPART_ARC
(18,21),-1.23695 # DEPENDENCYPART_ARC
(18,23),-1.26067 # DEPENDENCYPART_ARC
(18,24),-1.65525 # DEPENDENCYPART_ARC
(19,17),-0.829075 # DEPENDENCYPART_ARC
(19,18),0.0924731 # DEPENDENCYPART_ARC
(19,20),-0.146544 # DEPENDENCYPART_ARC
(19,21),-0.560308 # DEPENDENCYPART_ARC
(19,23),-1.38155 # DEPENDENCYPART_ARC
(19,24),-1.13731 # DEPENDENCYPART_ARC
(20,18),-1.40234 # DEPENDENCYPART_ARC
(20,19),-0.473471 # DEPENDENCYPART_ARC
(20,21),-0.510065 # DEPENDENCYPART_ARC
(20,23),-1.2054 # DEPENDENCYPART_ARC
(21,16),-1.17116 # DEPENDENCYPART_ARC
(21,17),-0.995264 # DEPENDENCYPART_ARC
(21,18),-0.770697 # DEPENDENCYPART_ARC
(21,19),-0.819802 # DEPENDENCYPART_ARC
(21,20),1.53943 # DEPENDENCYPART_ARC
(21,22),0.855519 # DEPENDENCYPART_ARC
(21,23),-1.13036 # DEPENDENCYPART_ARC
(23,16),-1.41013 # DEPENDENCYPART_ARC
(23,18),-1.41079 # DEPENDENCYPART_ARC
(23,20),-1.16695 # DEPENDENCYPART_ARC
(23,21),-0.891538 # DEPENDENCYPART_ARC
(23,22),-0.207021 # DEPENDENCYPART_ARC
(24,15),-1.37638 # DEPENDENCYPART_ARC
(24,16),-1.40895 # DEPENDENCYPART_ARC
(24,18),-1.27444 # DEPENDENCYPART_ARC
(24,19),-1.36343 # DEPENDENCYPART_ARC
(24,20),-0.407047 # DEPENDENCYPART_ARC
(24,21),-0.362941 # DEPENDENCYPART_ARC
(24,22),-0.776901 # DEPENDENCYPART_ARC
(24,23),1.49795 # DEPENDENCYPART_ARC
(24,25),-0.468714 # DEPENDENCYPART_ARC
(25,24),-0.551497 # DEPENDENCYPART_ARC
(0,2),(0,9),-0.123748 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.132862 # DEPENDENCYPART_SIBL
(0,2),(0,14),-0.0479265 # DEPENDENCYPART_SIBL
(0,2),(0,15),-0.123748 # DEPENDENCYPART_SIBL
(0,9),(0,10),-0.235471 # DEPENDENCYPART_SIBL
(0,9),(0,14),-0.089708 # DEPENDENCYPART_SIBL
(0,9),(0,15),-0.235879 # DEPENDENCYPART_SIBL
(0,10),(0,14),-0.097334 # DEPENDENCYPART_SIBL
(0,10),(0,15),-0.207708 # DEPENDENCYPART_SIBL
(0,14),(0,15),-0.113867 # DEPENDENCYPART_SIBL
(2,1),(2,3),0.318848 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.125193 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.0607377 # DEPENDENCYPART_SIBL
(2,1),(2,6),0.0321742 # DEPENDENCYPART_SIBL
(2,1),(2,7),0.00486327 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0328905 # DEPENDENCYPART_SIBL
(2,1),(2,9),0.158319 # DEPENDENCYPART_SIBL
(2,1),(2,10),0.221533 # DEPENDENCYPART_SIBL
(2,1),(2,12),-0.0159995 # DEPENDENCYPART_SIBL
(2,1),(2,13),0.00486327 # DEPENDENCYPART_SIBL
(2,1),(2,14),0.03292 # DEPENDENCYPART_SIBL
(2,1),(2,15),0.158319 # DEPENDENCYPART_SIBL
(2,1),(2,17),-0.152218 # DEPENDENCYPART_SIBL
(2,1),(2,19),-0.24012 # DEPENDENCYPART_SIBL
(2,1),(2,25),-0.0938967 # DEPENDENCYPART_SIBL
(2,3),(2,4),-0.0993424 # DEPENDENCYPART_SIBL
(2,3),(2,5),-0.00579811 # DEPENDENCYPART_SIBL
(2,3),(2,6),-0.0159871 # DEPENDENCYPART_SIBL
(2,3),(2,7),0.00659485 # DEPENDENCYPART_SIBL
(2,3),(2,8),-0.0347996 # DEPENDENCYPART_SIBL
(2,3),(2,9),-0.0179061 # DEPENDENCYPART_SIBL
(2,3),(2,10),-0.0159003 # DEPENDENCYPART_SIBL
