# _root_ Nashua Corp. , rumored a potential takeover target for six months , said that a Dutch company has sought U.S. approval to buy up to 25 % of Nashua 's shares .
#goldHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
#predictedHeads=2,13,2,2,8,8,8,4,4,11,9,2,0,18,17,17,18,13,18,21,19,23,21,27,24,24,23,27,31,29,28,13,
(0,2),-2.54561 # DEPENDENCYPART_ARC
(0,4),-2.07743 # DEPENDENCYPART_ARC
(0,13),-0.154045 # DEPENDENCYPART_ARC
(0,18),-2.41944 # DEPENDENCYPART_ARC
(1,2),-0.831345 # DEPENDENCYPART_ARC
(1,3),-1.7225 # DEPENDENCYPART_ARC
(1,4),-1.94119 # DEPENDENCYPART_ARC
(1,8),-2.315 # DEPENDENCYPART_ARC
(1,12),-2.27903 # DEPENDENCYPART_ARC
(2,1),1.78115 # DEPENDENCYPART_ARC
(2,3),0.0678692 # DEPENDENCYPART_ARC
(2,4),-1.93133 # DEPENDENCYPART_ARC
(2,6),-2.17013 # DEPENDENCYPART_ARC
(2,7),-1.86544 # DEPENDENCYPART_ARC
(2,8),-1.80065 # DEPENDENCYPART_ARC
(2,9),-2.35079 # DEPENDENCYPART_ARC
(2,11),-2.00969 # DEPENDENCYPART_ARC
(2,12),-1.35455 # DEPENDENCYPART_ARC
(2,13),-2.41327 # DEPENDENCYPART_ARC
(2,17),-2.08172 # DEPENDENCYPART_ARC
(2,18),-2.36555 # DEPENDENCYPART_ARC
(2,21),-2.26933 # DEPENDENCYPART_ARC
(2,32),-2.06846 # DEPENDENCYPART_ARC
(4,1),-1.54809 # DEPENDENCYPART_ARC
(4,2),-1.16289 # DEPENDENCYPART_ARC
(4,3),0.797551 # DEPENDENCYPART_ARC
(4,5),0.292977 # DEPENDENCYPART_ARC
(4,6),-0.279922 # DEPENDENCYPART_ARC
(4,7),0.00602991 # DEPENDENCYPART_ARC
(4,8),0.405951 # DEPENDENCYPART_ARC
(4,9),-0.440044 # DEPENDENCYPART_ARC
(4,10),-1.16331 # DEPENDENCYPART_ARC
(4,11),-0.440779 # DEPENDENCYPART_ARC
(4,12),-0.856505 # DEPENDENCYPART_ARC
(4,13),-1.62515 # DEPENDENCYPART_ARC
(4,14),-2.41417 # DEPENDENCYPART_ARC
(4,18),-1.75084 # DEPENDENCYPART_ARC
(4,19),-1.63523 # DEPENDENCYPART_ARC
(4,22),-2.04275 # DEPENDENCYPART_ARC
(4,32),-0.502649 # DEPENDENCYPART_ARC
(5,6),-0.401047 # DEPENDENCYPART_ARC
(5,7),-1.05775 # DEPENDENCYPART_ARC
(5,9),-1.38293 # DEPENDENCYPART_ARC
(6,2),-1.80457 # DEPENDENCYPART_ARC
(6,3),-1.58015 # DEPENDENCYPART_ARC
(6,5),0.0869641 # DEPENDENCYPART_ARC
(6,7),-0.372329 # DEPENDENCYPART_ARC
(6,9),-1.32903 # DEPENDENCYPART_ARC
(6,10),-1.65597 # DEPENDENCYPART_ARC
(6,11),-1.68105 # DEPENDENCYPART_ARC
(7,2),-3.11945 # DEPENDENCYPART_ARC
(7,4),-1.91136 # DEPENDENCYPART_ARC
(7,5),-0.733839 # DEPENDENCYPART_ARC
(7,6),0.160252 # DEPENDENCYPART_ARC
(7,8),-0.624845 # DEPENDENCYPART_ARC
(7,9),-1.05762 # DEPENDENCYPART_ARC
(7,10),-1.91281 # DEPENDENCYPART_ARC
(7,11),-1.90994 # DEPENDENCYPART_ARC
(7,13),-1.96828 # DEPENDENCYPART_ARC
(8,1),-1.66675 # DEPENDENCYPART_ARC
(8,2),-2.35791 # DEPENDENCYPART_ARC
(8,3),-1.5316 # DEPENDENCYPART_ARC
(8,4),-0.906771 # DEPENDENCYPART_ARC
(8,5),-0.166312 # DEPENDENCYPART_ARC
(8,6),0.469941 # DEPENDENCYPART_ARC
(8,7),2.08089 # DEPENDENCYPART_ARC
(8,9),-0.0506644 # DEPENDENCYPART_ARC
(8,10),-1.38373 # DEPENDENCYPART_ARC
