# _root_ Ways and Means veteran Gephardt ( D. , Mo . ) moves to the House Budget Committee ; Rep. Cardin ( D. , Md . ) replaces him ... .
#goldHeads=2,5,2,5,12,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
#predictedHeads=2,12,5,5,2,7,5,7,7,9,7,0,12,17,17,17,13,12,20,27,22,20,22,22,24,22,12,27,12,12,
(0,1),-1.79972 # DEPENDENCYPART_ARC
(0,2),-3.05755 # DEPENDENCYPART_ARC
(0,4),-2.77022 # DEPENDENCYPART_ARC
(0,5),-2.89443 # DEPENDENCYPART_ARC
(0,7),-3.22964 # DEPENDENCYPART_ARC
(0,10),-1.90619 # DEPENDENCYPART_ARC
(0,12),-1.81633 # DEPENDENCYPART_ARC
(0,13),-3.16545 # DEPENDENCYPART_ARC
(0,27),-1.80765 # DEPENDENCYPART_ARC
(1,2),-0.668311 # DEPENDENCYPART_ARC
(1,3),-1.20638 # DEPENDENCYPART_ARC
(1,4),-1.55622 # DEPENDENCYPART_ARC
(1,5),-1.80668 # DEPENDENCYPART_ARC
(1,7),-1.88254 # DEPENDENCYPART_ARC
(1,8),-1.92756 # DEPENDENCYPART_ARC
(1,9),-2.17915 # DEPENDENCYPART_ARC
(1,10),-1.78289 # DEPENDENCYPART_ARC
(1,12),-2.30945 # DEPENDENCYPART_ARC
(2,1),1.82372 # DEPENDENCYPART_ARC
(2,3),2.07732 # DEPENDENCYPART_ARC
(2,4),0.240869 # DEPENDENCYPART_ARC
(2,5),-0.473895 # DEPENDENCYPART_ARC
(2,7),-0.896206 # DEPENDENCYPART_ARC
(2,8),-1.28168 # DEPENDENCYPART_ARC
(2,9),-1.92285 # DEPENDENCYPART_ARC
(2,10),-2.23201 # DEPENDENCYPART_ARC
(2,11),-1.50483 # DEPENDENCYPART_ARC
(2,12),-2.23806 # DEPENDENCYPART_ARC
(2,18),-2.16138 # DEPENDENCYPART_ARC
(2,23),-1.99566 # DEPENDENCYPART_ARC
(2,25),-2.25072 # DEPENDENCYPART_ARC
(2,27),-2.90713 # DEPENDENCYPART_ARC
(2,30),-2.19926 # DEPENDENCYPART_ARC
(3,2),-1.72316 # DEPENDENCYPART_ARC
(3,4),-0.815028 # DEPENDENCYPART_ARC
(3,5),-1.85989 # DEPENDENCYPART_ARC
(3,7),-2.22201 # DEPENDENCYPART_ARC
(3,8),-2.51733 # DEPENDENCYPART_ARC
(3,10),-1.91082 # DEPENDENCYPART_ARC
(3,12),-2.47807 # DEPENDENCYPART_ARC
(4,1),-1.29239 # DEPENDENCYPART_ARC
(4,2),-0.65875 # DEPENDENCYPART_ARC
(4,3),0.593093 # DEPENDENCYPART_ARC
(4,5),-0.877948 # DEPENDENCYPART_ARC
(4,7),-1.9792 # DEPENDENCYPART_ARC
(4,8),-2.28512 # DEPENDENCYPART_ARC
(4,9),-2.4564 # DEPENDENCYPART_ARC
(4,10),-1.94408 # DEPENDENCYPART_ARC
(4,11),-2.32765 # DEPENDENCYPART_ARC
(4,12),-2.43754 # DEPENDENCYPART_ARC
(4,26),-2.88434 # DEPENDENCYPART_ARC
(5,1),-1.10704 # DEPENDENCYPART_ARC
(5,2),-0.909606 # DEPENDENCYPART_ARC
(5,3),0.222753 # DEPENDENCYPART_ARC
(5,4),1.41098 # DEPENDENCYPART_ARC
(5,6),-0.403813 # DEPENDENCYPART_ARC
(5,7),-1.01659 # DEPENDENCYPART_ARC
(5,8),-1.52194 # DEPENDENCYPART_ARC
(5,9),-1.70538 # DEPENDENCYPART_ARC
(5,10),-1.59884 # DEPENDENCYPART_ARC
(5,11),-1.70365 # DEPENDENCYPART_ARC
(5,12),-1.97372 # DEPENDENCYPART_ARC
(5,15),-1.82441 # DEPENDENCYPART_ARC
(5,16),-1.87462 # DEPENDENCYPART_ARC
(5,17),-1.94982 # DEPENDENCYPART_ARC
(5,18),-1.65669 # DEPENDENCYPART_ARC
(5,19),-1.94589 # DEPENDENCYPART_ARC
(5,20),-2.0538 # DEPENDENCYPART_ARC
(5,22),-2.10974 # DEPENDENCYPART_ARC
(5,23),-2.19781 # DEPENDENCYPART_ARC
(5,24),-2.20923 # DEPENDENCYPART_ARC
(5,25),-1.63188 # DEPENDENCYPART_ARC
(5,29),-1.25604 # DEPENDENCYPART_ARC
(5,30),-1.86539 # DEPENDENCYPART_ARC
(7,1),-2.3951 # DEPENDENCYPART_ARC
(7,2),-1.78556 # DEPENDENCYPART_ARC
(7,3),-1.25327 # DEPENDENCYPART_ARC
(7,4),-1.13944 # DEPENDENCYPART_ARC
(7,5),-0.904904 # DEPENDENCYPART_ARC
(7,6),0.205273 # DEPENDENCYPART_ARC
(7,8),0.564261 # DEPENDENCYPART_ARC
(7,9),-0.80935 # DEPENDENCYPART_ARC
(7,10),-1.1165 # DEPENDENCYPART_ARC
(7,11),-0.813834 # DEPENDENCYPART_ARC
(7,12),-1.61028 # DEPENDENCYPART_ARC
(7,15),-1.4448 # DEPENDENCYPART_ARC
(7,16),-1.39818 # DEPENDENCYPART_ARC
(7,17),-1.51265 # DEPENDENCYPART_ARC
(7,18),-1.26376 # DEPENDENCYPART_ARC
(7,19),-1.60709 # DEPENDENCYPART_ARC
(7,20),-1.70787 # DEPENDENCYPART_ARC
(7,22),-1.67678 # DEPENDENCYPART_ARC
(7,23),-1.77548 # DEPENDENCYPART_ARC
(7,24),-1.80326 # DEPENDENCYPART_ARC
(7,25),-1.43911 # DEPENDENCYPART_ARC
(7,29),-0.84236 # DEPENDENCYPART_ARC
(7,30),-1.64236 # DEPENDENCYPART_ARC
(9,1),-2.71013 # DEPENDENCYPART_ARC
(9,3),-2.09041 # DEPENDENCYPART_ARC
(9,4),-1.50082 # DEPENDENCYPART_ARC
(9,5),-1.69011 # DEPENDENCYPART_ARC
(9,6),-1.95391 # DEPENDENCYPART_ARC
(9,7),-1.02119 # DEPENDENCYPART_ARC
(9,8),-0.363163 # DEPENDENCYPART_ARC
(9,10),0.160473 # DEPENDENCYPART_ARC
(9,11),-1.03465 # DEPENDENCYPART_ARC
(9,12),-1.103 # DEPENDENCYPART_ARC
(9,18),-1.22466 # DEPENDENCYPART_ARC
(9,22),-1.94607 # DEPENDENCYPART_ARC
(9,25),-1.80047 # DEPENDENCYPART_ARC
(10,9),-0.372543 # DEPENDENCYPART_ARC
(12,1),-1.79713 # DEPENDENCYPART_ARC
(12,2),-0.967291 # DEPENDENCYPART_ARC
(12,3),-1.65515 # DEPENDENCYPART_ARC
(12,4),-1.90038 # DEPENDENCYPART_ARC
(12,5),-1.72607 # DEPENDENCYPART_ARC
(12,6),-1.30997 # DEPENDENCYPART_ARC
(12,7),-1.74839 # DEPENDENCYPART_ARC
(12,8),-0.7132 # DEPENDENCYPART_ARC
(12,9),-0.418578 # DEPENDENCYPART_ARC
(12,10),-0.429673 # DEPENDENCYPART_ARC
(12,11),0.658006 # DEPENDENCYPART_ARC
(12,13),0.698114 # DEPENDENCYPART_ARC
(12,14),-0.860326 # DEPENDENCYPART_ARC
(12,15),-0.549107 # DEPENDENCYPART_ARC
(12,16),-0.629939 # DEPENDENCYPART_ARC
(12,17),-0.632573 # DEPENDENCYPART_ARC
(12,18),-0.88047 # DEPENDENCYPART_ARC
(12,19),-1.28119 # DEPENDENCYPART_ARC
(12,20),-1.11499 # DEPENDENCYPART_ARC
(12,23),-1.58155 # DEPENDENCYPART_ARC
(12,25),-0.790453 # DEPENDENCYPART_ARC
(12,26),-1.82036 # DEPENDENCYPART_ARC
(12,27),-1.31452 # DEPENDENCYPART_ARC
(12,29),-1.72979 # DEPENDENCYPART_ARC
(12,30),-1.14144 # DEPENDENCYPART_ARC
(13,14),0.152333 # DEPENDENCYPART_ARC
(13,15),-0.265824 # DEPENDENCYPART_ARC
(13,16),-0.820674 # DEPENDENCYPART_ARC
(13,17),-0.952734 # DEPENDENCYPART_ARC
(13,18),-0.888644 # DEPENDENCYPART_ARC
(13,19),-1.67567 # DEPENDENCYPART_ARC
(13,20),-1.6699 # DEPENDENCYPART_ARC
(13,23),-0.664899 # DEPENDENCYPART_ARC
(15,14),-0.533206 # DEPENDENCYPART_ARC
(15,16),-0.652622 # DEPENDENCYPART_ARC
(15,18),-1.31077 # DEPENDENCYPART_ARC
(15,22),-2.23796 # DEPENDENCYPART_ARC
(15,27),-2.35033 # DEPENDENCYPART_ARC
(16,14),-1.26771 # DEPENDENCYPART_ARC
(16,15),-0.261536 # DEPENDENCYPART_ARC
(16,17),-0.865956 # DEPENDENCYPART_ARC
(16,19),-1.90865 # DEPENDENCYPART_ARC
(16,20),-2.20475 # DEPENDENCYPART_ARC
(16,22),-2.2897 # DEPENDENCYPART_ARC
(16,24),-2.6031 # DEPENDENCYPART_ARC
(16,27),-2.71531 # DEPENDENCYPART_ARC
(17,4),-1.86277 # DEPENDENCYPART_ARC
(17,7),-2.39886 # DEPENDENCYPART_ARC
(17,9),-1.38868 # DEPENDENCYPART_ARC
(17,14),-0.176327 # DEPENDENCYPART_ARC
(17,15),0.832639 # DEPENDENCYPART_ARC
(17,16),1.92385 # DEPENDENCYPART_ARC
(17,18),-0.247968 # DEPENDENCYPART_ARC
(17,19),-1.39537 # DEPENDENCYPART_ARC
(17,20),-1.81886 # DEPENDENCYPART_ARC
(17,22),-2.03077 # DEPENDENCYPART_ARC
(17,23),-2.1258 # DEPENDENCYPART_ARC
(17,24),-2.28671 # DEPENDENCYPART_ARC
(17,25),-1.84485 # DEPENDENCYPART_ARC
(17,27),-2.62525 # DEPENDENCYPART_ARC
(17,29),-2.09974 # DEPENDENCYPART_ARC
(17,30),-2.21741 # DEPENDENCYPART_ARC
(18,5),-2.24816 # DEPENDENCYPART_ARC
(18,8),-1.87955 # DEPENDENCYPART_ARC
(18,17),-0.235429 # DEPENDENCYPART_ARC
(19,14),-2.72444 # DEPENDENCYPART_ARC
(19,15),-2.37762 # DEPENDENCYPART_ARC
(19,16),-2.2628 # DEPENDENCYPART_ARC
(19,17),-1.97663 # DEPENDENCYPART_ARC
(19,20),-0.407718 # DEPENDENCYPART_ARC
(19,21),-1.27767 # DEPENDENCYPART_ARC
(19,22),-1.50769 # DEPENDENCYPART_ARC
(19,24),-2.00095 # DEPENDENCYPART_ARC
(19,26),-1.86363 # DEPENDENCYPART_ARC
(19,27),-2.01184 # DEPENDENCYPART_ARC
(20,9),-2.13385 # DEPENDENCYPART_ARC
(20,14),-1.65729 # DEPENDENCYPART_ARC
(20,15),-0.710829 # DEPENDENCYPART_ARC
(20,16),-0.637932 # DEPENDENCYPART_ARC
(20,17),-1.16386 # DEPENDENCYPART_ARC
(20,18),-1.33769 # DEPENDENCYPART_ARC
(20,19),1.25153 # DEPENDENCYPART_ARC
(20,21),-0.407387 # DEPENDENCYPART_ARC
(20,22),-1.02016 # DEPENDENCYPART_ARC
(20,23),-1.52552 # DEPENDENCYPART_ARC
(20,24),-1.70355 # DEPENDENCYPART_ARC
(20,25),-1.60241 # DEPENDENCYPART_ARC
(20,26),-1.70722 # DEPENDENCYPART_ARC
(20,27),-2.08702 # DEPENDENCYPART_ARC
(20,29),-1.55345 # DEPENDENCYPART_ARC
(20,30),-1.93836 # DEPENDENCYPART_ARC
(22,14),-2.26385 # DEPENDENCYPART_ARC
(22,15),-1.72905 # DEPENDENCYPART_ARC
(22,16),-1.94467 # DEPENDENCYPART_ARC
(22,17),-1.8732 # DEPENDENCYPART_ARC
(22,19),-1.01286 # DEPENDENCYPART_ARC
(22,20),-0.904904 # DEPENDENCYPART_ARC
(22,21),0.205273 # DEPENDENCYPART_ARC
(22,23),0.564261 # DEPENDENCYPART_ARC
(22,24),-0.802378 # DEPENDENCYPART_ARC
(22,25),-1.1165 # DEPENDENCYPART_ARC
(22,26),-0.813834 # DEPENDENCYPART_ARC
(22,27),-1.70631 # DEPENDENCYPART_ARC
(22,29),-1.1391 # DEPENDENCYPART_ARC
(22,30),-1.65107 # DEPENDENCYPART_ARC
(24,15),-1.92167 # DEPENDENCYPART_ARC
(24,16),-2.1216 # DEPENDENCYPART_ARC
(24,19),-1.49155 # DEPENDENCYPART_ARC
(24,20),-1.72207 # DEPENDENCYPART_ARC
(24,21),-1.97211 # DEPENDENCYPART_ARC
(24,22),-1.05311 # DEPENDENCYPART_ARC
(24,23),-0.399482 # DEPENDENCYPART_ARC
(24,25),0.166533 # DEPENDENCYPART_ARC
(24,26),-1.03263 # DEPENDENCYPART_ARC
(24,27),-1.17362 # DEPENDENCYPART_ARC
(24,29),-1.33418 # DEPENDENCYPART_ARC
(24,30),-1.48251 # DEPENDENCYPART_ARC
(25,24),-0.353364 # DEPENDENCYPART_ARC
(27,1),-0.981539 # DEPENDENCYPART_ARC
(27,2),-0.188237 # DEPENDENCYPART_ARC
(27,3),-0.658444 # DEPENDENCYPART_ARC
(27,4),-1.19705 # DEPENDENCYPART_ARC
(27,5),-1.05809 # DEPENDENCYPART_ARC
(27,7),-1.14215 # DEPENDENCYPART_ARC
(27,8),-1.97371 # DEPENDENCYPART_ARC
(27,9),-2.13434 # DEPENDENCYPART_ARC
(27,12),-1.30593 # DEPENDENCYPART_ARC
(27,14),-1.9457 # DEPENDENCYPART_ARC
(27,17),-1.78713 # DEPENDENCYPART_ARC
(27,18),-1.55393 # DEPENDENCYPART_ARC
(27,19),-1.84311 # DEPENDENCYPART_ARC
(27,20),-1.68774 # DEPENDENCYPART_ARC
(27,21),-1.29958 # DEPENDENCYPART_ARC
(27,22),-1.76533 # DEPENDENCYPART_ARC
(27,23),-0.766123 # DEPENDENCYPART_ARC
(27,24),-0.430325 # DEPENDENCYPART_ARC
(27,25),-0.433737 # DEPENDENCYPART_ARC
(27,26),0.663327 # DEPENDENCYPART_ARC
(27,28),0.424071 # DEPENDENCYPART_ARC
(27,29),-0.552096 # DEPENDENCYPART_ARC
(27,30),-0.126717 # DEPENDENCYPART_ARC
(28,29),-0.168909 # DEPENDENCYPART_ARC
(29,24),-1.3957 # DEPENDENCYPART_ARC
(29,30),-0.0959752 # DEPENDENCYPART_ARC
(30,29),-0.189814 # DEPENDENCYPART_ARC
(0,1),(0,2),-0.105168 # DEPENDENCYPART_SIBL
(0,1),(0,4),-0.0575283 # DEPENDENCYPART_SIBL
(0,1),(0,5),-0.0575283 # DEPENDENCYPART_SIBL
(0,1),(0,7),-0.0581813 # DEPENDENCYPART_SIBL
(0,1),(0,10),-0.0304116 # DEPENDENCYPART_SIBL
(0,1),(0,12),-0.124063 # DEPENDENCYPART_SIBL
(0,1),(0,13),-0.0116027 # DEPENDENCYPART_SIBL
(0,1),(0,27),-0.126369 # DEPENDENCYPART_SIBL
(0,2),(0,4),-0.0594778 # DEPENDENCYPART_SIBL
(0,2),(0,5),-0.0594778 # DEPENDENCYPART_SIBL
(0,2),(0,7),-0.0594913 # DEPENDENCYPART_SIBL
(0,2),(0,10),-0.0302502 # DEPENDENCYPART_SIBL
(0,2),(0,12),-0.152889 # DEPENDENCYPART_SIBL
(0,2),(0,13),-0.0295902 # DEPENDENCYPART_SIBL
(0,2),(0,27),-0.151026 # DEPENDENCYPART_SIBL
