# _root_ Whether Polly Peck 's acquisition makes sense remains to be seen , but at the news conference , Mr. Nadir brimmed with self-confidence that he can turn Sansui around .
#goldHeads=6,3,5,3,6,8,6,13,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,23,26,27,27,13,
#predictedHeads=3,3,5,3,6,13,8,6,10,8,10,13,0,21,17,17,14,21,20,21,13,21,22,26,26,21,26,27,28,13,
(0,5),-3.16697 # DEPENDENCYPART_ARC
(0,6),-1.86012 # DEPENDENCYPART_ARC
(0,8),-2.66041 # DEPENDENCYPART_ARC
(0,10),-3.40017 # DEPENDENCYPART_ARC
(0,11),-3.27763 # DEPENDENCYPART_ARC
(0,13),-1.64439 # DEPENDENCYPART_ARC
(0,21),-2.39269 # DEPENDENCYPART_ARC
(1,2),-0.598402 # DEPENDENCYPART_ARC
(1,4),-1.53072 # DEPENDENCYPART_ARC
(2,1),0.0870762 # DEPENDENCYPART_ARC
(2,3),-0.651597 # DEPENDENCYPART_ARC
(2,4),-1.1328 # DEPENDENCYPART_ARC
(2,6),-1.34296 # DEPENDENCYPART_ARC
(2,7),-2.07245 # DEPENDENCYPART_ARC
(2,8),-1.71869 # DEPENDENCYPART_ARC
(3,1),0.68221 # DEPENDENCYPART_ARC
(3,2),1.76508 # DEPENDENCYPART_ARC
(3,4),1.08773 # DEPENDENCYPART_ARC
(3,5),-1.01583 # DEPENDENCYPART_ARC
(3,6),-0.905994 # DEPENDENCYPART_ARC
(3,7),-1.41874 # DEPENDENCYPART_ARC
(3,8),-1.32041 # DEPENDENCYPART_ARC
(3,11),-1.36974 # DEPENDENCYPART_ARC
(3,12),-1.16536 # DEPENDENCYPART_ARC
(3,13),-0.89021 # DEPENDENCYPART_ARC
(3,18),-1.42748 # DEPENDENCYPART_ARC
(5,1),-0.476723 # DEPENDENCYPART_ARC
(5,2),-0.307449 # DEPENDENCYPART_ARC
(5,3),0.279871 # DEPENDENCYPART_ARC
(5,4),-0.022625 # DEPENDENCYPART_ARC
(5,6),-0.333267 # DEPENDENCYPART_ARC
(5,7),-1.27765 # DEPENDENCYPART_ARC
(5,8),-1.64542 # DEPENDENCYPART_ARC
(5,10),-1.57899 # DEPENDENCYPART_ARC
