# _root_ `` They 've been laggard , '' he says , `` but they 'll have to become more aggressive . ''
#goldHeads=3,3,9,3,4,3,3,9,0,3,3,3,14,12,14,15,16,19,17,3,3,
#predictedHeads=3,3,9,3,4,9,9,9,0,9,14,14,14,9,14,15,16,19,17,14,14,
(0,3),-2.23036 # DEPENDENCYPART_ARC
(0,9),1.14401 # DEPENDENCYPART_ARC
(0,14),-3.97891 # DEPENDENCYPART_ARC
(1,2),-2.39836 # DEPENDENCYPART_ARC
(1,3),-2.55 # DEPENDENCYPART_ARC
(2,1),-1.6443 # DEPENDENCYPART_ARC
(2,4),-1.82585 # DEPENDENCYPART_ARC
(2,5),-2.46611 # DEPENDENCYPART_ARC
(2,6),-1.62365 # DEPENDENCYPART_ARC
(2,7),-2.32027 # DEPENDENCYPART_ARC
(2,9),-2.18867 # DEPENDENCYPART_ARC
(2,10),-1.64438 # DEPENDENCYPART_ARC
(2,12),-2.00867 # DEPENDENCYPART_ARC
(3,1),-0.60777 # DEPENDENCYPART_ARC
(3,2),1.86221 # DEPENDENCYPART_ARC
(3,4),1.54799 # DEPENDENCYPART_ARC
(3,5),-0.703904 # DEPENDENCYPART_ARC
(3,6),-0.917876 # DEPENDENCYPART_ARC
(3,7),-1.50691 # DEPENDENCYPART_ARC
(3,8),-2.06049 # DEPENDENCYPART_ARC
(3,9),-1.37199 # DEPENDENCYPART_ARC
(3,10),-1.742 # DEPENDENCYPART_ARC
(3,11),-1.64763 # DEPENDENCYPART_ARC
(3,12),-0.986478 # DEPENDENCYPART_ARC
(3,14),-1.48824 # DEPENDENCYPART_ARC
(3,15),-2.31703 # DEPENDENCYPART_ARC
(3,16),-2.26497 # DEPENDENCYPART_ARC
(3,20),-2.01337 # DEPENDENCYPART_ARC
(3,21),-1.58282 # DEPENDENCYPART_ARC
(4,1),-1.62662 # DEPENDENCYPART_ARC
(4,2),-1.66485 # DEPENDENCYPART_ARC
(4,5),0.390842 # DEPENDENCYPART_ARC
(4,6),-0.93287 # DEPENDENCYPART_ARC
(4,7),-0.468609 # DEPENDENCYPART_ARC
(4,8),-1.13891 # DEPENDENCYPART_ARC
(4,9),-1.04939 # DEPENDENCYPART_ARC
(4,10),-1.13613 # DEPENDENCYPART_ARC
(4,11),-1.14608 # DEPENDENCYPART_ARC
(4,12),-1.24458 # DEPENDENCYPART_ARC
(4,13),-1.61513 # DEPENDENCYPART_ARC
(4,14),-1.51202 # DEPENDENCYPART_ARC
(4,15),-1.97708 # DEPENDENCYPART_ARC
(4,16),-1.58744 # DEPENDENCYPART_ARC
(4,18),-1.84399 # DEPENDENCYPART_ARC
(4,19),-2.07276 # DEPENDENCYPART_ARC
(4,20),-2.06462 # DEPENDENCYPART_ARC
(4,21),-1.34531 # DEPENDENCYPART_ARC
(5,1),-1.57618 # DEPENDENCYPART_ARC
(5,2),-2.22611 # DEPENDENCYPART_ARC
(5,3),-1.51791 # DEPENDENCYPART_ARC
(5,4),-0.95429 # DEPENDENCYPART_ARC
(5,6),-0.861703 # DEPENDENCYPART_ARC
(5,7),-1.18043 # DEPENDENCYPART_ARC
