# _root_ In New York Stock Exchange composite trading yesterday , Di Giorgio closed at $ 31.50 a share , down $ 1.75 .
#goldHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
#predictedHeads=12,7,7,7,7,7,1,12,12,11,12,0,12,13,14,17,14,12,12,19,20,12,
(0,12),-0.900075 # DEPENDENCYPART_ARC
(1,2),-0.34201 # DEPENDENCYPART_ARC
(1,3),-0.631357 # DEPENDENCYPART_ARC
(1,4),-1.48921 # DEPENDENCYPART_ARC
(1,5),-1.54887 # DEPENDENCYPART_ARC
(1,6),-1.29021 # DEPENDENCYPART_ARC
(1,7),-1.2413 # DEPENDENCYPART_ARC
(1,8),-2.76067 # DEPENDENCYPART_ARC
(1,9),-1.30779 # DEPENDENCYPART_ARC
(1,11),-3.56009 # DEPENDENCYPART_ARC
(1,22),-2.81149 # DEPENDENCYPART_ARC
(2,3),-2.07641 # DEPENDENCYPART_ARC
(2,4),-2.79439 # DEPENDENCYPART_ARC
(2,5),-3.44494 # DEPENDENCYPART_ARC
(2,9),-1.89808 # DEPENDENCYPART_ARC
(3,1),-3.23708 # DEPENDENCYPART_ARC
(3,2),-0.755114 # DEPENDENCYPART_ARC
(3,4),-1.82837 # DEPENDENCYPART_ARC
(3,5),-2.75174 # DEPENDENCYPART_ARC
(3,6),-3.1788 # DEPENDENCYPART_ARC
(3,8),-3.30504 # DEPENDENCYPART_ARC
(3,9),-2.08361 # DEPENDENCYPART_ARC
(4,1),-3.12827 # DEPENDENCYPART_ARC
(4,2),-0.941177 # DEPENDENCYPART_ARC
(4,3),-0.844294 # DEPENDENCYPART_ARC
(4,5),-1.8769 # DEPENDENCYPART_ARC
(4,6),-2.6029 # DEPENDENCYPART_ARC
(4,7),-3.03679 # DEPENDENCYPART_ARC
(4,8),-2.99046 # DEPENDENCYPART_ARC
(4,9),-1.78169 # DEPENDENCYPART_ARC
(4,11),-4.01068 # DEPENDENCYPART_ARC
(5,1),-2.79579 # DEPENDENCYPART_ARC
(5,2),-0.983584 # DEPENDENCYPART_ARC
(5,3),-0.812921 # DEPENDENCYPART_ARC
(5,4),-0.424614 # DEPENDENCYPART_ARC
(5,6),-1.66016 # DEPENDENCYPART_ARC
(5,7),-2.32797 # DEPENDENCYPART_ARC
(5,8),-2.57318 # DEPENDENCYPART_ARC
(5,9),-1.39871 # DEPENDENCYPART_ARC
(5,11),-3.9176 # DEPENDENCYPART_ARC
(6,1),-2.73017 # DEPENDENCYPART_ARC
(6,2),-1.42124 # DEPENDENCYPART_ARC
(6,3),-1.17033 # DEPENDENCYPART_ARC
(6,4),-0.672679 # DEPENDENCYPART_ARC
(6,5),-0.378709 # DEPENDENCYPART_ARC
(6,7),-1.30305 # DEPENDENCYPART_ARC
(6,8),-2.07437 # DEPENDENCYPART_ARC
(6,9),-1.6487 # DEPENDENCYPART_ARC
(6,11),-2.79111 # DEPENDENCYPART_ARC
(7,1),-1.9347 # DEPENDENCYPART_ARC
(7,2),-0.246702 # DEPENDENCYPART_ARC
(7,3),-0.265071 # DEPENDENCYPART_ARC
(7,4),-0.00136584 # DEPENDENCYPART_ARC
(7,5),0.458254 # DEPENDENCYPART_ARC
(7,6),1.16646 # DEPENDENCYPART_ARC
(7,8),-1.12946 # DEPENDENCYPART_ARC
(7,11),-2.39289 # DEPENDENCYPART_ARC
(7,17),-2.9475 # DEPENDENCYPART_ARC
(8,1),-2.73322 # DEPENDENCYPART_ARC
(8,2),-2.80346 # DEPENDENCYPART_ARC
(8,3),-2.17575 # DEPENDENCYPART_ARC
(8,4),-1.89656 # DEPENDENCYPART_ARC
(8,5),-1.3677 # DEPENDENCYPART_ARC
(8,6),-0.841355 # DEPENDENCYPART_ARC
(8,7),-0.313154 # DEPENDENCYPART_ARC
(8,9),-0.670815 # DEPENDENCYPART_ARC
(8,10),-1.74525 # DEPENDENCYPART_ARC
(8,11),-1.96464 # DEPENDENCYPART_ARC
(8,12),-1.55861 # DEPENDENCYPART_ARC
(8,13),-2.29619 # DEPENDENCYPART_ARC
(8,14),-2.44505 # DEPENDENCYPART_ARC
(8,17),-2.05526 # DEPENDENCYPART_ARC
(8,18),-1.9108 # DEPENDENCYPART_ARC
(8,19),-2.57802 # DEPENDENCYPART_ARC
(8,20),-2.93079 # DEPENDENCYPART_ARC
(8,22),-2.88068 # DEPENDENCYPART_ARC
(10,5),-3.29307 # DEPENDENCYPART_ARC
(10,6),-2.41255 # DEPENDENCYPART_ARC
(10,7),-2.37424 # DEPENDENCYPART_ARC
(10,8),-2.56121 # DEPENDENCYPART_ARC
(10,9),-1.96243 # DEPENDENCYPART_ARC
(10,11),-0.38583 # DEPENDENCYPART_ARC
(10,14),-2.58922 # DEPENDENCYPART_ARC
(10,18),-2.33015 # DEPENDENCYPART_ARC
(10,22),-2.80358 # DEPENDENCYPART_ARC
(11,2),-2.54288 # DEPENDENCYPART_ARC
(11,3),-2.84601 # DEPENDENCYPART_ARC
(11,4),-2.78114 # DEPENDENCYPART_ARC
(11,5),-2.75714 # DEPENDENCYPART_ARC
(11,6),-1.06035 # DEPENDENCYPART_ARC
(11,7),-1.07812 # DEPENDENCYPART_ARC
(11,8),-1.75296 # DEPENDENCYPART_ARC
(11,9),-1.18543 # DEPENDENCYPART_ARC
(11,10),1.38794 # DEPENDENCYPART_ARC
(11,13),-1.31489 # DEPENDENCYPART_ARC
(11,14),-1.99968 # DEPENDENCYPART_ARC
(11,17),-2.35594 # DEPENDENCYPART_ARC
(11,18),-1.47403 # DEPENDENCYPART_ARC
(11,22),-2.36226 # DEPENDENCYPART_ARC
(12,1),-0.298942 # DEPENDENCYPART_ARC
(12,2),-1.81845 # DEPENDENCYPART_ARC
(12,3),-1.73974 # DEPENDENCYPART_ARC
(12,4),-1.52508 # DEPENDENCYPART_ARC
(12,5),-1.3965 # DEPENDENCYPART_ARC
(12,6),-1.34539 # DEPENDENCYPART_ARC
(12,7),-1.40498 # DEPENDENCYPART_ARC
(12,8),-0.90794 # DEPENDENCYPART_ARC
(12,9),0.297272 # DEPENDENCYPART_ARC
(12,10),-0.700086 # DEPENDENCYPART_ARC
(12,11),0.483082 # DEPENDENCYPART_ARC
(12,13),1.46027 # DEPENDENCYPART_ARC
(12,14),-0.53729 # DEPENDENCYPART_ARC
(12,15),-1.82772 # DEPENDENCYPART_ARC
(12,17),-0.787255 # DEPENDENCYPART_ARC
(12,18),-0.672198 # DEPENDENCYPART_ARC
(12,19),-0.92671 # DEPENDENCYPART_ARC
(12,20),-2.16897 # DEPENDENCYPART_ARC
(12,22),-0.152913 # DEPENDENCYPART_ARC
(13,14),0.741955 # DEPENDENCYPART_ARC
(13,15),-0.73901 # DEPENDENCYPART_ARC
(13,17),-0.537038 # DEPENDENCYPART_ARC
(13,18),-1.21129 # DEPENDENCYPART_ARC
(13,19),-2.04527 # DEPENDENCYPART_ARC
(13,20),-2.32647 # DEPENDENCYPART_ARC
(13,22),-2.7282 # DEPENDENCYPART_ARC
(14,1),-2.87448 # DEPENDENCYPART_ARC
(14,8),-2.461 # DEPENDENCYPART_ARC
(14,11),-2.36859 # DEPENDENCYPART_ARC
(14,13),-0.454659 # DEPENDENCYPART_ARC
(14,15),1.55437 # DEPENDENCYPART_ARC
(14,16),-0.94616 # DEPENDENCYPART_ARC
(14,17),-0.665228 # DEPENDENCYPART_ARC
(14,18),-1.01869 # DEPENDENCYPART_ARC
(14,19),-1.47232 # DEPENDENCYPART_ARC
(14,20),-1.99059 # DEPENDENCYPART_ARC
(14,21),-1.97968 # DEPENDENCYPART_ARC
(14,22),-2.21513 # DEPENDENCYPART_ARC
(15,11),-2.7563 # DEPENDENCYPART_ARC
(15,13),-1.1099 # DEPENDENCYPART_ARC
(15,17),-1.40089 # DEPENDENCYPART_ARC
(15,18),-1.15937 # DEPENDENCYPART_ARC
(15,19),-1.69055 # DEPENDENCYPART_ARC
(15,20),-2.08354 # DEPENDENCYPART_ARC
(16,19),-2.19845 # DEPENDENCYPART_ARC
(16,20),-2.68248 # DEPENDENCYPART_ARC
(17,14),-1.01325 # DEPENDENCYPART_ARC
(17,15),-1.11497 # DEPENDENCYPART_ARC
(17,16),2.00989 # DEPENDENCYPART_ARC
(17,18),-1.4931 # DEPENDENCYPART_ARC
(17,19),-1.83915 # DEPENDENCYPART_ARC
(17,20),-1.98398 # DEPENDENCYPART_ARC
(18,19),-1.5453 # DEPENDENCYPART_ARC
(19,17),-2.13097 # DEPENDENCYPART_ARC
(19,18),-1.60061 # DEPENDENCYPART_ARC
(19,20),0.258724 # DEPENDENCYPART_ARC
(19,21),-1.13605 # DEPENDENCYPART_ARC
(19,22),-2.02733 # DEPENDENCYPART_ARC
