# _root_ Church 's Fried Chicken Inc. and Popeye 's Famous Fried Chicken Inc. , which have merged , are still troubled by overlapping restaurant locations .
#goldHeads=4,1,4,18,4,4,11,7,11,11,6,11,4,15,4,15,4,0,18,18,20,24,24,21,18,
#predictedHeads=4,1,4,18,4,4,11,7,11,11,6,11,4,15,4,15,4,0,18,18,20,24,24,21,18,
(0,1),-3.38366 # DEPENDENCYPART_ARC
(0,4),-4.3935 # DEPENDENCYPART_ARC
(0,6),-4.37472 # DEPENDENCYPART_ARC
(0,15),-1.50031 # DEPENDENCYPART_ARC
(0,16),-2.85849 # DEPENDENCYPART_ARC
(0,18),-1.28041 # DEPENDENCYPART_ARC
(0,20),-3.40656 # DEPENDENCYPART_ARC
(1,2),1.92643 # DEPENDENCYPART_ARC
(1,3),-1.41795 # DEPENDENCYPART_ARC
(1,4),-1.96691 # DEPENDENCYPART_ARC
(1,5),-1.64187 # DEPENDENCYPART_ARC
(1,6),-1.32739 # DEPENDENCYPART_ARC
(1,8),-2.11851 # DEPENDENCYPART_ARC
(1,13),-0.786119 # DEPENDENCYPART_ARC
(1,15),-2.10319 # DEPENDENCYPART_ARC
(1,17),-0.741419 # DEPENDENCYPART_ARC
(1,18),-2.40965 # DEPENDENCYPART_ARC
(1,25),-2.8602 # DEPENDENCYPART_ARC
(2,3),-1.93887 # DEPENDENCYPART_ARC
(3,1),-1.49699 # DEPENDENCYPART_ARC
(3,5),-1.475 # DEPENDENCYPART_ARC
(3,6),-1.36031 # DEPENDENCYPART_ARC
(3,8),-3.55719 # DEPENDENCYPART_ARC
(4,1),-0.8293 # DEPENDENCYPART_ARC
(4,2),-1.28618 # DEPENDENCYPART_ARC
(4,3),0.337673 # DEPENDENCYPART_ARC
(4,5),1.07478 # DEPENDENCYPART_ARC
(4,6),0.67549 # DEPENDENCYPART_ARC
(4,7),-2.22888 # DEPENDENCYPART_ARC
(4,8),-1.82968 # DEPENDENCYPART_ARC
(4,9),-2.30273 # DEPENDENCYPART_ARC
(4,10),-2.59917 # DEPENDENCYPART_ARC
(4,11),-2.78856 # DEPENDENCYPART_ARC
(4,12),-2.99208 # DEPENDENCYPART_ARC
(4,13),-0.348888 # DEPENDENCYPART_ARC
(4,14),-3.11586 # DEPENDENCYPART_ARC
(4,15),-1.91808 # DEPENDENCYPART_ARC
(4,16),-2.74998 # DEPENDENCYPART_ARC
(4,17),-0.527369 # DEPENDENCYPART_ARC
(4,18),-2.22754 # DEPENDENCYPART_ARC
(4,20),-2.84575 # DEPENDENCYPART_ARC
(4,24),-2.99406 # DEPENDENCYPART_ARC
(4,25),-2.35216 # DEPENDENCYPART_ARC
(5,1),-2.07099 # DEPENDENCYPART_ARC
(5,2),-2.22908 # DEPENDENCYPART_ARC
(5,3),-0.962061 # DEPENDENCYPART_ARC
(5,4),-0.460327 # DEPENDENCYPART_ARC
(5,6),0.552337 # DEPENDENCYPART_ARC
(5,7),-2.34543 # DEPENDENCYPART_ARC
(5,8),-1.22049 # DEPENDENCYPART_ARC
(5,10),-2.98792 # DEPENDENCYPART_ARC
(5,13),-1.85972 # DEPENDENCYPART_ARC
(5,15),-2.33189 # DEPENDENCYPART_ARC
(5,18),-2.79216 # DEPENDENCYPART_ARC
(6,7),1.10846 # DEPENDENCYPART_ARC
(6,8),-0.840017 # DEPENDENCYPART_ARC
(6,9),-1.48172 # DEPENDENCYPART_ARC
(6,10),-1.5508 # DEPENDENCYPART_ARC
(6,11),-1.74712 # DEPENDENCYPART_ARC
(6,12),-2.47436 # DEPENDENCYPART_ARC
(6,14),-3.31759 # DEPENDENCYPART_ARC
(6,15),-1.78545 # DEPENDENCYPART_ARC
(6,16),-2.31683 # DEPENDENCYPART_ARC
(6,18),-2.4673 # DEPENDENCYPART_ARC
(6,20),-2.57933 # DEPENDENCYPART_ARC
(6,24),-3.03819 # DEPENDENCYPART_ARC
(7,1),-3.44865 # DEPENDENCYPART_ARC
(7,3),-1.55861 # DEPENDENCYPART_ARC
(7,4),-1.1431 # DEPENDENCYPART_ARC
(7,5),-1.40524 # DEPENDENCYPART_ARC
(7,6),-1.49515 # DEPENDENCYPART_ARC
(7,8),1.50046 # DEPENDENCYPART_ARC
(7,9),-1.77408 # DEPENDENCYPART_ARC
(7,10),-2.19103 # DEPENDENCYPART_ARC
(7,11),-2.50746 # DEPENDENCYPART_ARC
(7,12),-2.37701 # DEPENDENCYPART_ARC
(7,13),-1.2129 # DEPENDENCYPART_ARC
(7,17),-1.18965 # DEPENDENCYPART_ARC
(8,9),-1.91865 # DEPENDENCYPART_ARC
(9,7),-1.33881 # DEPENDENCYPART_ARC
(9,8),-2.01381 # DEPENDENCYPART_ARC
(9,10),-1.63436 # DEPENDENCYPART_ARC
(10,1),-4.38868 # DEPENDENCYPART_ARC
(10,7),-1.76438 # DEPENDENCYPART_ARC
(10,9),-0.848344 # DEPENDENCYPART_ARC
(10,11),-1.62506 # DEPENDENCYPART_ARC
(10,12),-1.3598 # DEPENDENCYPART_ARC
(10,13),-1.42067 # DEPENDENCYPART_ARC
(10,17),-1.80536 # DEPENDENCYPART_ARC
(11,1),-3.00288 # DEPENDENCYPART_ARC
(11,3),-2.85364 # DEPENDENCYPART_ARC
(11,4),-2.70002 # DEPENDENCYPART_ARC
(11,5),-2.87546 # DEPENDENCYPART_ARC
(11,7),-0.680815 # DEPENDENCYPART_ARC
(11,8),-1.56346 # DEPENDENCYPART_ARC
(11,9),0.063586 # DEPENDENCYPART_ARC
(11,10),0.570501 # DEPENDENCYPART_ARC
(11,12),1.13828 # DEPENDENCYPART_ARC
(11,13),-0.207648 # DEPENDENCYPART_ARC
(11,14),-2.04653 # DEPENDENCYPART_ARC
(11,15),-1.09186 # DEPENDENCYPART_ARC
(11,16),-1.68515 # DEPENDENCYPART_ARC
(11,17),-0.342228 # DEPENDENCYPART_ARC
(11,18),-1.53195 # DEPENDENCYPART_ARC
(11,19),-2.04405 # DEPENDENCYPART_ARC
(11,20),-2.101 # DEPENDENCYPART_ARC
(11,21),-2.36365 # DEPENDENCYPART_ARC
(11,24),-2.84087 # DEPENDENCYPART_ARC
(11,25),-1.78963 # DEPENDENCYPART_ARC
(12,3),-3.4549 # DEPENDENCYPART_ARC
(12,7),-2.13909 # DEPENDENCYPART_ARC
(12,8),-2.79637 # DEPENDENCYPART_ARC
(12,9),-1.57228 # DEPENDENCYPART_ARC
(12,10),-1.28967 # DEPENDENCYPART_ARC
(12,11),-0.634578 # DEPENDENCYPART_ARC
(12,13),-1.10671 # DEPENDENCYPART_ARC
(12,14),-2.52017 # DEPENDENCYPART_ARC
(12,15),-1.92983 # DEPENDENCYPART_ARC
(12,16),-2.44938 # DEPENDENCYPART_ARC
(12,17),-1.59193 # DEPENDENCYPART_ARC
(12,18),-2.44978 # DEPENDENCYPART_ARC
(12,19),-2.86072 # DEPENDENCYPART_ARC
(12,20),-2.90166 # DEPENDENCYPART_ARC
(12,25),-3.0812 # DEPENDENCYPART_ARC
(14,12),-2.18355 # DEPENDENCYPART_ARC
(14,16),-1.84695 # DEPENDENCYPART_ARC
(15,1),-1.99916 # DEPENDENCYPART_ARC
(15,3),-2.15107 # DEPENDENCYPART_ARC
(15,4),-2.27823 # DEPENDENCYPART_ARC
(15,5),-2.02816 # DEPENDENCYPART_ARC
(15,6),-2.05477 # DEPENDENCYPART_ARC
(15,7),-2.35036 # DEPENDENCYPART_ARC
(15,9),-2.30675 # DEPENDENCYPART_ARC
(15,10),-2.46553 # DEPENDENCYPART_ARC
(15,11),-2.40962 # DEPENDENCYPART_ARC
(15,12),-2.22945 # DEPENDENCYPART_ARC
(15,13),-1.64345 # DEPENDENCYPART_ARC
(15,14),1.31314 # DEPENDENCYPART_ARC
(15,16),1.63772 # DEPENDENCYPART_ARC
(15,17),-1.19156 # DEPENDENCYPART_ARC
(15,18),-0.631772 # DEPENDENCYPART_ARC
(15,19),-1.4082 # DEPENDENCYPART_ARC
(15,20),-1.07179 # DEPENDENCYPART_ARC
(15,21),-2.02108 # DEPENDENCYPART_ARC
(15,24),-2.4926 # DEPENDENCYPART_ARC
(15,25),-1.17552 # DEPENDENCYPART_ARC
(16,4),-2.20356 # DEPENDENCYPART_ARC
(16,5),-2.18212 # DEPENDENCYPART_ARC
(16,6),-2.59232 # DEPENDENCYPART_ARC
(16,10),-1.90355 # DEPENDENCYPART_ARC
(16,11),-1.92054 # DEPENDENCYPART_ARC
(16,12),-1.82152 # DEPENDENCYPART_ARC
(16,13),-1.47234 # DEPENDENCYPART_ARC
(16,14),-0.569744 # DEPENDENCYPART_ARC
(16,15),-0.77126 # DEPENDENCYPART_ARC
(16,17),-0.644425 # DEPENDENCYPART_ARC
(16,18),-0.808675 # DEPENDENCYPART_ARC
(16,19),-0.96221 # DEPENDENCYPART_ARC
(16,20),-0.931993 # DEPENDENCYPART_ARC
(16,21),-0.604333 # DEPENDENCYPART_ARC
(16,22),-1.99388 # DEPENDENCYPART_ARC
(16,24),-1.82971 # DEPENDENCYPART_ARC
(16,25),-2.08011 # DEPENDENCYPART_ARC
(18,1),-1.30632 # DEPENDENCYPART_ARC
(18,3),-1.60544 # DEPENDENCYPART_ARC
(18,4),-1.75714 # DEPENDENCYPART_ARC
(18,5),-1.60502 # DEPENDENCYPART_ARC
(18,6),-2.11623 # DEPENDENCYPART_ARC
(18,7),-1.96302 # DEPENDENCYPART_ARC
(18,8),-2.22278 # DEPENDENCYPART_ARC
(18,9),-1.93168 # DEPENDENCYPART_ARC
(18,10),-2.03189 # DEPENDENCYPART_ARC
(18,11),-2.06302 # DEPENDENCYPART_ARC
(18,12),-2.10207 # DEPENDENCYPART_ARC
(18,13),-1.89341 # DEPENDENCYPART_ARC
(18,14),-0.487399 # DEPENDENCYPART_ARC
(18,15),-1.41436 # DEPENDENCYPART_ARC
(18,16),-1.38322 # DEPENDENCYPART_ARC
(18,17),-0.535523 # DEPENDENCYPART_ARC
(18,19),1.30657 # DEPENDENCYPART_ARC
(18,20),1.02349 # DEPENDENCYPART_ARC
(18,21),-0.414188 # DEPENDENCYPART_ARC
(18,22),-0.856315 # DEPENDENCYPART_ARC
(18,23),-1.01289 # DEPENDENCYPART_ARC
(18,24),-0.965366 # DEPENDENCYPART_ARC
(18,25),0.328739 # DEPENDENCYPART_ARC
(19,14),-2.77699 # DEPENDENCYPART_ARC
(19,20),-1.25009 # DEPENDENCYPART_ARC
(19,21),-1.36208 # DEPENDENCYPART_ARC
(19,24),-2.44329 # DEPENDENCYPART_ARC
(20,4),-2.56545 # DEPENDENCYPART_ARC
(20,5),-2.56827 # DEPENDENCYPART_ARC
(20,6),-3.05063 # DEPENDENCYPART_ARC
(20,11),-2.38616 # DEPENDENCYPART_ARC
(20,12),-2.41776 # DEPENDENCYPART_ARC
(20,14),-1.4828 # DEPENDENCYPART_ARC
(20,15),-1.8778 # DEPENDENCYPART_ARC
(20,16),-2.0647 # DEPENDENCYPART_ARC
(20,17),-1.62951 # DEPENDENCYPART_ARC
(20,18),-1.43775 # DEPENDENCYPART_ARC
(20,19),-0.0363267 # DEPENDENCYPART_ARC
(20,21),1.28544 # DEPENDENCYPART_ARC
(20,22),-0.967127 # DEPENDENCYPART_ARC
(20,23),-0.708519 # DEPENDENCYPART_ARC
(20,24),-1.25442 # DEPENDENCYPART_ARC
(20,25),-1.63212 # DEPENDENCYPART_ARC
(21,19),-1.59079 # DEPENDENCYPART_ARC
(21,22),-0.631702 # DEPENDENCYPART_ARC
(21,23),0.266112 # DEPENDENCYPART_ARC
(21,24),0.562972 # DEPENDENCYPART_ARC
(21,25),-2.63654 # DEPENDENCYPART_ARC
(22,19),-2.14786 # DEPENDENCYPART_ARC
(22,23),-0.967434 # DEPENDENCYPART_ARC
(23,19),-2.41606 # DEPENDENCYPART_ARC
(23,22),-0.642674 # DEPENDENCYPART_ARC
(24,1),-2.92908 # DEPENDENCYPART_ARC
(24,3),-2.92853 # DEPENDENCYPART_ARC
(24,4),-2.77934 # DEPENDENCYPART_ARC
(24,5),-3.40324 # DEPENDENCYPART_ARC
(24,7),-2.51175 # DEPENDENCYPART_ARC
(24,9),-2.55182 # DEPENDENCYPART_ARC
(24,11),-2.41885 # DEPENDENCYPART_ARC
(24,14),-2.33451 # DEPENDENCYPART_ARC
(24,16),-1.46722 # DEPENDENCYPART_ARC
(24,19),-1.08815 # DEPENDENCYPART_ARC
(24,20),-0.771153 # DEPENDENCYPART_ARC
(24,21),-1.26739 # DEPENDENCYPART_ARC
(24,22),1.11545 # DEPENDENCYPART_ARC
(24,23),1.98242 # DEPENDENCYPART_ARC
(24,25),-1.4509 # DEPENDENCYPART_ARC
(25,24),-2.58189 # DEPENDENCYPART_ARC
(0,1),(0,4),-0.218109 # DEPENDENCYPART_SIBL
(0,1),(0,6),-0.073982 # DEPENDENCYPART_SIBL
(0,1),(0,15),-0.408779 # DEPENDENCYPART_SIBL
(0,1),(0,16),-0.136907 # DEPENDENCYPART_SIBL
(0,1),(0,18),-0.441283 # DEPENDENCYPART_SIBL
(0,1),(0,20),-0.135883 # DEPENDENCYPART_SIBL
(0,4),(0,6),-0.0723519 # DEPENDENCYPART_SIBL
(0,4),(0,15),-0.408779 # DEPENDENCYPART_SIBL
(0,4),(0,16),-0.136907 # DEPENDENCYPART_SIBL
(0,4),(0,18),-0.441283 # DEPENDENCYPART_SIBL
(0,4),(0,20),-0.135883 # DEPENDENCYPART_SIBL
(0,6),(0,15),-0.330719 # DEPENDENCYPART_SIBL
(0,6),(0,16),-0.00511128 # DEPENDENCYPART_SIBL
(0,6),(0,18),-0.384544 # DEPENDENCYPART_SIBL
(0,6),(0,20),-0.00506812 # DEPENDENCYPART_SIBL
(0,15),(0,16),-0.46305 # DEPENDENCYPART_SIBL
(0,15),(0,18),-1.03497 # DEPENDENCYPART_SIBL
(0,15),(0,20),-0.463049 # DEPENDENCYPART_SIBL
(0,16),(0,18),-0.35207 # DEPENDENCYPART_SIBL
(0,16),(0,20),-0.337499 # DEPENDENCYPART_SIBL
(0,18),(0,20),-0.483797 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.0252938 # DEPENDENCYPART_SIBL
(1,2),(1,4),-0.0252661 # DEPENDENCYPART_SIBL
(1,2),(1,5),-0.0696616 # DEPENDENCYPART_SIBL
(1,2),(1,6),0.11229 # DEPENDENCYPART_SIBL
(1,2),(1,8),-0.200432 # DEPENDENCYPART_SIBL
(1,2),(1,13),-0.0861495 # DEPENDENCYPART_SIBL
(1,2),(1,15),-0.0220769 # DEPENDENCYPART_SIBL
(1,2),(1,17),-0.0861495 # DEPENDENCYPART_SIBL
(1,2),(1,18),-0.059991 # DEPENDENCYPART_SIBL
(1,2),(1,25),-0.0775888 # DEPENDENCYPART_SIBL
(1,3),(1,4),-0.0466767 # DEPENDENCYPART_SIBL
(1,3),(1,5),-0.164972 # DEPENDENCYPART_SIBL
(1,3),(1,6),-0.00179028 # DEPENDENCYPART_SIBL
(1,3),(1,8),-0.124387 # DEPENDENCYPART_SIBL
(1,3),(1,13),0.0138909 # DEPENDENCYPART_SIBL
(1,3),(1,15),-0.0637373 # DEPENDENCYPART_SIBL
(1,3),(1,17),0.0138909 # DEPENDENCYPART_SIBL
(1,3),(1,18),-0.0912075 # DEPENDENCYPART_SIBL
(1,3),(1,25),0.00442136 # DEPENDENCYPART_SIBL
(1,4),(1,5),-0.17101 # DEPENDENCYPART_SIBL
(1,4),(1,6),-0.00179286 # DEPENDENCYPART_SIBL
(1,4),(1,8),-0.124389 # DEPENDENCYPART_SIBL
(1,4),(1,13),0.0161716 # DEPENDENCYPART_SIBL
(1,4),(1,15),-0.0637398 # DEPENDENCYPART_SIBL
(1,4),(1,17),0.0161716 # DEPENDENCYPART_SIBL
(1,4),(1,18),-0.0912101 # DEPENDENCYPART_SIBL
(1,4),(1,25),0.00846755 # DEPENDENCYPART_SIBL
(1,5),(1,6),0.127203 # DEPENDENCYPART_SIBL
(1,5),(1,8),-0.139147 # DEPENDENCYPART_SIBL
(1,5),(1,13),0.0718575 # DEPENDENCYPART_SIBL
(1,5),(1,15),-0.0621664 # DEPENDENCYPART_SIBL
(1,5),(1,17),0.0718575 # DEPENDENCYPART_SIBL
(1,5),(1,18),-0.0840369 # DEPENDENCYPART_SIBL
(1,5),(1,25),0.106338 # DEPENDENCYPART_SIBL
(1,6),(1,8),-0.0969838 # DEPENDENCYPART_SIBL
(1,6),(1,13),-0.0675875 # DEPENDENCYPART_SIBL
(1,6),(1,15),0.0163223 # DEPENDENCYPART_SIBL
(1,6),(1,17),-0.0675875 # DEPENDENCYPART_SIBL
(1,6),(1,18),-0.00500702 # DEPENDENCYPART_SIBL
(1,6),(1,25),-0.175984 # DEPENDENCYPART_SIBL
(1,8),(1,13),-0.0861495 # DEPENDENCYPART_SIBL
(1,8),(1,15),-0.0220769 # DEPENDENCYPART_SIBL
(1,8),(1,17),-0.0861495 # DEPENDENCYPART_SIBL
(1,8),(1,18),-0.059991 # DEPENDENCYPART_SIBL
(1,8),(1,25),-0.0775888 # DEPENDENCYPART_SIBL
(1,13),(1,15),0.390392 # DEPENDENCYPART_SIBL
(1,13),(1,17),0.105436 # DEPENDENCYPART_SIBL
(1,13),(1,18),0.480105 # DEPENDENCYPART_SIBL
(1,13),(1,25),0.0314877 # DEPENDENCYPART_SIBL
(1,15),(1,17),0.183191 # DEPENDENCYPART_SIBL
(1,15),(1,18),-0.247132 # DEPENDENCYPART_SIBL
(1,15),(1,25),0.139118 # DEPENDENCYPART_SIBL
(1,17),(1,18),0.480105 # DEPENDENCYPART_SIBL
(1,17),(1,25),0.0314877 # DEPENDENCYPART_SIBL
(1,18),(1,25),0.170976 # DEPENDENCYPART_SIBL
(3,1),(3,5),0.34131 # DEPENDENCYPART_SIBL
(3,1),(3,6),0.0719923 # DEPENDENCYPART_SIBL
(3,1),(3,8),0.0396461 # DEPENDENCYPART_SIBL
(3,5),(3,6),0.114711 # DEPENDENCYPART_SIBL
(3,5),(3,8),-0.145485 # DEPENDENCYPART_SIBL
(3,6),(3,8),-0.0969185 # DEPENDENCYPART_SIBL
(4,1),(4,2),0.0370463 # DEPENDENCYPART_SIBL
(4,1),(4,3),0.108346 # DEPENDENCYPART_SIBL
(4,1),(4,5),0.362787 # DEPENDENCYPART_SIBL
(4,1),(4,6),0.0853786 # DEPENDENCYPART_SIBL
(4,1),(4,7),0.0385044 # DEPENDENCYPART_SIBL
(4,1),(4,8),0.0540625 # DEPENDENCYPART_SIBL
(4,1),(4,9),0.0384945 # DEPENDENCYPART_SIBL
(4,1),(4,10),0.053663 # DEPENDENCYPART_SIBL
(4,1),(4,11),0.0384936 # DEPENDENCYPART_SIBL
(4,1),(4,12),0.362787 # DEPENDENCYPART_SIBL
(4,1),(4,13),0.0989383 # DEPENDENCYPART_SIBL
(4,1),(4,14),-0.0481159 # DEPENDENCYPART_SIBL
(4,1),(4,15),0.0651194 # DEPENDENCYPART_SIBL
(4,1),(4,16),0.0463845 # DEPENDENCYPART_SIBL
(4,1),(4,17),0.0989383 # DEPENDENCYPART_SIBL
(4,1),(4,18),0.0726781 # DEPENDENCYPART_SIBL
(4,1),(4,20),0.0507403 # DEPENDENCYPART_SIBL
(4,1),(4,24),0.0540639 # DEPENDENCYPART_SIBL
(4,1),(4,25),0.0419211 # DEPENDENCYPART_SIBL
(4,2),(4,3),0.0641796 # DEPENDENCYPART_SIBL
(4,2),(4,5),0.0380939 # DEPENDENCYPART_SIBL
(4,2),(4,6),-0.0245167 # DEPENDENCYPART_SIBL
(4,2),(4,7),-0.0801669 # DEPENDENCYPART_SIBL
(4,2),(4,8),-0.13929 # DEPENDENCYPART_SIBL
(4,2),(4,9),-0.080167 # DEPENDENCYPART_SIBL
(4,2),(4,10),-0.0801673 # DEPENDENCYPART_SIBL
(4,2),(4,11),-0.0801707 # DEPENDENCYPART_SIBL
(4,2),(4,12),0.0380939 # DEPENDENCYPART_SIBL
(4,2),(4,13),-0.0835359 # DEPENDENCYPART_SIBL
(4,2),(4,14),-0.0623299 # DEPENDENCYPART_SIBL
(4,2),(4,15),-0.0077384 # DEPENDENCYPART_SIBL
(4,2),(4,16),0.00960478 # DEPENDENCYPART_SIBL
(4,2),(4,17),-0.0835359 # DEPENDENCYPART_SIBL
(4,2),(4,18),0.0203922 # DEPENDENCYPART_SIBL
(4,2),(4,20),0.0135789 # DEPENDENCYPART_SIBL
(4,2),(4,24),-0.0430495 # DEPENDENCYPART_SIBL
(4,2),(4,25),0.00698936 # DEPENDENCYPART_SIBL
(4,3),(4,5),0.347711 # DEPENDENCYPART_SIBL
(4,3),(4,6),0.0813862 # DEPENDENCYPART_SIBL
(4,3),(4,7),0.0234282 # DEPENDENCYPART_SIBL
(4,3),(4,8),0.0475028 # DEPENDENCYPART_SIBL
(4,3),(4,9),0.0234184 # DEPENDENCYPART_SIBL
(4,3),(4,10),0.0385869 # DEPENDENCYPART_SIBL
(4,3),(4,11),0.0234175 # DEPENDENCYPART_SIBL
(4,3),(4,12),0.347711 # DEPENDENCYPART_SIBL
(4,3),(4,13),0.0673465 # DEPENDENCYPART_SIBL
(4,3),(4,14),-0.0546837 # DEPENDENCYPART_SIBL
(4,3),(4,15),0.0587858 # DEPENDENCYPART_SIBL
(4,3),(4,16),0.0428818 # DEPENDENCYPART_SIBL
(4,3),(4,17),0.0673465 # DEPENDENCYPART_SIBL
(4,3),(4,18),0.0663479 # DEPENDENCYPART_SIBL
(4,3),(4,20),0.0472377 # DEPENDENCYPART_SIBL
(4,3),(4,24),0.0468857 # DEPENDENCYPART_SIBL
(4,3),(4,25),0.0549572 # DEPENDENCYPART_SIBL
(4,5),(4,6),0.117739 # DEPENDENCYPART_SIBL
(4,5),(4,7),0.0215992 # DEPENDENCYPART_SIBL
(4,5),(4,8),-0.141973 # DEPENDENCYPART_SIBL
(4,5),(4,9),0.021565 # DEPENDENCYPART_SIBL
(4,5),(4,10),0.0215714 # DEPENDENCYPART_SIBL
(4,5),(4,11),0.0215991 # DEPENDENCYPART_SIBL
(4,5),(4,12),-0.105469 # DEPENDENCYPART_SIBL
(4,5),(4,13),0.0660846 # DEPENDENCYPART_SIBL
(4,5),(4,14),-0.0981241 # DEPENDENCYPART_SIBL
(4,5),(4,15),-0.0649989 # DEPENDENCYPART_SIBL
(4,5),(4,16),-0.0867826 # DEPENDENCYPART_SIBL
(4,5),(4,17),0.0660846 # DEPENDENCYPART_SIBL
(4,5),(4,18),-0.0868723 # DEPENDENCYPART_SIBL
(4,5),(4,20),-0.0871933 # DEPENDENCYPART_SIBL
(4,5),(4,24),0.0260899 # DEPENDENCYPART_SIBL
(4,5),(4,25),0.103514 # DEPENDENCYPART_SIBL
(4,6),(4,7),-0.00557997 # DEPENDENCYPART_SIBL
(4,6),(4,8),-0.096505 # DEPENDENCYPART_SIBL
(4,6),(4,9),-0.0055815 # DEPENDENCYPART_SIBL
(4,6),(4,10),-0.0056077 # DEPENDENCYPART_SIBL
(4,6),(4,11),-0.00558001 # DEPENDENCYPART_SIBL
(4,6),(4,12),-0.114587 # DEPENDENCYPART_SIBL
(4,6),(4,13),-0.0643237 # DEPENDENCYPART_SIBL
(4,6),(4,14),-0.104627 # DEPENDENCYPART_SIBL
(4,6),(4,15),0.0167943 # DEPENDENCYPART_SIBL
(4,6),(4,16),0.0263753 # DEPENDENCYPART_SIBL
(4,6),(4,17),-0.0643237 # DEPENDENCYPART_SIBL
(4,6),(4,18),-0.00453785 # DEPENDENCYPART_SIBL
(4,6),(4,20),0.024006 # DEPENDENCYPART_SIBL
(4,6),(4,24),0.15787 # DEPENDENCYPART_SIBL
(4,6),(4,25),-0.175504 # DEPENDENCYPART_SIBL
(4,7),(4,8),-0.127212 # DEPENDENCYPART_SIBL
(4,7),(4,9),-0.0567364 # DEPENDENCYPART_SIBL
(4,7),(4,10),-0.05673 # DEPENDENCYPART_SIBL
(4,7),(4,11),-0.0567023 # DEPENDENCYPART_SIBL
(4,7),(4,12),-0.174997 # DEPENDENCYPART_SIBL
(4,7),(4,13),0.0104322 # DEPENDENCYPART_SIBL
(4,7),(4,14),-0.116864 # DEPENDENCYPART_SIBL
(4,7),(4,15),-0.0665698 # DEPENDENCYPART_SIBL
(4,7),(4,16),-0.0885336 # DEPENDENCYPART_SIBL
(4,7),(4,17),0.0104322 # DEPENDENCYPART_SIBL
(4,7),(4,18),-0.094043 # DEPENDENCYPART_SIBL
(4,7),(4,20),-0.0889443 # DEPENDENCYPART_SIBL
(4,7),(4,24),-0.0308959 # DEPENDENCYPART_SIBL
(4,7),(4,25),0.00565067 # DEPENDENCYPART_SIBL
(4,8),(4,9),-0.0264276 # DEPENDENCYPART_SIBL
(4,8),(4,10),-0.0264538 # DEPENDENCYPART_SIBL
(4,8),(4,11),-0.0264261 # DEPENDENCYPART_SIBL
(4,8),(4,12),-0.0708216 # DEPENDENCYPART_SIBL
(4,8),(4,13),-0.0833706 # DEPENDENCYPART_SIBL
(4,8),(4,14),-0.0357745 # DEPENDENCYPART_SIBL
(4,8),(4,15),-0.0220793 # DEPENDENCYPART_SIBL
(4,8),(4,16),0.00854765 # DEPENDENCYPART_SIBL
(4,8),(4,17),-0.0833706 # DEPENDENCYPART_SIBL
(4,8),(4,18),-0.0599963 # DEPENDENCYPART_SIBL
(4,8),(4,20),0.00523711 # DEPENDENCYPART_SIBL
(4,8),(4,24),-0.0446961 # DEPENDENCYPART_SIBL
(4,8),(4,25),-0.0775828 # DEPENDENCYPART_SIBL
(4,9),(4,10),-0.05673 # DEPENDENCYPART_SIBL
(4,9),(4,11),-0.0567023 # DEPENDENCYPART_SIBL
(4,9),(4,12),-0.174997 # DEPENDENCYPART_SIBL
(4,9),(4,13),0.0104178 # DEPENDENCYPART_SIBL
(4,9),(4,14),-0.116864 # DEPENDENCYPART_SIBL
(4,9),(4,15),-0.0665698 # DEPENDENCYPART_SIBL
(4,9),(4,16),-0.0885336 # DEPENDENCYPART_SIBL
(4,9),(4,17),0.0104178 # DEPENDENCYPART_SIBL
(4,9),(4,18),-0.094043 # DEPENDENCYPART_SIBL
(4,9),(4,20),-0.0889443 # DEPENDENCYPART_SIBL
(4,9),(4,24),-0.0308961 # DEPENDENCYPART_SIBL
(4,9),(4,25),-0.000104007 # DEPENDENCYPART_SIBL
(4,10),(4,11),-0.0506668 # DEPENDENCYPART_SIBL
(4,10),(4,12),-0.168962 # DEPENDENCYPART_SIBL
(4,10),(4,13),0.00811799 # DEPENDENCYPART_SIBL
(4,10),(4,14),-0.116864 # DEPENDENCYPART_SIBL
(4,10),(4,15),-0.0665698 # DEPENDENCYPART_SIBL
(4,10),(4,16),-0.0885336 # DEPENDENCYPART_SIBL
(4,10),(4,17),0.00811799 # DEPENDENCYPART_SIBL
(4,10),(4,18),-0.094043 # DEPENDENCYPART_SIBL
(4,10),(4,20),-0.0889443 # DEPENDENCYPART_SIBL
(4,10),(4,24),-0.0308959 # DEPENDENCYPART_SIBL
