# _root_ Commodities : Dow Jones futures index 129.72 , off 0.15 ; spot index 130.16 , up 0.91 .
#goldHeads=0,1,6,6,6,1,6,7,7,9,6,13,6,13,14,14,16,1,
#predictedHeads=0,1,6,6,6,1,6,6,6,9,6,13,6,13,13,13,16,1,
(0,1),-2.56734 # DEPENDENCYPART_ARC
(0,2),-3.32572 # DEPENDENCYPART_ARC
(0,3),-4.21418 # DEPENDENCYPART_ARC
(0,4),-4.093 # DEPENDENCYPART_ARC
(0,5),-3.88024 # DEPENDENCYPART_ARC
(0,6),-4.81911 # DEPENDENCYPART_ARC
(0,7),-5.36182 # DEPENDENCYPART_ARC
(1,2),0.0114404 # DEPENDENCYPART_ARC
(1,3),-1.4704 # DEPENDENCYPART_ARC
(1,4),-1.5634 # DEPENDENCYPART_ARC
(1,5),-1.12945 # DEPENDENCYPART_ARC
(1,6),-1.46206 # DEPENDENCYPART_ARC
(1,7),-2.05759 # DEPENDENCYPART_ARC
(1,8),-1.59347 # DEPENDENCYPART_ARC
(1,9),-1.92393 # DEPENDENCYPART_ARC
(1,10),-2.30943 # DEPENDENCYPART_ARC
(1,11),-1.21944 # DEPENDENCYPART_ARC
(1,12),-2.37178 # DEPENDENCYPART_ARC
(1,13),-2.35453 # DEPENDENCYPART_ARC
(1,14),-2.51203 # DEPENDENCYPART_ARC
(1,15),-2.3876 # DEPENDENCYPART_ARC
(1,16),-2.25814 # DEPENDENCYPART_ARC
(1,17),-2.61028 # DEPENDENCYPART_ARC
(1,18),-1.31553 # DEPENDENCYPART_ARC
(2,1),-2.13892 # DEPENDENCYPART_ARC
(2,3),-2.13138 # DEPENDENCYPART_ARC
(2,4),-2.78162 # DEPENDENCYPART_ARC
(2,6),-2.9487 # DEPENDENCYPART_ARC
(3,1),-2.54132 # DEPENDENCYPART_ARC
(3,2),-2.47657 # DEPENDENCYPART_ARC
(3,4),-1.09117 # DEPENDENCYPART_ARC
(3,5),-1.9617 # DEPENDENCYPART_ARC
(3,6),-2.17149 # DEPENDENCYPART_ARC
(3,7),-2.24696 # DEPENDENCYPART_ARC
(3,8),-1.62176 # DEPENDENCYPART_ARC
(3,11),-1.76668 # DEPENDENCYPART_ARC
(3,13),-3.87665 # DEPENDENCYPART_ARC
(3,15),-2.44153 # DEPENDENCYPART_ARC
(3,18),-2.20125 # DEPENDENCYPART_ARC
(4,1),-2.03282 # DEPENDENCYPART_ARC
(4,2),-2.17429 # DEPENDENCYPART_ARC
(4,3),-0.186361 # DEPENDENCYPART_ARC
(4,5),-1.47923 # DEPENDENCYPART_ARC
(4,6),-1.80513 # DEPENDENCYPART_ARC
(4,7),-1.9544 # DEPENDENCYPART_ARC
(4,8),-1.43365 # DEPENDENCYPART_ARC
(4,9),-2.46579 # DEPENDENCYPART_ARC
(4,10),-3.42211 # DEPENDENCYPART_ARC
(4,11),-1.58796 # DEPENDENCYPART_ARC
(4,12),-3.61309 # DEPENDENCYPART_ARC
(4,13),-3.73726 # DEPENDENCYPART_ARC
(4,14),-3.88679 # DEPENDENCYPART_ARC
(4,15),-2.30398 # DEPENDENCYPART_ARC
(4,18),-2.22576 # DEPENDENCYPART_ARC
(5,1),-2.30668 # DEPENDENCYPART_ARC
(5,2),-2.38259 # DEPENDENCYPART_ARC
(5,3),-0.322176 # DEPENDENCYPART_ARC
(5,4),0.153468 # DEPENDENCYPART_ARC
(5,6),-1.18516 # DEPENDENCYPART_ARC
(5,7),-1.83103 # DEPENDENCYPART_ARC
(5,8),-1.59163 # DEPENDENCYPART_ARC
(5,9),-2.13349 # DEPENDENCYPART_ARC
(5,11),-1.36217 # DEPENDENCYPART_ARC
(5,12),-2.70072 # DEPENDENCYPART_ARC
(5,13),-2.8634 # DEPENDENCYPART_ARC
(5,16),-2.53278 # DEPENDENCYPART_ARC
(5,18),-2.06781 # DEPENDENCYPART_ARC
(6,1),-0.997361 # DEPENDENCYPART_ARC
(6,2),-1.1777 # DEPENDENCYPART_ARC
(6,3),0.725465 # DEPENDENCYPART_ARC
(6,4),1.02046 # DEPENDENCYPART_ARC
(6,5),1.47488 # DEPENDENCYPART_ARC
(6,7),0.0233699 # DEPENDENCYPART_ARC
(6,8),-1.40679 # DEPENDENCYPART_ARC
(6,9),-1.29981 # DEPENDENCYPART_ARC
(6,10),-1.74842 # DEPENDENCYPART_ARC
(6,11),-0.762146 # DEPENDENCYPART_ARC
(6,12),-1.93573 # DEPENDENCYPART_ARC
(6,13),-1.84027 # DEPENDENCYPART_ARC
(6,14),-2.38982 # DEPENDENCYPART_ARC
(6,15),-2.17621 # DEPENDENCYPART_ARC
(6,16),-1.94298 # DEPENDENCYPART_ARC
(6,17),-2.92076 # DEPENDENCYPART_ARC
(6,18),-2.28538 # DEPENDENCYPART_ARC
(7,1),-2.28498 # DEPENDENCYPART_ARC
(7,2),-2.19526 # DEPENDENCYPART_ARC
(7,3),-2.53455 # DEPENDENCYPART_ARC
(7,4),-2.23089 # DEPENDENCYPART_ARC
(7,5),-1.4133 # DEPENDENCYPART_ARC
(7,6),-1.33866 # DEPENDENCYPART_ARC
(7,8),-1.04721 # DEPENDENCYPART_ARC
(7,9),-1.58107 # DEPENDENCYPART_ARC
(7,10),-2.20041 # DEPENDENCYPART_ARC
(7,11),-1.3087 # DEPENDENCYPART_ARC
(7,12),-2.07868 # DEPENDENCYPART_ARC
(7,13),-2.40809 # DEPENDENCYPART_ARC
(7,14),-2.73958 # DEPENDENCYPART_ARC
(7,16),-2.04907 # DEPENDENCYPART_ARC
(7,17),-3.06019 # DEPENDENCYPART_ARC
(8,9),-1.84786 # DEPENDENCYPART_ARC
(9,1),-2.87512 # DEPENDENCYPART_ARC
(9,2),-2.7789 # DEPENDENCYPART_ARC
(9,4),-2.347 # DEPENDENCYPART_ARC
(9,6),-1.96673 # DEPENDENCYPART_ARC
(9,7),-1.7943 # DEPENDENCYPART_ARC
(9,8),-1.34914 # DEPENDENCYPART_ARC
(9,10),-0.285662 # DEPENDENCYPART_ARC
(9,11),-0.957306 # DEPENDENCYPART_ARC
(9,12),-1.22762 # DEPENDENCYPART_ARC
(9,13),-1.48398 # DEPENDENCYPART_ARC
(9,14),-1.95889 # DEPENDENCYPART_ARC
(9,15),-1.39965 # DEPENDENCYPART_ARC
(9,16),-1.95915 # DEPENDENCYPART_ARC
(9,17),-2.56335 # DEPENDENCYPART_ARC
(9,18),-1.89367 # DEPENDENCYPART_ARC
(10,1),-2.62309 # DEPENDENCYPART_ARC
(10,2),-2.52972 # DEPENDENCYPART_ARC
(10,6),-2.51829 # DEPENDENCYPART_ARC
(10,7),-1.61785 # DEPENDENCYPART_ARC
(10,8),-1.69588 # DEPENDENCYPART_ARC
(10,9),-0.589868 # DEPENDENCYPART_ARC
(10,11),-1.21764 # DEPENDENCYPART_ARC
(10,12),-1.95987 # DEPENDENCYPART_ARC
(11,10),-2.07091 # DEPENDENCYPART_ARC
(11,12),-1.91844 # DEPENDENCYPART_ARC
(11,13),-2.57945 # DEPENDENCYPART_ARC
(12,9),-2.53215 # DEPENDENCYPART_ARC
(12,10),-2.18884 # DEPENDENCYPART_ARC
(12,13),-0.766998 # DEPENDENCYPART_ARC
(12,14),-1.2677 # DEPENDENCYPART_ARC
(12,15),-1.20218 # DEPENDENCYPART_ARC
