# _root_ Financial markets quieted , with stock prices edging lower , bonds inching up and the dollar almost unchanged .
#goldHeads=2,3,0,3,3,7,8,14,8,14,12,14,12,5,16,18,18,14,3,
#predictedHeads=2,3,0,3,3,7,8,5,8,14,12,14,12,8,16,18,18,14,3,
(0,1),-1.7256 # DEPENDENCYPART_ARC
(0,2),-2.58539 # DEPENDENCYPART_ARC
(0,3),-1.96058 # DEPENDENCYPART_ARC
(0,8),-2.5342 # DEPENDENCYPART_ARC
(0,12),-2.19938 # DEPENDENCYPART_ARC
(0,14),-1.72048 # DEPENDENCYPART_ARC
(1,2),-0.640993 # DEPENDENCYPART_ARC
(1,3),-1.10069 # DEPENDENCYPART_ARC
(1,4),-1.60898 # DEPENDENCYPART_ARC
(1,5),-2.31535 # DEPENDENCYPART_ARC
(2,1),1.48515 # DEPENDENCYPART_ARC
(2,3),-0.164077 # DEPENDENCYPART_ARC
(2,4),-1.59237 # DEPENDENCYPART_ARC
(2,5),-1.8801 # DEPENDENCYPART_ARC
(2,7),-1.85754 # DEPENDENCYPART_ARC
(2,8),-2.40921 # DEPENDENCYPART_ARC
(2,10),-2.23683 # DEPENDENCYPART_ARC
(2,11),-2.0429 # DEPENDENCYPART_ARC
(2,12),-2.39228 # DEPENDENCYPART_ARC
(2,19),-2.35216 # DEPENDENCYPART_ARC
(3,1),-0.659016 # DEPENDENCYPART_ARC
(3,2),0.967261 # DEPENDENCYPART_ARC
(3,4),0.756552 # DEPENDENCYPART_ARC
(3,5),-1.17967 # DEPENDENCYPART_ARC
(3,6),-1.83588 # DEPENDENCYPART_ARC
(3,7),-1.71181 # DEPENDENCYPART_ARC
(3,8),-1.56801 # DEPENDENCYPART_ARC
(3,10),-1.59003 # DEPENDENCYPART_ARC
(3,11),-2.08487 # DEPENDENCYPART_ARC
(3,12),-1.57567 # DEPENDENCYPART_ARC
(3,13),-1.98352 # DEPENDENCYPART_ARC
(3,14),-0.868058 # DEPENDENCYPART_ARC
(3,16),-2.18112 # DEPENDENCYPART_ARC
(3,17),-2.24435 # DEPENDENCYPART_ARC
(3,18),-1.3831 # DEPENDENCYPART_ARC
(3,19),-1.59306 # DEPENDENCYPART_ARC
(4,5),-0.683584 # DEPENDENCYPART_ARC
(5,2),-1.9735 # DEPENDENCYPART_ARC
(5,4),-0.162064 # DEPENDENCYPART_ARC
(5,6),-0.229354 # DEPENDENCYPART_ARC
(5,7),-0.971606 # DEPENDENCYPART_ARC
(5,8),-0.999232 # DEPENDENCYPART_ARC
(5,9),-1.84245 # DEPENDENCYPART_ARC
(5,10),-1.79565 # DEPENDENCYPART_ARC
(5,11),-3.28301 # DEPENDENCYPART_ARC
(5,12),-1.99713 # DEPENDENCYPART_ARC
(5,13),-2.35132 # DEPENDENCYPART_ARC
(5,14),-1.77074 # DEPENDENCYPART_ARC
(5,17),-2.20029 # DEPENDENCYPART_ARC
(6,3),-2.76058 # DEPENDENCYPART_ARC
(6,5),-0.903683 # DEPENDENCYPART_ARC
(6,8),-1.12094 # DEPENDENCYPART_ARC
(6,9),-1.77941 # DEPENDENCYPART_ARC
