# _root_ As you can see , the capital-gains reduction plan adopted by the House would not be temporary , but permanent .
#goldHeads=3,3,14,3,14,9,9,9,14,9,10,13,11,0,14,14,19,19,16,19,14,
#predictedHeads=3,3,14,3,14,9,9,9,14,9,10,13,11,0,14,14,19,19,16,19,14,
(0,1),-1.96098 # DEPENDENCYPART_ARC
(0,3),-2.37467 # DEPENDENCYPART_ARC
(0,4),-2.92328 # DEPENDENCYPART_ARC
(0,10),-2.70023 # DEPENDENCYPART_ARC
(0,14),-3.15582 # DEPENDENCYPART_ARC
(0,16),-3.68563 # DEPENDENCYPART_ARC
(0,19),-1.14446 # DEPENDENCYPART_ARC
(0,20),-2.93203 # DEPENDENCYPART_ARC
(1,2),0.029957 # DEPENDENCYPART_ARC
(1,3),-1.04235 # DEPENDENCYPART_ARC
(1,4),-1.21533 # DEPENDENCYPART_ARC
(1,5),-1.44667 # DEPENDENCYPART_ARC
(1,21),-1.35861 # DEPENDENCYPART_ARC
(2,3),-0.327637 # DEPENDENCYPART_ARC
(2,4),-1.03812 # DEPENDENCYPART_ARC
(2,5),-1.31648 # DEPENDENCYPART_ARC
(2,9),-2.14905 # DEPENDENCYPART_ARC
(3,1),-0.406349 # DEPENDENCYPART_ARC
(3,2),0.865478 # DEPENDENCYPART_ARC
(3,4),1.40795 # DEPENDENCYPART_ARC
(3,5),-1.1021 # DEPENDENCYPART_ARC
(3,9),-2.12875 # DEPENDENCYPART_ARC
(3,10),-2.09407 # DEPENDENCYPART_ARC
(3,14),-1.78448 # DEPENDENCYPART_ARC
(3,15),-1.82795 # DEPENDENCYPART_ARC
(3,16),-2.08673 # DEPENDENCYPART_ARC
(3,18),-2.02965 # DEPENDENCYPART_ARC
(3,19),-1.51699 # DEPENDENCYPART_ARC
(3,21),-0.887131 # DEPENDENCYPART_ARC
(4,1),-0.619959 # DEPENDENCYPART_ARC
(4,2),-1.00705 # DEPENDENCYPART_ARC
(4,3),-0.486092 # DEPENDENCYPART_ARC
(4,5),-0.0338832 # DEPENDENCYPART_ARC
(4,6),-1.72661 # DEPENDENCYPART_ARC
(4,7),-1.77353 # DEPENDENCYPART_ARC
(4,8),-1.91783 # DEPENDENCYPART_ARC
(4,9),-1.94676 # DEPENDENCYPART_ARC
(4,10),-1.68872 # DEPENDENCYPART_ARC
(4,11),-2.41687 # DEPENDENCYPART_ARC
(4,14),-2.3965 # DEPENDENCYPART_ARC
(4,15),-2.77427 # DEPENDENCYPART_ARC
(4,17),-2.17671 # DEPENDENCYPART_ARC
(4,18),-1.8426 # DEPENDENCYPART_ARC
(4,19),-1.59771 # DEPENDENCYPART_ARC
(4,20),-2.03647 # DEPENDENCYPART_ARC
(4,21),-2.55434 # DEPENDENCYPART_ARC
(5,1),-1.66425 # DEPENDENCYPART_ARC
(6,5),-0.167579 # DEPENDENCYPART_ARC
(6,7),-0.549036 # DEPENDENCYPART_ARC
(6,10),-1.51919 # DEPENDENCYPART_ARC
(7,6),-0.188836 # DEPENDENCYPART_ARC
(7,8),-0.618435 # DEPENDENCYPART_ARC
(7,10),-1.04692 # DEPENDENCYPART_ARC
(8,6),-0.677635 # DEPENDENCYPART_ARC
